"","msa.fips","year","total.personal.income"
"new.row","11500",1969,304093
"new.row.1","11500",1970,313313
"new.row.2","11500",1971,352809
"new.row.3","11500",1972,395520
"new.row.4","11500",1973,432119
"new.row.5","11500",1974,483711
"new.row.6","11500",1975,555543
"new.row.7","11500",1976,621724
"new.row.8","11500",1977,698993
"new.row.9","11500",1978,772741
"new.row.10","11500",1979,845285
"new.row.11","11500",1980,967840
"new.row.12","11500",1981,1063833
"new.row.13","11500",1982,1139126
"new.row.14","11500",1983,1213653
"new.row.15","11500",1984,1335367
"new.row.16","11500",1985,1399199
"new.row.17","11500",1986,1466097
"new.row.18","11500",1987,1521112
"new.row.19","11500",1988,1602469
"new.row.20","11500",1989,1700683
"new.row.21","11500",1990,1754212
"new.row.22","11500",1991,1844084
"new.row.23","11500",1992,1948021
"new.row.24","11500",1993,2002178
"new.row.25","11500",1994,2071055
"new.row.26","11500",1995,2182593
"new.row.27","11500",1996,2244877
"new.row.28","11500",1997,2328543
"new.row.29","11500",1998,2476128
"new.row.30","11500",1999,2493052
"new.row.31","11500",2000,2490836
"new.row.32","11500",2001,2614918
"new.row.33","11500",2002,2733800
"new.row.34","11500",2003,2891038
"new.row.35","11500",2004,3088175
"new.row.36","11500",2005,3230072
"new.row.37","11500",2006,3401921
"new.row.38","11500",2007,3626933
"new.row.39","11500",2008,3741825
"new.row.40","11500",2009,3705725
"new.row.41","11500",2010,3770742
"new.row.42","11500",2011,3837477
"new.row.43","11500",2012,3826498
"new.row.44","11500",2013,3785995
"new.row.45","12220",1969,152916
"new.row.46","12220",1970,168756
"new.row.47","12220",1971,188289
"new.row.48","12220",1972,212798
"new.row.49","12220",1973,241228
"new.row.50","12220",1974,270356
"new.row.51","12220",1975,300888
"new.row.52","12220",1976,340151
"new.row.53","12220",1977,392421
"new.row.54","12220",1978,451809
"new.row.55","12220",1979,499192
"new.row.56","12220",1980,564261
"new.row.57","12220",1981,618938
"new.row.58","12220",1982,656351
"new.row.59","12220",1983,727386
"new.row.60","12220",1984,807995
"new.row.61","12220",1985,868931
"new.row.62","12220",1986,921329
"new.row.63","12220",1987,981984
"new.row.64","12220",1988,1062030
"new.row.65","12220",1989,1188584
"new.row.66","12220",1990,1250168
"new.row.67","12220",1991,1320397
"new.row.68","12220",1992,1447263
"new.row.69","12220",1993,1538636
"new.row.70","12220",1994,1642029
"new.row.71","12220",1995,1769106
"new.row.72","12220",1996,1853612
"new.row.73","12220",1997,2003223
"new.row.74","12220",1998,2168143
"new.row.75","12220",1999,2307195
"new.row.76","12220",2000,2438579
"new.row.77","12220",2001,2544227
"new.row.78","12220",2002,2670556
"new.row.79","12220",2003,2808679
"new.row.80","12220",2004,3043277
"new.row.81","12220",2005,3229451
"new.row.82","12220",2006,3471618
"new.row.83","12220",2007,3677500
"new.row.84","12220",2008,3902943
"new.row.85","12220",2009,3926873
"new.row.86","12220",2010,4061847
"new.row.87","12220",2011,4287330
"new.row.88","12220",2012,4483376
"new.row.89","12220",2013,4603299
"new.row.90","13820",1969,2607456
"new.row.91","13820",1970,2846114
"new.row.92","13820",1971,3124980
"new.row.93","13820",1972,3475298
"new.row.94","13820",1973,3908058
"new.row.95","13820",1974,4400207
"new.row.96","13820",1975,4935346
"new.row.97","13820",1976,5478413
"new.row.98","13820",1977,6048411
"new.row.99","13820",1978,6800494
"new.row.100","13820",1979,7604734
"new.row.101","13820",1980,8357090
"new.row.102","13820",1981,9080056
"new.row.103","13820",1982,9607916
"new.row.104","13820",1983,10206219
"new.row.105","13820",1984,11203709
"new.row.106","13820",1985,12114432
"new.row.107","13820",1986,12807749
"new.row.108","13820",1987,13585495
"new.row.109","13820",1988,14734080
"new.row.110","13820",1989,16077593
"new.row.111","13820",1990,17218639
"new.row.112","13820",1991,18077541
"new.row.113","13820",1992,19335817
"new.row.114","13820",1993,20252157
"new.row.115","13820",1994,21610713
"new.row.116","13820",1995,23088179
"new.row.117","13820",1996,24289712
"new.row.118","13820",1997,25606339
"new.row.119","13820",1998,27492021
"new.row.120","13820",1999,28829292
"new.row.121","13820",2000,31025327
"new.row.122","13820",2001,32133133
"new.row.123","13820",2002,33234612
"new.row.124","13820",2003,34433820
"new.row.125","13820",2004,37177056
"new.row.126","13820",2005,39187745
"new.row.127","13820",2006,41648339
"new.row.128","13820",2007,43108573
"new.row.129","13820",2008,44362275
"new.row.130","13820",2009,42392938
"new.row.131","13820",2010,43533054
"new.row.132","13820",2011,45549210
"new.row.133","13820",2012,47807125
"new.row.134","13820",2013,48542192
"new.row.135","17980",1969,968356
"new.row.136","17980",1970,965533
"new.row.137","17980",1971,1019345
"new.row.138","17980",1972,1058009
"new.row.139","17980",1973,1143748
"new.row.140","17980",1974,1253996
"new.row.141","17980",1975,1339712
"new.row.142","17980",1976,1477927
"new.row.143","17980",1977,1617278
"new.row.144","17980",1978,1799793
"new.row.145","17980",1979,1921716
"new.row.146","17980",1980,2106603
"new.row.147","17980",1981,2347378
"new.row.148","17980",1982,2566265
"new.row.149","17980",1983,2720484
"new.row.150","17980",1984,3025367
"new.row.151","17980",1985,3254199
"new.row.152","17980",1986,3479677
"new.row.153","17980",1987,3686096
"new.row.154","17980",1988,3921440
"new.row.155","17980",1989,4058748
"new.row.156","17980",1990,4281636
"new.row.157","17980",1991,4475214
"new.row.158","17980",1992,4873764
"new.row.159","17980",1993,5022470
"new.row.160","17980",1994,5249057
"new.row.161","17980",1995,5463412
"new.row.162","17980",1996,5659296
"new.row.163","17980",1997,6006130
"new.row.164","17980",1998,6476668
"new.row.165","17980",1999,6740238
"new.row.166","17980",2000,7092202
"new.row.167","17980",2001,7489564
"new.row.168","17980",2002,7801019
"new.row.169","17980",2003,8174618
"new.row.170","17980",2004,8607339
"new.row.171","17980",2005,9256914
"new.row.172","17980",2006,9844672
"new.row.173","17980",2007,10208422
"new.row.174","17980",2008,10536577
"new.row.175","17980",2009,10608984
"new.row.176","17980",2010,10915361
"new.row.177","17980",2011,11740256
"new.row.178","17980",2012,12174672
"new.row.179","17980",2013,12349479
"new.row.180","19300",1969,157098
"new.row.181","19300",1970,172451
"new.row.182","19300",1971,196330
"new.row.183","19300",1972,223337
"new.row.184","19300",1973,267249
"new.row.185","19300",1974,304840
"new.row.186","19300",1975,344509
"new.row.187","19300",1976,404505
"new.row.188","19300",1977,433150
"new.row.189","19300",1978,493990
"new.row.190","19300",1979,539409
"new.row.191","19300",1980,612558
"new.row.192","19300",1981,714163
"new.row.193","19300",1982,756253
"new.row.194","19300",1983,841388
"new.row.195","19300",1984,937190
"new.row.196","19300",1985,1046969
"new.row.197","19300",1986,1114195
"new.row.198","19300",1987,1181043
"new.row.199","19300",1988,1280052
"new.row.200","19300",1989,1438193
"new.row.201","19300",1990,1565972
"new.row.202","19300",1991,1733556
"new.row.203","19300",1992,1931986
"new.row.204","19300",1993,2131453
"new.row.205","19300",1994,2351616
"new.row.206","19300",1995,2564234
"new.row.207","19300",1996,2804525
"new.row.208","19300",1997,3062081
"new.row.209","19300",1998,3339372
"new.row.210","19300",1999,3535859
"new.row.211","19300",2000,3859695
"new.row.212","19300",2001,3982691
"new.row.213","19300",2002,4109624
"new.row.214","19300",2003,4283803
"new.row.215","19300",2004,4759845
"new.row.216","19300",2005,5190627
"new.row.217","19300",2006,5772141
"new.row.218","19300",2007,6156136
"new.row.219","19300",2008,6339199
"new.row.220","19300",2009,6284597
"new.row.221","19300",2010,6681893
"new.row.222","19300",2011,7134507
"new.row.223","19300",2012,7407124
"new.row.224","19300",2013,7645538
"new.row.225","19460",1969,312066
"new.row.226","19460",1970,350240
"new.row.227","19460",1971,375168
"new.row.228","19460",1972,406812
"new.row.229","19460",1973,452237
"new.row.230","19460",1974,490482
"new.row.231","19460",1975,562630
"new.row.232","19460",1976,620657
"new.row.233","19460",1977,688241
"new.row.234","19460",1978,777623
"new.row.235","19460",1979,888308
"new.row.236","19460",1980,953548
"new.row.237","19460",1981,1069130
"new.row.238","19460",1982,1126841
"new.row.239","19460",1983,1217379
"new.row.240","19460",1984,1391687
"new.row.241","19460",1985,1525115
"new.row.242","19460",1986,1625979
"new.row.243","19460",1987,1717730
"new.row.244","19460",1988,1871889
"new.row.245","19460",1989,2035021
"new.row.246","19460",1990,2170116
"new.row.247","19460",1991,2297753
"new.row.248","19460",1992,2469850
"new.row.249","19460",1993,2560835
"new.row.250","19460",1994,2726371
"new.row.251","19460",1995,2854047
"new.row.252","19460",1996,2963254
"new.row.253","19460",1997,3092454
"new.row.254","19460",1998,3317517
"new.row.255","19460",1999,3438892
"new.row.256","19460",2000,3545165
"new.row.257","19460",2001,3620973
"new.row.258","19460",2002,3677601
"new.row.259","19460",2003,3844770
"new.row.260","19460",2004,4061106
"new.row.261","19460",2005,4231436
"new.row.262","19460",2006,4448522
"new.row.263","19460",2007,4667856
"new.row.264","19460",2008,4873071
"new.row.265","19460",2009,4753293
"new.row.266","19460",2010,4848151
"new.row.267","19460",2011,4965473
"new.row.268","19460",2012,5098638
"new.row.269","19460",2013,5171988
"new.row.270","20020",1969,248511
"new.row.271","20020",1970,278317
"new.row.272","20020",1971,308866
"new.row.273","20020",1972,348428
"new.row.274","20020",1973,426276
"new.row.275","20020",1974,475592
"new.row.276","20020",1975,518564
"new.row.277","20020",1976,596001
"new.row.278","20020",1977,640141
"new.row.279","20020",1978,724763
"new.row.280","20020",1979,788860
"new.row.281","20020",1980,865742
"new.row.282","20020",1981,1033255
"new.row.283","20020",1982,1059173
"new.row.284","20020",1983,1115912
"new.row.285","20020",1984,1261190
"new.row.286","20020",1985,1326418
"new.row.287","20020",1986,1412760
"new.row.288","20020",1987,1514019
"new.row.289","20020",1988,1652481
"new.row.290","20020",1989,1838186
"new.row.291","20020",1990,1883906
"new.row.292","20020",1991,1977307
"new.row.293","20020",1992,2152662
"new.row.294","20020",1993,2192931
"new.row.295","20020",1994,2327972
"new.row.296","20020",1995,2478056
"new.row.297","20020",1996,2542764
"new.row.298","20020",1997,2667273
"new.row.299","20020",1998,2864824
"new.row.300","20020",1999,3004709
"new.row.301","20020",2000,3105071
"new.row.302","20020",2001,3340879
"new.row.303","20020",2002,3470823
"new.row.304","20020",2003,3581850
"new.row.305","20020",2004,3850418
"new.row.306","20020",2005,4108367
"new.row.307","20020",2006,4334979
"new.row.308","20020",2007,4602817
"new.row.309","20020",2008,4727954
"new.row.310","20020",2009,4731169
"new.row.311","20020",2010,4966205
"new.row.312","20020",2011,5121475
"new.row.313","20020",2012,5226148
"new.row.314","20020",2013,5303970
"new.row.315","22520",1969,332543
"new.row.316","22520",1970,363952
"new.row.317","22520",1971,406915
"new.row.318","22520",1972,444389
"new.row.319","22520",1973,489526
"new.row.320","22520",1974,544751
"new.row.321","22520",1975,597618
"new.row.322","22520",1976,688841
"new.row.323","22520",1977,759576
"new.row.324","22520",1978,871059
"new.row.325","22520",1979,970274
"new.row.326","22520",1980,1072353
"new.row.327","22520",1981,1188030
"new.row.328","22520",1982,1234551
"new.row.329","22520",1983,1282954
"new.row.330","22520",1984,1387832
"new.row.331","22520",1985,1470035
"new.row.332","22520",1986,1549715
"new.row.333","22520",1987,1630387
"new.row.334","22520",1988,1772226
"new.row.335","22520",1989,1891460
"new.row.336","22520",1990,2074830
"new.row.337","22520",1991,2166227
"new.row.338","22520",1992,2318378
"new.row.339","22520",1993,2410630
"new.row.340","22520",1994,2553049
"new.row.341","22520",1995,2702176
"new.row.342","22520",1996,2813763
"new.row.343","22520",1997,2910619
"new.row.344","22520",1998,2987392
"new.row.345","22520",1999,3067618
"new.row.346","22520",2000,3202525
"new.row.347","22520",2001,3298261
"new.row.348","22520",2002,3308084
"new.row.349","22520",2003,3438772
"new.row.350","22520",2004,3620029
"new.row.351","22520",2005,3818868
"new.row.352","22520",2006,4022109
"new.row.353","22520",2007,4275557
"new.row.354","22520",2008,4399483
"new.row.355","22520",2009,4422508
"new.row.356","22520",2010,4626395
"new.row.357","22520",2011,4766978
"new.row.358","22520",2012,4878669
"new.row.359","22520",2013,4970699
"new.row.360","23460",1969,273035
"new.row.361","23460",1970,282865
"new.row.362","23460",1971,310937
"new.row.363","23460",1972,349047
"new.row.364","23460",1973,386527
"new.row.365","23460",1974,424510
"new.row.366","23460",1975,470669
"new.row.367","23460",1976,512922
"new.row.368","23460",1977,586918
"new.row.369","23460",1978,667792
"new.row.370","23460",1979,749037
"new.row.371","23460",1980,817885
"new.row.372","23460",1981,910977
"new.row.373","23460",1982,924054
"new.row.374","23460",1983,982217
"new.row.375","23460",1984,1073815
"new.row.376","23460",1985,1128275
"new.row.377","23460",1986,1175137
"new.row.378","23460",1987,1247029
"new.row.379","23460",1988,1326982
"new.row.380","23460",1989,1411643
"new.row.381","23460",1990,1455989
"new.row.382","23460",1991,1496063
"new.row.383","23460",1992,1613510
"new.row.384","23460",1993,1692080
"new.row.385","23460",1994,1794081
"new.row.386","23460",1995,1856422
"new.row.387","23460",1996,1941553
"new.row.388","23460",1997,2043859
"new.row.389","23460",1998,2133494
"new.row.390","23460",1999,2190062
"new.row.391","23460",2000,2284042
"new.row.392","23460",2001,2361420
"new.row.393","23460",2002,2431956
"new.row.394","23460",2003,2528474
"new.row.395","23460",2004,2649961
"new.row.396","23460",2005,2753289
"new.row.397","23460",2006,2861999
"new.row.398","23460",2007,3032020
"new.row.399","23460",2008,3136349
"new.row.400","23460",2009,3136287
"new.row.401","23460",2010,3266592
"new.row.402","23460",2011,3329225
"new.row.403","23460",2012,3405676
"new.row.404","23460",2013,3446552
"new.row.405","26620",1969,819019
"new.row.406","26620",1970,903116
"new.row.407","26620",1971,997241
"new.row.408","26620",1972,1081014
"new.row.409","26620",1973,1163615
"new.row.410","26620",1974,1253519
"new.row.411","26620",1975,1335683
"new.row.412","26620",1976,1480533
"new.row.413","26620",1977,1619311
"new.row.414","26620",1978,1821378
"new.row.415","26620",1979,2009393
"new.row.416","26620",1980,2220362
"new.row.417","26620",1981,2493932
"new.row.418","26620",1982,2731353
"new.row.419","26620",1983,3013051
"new.row.420","26620",1984,3449860
"new.row.421","26620",1985,3836051
"new.row.422","26620",1986,4161874
"new.row.423","26620",1987,4542037
"new.row.424","26620",1988,4975679
"new.row.425","26620",1989,5408002
"new.row.426","26620",1990,5774369
"new.row.427","26620",1991,6131980
"new.row.428","26620",1992,6683111
"new.row.429","26620",1993,6857094
"new.row.430","26620",1994,7089511
"new.row.431","26620",1995,7430333
"new.row.432","26620",1996,7730119
"new.row.433","26620",1997,8253905
"new.row.434","26620",1998,8868259
"new.row.435","26620",1999,9114788
"new.row.436","26620",2000,9862339
"new.row.437","26620",2001,10099046
"new.row.438","26620",2002,10442883
"new.row.439","26620",2003,11083511
"new.row.440","26620",2004,11846451
"new.row.441","26620",2005,12722509
"new.row.442","26620",2006,13719530
"new.row.443","26620",2007,14662575
"new.row.444","26620",2008,15554381
"new.row.445","26620",2009,15842315
"new.row.446","26620",2010,16598535
"new.row.447","26620",2011,17456919
"new.row.448","26620",2012,17888891
"new.row.449","26620",2013,18256805
"new.row.450","33660",1969,867541
"new.row.451","33660",1970,948701
"new.row.452","33660",1971,1025486
"new.row.453","33660",1972,1133908
"new.row.454","33660",1973,1270750
"new.row.455","33660",1974,1452125
"new.row.456","33660",1975,1663165
"new.row.457","33660",1976,1883905
"new.row.458","33660",1977,2097325
"new.row.459","33660",1978,2364484
"new.row.460","33660",1979,2606919
"new.row.461","33660",1980,2969014
"new.row.462","33660",1981,3290316
"new.row.463","33660",1982,3447450
"new.row.464","33660",1983,3581493
"new.row.465","33660",1984,3848478
"new.row.466","33660",1985,4155073
"new.row.467","33660",1986,4343228
"new.row.468","33660",1987,4506762
"new.row.469","33660",1988,4772797
"new.row.470","33660",1989,5186308
"new.row.471","33660",1990,5511172
"new.row.472","33660",1991,5888916
"new.row.473","33660",1992,6336353
"new.row.474","33660",1993,6617454
"new.row.475","33660",1994,6922031
"new.row.476","33660",1995,7235578
"new.row.477","33660",1996,7521928
"new.row.478","33660",1997,7862465
"new.row.479","33660",1998,8496686
"new.row.480","33660",1999,8584164
"new.row.481","33660",2000,8909764
"new.row.482","33660",2001,9129005
"new.row.483","33660",2002,9226342
"new.row.484","33660",2003,9483825
"new.row.485","33660",2004,9997511
"new.row.486","33660",2005,10659579
"new.row.487","33660",2006,11557336
"new.row.488","33660",2007,11989473
"new.row.489","33660",2008,12622749
"new.row.490","33660",2009,12505437
"new.row.491","33660",2010,12949605
"new.row.492","33660",2011,13472562
"new.row.493","33660",2012,13495721
"new.row.494","33660",2013,13599425
"new.row.495","33860",1969,740820
"new.row.496","33860",1970,819374
"new.row.497","33860",1971,929647
"new.row.498","33860",1972,1078193
"new.row.499","33860",1973,1218038
"new.row.500","33860",1974,1351914
"new.row.501","33860",1975,1462166
"new.row.502","33860",1976,1635094
"new.row.503","33860",1977,1779462
"new.row.504","33860",1978,2025223
"new.row.505","33860",1979,2253142
"new.row.506","33860",1980,2488039
"new.row.507","33860",1981,2738004
"new.row.508","33860",1982,2921750
"new.row.509","33860",1983,3192580
"new.row.510","33860",1984,3510174
"new.row.511","33860",1985,3798504
"new.row.512","33860",1986,4057388
"new.row.513","33860",1987,4345653
"new.row.514","33860",1988,4674813
"new.row.515","33860",1989,5084845
"new.row.516","33860",1990,5334098
"new.row.517","33860",1991,5609768
"new.row.518","33860",1992,6049615
"new.row.519","33860",1993,6332819
"new.row.520","33860",1994,6752493
"new.row.521","33860",1995,7144252
"new.row.522","33860",1996,7463311
"new.row.523","33860",1997,7887702
"new.row.524","33860",1998,8389616
"new.row.525","33860",1999,8785579
"new.row.526","33860",2000,9296629
"new.row.527","33860",2001,9741886
"new.row.528","33860",2002,10230975
"new.row.529","33860",2003,10762305
"new.row.530","33860",2004,11466654
"new.row.531","33860",2005,11988938
"new.row.532","33860",2006,12751167
"new.row.533","33860",2007,13095815
"new.row.534","33860",2008,13508063
"new.row.535","33860",2009,13315753
"new.row.536","33860",2010,13606050
"new.row.537","33860",2011,14055352
"new.row.538","33860",2012,14166170
"new.row.539","33860",2013,14349731
"new.row.540","46220",1969,376986
"new.row.541","46220",1970,419170
"new.row.542","46220",1971,475544
"new.row.543","46220",1972,530055
"new.row.544","46220",1973,593160
"new.row.545","46220",1974,665605
"new.row.546","46220",1975,749515
"new.row.547","46220",1976,819714
"new.row.548","46220",1977,932894
"new.row.549","46220",1978,1045046
"new.row.550","46220",1979,1159976
"new.row.551","46220",1980,1239529
"new.row.552","46220",1981,1385070
"new.row.553","46220",1982,1481284
"new.row.554","46220",1983,1591141
"new.row.555","46220",1984,1765217
"new.row.556","46220",1985,1917539
"new.row.557","46220",1986,2011096
"new.row.558","46220",1987,2167477
"new.row.559","46220",1988,2306351
"new.row.560","46220",1989,2562319
"new.row.561","46220",1990,2791116
"new.row.562","46220",1991,2925533
"new.row.563","46220",1992,3160076
"new.row.564","46220",1993,3342301
"new.row.565","46220",1994,3554037
"new.row.566","46220",1995,3763071
"new.row.567","46220",1996,3895853
"new.row.568","46220",1997,4108828
"new.row.569","46220",1998,4403481
"new.row.570","46220",1999,4657631
"new.row.571","46220",2000,4853491
"new.row.572","46220",2001,5121156
"new.row.573","46220",2002,5229913
"new.row.574","46220",2003,5437437
"new.row.575","46220",2004,5750587
"new.row.576","46220",2005,6221439
"new.row.577","46220",2006,6649827
"new.row.578","46220",2007,7048651
"new.row.579","46220",2008,7365684
"new.row.580","46220",2009,7339162
"new.row.581","46220",2010,7645620
"new.row.582","46220",2011,7883633
"new.row.583","46220",2012,8164681
"new.row.584","46220",2013,8324388
"new.row.585","11260",1969,797932
"new.row.586","11260",1970,905376
"new.row.587","11260",1971,998210
"new.row.588","11260",1972,1102437
"new.row.589","11260",1973,1215079
"new.row.590","11260",1974,1497046
"new.row.591","11260",1975,1999371
"new.row.592","11260",1976,2386648
"new.row.593","11260",1977,2656396
"new.row.594","11260",1978,2702669
"new.row.595","11260",1979,2806216
"new.row.596","11260",1980,3156316
"new.row.597","11260",1981,3687205
"new.row.598","11260",1982,4584966
"new.row.599","11260",1983,5070967
"new.row.600","11260",1984,5520250
"new.row.601","11260",1985,5878517
"new.row.602","11260",1986,5894389
"new.row.603","11260",1987,5580859
"new.row.604","11260",1988,5636328
"new.row.605","11260",1989,6149721
"new.row.606","11260",1990,6643550
"new.row.607","11260",1991,6974814
"new.row.608","11260",1992,7499556
"new.row.609","11260",1993,7940801
"new.row.610","11260",1994,8259222
"new.row.611","11260",1995,8403289
"new.row.612","11260",1996,8664395
"new.row.613","11260",1997,9247010
"new.row.614","11260",1998,9780993
"new.row.615","11260",1999,10128359
"new.row.616","11260",2000,10833431
"new.row.617","11260",2001,11683091
"new.row.618","11260",2002,12297350
"new.row.619","11260",2003,12804383
"new.row.620","11260",2004,13428489
"new.row.621","11260",2005,14201369
"new.row.622","11260",2006,15123167
"new.row.623","11260",2007,16154701
"new.row.624","11260",2008,17677623
"new.row.625","11260",2009,17579598
"new.row.626","11260",2010,18459800
"new.row.627","11260",2011,19668666
"new.row.628","11260",2012,20564945
"new.row.629","11260",2013,20874921
"new.row.630","21820",1969,247973
"new.row.631","21820",1970,276178
"new.row.632","21820",1971,288446
"new.row.633","21820",1972,307440
"new.row.634","21820",1973,324299
"new.row.635","21820",1974,449000
"new.row.636","21820",1975,802653
"new.row.637","21820",1976,845829
"new.row.638","21820",1977,757215
"new.row.639","21820",1978,728818
"new.row.640","21820",1979,745028
"new.row.641","21820",1980,814914
"new.row.642","21820",1981,926721
"new.row.643","21820",1982,1174428
"new.row.644","21820",1983,1249547
"new.row.645","21820",1984,1304915
"new.row.646","21820",1985,1397944
"new.row.647","21820",1986,1370374
"new.row.648","21820",1987,1341270
"new.row.649","21820",1988,1379630
"new.row.650","21820",1989,1510834
"new.row.651","21820",1990,1566822
"new.row.652","21820",1991,1632759
"new.row.653","21820",1992,1766918
"new.row.654","21820",1993,1846316
"new.row.655","21820",1994,1860863
"new.row.656","21820",1995,1937938
"new.row.657","21820",1996,1989626
"new.row.658","21820",1997,2083322
"new.row.659","21820",1998,2195974
"new.row.660","21820",1999,2270046
"new.row.661","21820",2000,2441659
"new.row.662","21820",2001,2516733
"new.row.663","21820",2002,2654551
"new.row.664","21820",2003,2780913
"new.row.665","21820",2004,2907439
"new.row.666","21820",2005,3143543
"new.row.667","21820",2006,3382130
"new.row.668","21820",2007,3633888
"new.row.669","21820",2008,3968768
"new.row.670","21820",2009,3974317
"new.row.671","21820",2010,4123897
"new.row.672","21820",2011,4476083
"new.row.673","21820",2012,4609819
"new.row.674","21820",2013,4551027
"new.row.675","22380",1969,145980
"new.row.676","22380",1970,160786
"new.row.677","22380",1971,190255
"new.row.678","22380",1972,230656
"new.row.679","22380",1973,272445
"new.row.680","22380",1974,293990
"new.row.681","22380",1975,332192
"new.row.682","22380",1976,357691
"new.row.683","22380",1977,393306
"new.row.684","22380",1978,466173
"new.row.685","22380",1979,516566
"new.row.686","22380",1980,595196
"new.row.687","22380",1981,659432
"new.row.688","22380",1982,701293
"new.row.689","22380",1983,768580
"new.row.690","22380",1984,858755
"new.row.691","22380",1985,938694
"new.row.692","22380",1986,1036739
"new.row.693","22380",1987,1108644
"new.row.694","22380",1988,1188095
"new.row.695","22380",1989,1265188
"new.row.696","22380",1990,1377820
"new.row.697","22380",1991,1468620
"new.row.698","22380",1992,1610858
"new.row.699","22380",1993,1701297
"new.row.700","22380",1994,1851272
"new.row.701","22380",1995,1974978
"new.row.702","22380",1996,2120751
"new.row.703","22380",1997,2276448
"new.row.704","22380",1998,2456497
"new.row.705","22380",1999,2604185
"new.row.706","22380",2000,2815417
"new.row.707","22380",2001,2948721
"new.row.708","22380",2002,3091810
"new.row.709","22380",2003,3229315
"new.row.710","22380",2004,3486409
"new.row.711","22380",2005,3764441
"new.row.712","22380",2006,4122654
"new.row.713","22380",2007,4359534
"new.row.714","22380",2008,4600773
"new.row.715","22380",2009,4524733
"new.row.716","22380",2010,4529627
"new.row.717","22380",2011,4631539
"new.row.718","22380",2012,4746702
"new.row.719","22380",2013,4906294
"new.row.720","29420",1969,91852
"new.row.721","29420",1970,102056
"new.row.722","29420",1971,118068
"new.row.723","29420",1972,135205
"new.row.724","29420",1973,162506
"new.row.725","29420",1974,180926
"new.row.726","29420",1975,209221
"new.row.727","29420",1976,228453
"new.row.728","29420",1977,266691
"new.row.729","29420",1978,327125
"new.row.730","29420",1979,396194
"new.row.731","29420",1980,459359
"new.row.732","29420",1981,513834
"new.row.733","29420",1982,543307
"new.row.734","29420",1983,607031
"new.row.735","29420",1984,710074
"new.row.736","29420",1985,805785
"new.row.737","29420",1986,902757
"new.row.738","29420",1987,997760
"new.row.739","29420",1988,1112772
"new.row.740","29420",1989,1252581
"new.row.741","29420",1990,1439218
"new.row.742","29420",1991,1538289
"new.row.743","29420",1992,1644868
"new.row.744","29420",1993,1793838
"new.row.745","29420",1994,1993180
"new.row.746","29420",1995,2041050
"new.row.747","29420",1996,2198478
"new.row.748","29420",1997,2394498
"new.row.749","29420",1998,2621625
"new.row.750","29420",1999,2816328
"new.row.751","29420",2000,3068997
"new.row.752","29420",2001,3270585
"new.row.753","29420",2002,3452712
"new.row.754","29420",2003,3697162
"new.row.755","29420",2004,4045047
"new.row.756","29420",2005,4503969
"new.row.757","29420",2006,4918119
"new.row.758","29420",2007,5233047
"new.row.759","29420",2008,5324484
"new.row.760","29420",2009,5161362
"new.row.761","29420",2010,5232506
"new.row.762","29420",2011,5407834
"new.row.763","29420",2012,5546309
"new.row.764","29420",2013,5679043
"new.row.765","38060",1969,3882753
"new.row.766","38060",1970,4413209
"new.row.767","38060",1971,5007476
"new.row.768","38060",1972,5748335
"new.row.769","38060",1973,6662330
"new.row.770","38060",1974,7556984
"new.row.771","38060",1975,8044061
"new.row.772","38060",1976,9031932
"new.row.773","38060",1977,10249068
"new.row.774","38060",1978,12201641
"new.row.775","38060",1979,14538482
"new.row.776","38060",1980,16828547
"new.row.777","38060",1981,19262675
"new.row.778","38060",1982,20464504
"new.row.779","38060",1983,22655787
"new.row.780","38060",1984,25949079
"new.row.781","38060",1985,29110865
"new.row.782","38060",1986,32051524
"new.row.783","38060",1987,34789024
"new.row.784","38060",1988,37531602
"new.row.785","38060",1989,40331881
"new.row.786","38060",1990,42164631
"new.row.787","38060",1991,44004676
"new.row.788","38060",1992,46850235
"new.row.789","38060",1993,50261654
"new.row.790","38060",1994,55528710
"new.row.791","38060",1995,61088948
"new.row.792","38060",1996,66871815
"new.row.793","38060",1997,73273684
"new.row.794","38060",1998,80921713
"new.row.795","38060",1999,86455763
"new.row.796","38060",2000,95194581
"new.row.797","38060",2001,99806677
"new.row.798","38060",2002,103467319
"new.row.799","38060",2003,108803053
"new.row.800","38060",2004,118391750
"new.row.801","38060",2005,131414259
"new.row.802","38060",2006,146661366
"new.row.803","38060",2007,153858420
"new.row.804","38060",2008,154461916
"new.row.805","38060",2009,147153657
"new.row.806","38060",2010,148818951
"new.row.807","38060",2011,158157229
"new.row.808","38060",2012,166556387
"new.row.809","38060",2013,170430508
"new.row.810","39140",1969,123343
"new.row.811","39140",1970,143442
"new.row.812","39140",1971,170003
"new.row.813","39140",1972,201901
"new.row.814","39140",1973,239502
"new.row.815","39140",1974,261283
"new.row.816","39140",1975,295455
"new.row.817","39140",1976,329164
"new.row.818","39140",1977,380546
"new.row.819","39140",1978,447547
"new.row.820","39140",1979,515953
"new.row.821","39140",1980,616371
"new.row.822","39140",1981,712315
"new.row.823","39140",1982,753594
"new.row.824","39140",1983,830278
"new.row.825","39140",1984,939973
"new.row.826","39140",1985,1053536
"new.row.827","39140",1986,1176703
"new.row.828","39140",1987,1271294
"new.row.829","39140",1988,1399977
"new.row.830","39140",1989,1537971
"new.row.831","39140",1990,1651928
"new.row.832","39140",1991,1763629
