"","msa.fips","year","earnings.by.place.of.work"
"new.row","11500",1969,281639
"new.row.1","11500",1970,281209
"new.row.2","11500",1971,316006
"new.row.3","11500",1972,354651
"new.row.4","11500",1973,382844
"new.row.5","11500",1974,416868
"new.row.6","11500",1975,465230
"new.row.7","11500",1976,527701
"new.row.8","11500",1977,594978
"new.row.9","11500",1978,649030
"new.row.10","11500",1979,699507
"new.row.11","11500",1980,791567
"new.row.12","11500",1981,858813
"new.row.13","11500",1982,904266
"new.row.14","11500",1983,963649
"new.row.15","11500",1984,1069347
"new.row.16","11500",1985,1122374
"new.row.17","11500",1986,1175085
"new.row.18","11500",1987,1224135
"new.row.19","11500",1988,1294601
"new.row.20","11500",1989,1342209
"new.row.21","11500",1990,1375166
"new.row.22","11500",1991,1448841
"new.row.23","11500",1992,1503071
"new.row.24","11500",1993,1527776
"new.row.25","11500",1994,1560502
"new.row.26","11500",1995,1611923
"new.row.27","11500",1996,1627666
"new.row.28","11500",1997,1696850
"new.row.29","11500",1998,1789268
"new.row.30","11500",1999,1810627
"new.row.31","11500",2000,1739733
"new.row.32","11500",2001,1797979
"new.row.33","11500",2002,1890791
"new.row.34","11500",2003,2003371
"new.row.35","11500",2004,2173557
"new.row.36","11500",2005,2305917
"new.row.37","11500",2006,2425386
"new.row.38","11500",2007,2593088
"new.row.39","11500",2008,2645972
"new.row.40","11500",2009,2577565
"new.row.41","11500",2010,2579227
"new.row.42","11500",2011,2605050
"new.row.43","11500",2012,2531895
"new.row.44","11500",2013,2431068
"new.row.45","12220",1969,129015
"new.row.46","12220",1970,137756
"new.row.47","12220",1971,151028
"new.row.48","12220",1972,172264
"new.row.49","12220",1973,196806
"new.row.50","12220",1974,215106
"new.row.51","12220",1975,230330
"new.row.52","12220",1976,261676
"new.row.53","12220",1977,306449
"new.row.54","12220",1978,354634
"new.row.55","12220",1979,385665
"new.row.56","12220",1980,429220
"new.row.57","12220",1981,466458
"new.row.58","12220",1982,480337
"new.row.59","12220",1983,541642
"new.row.60","12220",1984,613472
"new.row.61","12220",1985,652173
"new.row.62","12220",1986,683219
"new.row.63","12220",1987,730752
"new.row.64","12220",1988,800223
"new.row.65","12220",1989,888687
"new.row.66","12220",1990,931180
"new.row.67","12220",1991,956005
"new.row.68","12220",1992,1039796
"new.row.69","12220",1993,1089791
"new.row.70","12220",1994,1144848
"new.row.71","12220",1995,1199846
"new.row.72","12220",1996,1234798
"new.row.73","12220",1997,1313634
"new.row.74","12220",1998,1401717
"new.row.75","12220",1999,1501271
"new.row.76","12220",2000,1552097
"new.row.77","12220",2001,1577020
"new.row.78","12220",2002,1697132
"new.row.79","12220",2003,1789516
"new.row.80","12220",2004,1982632
"new.row.81","12220",2005,2104298
"new.row.82","12220",2006,2261125
"new.row.83","12220",2007,2358573
"new.row.84","12220",2008,2434536
"new.row.85","12220",2009,2422895
"new.row.86","12220",2010,2459022
"new.row.87","12220",2011,2588982
"new.row.88","12220",2012,2687195
"new.row.89","12220",2013,2810020
"new.row.90","13820",1969,2250321
"new.row.91","13820",1970,2400171
"new.row.92","13820",1971,2611966
"new.row.93","13820",1972,2932875
"new.row.94","13820",1973,3307720
"new.row.95","13820",1974,3704826
"new.row.96","13820",1975,4064355
"new.row.97","13820",1976,4533013
"new.row.98","13820",1977,5048204
"new.row.99","13820",1978,5705562
"new.row.100","13820",1979,6338349
"new.row.101","13820",1980,6743380
"new.row.102","13820",1981,7156303
"new.row.103","13820",1982,7428975
"new.row.104","13820",1983,7876041
"new.row.105","13820",1984,8672204
"new.row.106","13820",1985,9436890
"new.row.107","13820",1986,10029740
"new.row.108","13820",1987,10683291
"new.row.109","13820",1988,11616824
"new.row.110","13820",1989,12363754
"new.row.111","13820",1990,13302352
"new.row.112","13820",1991,13957692
"new.row.113","13820",1992,15000177
"new.row.114","13820",1993,15657429
"new.row.115","13820",1994,16605813
"new.row.116","13820",1995,17635657
"new.row.117","13820",1996,18697641
"new.row.118","13820",1997,19577406
"new.row.119","13820",1998,21237142
"new.row.120","13820",1999,22661300
"new.row.121","13820",2000,24318709
"new.row.122","13820",2001,25283125
"new.row.123","13820",2002,26300148
"new.row.124","13820",2003,27006340
"new.row.125","13820",2004,28633715
"new.row.126","13820",2005,29972735
"new.row.127","13820",2006,31503859
"new.row.128","13820",2007,32459185
"new.row.129","13820",2008,32956795
"new.row.130","13820",2009,31567166
"new.row.131","13820",2010,31726646
"new.row.132","13820",2011,33181821
"new.row.133","13820",2012,34813135
"new.row.134","13820",2013,35752467
"new.row.135","17980",1969,818069
"new.row.136","17980",1970,781675
"new.row.137","17980",1971,825816
"new.row.138","17980",1972,854668
"new.row.139","17980",1973,920138
"new.row.140","17980",1974,991256
"new.row.141","17980",1975,1044880
"new.row.142","17980",1976,1171320
"new.row.143","17980",1977,1298858
"new.row.144","17980",1978,1440835
"new.row.145","17980",1979,1525234
"new.row.146","17980",1980,1634706
"new.row.147","17980",1981,1774484
"new.row.148","17980",1982,1912618
"new.row.149","17980",1983,2033101
"new.row.150","17980",1984,2287389
"new.row.151","17980",1985,2466491
"new.row.152","17980",1986,2652347
"new.row.153","17980",1987,2842799
"new.row.154","17980",1988,3011284
"new.row.155","17980",1989,3085101
"new.row.156","17980",1990,3248659
"new.row.157","17980",1991,3375824
"new.row.158","17980",1992,3668123
"new.row.159","17980",1993,3770474
"new.row.160","17980",1994,3918499
"new.row.161","17980",1995,4059186
"new.row.162","17980",1996,4257388
"new.row.163","17980",1997,4582132
"new.row.164","17980",1998,4950876
"new.row.165","17980",1999,5230169
"new.row.166","17980",2000,5460226
"new.row.167","17980",2001,5665468
"new.row.168","17980",2002,5793286
"new.row.169","17980",2003,6076311
"new.row.170","17980",2004,6333182
"new.row.171","17980",2005,6754138
"new.row.172","17980",2006,7135381
"new.row.173","17980",2007,7383015
"new.row.174","17980",2008,7673539
"new.row.175","17980",2009,7711845
"new.row.176","17980",2010,7915446
"new.row.177","17980",2011,8325260
"new.row.178","17980",2012,8687060
"new.row.179","17980",2013,8808426
"new.row.180","19300",1969,80561
"new.row.181","19300",1970,85209
"new.row.182","19300",1971,98179
"new.row.183","19300",1972,113969
"new.row.184","19300",1973,141812
"new.row.185","19300",1974,155713
"new.row.186","19300",1975,168466
"new.row.187","19300",1976,208413
"new.row.188","19300",1977,212251
"new.row.189","19300",1978,239988
"new.row.190","19300",1979,249142
"new.row.191","19300",1980,265708
"new.row.192","19300",1981,302248
"new.row.193","19300",1982,306950
"new.row.194","19300",1983,356944
"new.row.195","19300",1984,400486
"new.row.196","19300",1985,452196
"new.row.197","19300",1986,478873
"new.row.198","19300",1987,513494
"new.row.199","19300",1988,543979
"new.row.200","19300",1989,587661
"new.row.201","19300",1990,643869
"new.row.202","19300",1991,715919
"new.row.203","19300",1992,795881
"new.row.204","19300",1993,888563
"new.row.205","19300",1994,988581
"new.row.206","19300",1995,1098233
"new.row.207","19300",1996,1221007
"new.row.208","19300",1997,1325685
"new.row.209","19300",1998,1522691
"new.row.210","19300",1999,1684422
"new.row.211","19300",2000,1826094
"new.row.212","19300",2001,1846727
"new.row.213","19300",2002,1935243
"new.row.214","19300",2003,2075208
"new.row.215","19300",2004,2275644
"new.row.216","19300",2005,2490213
"new.row.217","19300",2006,2769528
"new.row.218","19300",2007,2915367
"new.row.219","19300",2008,2946849
"new.row.220","19300",2009,2833929
"new.row.221","19300",2010,2884235
"new.row.222","19300",2011,3032548
"new.row.223","19300",2012,3131561
"new.row.224","19300",2013,3305725
"new.row.225","19460",1969,236257
"new.row.226","19460",1970,264516
"new.row.227","19460",1971,273460
"new.row.228","19460",1972,302002
"new.row.229","19460",1973,348287
"new.row.230","19460",1974,382726
"new.row.231","19460",1975,440114
"new.row.232","19460",1976,486481
"new.row.233","19460",1977,542050
"new.row.234","19460",1978,622570
"new.row.235","19460",1979,708697
"new.row.236","19460",1980,706044
"new.row.237","19460",1981,773345
"new.row.238","19460",1982,786474
"new.row.239","19460",1983,837019
"new.row.240","19460",1984,954855
"new.row.241","19460",1985,1020205
"new.row.242","19460",1986,1079862
"new.row.243","19460",1987,1159937
"new.row.244","19460",1988,1251871
"new.row.245","19460",1989,1347059
"new.row.246","19460",1990,1439091
"new.row.247","19460",1991,1551887
"new.row.248","19460",1992,1643111
"new.row.249","19460",1993,1720903
"new.row.250","19460",1994,1794835
"new.row.251","19460",1995,1851637
"new.row.252","19460",1996,1954646
"new.row.253","19460",1997,2063861
"new.row.254","19460",1998,2250492
"new.row.255","19460",1999,2375829
"new.row.256","19460",2000,2396582
"new.row.257","19460",2001,2485149
"new.row.258","19460",2002,2450868
"new.row.259","19460",2003,2519861
"new.row.260","19460",2004,2713781
"new.row.261","19460",2005,2788991
"new.row.262","19460",2006,2846236
"new.row.263","19460",2007,2977516
"new.row.264","19460",2008,3036844
"new.row.265","19460",2009,2860615
"new.row.266","19460",2010,2920251
"new.row.267","19460",2011,2982297
"new.row.268","19460",2012,3079762
"new.row.269","19460",2013,3173671
"new.row.270","20020",1969,176662
"new.row.271","20020",1970,194794
"new.row.272","20020",1971,221438
"new.row.273","20020",1972,263319
"new.row.274","20020",1973,341901
"new.row.275","20020",1974,377793
"new.row.276","20020",1975,390855
"new.row.277","20020",1976,464361
"new.row.278","20020",1977,498801
"new.row.279","20020",1978,570967
"new.row.280","20020",1979,604799
"new.row.281","20020",1980,642481
"new.row.282","20020",1981,737065
"new.row.283","20020",1982,725070
"new.row.284","20020",1983,758920
"new.row.285","20020",1984,876184
"new.row.286","20020",1985,912782
"new.row.287","20020",1986,978847
"new.row.288","20020",1987,1073445
"new.row.289","20020",1988,1187854
"new.row.290","20020",1989,1310962
"new.row.291","20020",1990,1374099
"new.row.292","20020",1991,1460357
"new.row.293","20020",1992,1584659
"new.row.294","20020",1993,1619043
"new.row.295","20020",1994,1705499
"new.row.296","20020",1995,1797881
"new.row.297","20020",1996,1843210
"new.row.298","20020",1997,1904947
"new.row.299","20020",1998,2053251
"new.row.300","20020",1999,2151839
"new.row.301","20020",2000,2176808
"new.row.302","20020",2001,2295256
"new.row.303","20020",2002,2393952
"new.row.304","20020",2003,2474021
"new.row.305","20020",2004,2635103
"new.row.306","20020",2005,2786859
"new.row.307","20020",2006,2900994
"new.row.308","20020",2007,2961135
"new.row.309","20020",2008,2961307
"new.row.310","20020",2009,2886702
"new.row.311","20020",2010,2932670
"new.row.312","20020",2011,2966988
"new.row.313","20020",2012,3038017
"new.row.314","20020",2013,3151186
"new.row.315","22520",1969,284458
"new.row.316","22520",1970,298892
"new.row.317","22520",1971,332643
"new.row.318","22520",1972,373737
"new.row.319","22520",1973,415761
"new.row.320","22520",1974,458731
"new.row.321","22520",1975,482861
"new.row.322","22520",1976,578736
"new.row.323","22520",1977,648856
"new.row.324","22520",1978,753066
"new.row.325","22520",1979,821619
"new.row.326","22520",1980,869255
"new.row.327","22520",1981,925755
"new.row.328","22520",1982,934685
"new.row.329","22520",1983,945446
"new.row.330","22520",1984,1006930
"new.row.331","22520",1985,1042426
"new.row.332","22520",1986,1086188
"new.row.333","22520",1987,1138576
"new.row.334","22520",1988,1236085
"new.row.335","22520",1989,1291894
"new.row.336","22520",1990,1407768
"new.row.337","22520",1991,1481473
"new.row.338","22520",1992,1590919
"new.row.339","22520",1993,1652150
"new.row.340","22520",1994,1759347
"new.row.341","22520",1995,1812875
"new.row.342","22520",1996,1894913
"new.row.343","22520",1997,1932261
"new.row.344","22520",1998,1925098
"new.row.345","22520",1999,1991066
"new.row.346","22520",2000,2039656
"new.row.347","22520",2001,2052119
"new.row.348","22520",2002,2024894
"new.row.349","22520",2003,2116246
"new.row.350","22520",2004,2251856
"new.row.351","22520",2005,2369902
"new.row.352","22520",2006,2515005
"new.row.353","22520",2007,2571859
"new.row.354","22520",2008,2612194
"new.row.355","22520",2009,2595656
"new.row.356","22520",2010,2706697
"new.row.357","22520",2011,2774567
"new.row.358","22520",2012,2819480
"new.row.359","22520",2013,2924472
"new.row.360","23460",1969,235116
"new.row.361","23460",1970,231770
"new.row.362","23460",1971,245435
"new.row.363","23460",1972,278613
"new.row.364","23460",1973,310169
"new.row.365","23460",1974,332522
"new.row.366","23460",1975,352435
"new.row.367","23460",1976,384198
"new.row.368","23460",1977,454496
"new.row.369","23460",1978,526322
"new.row.370","23460",1979,590394
"new.row.371","23460",1980,615538
"new.row.372","23460",1981,673669
"new.row.373","23460",1982,643330
"new.row.374","23460",1983,683522
"new.row.375","23460",1984,749128
"new.row.376","23460",1985,778031
"new.row.377","23460",1986,798085
"new.row.378","23460",1987,869765
"new.row.379","23460",1988,930336
"new.row.380","23460",1989,949315
"new.row.381","23460",1990,960305
"new.row.382","23460",1991,975860
"new.row.383","23460",1992,1065197
"new.row.384","23460",1993,1116948
"new.row.385","23460",1994,1201913
"new.row.386","23460",1995,1243476
"new.row.387","23460",1996,1247261
"new.row.388","23460",1997,1303044
"new.row.389","23460",1998,1364231
"new.row.390","23460",1999,1386278
"new.row.391","23460",2000,1426069
"new.row.392","23460",2001,1413055
"new.row.393","23460",2002,1449151
"new.row.394","23460",2003,1483168
"new.row.395","23460",2004,1577038
"new.row.396","23460",2005,1629579
"new.row.397","23460",2006,1667925
"new.row.398","23460",2007,1697315
"new.row.399","23460",2008,1734055
"new.row.400","23460",2009,1700894
"new.row.401","23460",2010,1735405
"new.row.402","23460",2011,1778903
"new.row.403","23460",2012,1808375
"new.row.404","23460",2013,1842583
"new.row.405","26620",1969,829211
"new.row.406","26620",1970,894340
"new.row.407","26620",1971,982555
"new.row.408","26620",1972,1056643
"new.row.409","26620",1973,1123243
"new.row.410","26620",1974,1184883
"new.row.411","26620",1975,1229060
"new.row.412","26620",1976,1365655
"new.row.413","26620",1977,1503046
"new.row.414","26620",1978,1689275
"new.row.415","26620",1979,1867661
"new.row.416","26620",1980,2021392
"new.row.417","26620",1981,2268455
"new.row.418","26620",1982,2472499
"new.row.419","26620",1983,2802677
"new.row.420","26620",1984,3268964
"new.row.421","26620",1985,3696895
"new.row.422","26620",1986,4050067
"new.row.423","26620",1987,4435728
"new.row.424","26620",1988,4909141
"new.row.425","26620",1989,5202453
"new.row.426","26620",1990,5577521
"new.row.427","26620",1991,5874618
"new.row.428","26620",1992,6416061
"new.row.429","26620",1993,6562040
"new.row.430","26620",1994,6739758
"new.row.431","26620",1995,6954159
"new.row.432","26620",1996,7092145
"new.row.433","26620",1997,7448845
"new.row.434","26620",1998,8018639
"new.row.435","26620",1999,8275020
"new.row.436","26620",2000,8890442
"new.row.437","26620",2001,9186194
"new.row.438","26620",2002,9561169
"new.row.439","26620",2003,10229723
"new.row.440","26620",2004,10798853
"new.row.441","26620",2005,11513295
"new.row.442","26620",2006,12382858
"new.row.443","26620",2007,12999947
"new.row.444","26620",2008,13630667
"new.row.445","26620",2009,13919233
"new.row.446","26620",2010,14416981
"new.row.447","26620",2011,14892736
"new.row.448","26620",2012,15133577
"new.row.449","26620",2013,15492339
"new.row.450","33660",1969,735108
"new.row.451","33660",1970,784733
"new.row.452","33660",1971,834249
"new.row.453","33660",1972,924259
"new.row.454","33660",1973,1049297
"new.row.455","33660",1974,1193435
"new.row.456","33660",1975,1342463
"new.row.457","33660",1976,1544043
"new.row.458","33660",1977,1729252
"new.row.459","33660",1978,1983119
"new.row.460","33660",1979,2158067
"new.row.461","33660",1980,2443588
"new.row.462","33660",1981,2667323
"new.row.463","33660",1982,2699790
"new.row.464","33660",1983,2797787
"new.row.465","33660",1984,2997263
"new.row.466","33660",1985,3263451
"new.row.467","33660",1986,3404450
"new.row.468","33660",1987,3550957
"new.row.469","33660",1988,3779288
"new.row.470","33660",1989,4029857
"new.row.471","33660",1990,4300072
"new.row.472","33660",1991,4686359
"new.row.473","33660",1992,5020447
"new.row.474","33660",1993,5284681
"new.row.475","33660",1994,5542644
"new.row.476","33660",1995,5678438
"new.row.477","33660",1996,5974917
"new.row.478","33660",1997,6310413
"new.row.479","33660",1998,6804464
"new.row.480","33660",1999,6918788
"new.row.481","33660",2000,7089775
"new.row.482","33660",2001,7289734
"new.row.483","33660",2002,7364605
"new.row.484","33660",2003,7458765
"new.row.485","33660",2004,7821014
"new.row.486","33660",2005,8370795
"new.row.487","33660",2006,9171542
"new.row.488","33660",2007,9458385
"new.row.489","33660",2008,9806873
"new.row.490","33660",2009,9735925
"new.row.491","33660",2010,9980935
"new.row.492","33660",2011,10443213
"new.row.493","33660",2012,10521227
"new.row.494","33660",2013,10694090
"new.row.495","33860",1969,619851
"new.row.496","33860",1970,670504
"new.row.497","33860",1971,759641
"new.row.498","33860",1972,888726
"new.row.499","33860",1973,1007858
"new.row.500","33860",1974,1100115
"new.row.501","33860",1975,1161242
"new.row.502","33860",1976,1316801
"new.row.503","33860",1977,1436198
"new.row.504","33860",1978,1643858
"new.row.505","33860",1979,1830026
"new.row.506","33860",1980,1968515
"new.row.507","33860",1981,2094599
"new.row.508","33860",1982,2194206
"new.row.509","33860",1983,2424116
"new.row.510","33860",1984,2685216
"new.row.511","33860",1985,2930943
"new.row.512","33860",1986,3161570
"new.row.513","33860",1987,3412081
"new.row.514","33860",1988,3667747
"new.row.515","33860",1989,3861755
"new.row.516","33860",1990,4058067
"new.row.517","33860",1991,4274758
"new.row.518","33860",1992,4572395
"new.row.519","33860",1993,4795941
"new.row.520","33860",1994,5128814
"new.row.521","33860",1995,5324731
"new.row.522","33860",1996,5588113
"new.row.523","33860",1997,5866347
"new.row.524","33860",1998,6321667
"new.row.525","33860",1999,6739655
"new.row.526","33860",2000,7066762
"new.row.527","33860",2001,7506302
"new.row.528","33860",2002,7896861
"new.row.529","33860",2003,8300152
"new.row.530","33860",2004,8775313
"new.row.531","33860",2005,9203892
"new.row.532","33860",2006,9784277
"new.row.533","33860",2007,9918757
"new.row.534","33860",2008,10034549
"new.row.535","33860",2009,9897785
"new.row.536","33860",2010,9964191
"new.row.537","33860",2011,10156710
"new.row.538","33860",2012,10156184
"new.row.539","33860",2013,10371724
"new.row.540","46220",1969,311882
"new.row.541","46220",1970,337345
"new.row.542","46220",1971,382745
"new.row.543","46220",1972,428578
"new.row.544","46220",1973,483850
"new.row.545","46220",1974,534865
"new.row.546","46220",1975,582620
"new.row.547","46220",1976,643400
"new.row.548","46220",1977,744362
"new.row.549","46220",1978,827797
"new.row.550","46220",1979,909996
"new.row.551","46220",1980,934139
"new.row.552","46220",1981,1020668
"new.row.553","46220",1982,1072534
"new.row.554","46220",1983,1137611
"new.row.555","46220",1984,1277546
"new.row.556","46220",1985,1382709
"new.row.557","46220",1986,1449134
"new.row.558","46220",1987,1592659
"new.row.559","46220",1988,1691538
"new.row.560","46220",1989,1823559
"new.row.561","46220",1990,2014873
"new.row.562","46220",1991,2105027
"new.row.563","46220",1992,2246442
"new.row.564","46220",1993,2398281
"new.row.565","46220",1994,2529618
"new.row.566","46220",1995,2653025
"new.row.567","46220",1996,2746783
"new.row.568","46220",1997,2921511
"new.row.569","46220",1998,3158554
"new.row.570","46220",1999,3407972
"new.row.571","46220",2000,3484960
"new.row.572","46220",2001,3765730
"new.row.573","46220",2002,3821322
"new.row.574","46220",2003,3969454
"new.row.575","46220",2004,4237619
"new.row.576","46220",2005,4605074
"new.row.577","46220",2006,4931086
"new.row.578","46220",2007,5091147
"new.row.579","46220",2008,5235807
"new.row.580","46220",2009,5097308
"new.row.581","46220",2010,5290657
"new.row.582","46220",2011,5491900
"new.row.583","46220",2012,5641435
"new.row.584","46220",2013,5815835
"new.row.585","11260",1969,696813
"new.row.586","11260",1970,785149
"new.row.587","11260",1971,873293
"new.row.588","11260",1972,969234
"new.row.589","11260",1973,1058373
"new.row.590","11260",1974,1343327
"new.row.591","11260",1975,1806272
"new.row.592","11260",1976,2160221
"new.row.593","11260",1977,2426674
"new.row.594","11260",1978,2422853
"new.row.595","11260",1979,2513539
"new.row.596","11260",1980,2801630
"new.row.597","11260",1981,3240134
"new.row.598","11260",1982,3840770
"new.row.599","11260",1983,4346477
"new.row.600","11260",1984,4787628
"new.row.601","11260",1985,5039707
"new.row.602","11260",1986,5020364
"new.row.603","11260",1987,4701872
"new.row.604","11260",1988,4729154
"new.row.605","11260",1989,5061501
"new.row.606","11260",1990,5526068
"new.row.607","11260",1991,5840507
"new.row.608","11260",1992,6211980
"new.row.609","11260",1993,6525128
"new.row.610","11260",1994,6727652
"new.row.611","11260",1995,6740553
"new.row.612","11260",1996,6859374
"new.row.613","11260",1997,7305202
"new.row.614","11260",1998,7698229
"new.row.615","11260",1999,7959554
"new.row.616","11260",2000,8386620
"new.row.617","11260",2001,9203819
"new.row.618","11260",2002,9814919
"new.row.619","11260",2003,10397335
"new.row.620","11260",2004,11038113
"new.row.621","11260",2005,11634496
"new.row.622","11260",2006,12242907
"new.row.623","11260",2007,12778945
"new.row.624","11260",2008,13431286
"new.row.625","11260",2009,13930761
"new.row.626","11260",2010,14401608
"new.row.627","11260",2011,15075284
"new.row.628","11260",2012,15903749
"new.row.629","11260",2013,16427992
"new.row.630","21820",1969,223090
"new.row.631","21820",1970,252394
"new.row.632","21820",1971,271066
"new.row.633","21820",1972,297138
"new.row.634","21820",1973,313801
"new.row.635","21820",1974,510819
"new.row.636","21820",1975,936292
"new.row.637","21820",1976,947504
"new.row.638","21820",1977,821598
"new.row.639","21820",1978,709922
"new.row.640","21820",1979,731462
"new.row.641","21820",1980,789960
"new.row.642","21820",1981,896705
"new.row.643","21820",1982,1070695
"new.row.644","21820",1983,1170903
"new.row.645","21820",1984,1247190
"new.row.646","21820",1985,1322228
"new.row.647","21820",1986,1245185
"new.row.648","21820",1987,1187095
"new.row.649","21820",1988,1202735
"new.row.650","21820",1989,1254902
"new.row.651","21820",1990,1320593
"new.row.652","21820",1991,1382375
"new.row.653","21820",1992,1497802
"new.row.654","21820",1993,1528066
"new.row.655","21820",1994,1530403
"new.row.656","21820",1995,1589243
"new.row.657","21820",1996,1623541
"new.row.658","21820",1997,1699961
"new.row.659","21820",1998,1779977
"new.row.660","21820",1999,1829243
"new.row.661","21820",2000,1949683
"new.row.662","21820",2001,2045375
"new.row.663","21820",2002,2212712
"new.row.664","21820",2003,2370408
"new.row.665","21820",2004,2522383
"new.row.666","21820",2005,2736678
"new.row.667","21820",2006,2965685
"new.row.668","21820",2007,3050347
"new.row.669","21820",2008,3189715
"new.row.670","21820",2009,3295294
"new.row.671","21820",2010,3384861
"new.row.672","21820",2011,3622710
"new.row.673","21820",2012,3717723
"new.row.674","21820",2013,3695585
"new.row.675","22380",1969,128381
"new.row.676","22380",1970,135436
"new.row.677","22380",1971,165182
"new.row.678","22380",1972,210883
"new.row.679","22380",1973,253316
"new.row.680","22380",1974,262956
"new.row.681","22380",1975,282723
"new.row.682","22380",1976,295067
"new.row.683","22380",1977,324084
"new.row.684","22380",1978,387418
"new.row.685","22380",1979,422703
"new.row.686","22380",1980,478236
"new.row.687","22380",1981,515219
"new.row.688","22380",1982,534378
"new.row.689","22380",1983,577822
"new.row.690","22380",1984,648534
"new.row.691","22380",1985,709088
"new.row.692","22380",1986,793028
"new.row.693","22380",1987,846484
"new.row.694","22380",1988,912819
"new.row.695","22380",1989,929474
"new.row.696","22380",1990,1008856
"new.row.697","22380",1991,1081991
"new.row.698","22380",1992,1188815
"new.row.699","22380",1993,1255165
"new.row.700","22380",1994,1349384
"new.row.701","22380",1995,1418203
"new.row.702","22380",1996,1526489
"new.row.703","22380",1997,1623750
"new.row.704","22380",1998,1741540
"new.row.705","22380",1999,1861566
"new.row.706","22380",2000,2011416
"new.row.707","22380",2001,2071262
"new.row.708","22380",2002,2188792
"new.row.709","22380",2003,2319159
"new.row.710","22380",2004,2497905
"new.row.711","22380",2005,2694537
"new.row.712","22380",2006,2955731
"new.row.713","22380",2007,3187466
"new.row.714","22380",2008,3225096
"new.row.715","22380",2009,3144221
"new.row.716","22380",2010,3159837
"new.row.717","22380",2011,3228369
"new.row.718","22380",2012,3314144
"new.row.719","22380",2013,3484660
"new.row.720","29420",1969,65605
"new.row.721","29420",1970,67510
"new.row.722","29420",1971,76137
"new.row.723","29420",1972,87032
"new.row.724","29420",1973,103465
"new.row.725","29420",1974,116165
"new.row.726","29420",1975,135372
"new.row.727","29420",1976,141799
"new.row.728","29420",1977,163862
"new.row.729","29420",1978,200625
"new.row.730","29420",1979,249572
"new.row.731","29420",1980,274026
"new.row.732","29420",1981,286469
"new.row.733","29420",1982,275496
"new.row.734","29420",1983,297800
"new.row.735","29420",1984,347859
"new.row.736","29420",1985,391773
"new.row.737","29420",1986,433562
"new.row.738","29420",1987,487631
"new.row.739","29420",1988,540616
"new.row.740","29420",1989,603177
"new.row.741","29420",1990,711158
"new.row.742","29420",1991,768558
"new.row.743","29420",1992,820412
"new.row.744","29420",1993,883529
"new.row.745","29420",1994,964546
"new.row.746","29420",1995,986177
"new.row.747","29420",1996,1052301
"new.row.748","29420",1997,1163947
"new.row.749","29420",1998,1270690
"new.row.750","29420",1999,1394033
"new.row.751","29420",2000,1540257
"new.row.752","29420",2001,1639782
"new.row.753","29420",2002,1780176
"new.row.754","29420",2003,1905971
"new.row.755","29420",2004,2067988
"new.row.756","29420",2005,2303850
"new.row.757","29420",2006,2572294
"new.row.758","29420",2007,2601041
"new.row.759","29420",2008,2529134
"new.row.760","29420",2009,2293399
"new.row.761","29420",2010,2292873
"new.row.762","29420",2011,2321787
"new.row.763","29420",2012,2359491
"new.row.764","29420",2013,2442478
"new.row.765","38060",1969,3114290
"new.row.766","38060",1970,3488926
"new.row.767","38060",1971,3948275
"new.row.768","38060",1972,4567687
"new.row.769","38060",1973,5321071
"new.row.770","38060",1974,5940399
"new.row.771","38060",1975,5973171
"new.row.772","38060",1976,6826057
"new.row.773","38060",1977,7849413
"new.row.774","38060",1978,9435976
"new.row.775","38060",1979,11377589
"new.row.776","38060",1980,12850455
"new.row.777","38060",1981,14337991
"new.row.778","38060",1982,14967593
"new.row.779","38060",1983,16534258
"new.row.780","38060",1984,19158357
"new.row.781","38060",1985,21632392
"new.row.782","38060",1986,23901144
"new.row.783","38060",1987,25959937
"new.row.784","38060",1988,28319332
"new.row.785","38060",1989,29468592
"new.row.786","38060",1990,31002330
"new.row.787","38060",1991,32738810
"new.row.788","38060",1992,35192409
"new.row.789","38060",1993,37950795
"new.row.790","38060",1994,41945026
"new.row.791","38060",1995,46206079
"new.row.792","38060",1996,51371840
"new.row.793","38060",1997,56261362
"new.row.794","38060",1998,63299997
"new.row.795","38060",1999,68550233
"new.row.796","38060",2000,76047882
"new.row.797","38060",2001,80111100
"new.row.798","38060",2002,82074695
"new.row.799","38060",2003,85309743
"new.row.800","38060",2004,92882273
"new.row.801","38060",2005,102233792
"new.row.802","38060",2006,113979914
"new.row.803","38060",2007,118379157
"new.row.804","38060",2008,117761896
"new.row.805","38060",2009,109512061
"new.row.806","38060",2010,109556369
"new.row.807","38060",2011,115510972
"new.row.808","38060",2012,121475859
"new.row.809","38060",2013,126074308
"new.row.810","39140",1969,73396
"new.row.811","39140",1970,83575
"new.row.812","39140",1971,99412
"new.row.813","39140",1972,120539
"new.row.814","39140",1973,143132
"new.row.815","39140",1974,149052
"new.row.816","39140",1975,167555
"new.row.817","39140",1976,186861
"new.row.818","39140",1977,217647
"new.row.819","39140",1978,247051
"new.row.820","39140",1979,279390
"new.row.821","39140",1980,318991
"new.row.822","39140",1981,346426
"new.row.823","39140",1982,351611
"new.row.824","39140",1983,388546
"new.row.825","39140",1984,427313
"new.row.826","39140",1985,478018
"new.row.827","39140",1986,536827
"new.row.828","39140",1987,585909
"new.row.829","39140",1988,641269
"new.row.830","39140",1989,675918
"new.row.831","39140",1990,735255
"new.row.832","39140",1991,813411
"new.row.833","39140",1992,910349
"new.row.834","39140",1993,1007821
"new.row.835","39140",1994,1160775
"new.row.836","39140",1995,1229266
