"","msa.fips","year","nonfarm.personal.income"
"new.row","11500",1969,301274
"new.row.1","11500",1970,311253
"new.row.2","11500",1971,350730
"new.row.3","11500",1972,392760
"new.row.4","11500",1973,426466
"new.row.5","11500",1974,481350
"new.row.6","11500",1975,549898
"new.row.7","11500",1976,617007
"new.row.8","11500",1977,694150
"new.row.9","11500",1978,767450
"new.row.10","11500",1979,840267
"new.row.11","11500",1980,963477
"new.row.12","11500",1981,1059995
"new.row.13","11500",1982,1134561
"new.row.14","11500",1983,1211336
"new.row.15","11500",1984,1332662
"new.row.16","11500",1985,1396276
"new.row.17","11500",1986,1462259
"new.row.18","11500",1987,1520827
"new.row.19","11500",1988,1599053
"new.row.20","11500",1989,1686202
"new.row.21","11500",1990,1736936
"new.row.22","11500",1991,1821508
"new.row.23","11500",1992,1935962
"new.row.24","11500",1993,1986357
"new.row.25","11500",1994,2059120
"new.row.26","11500",1995,2170154
"new.row.27","11500",1996,2229210
"new.row.28","11500",1997,2311730
"new.row.29","11500",1998,2462252
"new.row.30","11500",1999,2485444
"new.row.31","11500",2000,2486069
"new.row.32","11500",2001,2597202
"new.row.33","11500",2002,2719352
"new.row.34","11500",2003,2873546
"new.row.35","11500",2004,3066253
"new.row.36","11500",2005,3200254
"new.row.37","11500",2006,3380370
"new.row.38","11500",2007,3606947
"new.row.39","11500",2008,3720222
"new.row.40","11500",2009,3680154
"new.row.41","11500",2010,3755076
"new.row.42","11500",2011,3814846
"new.row.43","11500",2012,3852194
"new.row.44","12220",1969,150708
"new.row.45","12220",1970,166580
"new.row.46","12220",1971,185489
"new.row.47","12220",1972,209523
"new.row.48","12220",1973,237059
"new.row.49","12220",1974,268457
"new.row.50","12220",1975,299315
"new.row.51","12220",1976,336696
"new.row.52","12220",1977,388224
"new.row.53","12220",1978,445233
"new.row.54","12220",1979,492114
"new.row.55","12220",1980,557919
"new.row.56","12220",1981,612602
"new.row.57","12220",1982,650311
"new.row.58","12220",1983,722596
"new.row.59","12220",1984,804455
"new.row.60","12220",1985,864278
"new.row.61","12220",1986,917583
"new.row.62","12220",1987,977159
"new.row.63","12220",1988,1056911
"new.row.64","12220",1989,1183366
"new.row.65","12220",1990,1244217
"new.row.66","12220",1991,1311021
"new.row.67","12220",1992,1440696
"new.row.68","12220",1993,1521672
"new.row.69","12220",1994,1633298
"new.row.70","12220",1995,1760768
"new.row.71","12220",1996,1848145
"new.row.72","12220",1997,1997391
"new.row.73","12220",1998,2163275
"new.row.74","12220",1999,2303187
"new.row.75","12220",2000,2435141
"new.row.76","12220",2001,2528416
"new.row.77","12220",2002,2652428
"new.row.78","12220",2003,2790741
"new.row.79","12220",2004,3021160
"new.row.80","12220",2005,3207403
"new.row.81","12220",2006,3446122
"new.row.82","12220",2007,3649802
"new.row.83","12220",2008,3880085
"new.row.84","12220",2009,3900805
"new.row.85","12220",2010,4042922
"new.row.86","12220",2011,4256852
"new.row.87","12220",2012,4450637
"new.row.88","13820",1969,2580798
"new.row.89","13820",1970,2828913
"new.row.90","13820",1971,3105772
"new.row.91","13820",1972,3449624
"new.row.92","13820",1973,3864898
"new.row.93","13820",1974,4381722
"new.row.94","13820",1975,4899781
"new.row.95","13820",1976,5442957
"new.row.96","13820",1977,6008793
"new.row.97","13820",1978,6765570
"new.row.98","13820",1979,7562469
"new.row.99","13820",1980,8328884
"new.row.100","13820",1981,9051529
"new.row.101","13820",1982,9574938
"new.row.102","13820",1983,10178052
"new.row.103","13820",1984,11167948
"new.row.104","13820",1985,12074604
"new.row.105","13820",1986,12782327
"new.row.106","13820",1987,13547931
"new.row.107","13820",1988,14672071
"new.row.108","13820",1989,15989185
"new.row.109","13820",1990,17132736
"new.row.110","13820",1991,17968366
"new.row.111","13820",1992,19239916
"new.row.112","13820",1993,20141529
"new.row.113","13820",1994,21526669
"new.row.114","13820",1995,23005324
"new.row.115","13820",1996,24213582
"new.row.116","13820",1997,25518025
"new.row.117","13820",1998,27384680
"new.row.118","13820",1999,28735417
"new.row.119","13820",2000,30960322
"new.row.120","13820",2001,32130356
"new.row.121","13820",2002,33276778
"new.row.122","13820",2003,34456214
"new.row.123","13820",2004,37210703
"new.row.124","13820",2005,39249749
"new.row.125","13820",2006,41750710
"new.row.126","13820",2007,43229030
"new.row.127","13820",2008,44471736
"new.row.128","13820",2009,42470382
"new.row.129","13820",2010,43681370
"new.row.130","13820",2011,45639765
"new.row.131","13820",2012,47549145
"new.row.132","17980",1969,964166
"new.row.133","17980",1970,961565
"new.row.134","17980",1971,1015250
"new.row.135","17980",1972,1053289
"new.row.136","17980",1973,1136924
"new.row.137","17980",1974,1248256
"new.row.138","17980",1975,1335249
"new.row.139","17980",1976,1470965
"new.row.140","17980",1977,1613421
"new.row.141","17980",1978,1793471
"new.row.142","17980",1979,1913195
"new.row.143","17980",1980,2100890
"new.row.144","17980",1981,2335831
"new.row.145","17980",1982,2555591
"new.row.146","17980",1983,2713668
"new.row.147","17980",1984,3016474
"new.row.148","17980",1985,3248488
"new.row.149","17980",1986,3475276
"new.row.150","17980",1987,3679101
"new.row.151","17980",1988,3912119
"new.row.152","17980",1989,4049173
"new.row.153","17980",1990,4273852
"new.row.154","17980",1991,4463345
"new.row.155","17980",1992,4862322
"new.row.156","17980",1993,5010254
"new.row.157","17980",1994,5233658
"new.row.158","17980",1995,5453385
"new.row.159","17980",1996,5644749
"new.row.160","17980",1997,5992432
"new.row.161","17980",1998,6460268
"new.row.162","17980",1999,6717870
"new.row.163","17980",2000,7077096
"new.row.164","17980",2001,7436039
"new.row.165","17980",2002,7743578
"new.row.166","17980",2003,8117147
"new.row.167","17980",2004,8548211
"new.row.168","17980",2005,9196066
"new.row.169","17980",2006,9785622
"new.row.170","17980",2007,10161874
"new.row.171","17980",2008,10480385
"new.row.172","17980",2009,10540135
"new.row.173","17980",2010,10869973
"new.row.174","17980",2011,11643007
"new.row.175","17980",2012,12159910
"new.row.176","19300",1969,150594
"new.row.177","19300",1970,166736
"new.row.178","19300",1971,187630
"new.row.179","19300",1972,213829
"new.row.180","19300",1973,246907
"new.row.181","19300",1974,287123
"new.row.182","19300",1975,328505
"new.row.183","19300",1976,377000
"new.row.184","19300",1977,423920
"new.row.185","19300",1978,473460
"new.row.186","19300",1979,535480
"new.row.187","19300",1980,611142
"new.row.188","19300",1981,703980
"new.row.189","19300",1982,755987
"new.row.190","19300",1983,834662
"new.row.191","19300",1984,932587
"new.row.192","19300",1985,1033199
"new.row.193","19300",1986,1105289
"new.row.194","19300",1987,1167279
"new.row.195","19300",1988,1265746
"new.row.196","19300",1989,1420514
"new.row.197","19300",1990,1554819
"new.row.198","19300",1991,1716361
"new.row.199","19300",1992,1911495
"new.row.200","19300",1993,2105540
"new.row.201","19300",1994,2330313
"new.row.202","19300",1995,2541679
"new.row.203","19300",1996,2781061
"new.row.204","19300",1997,3039121
"new.row.205","19300",1998,3334869
"new.row.206","19300",1999,3515516
"new.row.207","19300",2000,3844914
"new.row.208","19300",2001,3971049
"new.row.209","19300",2002,4104221
"new.row.210","19300",2003,4264832
"new.row.211","19300",2004,4739508
"new.row.212","19300",2005,5180900
"new.row.213","19300",2006,5758614
"new.row.214","19300",2007,6142347
"new.row.215","19300",2008,6328526
"new.row.216","19300",2009,6237768
"new.row.217","19300",2010,6676385
"new.row.218","19300",2011,7110262
"new.row.219","19300",2012,7331914
"new.row.220","19460",1969,296106
"new.row.221","19460",1970,337024
"new.row.222","19460",1971,361637
"new.row.223","19460",1972,390901
"new.row.224","19460",1973,426820
"new.row.225","19460",1974,480110
"new.row.226","19460",1975,540767
"new.row.227","19460",1976,592601
"new.row.228","19460",1977,661326
"new.row.229","19460",1978,756764
"new.row.230","19460",1979,862599
"new.row.231","19460",1980,943488
"new.row.232","19460",1981,1049430
"new.row.233","19460",1982,1112109
"new.row.234","19460",1983,1212163
"new.row.235","19460",1984,1365146
"new.row.236","19460",1985,1505627
"new.row.237","19460",1986,1600994
"new.row.238","19460",1987,1690708
"new.row.239","19460",1988,1831000
"new.row.240","19460",1989,1989853
"new.row.241","19460",1990,2137023
"new.row.242","19460",1991,2251666
"new.row.243","19460",1992,2426413
"new.row.244","19460",1993,2524385
"new.row.245","19460",1994,2675335
"new.row.246","19460",1995,2829029
"new.row.247","19460",1996,2923076
"new.row.248","19460",1997,3050138
"new.row.249","19460",1998,3259851
"new.row.250","19460",1999,3377187
"new.row.251","19460",2000,3501816
"new.row.252","19460",2001,3559009
"new.row.253","19460",2002,3645378
"new.row.254","19460",2003,3793094
"new.row.255","19460",2004,3975216
"new.row.256","19460",2005,4160186
"new.row.257","19460",2006,4432690
"new.row.258","19460",2007,4635943
"new.row.259","19460",2008,4804013
"new.row.260","19460",2009,4702355
"new.row.261","19460",2010,4809523
"new.row.262","19460",2011,4938782
"new.row.263","19460",2012,5051590
"new.row.264","20020",1969,231985
"new.row.265","20020",1970,260315
"new.row.266","20020",1971,290420
"new.row.267","20020",1972,322341
"new.row.268","20020",1973,384180
"new.row.269","20020",1974,441547
"new.row.270","20020",1975,478565
"new.row.271","20020",1976,558041
"new.row.272","20020",1977,615648
"new.row.273","20020",1978,691935
"new.row.274","20020",1979,757968
"new.row.275","20020",1980,880397
"new.row.276","20020",1981,988819
"new.row.277","20020",1982,1035390
"new.row.278","20020",1983,1106721
"new.row.279","20020",1984,1205895
"new.row.280","20020",1985,1298396
"new.row.281","20020",1986,1390939
"new.row.282","20020",1987,1479228
"new.row.283","20020",1988,1592887
"new.row.284","20020",1989,1763162
"new.row.285","20020",1990,1830788
"new.row.286","20020",1991,1894944
"new.row.287","20020",1992,2076752
"new.row.288","20020",1993,2131318
"new.row.289","20020",1994,2248963
"new.row.290","20020",1995,2401943
"new.row.291","20020",1996,2480181
"new.row.292","20020",1997,2621557
"new.row.293","20020",1998,2809980
"new.row.294","20020",1999,2926391
"new.row.295","20020",2000,3066871
"new.row.296","20020",2001,3238808
"new.row.297","20020",2002,3366391
"new.row.298","20020",2003,3485460
"new.row.299","20020",2004,3755311
"new.row.300","20020",2005,4007989
"new.row.301","20020",2006,4268503
"new.row.302","20020",2007,4537402
"new.row.303","20020",2008,4634629
"new.row.304","20020",2009,4653947
"new.row.305","20020",2010,4909235
"new.row.306","20020",2011,5050664
"new.row.307","20020",2012,5192021
"new.row.308","22520",1969,322911
"new.row.309","22520",1970,352725
"new.row.310","22520",1971,393460
"new.row.311","22520",1972,429840
"new.row.312","22520",1973,470107
"new.row.313","22520",1974,531586
"new.row.314","22520",1975,585976
"new.row.315","22520",1976,665391
"new.row.316","22520",1977,742343
"new.row.317","22520",1978,852856
"new.row.318","22520",1979,941612
"new.row.319","22520",1980,1060517
"new.row.320","22520",1981,1165981
"new.row.321","22520",1982,1212371
"new.row.322","22520",1983,1281803
"new.row.323","22520",1984,1374800
"new.row.324","22520",1985,1457502
"new.row.325","22520",1986,1542121
"new.row.326","22520",1987,1616767
"new.row.327","22520",1988,1753762
"new.row.328","22520",1989,1877110
"new.row.329","22520",1990,2065056
"new.row.330","22520",1991,2146614
"new.row.331","22520",1992,2294516
"new.row.332","22520",1993,2394162
"new.row.333","22520",1994,2521208
"new.row.334","22520",1995,2699008
"new.row.335","22520",1996,2788018
"new.row.336","22520",1997,2894832
"new.row.337","22520",1998,2972001
"new.row.338","22520",1999,3056354
"new.row.339","22520",2000,3184392
"new.row.340","22520",2001,3267424
"new.row.341","22520",2002,3290571
"new.row.342","22520",2003,3395184
"new.row.343","22520",2004,3558451
"new.row.344","22520",2005,3754952
"new.row.345","22520",2006,3967411
"new.row.346","22520",2007,4230751
"new.row.347","22520",2008,4322025
"new.row.348","22520",2009,4343621
"new.row.349","22520",2010,4560963
"new.row.350","22520",2011,4675665
"new.row.351","22520",2012,4788783
"new.row.352","23460",1969,269034
"new.row.353","23460",1970,280650
"new.row.354","23460",1971,308184
"new.row.355","23460",1972,345579
"new.row.356","23460",1973,381060
"new.row.357","23460",1974,422222
"new.row.358","23460",1975,465353
"new.row.359","23460",1976,507916
"new.row.360","23460",1977,581955
"new.row.361","23460",1978,661689
"new.row.362","23460",1979,743635
"new.row.363","23460",1980,817976
"new.row.364","23460",1981,902483
"new.row.365","23460",1982,919305
"new.row.366","23460",1983,976929
"new.row.367","23460",1984,1069531
"new.row.368","23460",1985,1122272
"new.row.369","23460",1986,1166758
"new.row.370","23460",1987,1243928
"new.row.371","23460",1988,1318109
"new.row.372","23460",1989,1397881
"new.row.373","23460",1990,1443947
"new.row.374","23460",1991,1483447
"new.row.375","23460",1992,1600292
"new.row.376","23460",1993,1678172
"new.row.377","23460",1994,1776477
"new.row.378","23460",1995,1846637
"new.row.379","23460",1996,1925305
"new.row.380","23460",1997,2023222
"new.row.381","23460",1998,2113560
"new.row.382","23460",1999,2168810
"new.row.383","23460",2000,2266229
"new.row.384","23460",2001,2339326
"new.row.385","23460",2002,2415446
"new.row.386","23460",2003,2508621
"new.row.387","23460",2004,2618845
"new.row.388","23460",2005,2739390
"new.row.389","23460",2006,2865615
"new.row.390","23460",2007,3029123
"new.row.391","23460",2008,3131187
"new.row.392","23460",2009,3139510
"new.row.393","23460",2010,3268814
"new.row.394","23460",2011,3333448
"new.row.395","23460",2012,3417709
"new.row.396","26620",1969,802903
"new.row.397","26620",1970,883615
"new.row.398","26620",1971,971149
"new.row.399","26620",1972,1054704
"new.row.400","26620",1973,1128672
"new.row.401","26620",1974,1224702
"new.row.402","26620",1975,1314443
"new.row.403","26620",1976,1449879
"new.row.404","26620",1977,1601299
"new.row.405","26620",1978,1797058
"new.row.406","26620",1979,1975994
"new.row.407","26620",1980,2214119
"new.row.408","26620",1981,2465503
"new.row.409","26620",1982,2702763
"new.row.410","26620",1983,3020722
"new.row.411","26620",1984,3426315
"new.row.412","26620",1985,3817761
"new.row.413","26620",1986,4151749
"new.row.414","26620",1987,4528579
"new.row.415","26620",1988,4947631
"new.row.416","26620",1989,5388072
"new.row.417","26620",1990,5760722
"new.row.418","26620",1991,6101670
"new.row.419","26620",1992,6650870
"new.row.420","26620",1993,6839136
"new.row.421","26620",1994,7047405
"new.row.422","26620",1995,7424432
"new.row.423","26620",1996,7693100
"new.row.424","26620",1997,8245940
"new.row.425","26620",1998,8843994
"new.row.426","26620",1999,9087519
"new.row.427","26620",2000,9831332
"new.row.428","26620",2001,10079770
"new.row.429","26620",2002,10455336
"new.row.430","26620",2003,11036958
"new.row.431","26620",2004,11775144
"new.row.432","26620",2005,12666332
"new.row.433","26620",2006,13670918
"new.row.434","26620",2007,14627491
"new.row.435","26620",2008,15457437
"new.row.436","26620",2009,15778905
"new.row.437","26620",2010,16537953
"new.row.438","26620",2011,17330614
"new.row.439","26620",2012,17793325
"new.row.440","33660",1969,861660
"new.row.441","33660",1970,942246
"new.row.442","33660",1971,1018060
"new.row.443","33660",1972,1125684
"new.row.444","33660",1973,1259157
"new.row.445","33660",1974,1438890
"new.row.446","33660",1975,1650974
"new.row.447","33660",1976,1871626
"new.row.448","33660",1977,2084959
"new.row.449","33660",1978,2347749
"new.row.450","33660",1979,2597890
"new.row.451","33660",1980,2951937
"new.row.452","33660",1981,3268202
"new.row.453","33660",1982,3418812
"new.row.454","33660",1983,3550136
"new.row.455","33660",1984,3828413
"new.row.456","33660",1985,4131670
"new.row.457","33660",1986,4319592
"new.row.458","33660",1987,4481353
"new.row.459","33660",1988,4739401
"new.row.460","33660",1989,5150149
"new.row.461","33660",1990,5475096
"new.row.462","33660",1991,5846701
"new.row.463","33660",1992,6303514
"new.row.464","33660",1993,6592005
"new.row.465","33660",1994,6904273
"new.row.466","33660",1995,7217216
"new.row.467","33660",1996,7502915
"new.row.468","33660",1997,7837663
"new.row.469","33660",1998,8476957
"new.row.470","33660",1999,8560510
"new.row.471","33660",2000,8886058
"new.row.472","33660",2001,9100205
"new.row.473","33660",2002,9196441
"new.row.474","33660",2003,9446296
"new.row.475","33660",2004,9954769
"new.row.476","33660",2005,10627271
"new.row.477","33660",2006,11520084
"new.row.478","33660",2007,11956656
"new.row.479","33660",2008,12594155
"new.row.480","33660",2009,12502974
"new.row.481","33660",2010,12930244
"new.row.482","33660",2011,13446536
"new.row.483","33660",2012,13549455
"new.row.484","33860",1969,725025
"new.row.485","33860",1970,799151
"new.row.486","33860",1971,906666
"new.row.487","33860",1972,1046191
"new.row.488","33860",1973,1175330
"new.row.489","33860",1974,1326878
"new.row.490","33860",1975,1441115
"new.row.491","33860",1976,1593064
"new.row.492","33860",1977,1760471
"new.row.493","33860",1978,1991922
"new.row.494","33860",1979,2213407
"new.row.495","33860",1980,2470459
"new.row.496","33860",1981,2721094
"new.row.497","33860",1982,2894667
"new.row.498","33860",1983,3173194
"new.row.499","33860",1984,3488568
"new.row.500","33860",1985,3769210
"new.row.501","33860",1986,4034153
"new.row.502","33860",1987,4302686
"new.row.503","33860",1988,4622042
"new.row.504","33860",1989,5035799
"new.row.505","33860",1990,5283896
"new.row.506","33860",1991,5546773
"new.row.507","33860",1992,6006961
"new.row.508","33860",1993,6304135
"new.row.509","33860",1994,6723784
"new.row.510","33860",1995,7131522
"new.row.511","33860",1996,7440053
"new.row.512","33860",1997,7849291
"new.row.513","33860",1998,8355573
"new.row.514","33860",1999,8735919
"new.row.515","33860",2000,9254633
"new.row.516","33860",2001,9683220
"new.row.517","33860",2002,10193833
"new.row.518","33860",2003,10702457
"new.row.519","33860",2004,11366115
"new.row.520","33860",2005,11881106
"new.row.521","33860",2006,12649066
"new.row.522","33860",2007,13025661
"new.row.523","33860",2008,13443747
"new.row.524","33860",2009,13246752
"new.row.525","33860",2010,13553756
"new.row.526","33860",2011,13968450
"new.row.527","33860",2012,14209015
"new.row.528","46220",1969,370126
"new.row.529","46220",1970,410940
"new.row.530","46220",1971,464370
"new.row.531","46220",1972,517720
"new.row.532","46220",1973,575429
"new.row.533","46220",1974,654352
"new.row.534","46220",1975,737036
"new.row.535","46220",1976,807659
"new.row.536","46220",1977,923490
"new.row.537","46220",1978,1029200
"new.row.538","46220",1979,1145024
"new.row.539","46220",1980,1237422
"new.row.540","46220",1981,1377867
"new.row.541","46220",1982,1477821
"new.row.542","46220",1983,1592171
"new.row.543","46220",1984,1757154
"new.row.544","46220",1985,1906444
"new.row.545","46220",1986,1996934
"new.row.546","46220",1987,2152715
"new.row.547","46220",1988,2284702
"new.row.548","46220",1989,2539895
"new.row.549","46220",1990,2764336
"new.row.550","46220",1991,2892350
"new.row.551","46220",1992,3123795
"new.row.552","46220",1993,3304137
"new.row.553","46220",1994,3525400
"new.row.554","46220",1995,3742014
"new.row.555","46220",1996,3869093
"new.row.556","46220",1997,4076806
"new.row.557","46220",1998,4357494
"new.row.558","46220",1999,4591776
"new.row.559","46220",2000,4808741
"new.row.560","46220",2001,5060559
"new.row.561","46220",2002,5180664
"new.row.562","46220",2003,5370850
"new.row.563","46220",2004,5669249
"new.row.564","46220",2005,6142358
"new.row.565","46220",2006,6591244
"new.row.566","46220",2007,6992168
"new.row.567","46220",2008,7306404
"new.row.568","46220",2009,7282102
"new.row.569","46220",2010,7619235
"new.row.570","46220",2011,7848932
"new.row.571","46220",2012,8099214
"new.row.572","11260",1969,796935
"new.row.573","11260",1970,903988
"new.row.574","11260",1971,996992
"new.row.575","11260",1972,1101013
"new.row.576","11260",1973,1213884
"new.row.577","11260",1974,1495851
"new.row.578","11260",1975,1996991
"new.row.579","11260",1976,2383842
"new.row.580","11260",1977,2653260
"new.row.581","11260",1978,2699542
"new.row.582","11260",1979,2803002
"new.row.583","11260",1980,3153314
"new.row.584","11260",1981,3685781
"new.row.585","11260",1982,4582632
"new.row.586","11260",1983,5068226
"new.row.587","11260",1984,5516215
"new.row.588","11260",1985,5873201
"new.row.589","11260",1986,5885692
"new.row.590","11260",1987,5570070
"new.row.591","11260",1988,5624968
"new.row.592","11260",1989,6141464
"new.row.593","11260",1990,6634913
"new.row.594","11260",1991,6966498
"new.row.595","11260",1992,7492960
"new.row.596","11260",1993,7932169
"new.row.597","11260",1994,8248551
"new.row.598","11260",1995,8392315
"new.row.599","11260",1996,8652803
"new.row.600","11260",1997,9233517
"new.row.601","11260",1998,9770225
"new.row.602","11260",1999,10116793
"new.row.603","11260",2000,10821791
"new.row.604","11260",2001,11664390
"new.row.605","11260",2002,12321251
"new.row.606","11260",2003,12838074
"new.row.607","11260",2004,13461599
"new.row.608","11260",2005,14236868
"new.row.609","11260",2006,15167776
"new.row.610","11260",2007,16213554
"new.row.611","11260",2008,17750737
"new.row.612","11260",2009,17639093
"new.row.613","11260",2010,18555958
"new.row.614","11260",2011,19704438
"new.row.615","11260",2012,20547549
"new.row.616","21820",1969,247929
"new.row.617","21820",1970,275976
"new.row.618","21820",1971,288245
"new.row.619","21820",1972,307109
"new.row.620","21820",1973,323978
"new.row.621","21820",1974,448445
"new.row.622","21820",1975,801767
"new.row.623","21820",1976,844908
"new.row.624","21820",1977,756532
"new.row.625","21820",1978,727953
"new.row.626","21820",1979,744616
"new.row.627","21820",1980,814668
"new.row.628","21820",1981,926711
"new.row.629","21820",1982,1174438
"new.row.630","21820",1983,1249797
"new.row.631","21820",1984,1305808
"new.row.632","21820",1985,1399859
"new.row.633","21820",1986,1371327
"new.row.634","21820",1987,1340753
"new.row.635","21820",1988,1378797
"new.row.636","21820",1989,1511193
"new.row.637","21820",1990,1566071
"new.row.638","21820",1991,1631233
"new.row.639","21820",1992,1764533
"new.row.640","21820",1993,1844901
"new.row.641","21820",1994,1860629
"new.row.642","21820",1995,1936799
"new.row.643","21820",1996,1989595
"new.row.644","21820",1997,2083131
"new.row.645","21820",1998,2195399
"new.row.646","21820",1999,2269557
"new.row.647","21820",2000,2441300
"new.row.648","21820",2001,2509573
"new.row.649","21820",2002,2648019
"new.row.650","21820",2003,2776362
"new.row.651","21820",2004,2903462
"new.row.652","21820",2005,3138539
"new.row.653","21820",2006,3376629
"new.row.654","21820",2007,3628110
"new.row.655","21820",2008,3964637
"new.row.656","21820",2009,3965830
"new.row.657","21820",2010,4117694
"new.row.658","21820",2011,4446481
"new.row.659","21820",2012,4548343
"new.row.660","22380",1969,143346
"new.row.661","22380",1970,158766
"new.row.662","22380",1971,188050
"new.row.663","22380",1972,227664
"new.row.664","22380",1973,268506
"new.row.665","22380",1974,293915
"new.row.666","22380",1975,326390
"new.row.667","22380",1976,356279
"new.row.668","22380",1977,392245
"new.row.669","22380",1978,459742
"new.row.670","22380",1979,515956
"new.row.671","22380",1980,592940
"new.row.672","22380",1981,658793
"new.row.673","22380",1982,697871
"new.row.674","22380",1983,765174
"new.row.675","22380",1984,853014
"new.row.676","22380",1985,937784
"new.row.677","22380",1986,1033458
"new.row.678","22380",1987,1107135
"new.row.679","22380",1988,1187449
"new.row.680","22380",1989,1265532
"new.row.681","22380",1990,1377089
"new.row.682","22380",1991,1466905
"new.row.683","22380",1992,1608726
"new.row.684","22380",1993,1701232
"new.row.685","22380",1994,1852444
"new.row.686","22380",1995,1976315
"new.row.687","22380",1996,2119904
"new.row.688","22380",1997,2275777
"new.row.689","22380",1998,2451979
"new.row.690","22380",1999,2594728
"new.row.691","22380",2000,2811251
"new.row.692","22380",2001,2931508
"new.row.693","22380",2002,3083649
"new.row.694","22380",2003,3221097
"new.row.695","22380",2004,3475668
"new.row.696","22380",2005,3754700
"new.row.697","22380",2006,4111444
"new.row.698","22380",2007,4347811
"new.row.699","22380",2008,4590439
"new.row.700","22380",2009,4515551
"new.row.701","22380",2010,4524196
"new.row.702","22380",2011,4615812
"new.row.703","22380",2012,4735919
"new.row.704","29420",1969,90300
"new.row.705","29420",1970,100815
"new.row.706","29420",1971,116068
"new.row.707","29420",1972,131760
"new.row.708","29420",1973,157088
"new.row.709","29420",1974,180318
"new.row.710","29420",1975,199908
"new.row.711","29420",1976,228491
"new.row.712","29420",1977,263880
"new.row.713","29420",1978,323352
"new.row.714","29420",1979,394357
"new.row.715","29420",1980,454526
"new.row.716","29420",1981,510357
"new.row.717","29420",1982,538825
"new.row.718","29420",1983,599512
"new.row.719","29420",1984,704294
"new.row.720","29420",1985,803435
"new.row.721","29420",1986,901524
"new.row.722","29420",1987,996356
"new.row.723","29420",1988,1108982
"new.row.724","29420",1989,1245764
"new.row.725","29420",1990,1431198
"new.row.726","29420",1991,1530639
"new.row.727","29420",1992,1637340
"new.row.728","29420",1993,1787843
"new.row.729","29420",1994,1988156
"new.row.730","29420",1995,2039456
"new.row.731","29420",1996,2195247
"new.row.732","29420",1997,2391747
"new.row.733","29420",1998,2617774
"new.row.734","29420",1999,2810386
"new.row.735","29420",2000,3061290
"new.row.736","29420",2001,3251375
"new.row.737","29420",2002,3433734
"new.row.738","29420",2003,3673561
"new.row.739","29420",2004,4017001
"new.row.740","29420",2005,4473489
"new.row.741","29420",2006,4886482
"new.row.742","29420",2007,5203424
"new.row.743","29420",2008,5293167
"new.row.744","29420",2009,5134700
"new.row.745","29420",2010,5203590
"new.row.746","29420",2011,5358223
"new.row.747","29420",2012,5527413
"new.row.748","38060",1969,3767663
"new.row.749","38060",1970,4310390
"new.row.750","38060",1971,4889179
"new.row.751","38060",1972,5652619
"new.row.752","38060",1973,6559147
"new.row.753","38060",1974,7314108
"new.row.754","38060",1975,7952799
"new.row.755","38060",1976,8830348
"new.row.756","38060",1977,10094529
"new.row.757","38060",1978,12044211
"new.row.758","38060",1979,14296762
"new.row.759","38060",1980,16537198
"new.row.760","38060",1981,19011741
"new.row.761","38060",1982,20246652
"new.row.762","38060",1983,22485589
"new.row.763","38060",1984,25634636
"new.row.764","38060",1985,28828416
"new.row.765","38060",1986,31770502
"new.row.766","38060",1987,34438078
"new.row.767","38060",1988,37147583
"new.row.768","38060",1989,39914343
"new.row.769","38060",1990,41787733
"new.row.770","38060",1991,43568371
"new.row.771","38060",1992,46471575
"new.row.772","38060",1993,49847277
"new.row.773","38060",1994,55173221
"new.row.774","38060",1995,60694879
"new.row.775","38060",1996,66440450
"new.row.776","38060",1997,72865158
"new.row.777","38060",1998,80478792
"new.row.778","38060",1999,86029611
"new.row.779","38060",2000,94846062
"new.row.780","38060",2001,99585008
"new.row.781","38060",2002,103267249
"new.row.782","38060",2003,108568279
"new.row.783","38060",2004,118005746
"new.row.784","38060",2005,131113187
"new.row.785","38060",2006,146501647
"new.row.786","38060",2007,153664613
"new.row.787","38060",2008,154316038
"new.row.788","38060",2009,147087910
"new.row.789","38060",2010,148664476
"new.row.790","38060",2011,157528082
"new.row.791","38060",2012,164160723
"new.row.792","39140",1969,120349
"new.row.793","39140",1970,140894
"new.row.794","39140",1971,166634
"new.row.795","39140",1972,196073
"new.row.796","39140",1973,231612
"new.row.797","39140",1974,260880
"new.row.798","39140",1975,287598
"new.row.799","39140",1976,327198
"new.row.800","39140",1977,376494
"new.row.801","39140",1978,439751
"new.row.802","39140",1979,514095
"new.row.803","39140",1980,611147
"new.row.804","39140",1981,710543
"new.row.805","39140",1982,749810
"new.row.806","39140",1983,826245
"new.row.807","39140",1984,933811
"new.row.808","39140",1985,1051994
"new.row.809","39140",1986,1173684
"new.row.810","39140",1987,1268788
"new.row.811","39140",1988,1399688
"new.row.812","39140",1989,1534783
"new.row.813","39140",1990,1646542
"new.row.814","39140",1991,1758270
"new.row.815","39140",1992,1901239
"new.row.816","39140",1993,2081017
"new.row.817","39140",1994,2387870
"new.row.818","39140",1995,2541405
"new.row.819","39140",1996,2758875
"new.row.820","39140",1997,3015217
"new.row.821","39140",1998,3316153
"new.row.822","39140",1999,3496277
"new.row.823","39140",2000,3775010
"new.row.824","39140",2001,3870630
"new.row.825","39140",2002,4050984
"new.row.826","39140",2003,4312631
"new.row.827","39140",2004,4809989
"new.row.828","39140",2005,5440947
"new.row.829","39140",2006,6027202
"new.row.830","39140",2007,6572066
"new.row.831","39140",2008,6570534
"new.row.832","39140",2009,6241730
