"","msa.fips","year","net.earnings.by.place.of.residence"
"new.row","11500",1969,237696
"new.row.1","11500",1970,236534
"new.row.2","11500",1971,264947
"new.row.3","11500",1972,298116
"new.row.4","11500",1973,321347
"new.row.5","11500",1974,349519
"new.row.6","11500",1975,390892
"new.row.7","11500",1976,444005
"new.row.8","11500",1977,502670
"new.row.9","11500",1978,552700
"new.row.10","11500",1979,598068
"new.row.11","11500",1980,674026
"new.row.12","11500",1981,724832
"new.row.13","11500",1982,758868
"new.row.14","11500",1983,803735
"new.row.15","11500",1984,888608
"new.row.16","11500",1985,926132
"new.row.17","11500",1986,969542
"new.row.18","11500",1987,1009788
"new.row.19","11500",1988,1063875
"new.row.20","11500",1989,1099594
"new.row.21","11500",1990,1124269
"new.row.22","11500",1991,1180563
"new.row.23","11500",1992,1230914
"new.row.24","11500",1993,1251709
"new.row.25","11500",1994,1286211
"new.row.26","11500",1995,1329755
"new.row.27","11500",1996,1350107
"new.row.28","11500",1997,1412526
"new.row.29","11500",1998,1488968
"new.row.30","11500",1999,1511466
"new.row.31","11500",2000,1472471
"new.row.32","11500",2001,1513988
"new.row.33","11500",2002,1591027
"new.row.34","11500",2003,1679008
"new.row.35","11500",2004,1814870
"new.row.36","11500",2005,1919211
"new.row.37","11500",2006,2007975
"new.row.38","11500",2007,2123623
"new.row.39","11500",2008,2154653
"new.row.40","11500",2009,2078594
"new.row.41","11500",2010,2085014
"new.row.42","11500",2011,2128653
"new.row.43","11500",2012,2110027
"new.row.44","12220",1969,124668
"new.row.45","12220",1970,134833
"new.row.46","12220",1971,149547
"new.row.47","12220",1972,169707
"new.row.48","12220",1973,191661
"new.row.49","12220",1974,210553
"new.row.50","12220",1975,227039
"new.row.51","12220",1976,259475
"new.row.52","12220",1977,301684
"new.row.53","12220",1978,348769
"new.row.54","12220",1979,380393
"new.row.55","12220",1980,421156
"new.row.56","12220",1981,451601
"new.row.57","12220",1982,466561
"new.row.58","12220",1983,521001
"new.row.59","12220",1984,584302
"new.row.60","12220",1985,625697
"new.row.61","12220",1986,660351
"new.row.62","12220",1987,708340
"new.row.63","12220",1988,766169
"new.row.64","12220",1989,841098
"new.row.65","12220",1990,885258
"new.row.66","12220",1991,927378
"new.row.67","12220",1992,1021183
"new.row.68","12220",1993,1088405
"new.row.69","12220",1994,1158335
"new.row.70","12220",1995,1230001
"new.row.71","12220",1996,1291115
"new.row.72","12220",1997,1392208
"new.row.73","12220",1998,1513409
"new.row.74","12220",1999,1632061
"new.row.75","12220",2000,1704664
"new.row.76","12220",2001,1746677
"new.row.77","12220",2002,1846375
"new.row.78","12220",2003,1921260
"new.row.79","12220",2004,2088124
"new.row.80","12220",2005,2205733
"new.row.81","12220",2006,2347024
"new.row.82","12220",2007,2439615
"new.row.83","12220",2008,2510565
"new.row.84","12220",2009,2504012
"new.row.85","12220",2010,2558903
"new.row.86","12220",2011,2726329
"new.row.87","12220",2012,2838460
"new.row.88","13820",1969,2076727
"new.row.89","13820",1970,2218228
"new.row.90","13820",1971,2400410
"new.row.91","13820",1972,2672070
"new.row.92","13820",1973,2973796
"new.row.93","13820",1974,3317087
"new.row.94","13820",1975,3647572
"new.row.95","13820",1976,4068627
"new.row.96","13820",1977,4534177
"new.row.97","13820",1978,5120185
"new.row.98","13820",1979,5671115
"new.row.99","13820",1980,6043221
"new.row.100","13820",1981,6345148
"new.row.101","13820",1982,6572927
"new.row.102","13820",1983,6954055
"new.row.103","13820",1984,7646347
"new.row.104","13820",1985,8307550
"new.row.105","13820",1986,8823304
"new.row.106","13820",1987,9404650
"new.row.107","13820",1988,10175839
"new.row.108","13820",1989,10834411
"new.row.109","13820",1990,11640662
"new.row.110","13820",1991,12202832
"new.row.111","13820",1992,13131560
"new.row.112","13820",1993,13701992
"new.row.113","13820",1994,14504532
"new.row.114","13820",1995,15393055
"new.row.115","13820",1996,16341032
"new.row.116","13820",1997,17110213
"new.row.117","13820",1998,18638066
"new.row.118","13820",1999,19907406
"new.row.119","13820",2000,21421572
"new.row.120","13820",2001,22367933
"new.row.121","13820",2002,23287148
"new.row.122","13820",2003,23916808
"new.row.123","13820",2004,25428110
"new.row.124","13820",2005,26623519
"new.row.125","13820",2006,27979603
"new.row.126","13820",2007,28745095
"new.row.127","13820",2008,29131746
"new.row.128","13820",2009,27902343
"new.row.129","13820",2010,28080292
"new.row.130","13820",2011,29838963
"new.row.131","13820",2012,31179136
"new.row.132","17980",1969,759035
"new.row.133","17980",1970,723805
"new.row.134","17980",1971,761094
"new.row.135","17980",1972,785847
"new.row.136","17980",1973,838636
"new.row.137","17980",1974,896775
"new.row.138","17980",1975,938245
"new.row.139","17980",1976,1042442
"new.row.140","17980",1977,1149178
"new.row.141","17980",1978,1267933
"new.row.142","17980",1979,1337233
"new.row.143","17980",1980,1434467
"new.row.144","17980",1981,1578869
"new.row.145","17980",1982,1700215
"new.row.146","17980",1983,1797733
"new.row.147","17980",1984,2011985
"new.row.148","17980",1985,2157791
"new.row.149","17980",1986,2315100
"new.row.150","17980",1987,2477084
"new.row.151","17980",1988,2613475
"new.row.152","17980",1989,2666683
"new.row.153","17980",1990,2808090
"new.row.154","17980",1991,2903919
"new.row.155","17980",1992,3137981
"new.row.156","17980",1993,3206646
"new.row.157","17980",1994,3319303
"new.row.158","17980",1995,3434077
"new.row.159","17980",1996,3582815
"new.row.160","17980",1997,3834704
"new.row.161","17980",1998,4135882
"new.row.162","17980",1999,4353722
"new.row.163","17980",2000,4532548
"new.row.164","17980",2001,4680531
"new.row.165","17980",2002,4795562
"new.row.166","17980",2003,5047214
"new.row.167","17980",2004,5250028
"new.row.168","17980",2005,5602271
"new.row.169","17980",2006,5919830
"new.row.170","17980",2007,6144899
"new.row.171","17980",2008,6355364
"new.row.172","17980",2009,6372775
"new.row.173","17980",2010,6540891
"new.row.174","17980",2011,6954259
"new.row.175","17980",2012,7268956
"new.row.176","19300",1969,118927
"new.row.177","19300",1970,126389
"new.row.178","19300",1971,142867
"new.row.179","19300",1972,163114
"new.row.180","19300",1973,194545
"new.row.181","19300",1974,215589
"new.row.182","19300",1975,237470
"new.row.183","19300",1976,285601
"new.row.184","19300",1977,299654
"new.row.185","19300",1978,342645
"new.row.186","19300",1979,362515
"new.row.187","19300",1980,398201
"new.row.188","19300",1981,454440
"new.row.189","19300",1982,464828
"new.row.190","19300",1983,520674
"new.row.191","19300",1984,579224
"new.row.192","19300",1985,652658
"new.row.193","19300",1986,696643
"new.row.194","19300",1987,747249
"new.row.195","19300",1988,797726
"new.row.196","19300",1989,868121
"new.row.197","19300",1990,959349
"new.row.198","19300",1991,1082119
"new.row.199","19300",1992,1211982
"new.row.200","19300",1993,1351673
"new.row.201","19300",1994,1474370
"new.row.202","19300",1995,1591449
"new.row.203","19300",1996,1750719
"new.row.204","19300",1997,1912079
"new.row.205","19300",1998,2097631
"new.row.206","19300",1999,2258806
"new.row.207","19300",2000,2443759
"new.row.208","19300",2001,2472279
"new.row.209","19300",2002,2539366
"new.row.210","19300",2003,2679438
"new.row.211","19300",2004,2894152
"new.row.212","19300",2005,3130368
"new.row.213","19300",2006,3442332
"new.row.214","19300",2007,3619190
"new.row.215","19300",2008,3724185
"new.row.216","19300",2009,3673361
"new.row.217","19300",2010,3884721
"new.row.218","19300",2011,4251620
"new.row.219","19300",2012,4363484
"new.row.220","19460",1969,258510
"new.row.221","19460",1970,285002
"new.row.222","19460",1971,298518
"new.row.223","19460",1972,323288
"new.row.224","19460",1973,358617
"new.row.225","19460",1974,381868
"new.row.226","19460",1975,429113
"new.row.227","19460",1976,474742
"new.row.228","19460",1977,531286
"new.row.229","19460",1978,603729
"new.row.230","19460",1979,688790
"new.row.231","19460",1980,706460
"new.row.232","19460",1981,777548
"new.row.233","19460",1982,793759
"new.row.234","19460",1983,859127
"new.row.235","19460",1984,994828
"new.row.236","19460",1985,1092561
"new.row.237","19460",1986,1168750
"new.row.238","19460",1987,1245651
"new.row.239","19460",1988,1362940
"new.row.240","19460",1989,1452333
"new.row.241","19460",1990,1536819
"new.row.242","19460",1991,1620733
"new.row.243","19460",1992,1751738
"new.row.244","19460",1993,1812152
"new.row.245","19460",1994,1912470
"new.row.246","19460",1995,1969628
"new.row.247","19460",1996,2030436
"new.row.248","19460",1997,2102584
"new.row.249","19460",1998,2275090
"new.row.250","19460",1999,2370605
"new.row.251","19460",2000,2392615
"new.row.252","19460",2001,2453541
"new.row.253","19460",2002,2469262
"new.row.254","19460",2003,2556761
"new.row.255","19460",2004,2725413
"new.row.256","19460",2005,2823933
"new.row.257","19460",2006,2923404
"new.row.258","19460",2007,3033116
"new.row.259","19460",2008,3071994
"new.row.260","19460",2009,2934806
"new.row.261","19460",2010,2945992
"new.row.262","19460",2011,3037282
"new.row.263","19460",2012,3097865
"new.row.264","20020",1969,196735
"new.row.265","20020",1970,215085
"new.row.266","20020",1971,236095
"new.row.267","20020",1972,268218
"new.row.268","20020",1973,332731
"new.row.269","20020",1974,363015
"new.row.270","20020",1975,378672
"new.row.271","20020",1976,444435
"new.row.272","20020",1977,475203
"new.row.273","20020",1978,539806
"new.row.274","20020",1979,576138
"new.row.275","20020",1980,607445
"new.row.276","20020",1981,724589
"new.row.277","20020",1982,719619
"new.row.278","20020",1983,750577
"new.row.279","20020",1984,860428
"new.row.280","20020",1985,891688
"new.row.281","20020",1986,951935
"new.row.282","20020",1987,1038510
"new.row.283","20020",1988,1135978
"new.row.284","20020",1989,1238688
"new.row.285","20020",1990,1248429
"new.row.286","20020",1991,1316582
"new.row.287","20020",1992,1443210
"new.row.288","20020",1993,1458399
"new.row.289","20020",1994,1531573
"new.row.290","20020",1995,1609936
"new.row.291","20020",1996,1643907
"new.row.292","20020",1997,1711468
"new.row.293","20020",1998,1862932
"new.row.294","20020",1999,1977211
"new.row.295","20020",2000,2000629
"new.row.296","20020",2001,2127005
"new.row.297","20020",2002,2228034
"new.row.298","20020",2003,2303741
"new.row.299","20020",2004,2456114
"new.row.300","20020",2005,2595672
"new.row.301","20020",2006,2725874
"new.row.302","20020",2007,2796455
"new.row.303","20020",2008,2814567
"new.row.304","20020",2009,2785841
"new.row.305","20020",2010,2878064
"new.row.306","20020",2011,2963045
"new.row.307","20020",2012,3069235
"new.row.308","22520",1969,263825
"new.row.309","22520",1970,282341
"new.row.310","22520",1971,312913
"new.row.311","22520",1972,343721
"new.row.312","22520",1973,375541
"new.row.313","22520",1974,410666
"new.row.314","22520",1975,432651
"new.row.315","22520",1976,507611
"new.row.316","22520",1977,561373
"new.row.317","22520",1978,648631
"new.row.318","22520",1979,715049
"new.row.319","22520",1980,753516
"new.row.320","22520",1981,815780
"new.row.321","22520",1982,824148
"new.row.322","22520",1983,840059
"new.row.323","22520",1984,904213
"new.row.324","22520",1985,953537
"new.row.325","22520",1986,1008207
"new.row.326","22520",1987,1073475
"new.row.327","22520",1988,1178261
"new.row.328","22520",1989,1226784
"new.row.329","22520",1990,1357226
"new.row.330","22520",1991,1418550
"new.row.331","22520",1992,1523441
"new.row.332","22520",1993,1580332
"new.row.333","22520",1994,1672028
"new.row.334","22520",1995,1725011
"new.row.335","22520",1996,1798196
"new.row.336","22520",1997,1835329
"new.row.337","22520",1998,1850601
"new.row.338","22520",1999,1919073
"new.row.339","22520",2000,1971028
"new.row.340","22520",2001,1985118
"new.row.341","22520",2002,1950878
"new.row.342","22520",2003,2044640
"new.row.343","22520",2004,2167167
"new.row.344","22520",2005,2273361
"new.row.345","22520",2006,2407007
"new.row.346","22520",2007,2463021
"new.row.347","22520",2008,2502672
"new.row.348","22520",2009,2468060
"new.row.349","22520",2010,2575797
"new.row.350","22520",2011,2681627
"new.row.351","22520",2012,2750362
"new.row.352","23460",1969,221873
"new.row.353","23460",1970,221342
"new.row.354","23460",1971,238628
"new.row.355","23460",1972,270006
"new.row.356","23460",1973,296338
"new.row.357","23460",1974,317271
"new.row.358","23460",1975,338983
"new.row.359","23460",1976,371394
"new.row.360","23460",1977,434794
"new.row.361","23460",1978,500862
"new.row.362","23460",1979,558419
"new.row.363","23460",1980,588693
"new.row.364","23460",1981,641765
"new.row.365","23460",1982,618692
"new.row.366","23460",1983,652199
"new.row.367","23460",1984,712737
"new.row.368","23460",1985,745127
"new.row.369","23460",1986,769168
"new.row.370","23460",1987,836114
"new.row.371","23460",1988,895843
"new.row.372","23460",1989,922041
"new.row.373","23460",1990,935483
"new.row.374","23460",1991,953139
"new.row.375","23460",1992,1034342
"new.row.376","23460",1993,1085421
"new.row.377","23460",1994,1148349
"new.row.378","23460",1995,1175955
"new.row.379","23460",1996,1228829
"new.row.380","23460",1997,1289045
"new.row.381","23460",1998,1348819
"new.row.382","23460",1999,1389984
"new.row.383","23460",2000,1432367
"new.row.384","23460",2001,1447114
"new.row.385","23460",2002,1482530
"new.row.386","23460",2003,1534424
"new.row.387","23460",2004,1628349
"new.row.388","23460",2005,1692423
"new.row.389","23460",2006,1750501
"new.row.390","23460",2007,1793368
"new.row.391","23460",2008,1820574
"new.row.392","23460",2009,1778721
"new.row.393","23460",2010,1814288
"new.row.394","23460",2011,1861948
"new.row.395","23460",2012,1902860
"new.row.396","26620",1969,668542
"new.row.397","26620",1970,724003
"new.row.398","26620",1971,789733
"new.row.399","26620",1972,853679
"new.row.400","26620",1973,907524
"new.row.401","26620",1974,957571
"new.row.402","26620",1975,992492
"new.row.403","26620",1976,1111136
"new.row.404","26620",1977,1221257
"new.row.405","26620",1978,1375184
"new.row.406","26620",1979,1506481
"new.row.407","26620",1980,1612307
"new.row.408","26620",1981,1785891
"new.row.409","26620",1982,1935941
"new.row.410","26620",1983,2155514
"new.row.411","26620",1984,2497796
"new.row.412","26620",1985,2787973
"new.row.413","26620",1986,3038841
"new.row.414","26620",1987,3343274
"new.row.415","26620",1988,3659743
"new.row.416","26620",1989,3890376
"new.row.417","26620",1990,4143103
"new.row.418","26620",1991,4401106
"new.row.419","26620",1992,4797333
"new.row.420","26620",1993,4893457
"new.row.421","26620",1994,4990330
"new.row.422","26620",1995,5120451
"new.row.423","26620",1996,5290138
"new.row.424","26620",1997,5637091
"new.row.425","26620",1998,6111499
"new.row.426","26620",1999,6322517
"new.row.427","26620",2000,6814192
"new.row.428","26620",2001,6985802
"new.row.429","26620",2002,7250535
"new.row.430","26620",2003,7766217
"new.row.431","26620",2004,8257847
"new.row.432","26620",2005,8780602
"new.row.433","26620",2006,9405207
"new.row.434","26620",2007,9866382
"new.row.435","26620",2008,10375141
"new.row.436","26620",2009,10589433
"new.row.437","26620",2010,10983320
"new.row.438","26620",2011,11580115
"new.row.439","26620",2012,11810413
"new.row.440","33660",1969,678514
"new.row.441","33660",1970,724252
"new.row.442","33660",1971,768429
"new.row.443","33660",1972,851323
"new.row.444","33660",1973,951768
"new.row.445","33660",1974,1075137
"new.row.446","33660",1975,1213585
"new.row.447","33660",1976,1390335
"new.row.448","33660",1977,1562127
"new.row.449","33660",1978,1766550
"new.row.450","33660",1979,1903284
"new.row.451","33660",1980,2145259
"new.row.452","33660",1981,2318871
"new.row.453","33660",1982,2358190
"new.row.454","33660",1983,2420989
"new.row.455","33660",1984,2574782
"new.row.456","33660",1985,2787617
"new.row.457","33660",1986,2906871
"new.row.458","33660",1987,3027346
"new.row.459","33660",1988,3206092
"new.row.460","33660",1989,3399588
"new.row.461","33660",1990,3612234
"new.row.462","33660",1991,3887962
"new.row.463","33660",1992,4137972
"new.row.464","33660",1993,4316459
"new.row.465","33660",1994,4493757
"new.row.466","33660",1995,4583326
"new.row.467","33660",1996,4794155
"new.row.468","33660",1997,5014162
"new.row.469","33660",1998,5509152
"new.row.470","33660",1999,5582722
"new.row.471","33660",2000,5688964
"new.row.472","33660",2001,5842067
"new.row.473","33660",2002,5885610
"new.row.474","33660",2003,5980864
"new.row.475","33660",2004,6293541
"new.row.476","33660",2005,6708161
"new.row.477","33660",2006,7363609
"new.row.478","33660",2007,7557130
"new.row.479","33660",2008,7805264
"new.row.480","33660",2009,7687378
"new.row.481","33660",2010,7719811
"new.row.482","33660",2011,8080441
"new.row.483","33660",2012,8033542
"new.row.484","33860",1969,576383
"new.row.485","33860",1970,622133
"new.row.486","33860",1971,703591
"new.row.487","33860",1972,820713
"new.row.488","33860",1973,919969
"new.row.489","33860",1974,996781
"new.row.490","33860",1975,1049314
"new.row.491","33860",1976,1186199
"new.row.492","33860",1977,1286758
"new.row.493","33860",1978,1466423
"new.row.494","33860",1979,1617797
"new.row.495","33860",1980,1736847
"new.row.496","33860",1981,1850282
"new.row.497","33860",1982,1935584
"new.row.498","33860",1983,2126432
"new.row.499","33860",1984,2346452
"new.row.500","33860",1985,2553625
"new.row.501","33860",1986,2749837
"new.row.502","33860",1987,2968226
"new.row.503","33860",1988,3168880
"new.row.504","33860",1989,3331197
"new.row.505","33860",1990,3490850
"new.row.506","33860",1991,3675709
"new.row.507","33860",1992,3932567
"new.row.508","33860",1993,4119153
"new.row.509","33860",1994,4400966
"new.row.510","33860",1995,4561928
"new.row.511","33860",1996,4787592
"new.row.512","33860",1997,5019053
"new.row.513","33860",1998,5420686
"new.row.514","33860",1999,5780851
"new.row.515","33860",2000,6064993
"new.row.516","33860",2001,6426858
"new.row.517","33860",2002,6764390
"new.row.518","33860",2003,7120216
"new.row.519","33860",2004,7545486
"new.row.520","33860",2005,7906089
"new.row.521","33860",2006,8403833
"new.row.522","33860",2007,8481827
"new.row.523","33860",2008,8565188
"new.row.524","33860",2009,8439797
"new.row.525","33860",2010,8488365
"new.row.526","33860",2011,8780477
"new.row.527","33860",2012,8864165
"new.row.528","46220",1969,295470
"new.row.529","46220",1970,318599
"new.row.530","46220",1971,360756
"new.row.531","46220",1972,402443
"new.row.532","46220",1973,449811
"new.row.533","46220",1974,496169
"new.row.534","46220",1975,541442
"new.row.535","46220",1976,596239
"new.row.536","46220",1977,689088
"new.row.537","46220",1978,769273
"new.row.538","46220",1979,843435
"new.row.539","46220",1980,860839
"new.row.540","46220",1981,938079
"new.row.541","46220",1982,977939
"new.row.542","46220",1983,1045814
"new.row.543","46220",1984,1168119
"new.row.544","46220",1985,1262756
"new.row.545","46220",1986,1326408
"new.row.546","46220",1987,1466605
"new.row.547","46220",1988,1559877
"new.row.548","46220",1989,1686195
"new.row.549","46220",1990,1850949
"new.row.550","46220",1991,1932211
"new.row.551","46220",1992,2079147
"new.row.552","46220",1993,2206505
"new.row.553","46220",1994,2317142
"new.row.554","46220",1995,2416265
"new.row.555","46220",1996,2497746
"new.row.556","46220",1997,2637047
"new.row.557","46220",1998,2849589
"new.row.558","46220",1999,3063471
"new.row.559","46220",2000,3126901
"new.row.560","46220",2001,3365592
"new.row.561","46220",2002,3403060
"new.row.562","46220",2003,3527559
"new.row.563","46220",2004,3766886
"new.row.564","46220",2005,4073241
"new.row.565","46220",2006,4341759
"new.row.566","46220",2007,4485944
"new.row.567","46220",2008,4606658
"new.row.568","46220",2009,4481177
"new.row.569","46220",2010,4639095
"new.row.570","46220",2011,4889454
"new.row.571","46220",2012,5066172
"new.row.572","11260",1969,673449
"new.row.573","11260",1970,750276
"new.row.574","11260",1971,821450
"new.row.575","11260",1972,900270
"new.row.576","11260",1973,968271
"new.row.577","11260",1974,1218567
"new.row.578","11260",1975,1671352
"new.row.579","11260",1976,2020512
"new.row.580","11260",1977,2228407
"new.row.581","11260",1978,2214414
"new.row.582","11260",1979,2299236
"new.row.583","11260",1980,2586412
"new.row.584","11260",1981,3013340
"new.row.585","11260",1982,3555352
"new.row.586","11260",1983,4042356
"new.row.587","11260",1984,4385252
"new.row.588","11260",1985,4570986
"new.row.589","11260",1986,4507533
"new.row.590","11260",1987,4189980
"new.row.591","11260",1988,4185210
"new.row.592","11260",1989,4535746
"new.row.593","11260",1990,4868726
"new.row.594","11260",1991,5124237
"new.row.595","11260",1992,5460305
"new.row.596","11260",1993,5713575
"new.row.597","11260",1994,5889539
"new.row.598","11260",1995,5915886
"new.row.599","11260",1996,6039321
"new.row.600","11260",1997,6430357
"new.row.601","11260",1998,6810861
"new.row.602","11260",1999,7025693
"new.row.603","11260",2000,7431108
"new.row.604","11260",2001,8187475
"new.row.605","11260",2002,8758611
"new.row.606","11260",2003,9282439
"new.row.607","11260",2004,9820001
"new.row.608","11260",2005,10330344
"new.row.609","11260",2006,10830755
"new.row.610","11260",2007,11308530
"new.row.611","11260",2008,11928894
"new.row.612","11260",2009,12390212
"new.row.613","11260",2010,12813418
"new.row.614","11260",2011,13621924
"new.row.615","11260",2012,14280190
"new.row.616","21820",1969,208530
"new.row.617","21820",1970,225421
"new.row.618","21820",1971,232560
"new.row.619","21820",1972,247178
"new.row.620","21820",1973,254625
"new.row.621","21820",1974,370971
"new.row.622","21820",1975,707210
"new.row.623","21820",1976,738296
"new.row.624","21820",1977,626681
"new.row.625","21820",1978,581516
"new.row.626","21820",1979,596995
"new.row.627","21820",1980,650940
"new.row.628","21820",1981,732345
"new.row.629","21820",1982,880153
"new.row.630","21820",1983,959770
"new.row.631","21820",1984,989428
"new.row.632","21820",1985,1040006
"new.row.633","21820",1986,989943
"new.row.634","21820",1987,947273
"new.row.635","21820",1988,957447
"new.row.636","21820",1989,1042873
"new.row.637","21820",1990,1067575
"new.row.638","21820",1991,1112079
"new.row.639","21820",1992,1195939
"new.row.640","21820",1993,1218284
"new.row.641","21820",1994,1224744
"new.row.642","21820",1995,1266834
"new.row.643","21820",1996,1289658
"new.row.644","21820",1997,1344391
"new.row.645","21820",1998,1413372
"new.row.646","21820",1999,1450887
"new.row.647","21820",2000,1544663
"new.row.648","21820",2001,1609190
"new.row.649","21820",2002,1744337
"new.row.650","21820",2003,1863663
"new.row.651","21820",2004,1978239
"new.row.652","21820",2005,2142581
"new.row.653","21820",2006,2311070
"new.row.654","21820",2007,2393497
"new.row.655","21820",2008,2511272
"new.row.656","21820",2009,2598846
"new.row.657","21820",2010,2669178
"new.row.658","21820",2011,2886357
"new.row.659","21820",2012,2952092
"new.row.660","22380",1969,110950
"new.row.661","22380",1970,118536
"new.row.662","22380",1971,141198
"new.row.663","22380",1972,175194
"new.row.664","22380",1973,207923
"new.row.665","22380",1974,220302
"new.row.666","22380",1975,244833
"new.row.667","22380",1976,262095
"new.row.668","22380",1977,292971
"new.row.669","22380",1978,350024
"new.row.670","22380",1979,380626
"new.row.671","22380",1980,431061
"new.row.672","22380",1981,464967
"new.row.673","22380",1982,483595
"new.row.674","22380",1983,519876
"new.row.675","22380",1984,579508
"new.row.676","22380",1985,629988
"new.row.677","22380",1986,702048
"new.row.678","22380",1987,748629
"new.row.679","22380",1988,798343
"new.row.680","22380",1989,809318
"new.row.681","22380",1990,872028
"new.row.682","22380",1991,933456
"new.row.683","22380",1992,1024863
"new.row.684","22380",1993,1083304
"new.row.685","22380",1994,1167656
"new.row.686","22380",1995,1236089
"new.row.687","22380",1996,1328743
"new.row.688","22380",1997,1423101
"new.row.689","22380",1998,1534859
"new.row.690","22380",1999,1647548
"new.row.691","22380",2000,1786546
"new.row.692","22380",2001,1847789
"new.row.693","22380",2002,1949119
"new.row.694","22380",2003,2066053
"new.row.695","22380",2004,2226185
"new.row.696","22380",2005,2402773
"new.row.697","22380",2006,2641461
"new.row.698","22380",2007,2837039
"new.row.699","22380",2008,2861597
"new.row.700","22380",2009,2783321
"new.row.701","22380",2010,2791112
"new.row.702","22380",2011,2891683
"new.row.703","22380",2012,2973933
"new.row.704","29420",1969,70021
"new.row.705","29420",1970,74546
"new.row.706","29420",1971,84823
"new.row.707","29420",1972,95986
"new.row.708","29420",1973,114126
"new.row.709","29420",1974,122579
"new.row.710","29420",1975,140841
"new.row.711","29420",1976,148076
"new.row.712","29420",1977,172047
"new.row.713","29420",1978,210224
"new.row.714","29420",1979,254053
"new.row.715","29420",1980,280478
"new.row.716","29420",1981,294014
"new.row.717","29420",1982,288736
"new.row.718","29420",1983,316761
"new.row.719","29420",1984,367538
"new.row.720","29420",1985,414880
"new.row.721","29420",1986,463236
"new.row.722","29420",1987,525753
"new.row.723","29420",1988,590901
"new.row.724","29420",1989,666584
"new.row.725","29420",1990,789215
"new.row.726","29420",1991,844901
"new.row.727","29420",1992,902915
"new.row.728","29420",1993,973254
"new.row.729","29420",1994,1061547
"new.row.730","29420",1995,1099812
"new.row.731","29420",1996,1177434
"new.row.732","29420",1997,1301705
"new.row.733","29420",1998,1425160
"new.row.734","29420",1999,1566979
"new.row.735","29420",2000,1721697
"new.row.736","29420",2001,1802816
"new.row.737","29420",2002,1931393
"new.row.738","29420",2003,2072773
"new.row.739","29420",2004,2271531
"new.row.740","29420",2005,2518078
"new.row.741","29420",2006,2794330
"new.row.742","29420",2007,2858558
"new.row.743","29420",2008,2796356
"new.row.744","29420",2009,2543675
"new.row.745","29420",2010,2544087
"new.row.746","29420",2011,2626427
"new.row.747","29420",2012,2685736
"new.row.748","38060",1969,2895655
"new.row.749","38060",1970,3236684
"new.row.750","38060",1971,3654491
"new.row.751","38060",1972,4217828
"new.row.752","38060",1973,4860951
"new.row.753","38060",1974,5413688
"new.row.754","38060",1975,5428650
"new.row.755","38060",1976,6201805
"new.row.756","38060",1977,7122858
"new.row.757","38060",1978,8547860
"new.row.758","38060",1979,10268050
"new.row.759","38060",1980,11580728
"new.row.760","38060",1981,12819116
"new.row.761","38060",1982,13364234
"new.row.762","38060",1983,14750939
"new.row.763","38060",1984,17054441
"new.row.764","38060",1985,19206653
"new.row.765","38060",1986,21206046
"new.row.766","38060",1987,23075102
"new.row.767","38060",1988,25071021
"new.row.768","38060",1989,26042608
"new.row.769","38060",1990,27293723
"new.row.770","38060",1991,28816771
"new.row.771","38060",1992,31014473
"new.row.772","38060",1993,33455497
"new.row.773","38060",1994,36958194
"new.row.774","38060",1995,40894050
"new.row.775","38060",1996,45318779
"new.row.776","38060",1997,49740496
"new.row.777","38060",1998,56137549
"new.row.778","38060",1999,60872996
"new.row.779","38060",2000,67626009
"new.row.780","38060",2001,71403206
"new.row.781","38060",2002,73111565
"new.row.782","38060",2003,76019565
"new.row.783","38060",2004,82780167
"new.row.784","38060",2005,91084071
"new.row.785","38060",2006,101673070
"new.row.786","38060",2007,105397539
"new.row.787","38060",2008,104735665
"new.row.788","38060",2009,97167448
"new.row.789","38060",2010,97054382
"new.row.790","38060",2011,104062907
"new.row.791","38060",2012,108911811
"new.row.792","39140",1969,71649
"new.row.793","39140",1970,80887
"new.row.794","39140",1971,97321
"new.row.795","39140",1972,118863
"new.row.796","39140",1973,141171
"new.row.797","39140",1974,145325
"new.row.798","39140",1975,162757
"new.row.799","39140",1976,179429
"new.row.800","39140",1977,208284
"new.row.801","39140",1978,241714
"new.row.802","39140",1979,272613
"new.row.803","39140",1980,310086
"new.row.804","39140",1981,333819
"new.row.805","39140",1982,338648
"new.row.806","39140",1983,376084
"new.row.807","39140",1984,418405
"new.row.808","39140",1985,468407
"new.row.809","39140",1986,529289
"new.row.810","39140",1987,578933
"new.row.811","39140",1988,632500
"new.row.812","39140",1989,663842
"new.row.813","39140",1990,723350
"new.row.814","39140",1991,796957
"new.row.815","39140",1992,891802
"new.row.816","39140",1993,984156
"new.row.817","39140",1994,1128549
"new.row.818","39140",1995,1206602
"new.row.819","39140",1996,1305188
"new.row.820","39140",1997,1459133
"new.row.821","39140",1998,1590879
"new.row.822","39140",1999,1735690
"new.row.823","39140",2000,1856076
"new.row.824","39140",2001,1897796
"new.row.825","39140",2002,2006290
"new.row.826","39140",2003,2137759
"new.row.827","39140",2004,2322308
"new.row.828","39140",2005,2569413
"new.row.829","39140",2006,2905187
"new.row.830","39140",2007,3041078
"new.row.831","39140",2008,2963474
"new.row.832","39140",2009,2698888
"new.row.833","39140",2010,2627478
"new.row.834","39140",2011,2682113
"new.row.835","39140",2012,2785743
"new.row.836","43420",1969,181212
"new.row.837","43420",1970,192752
