"","msa.fips","year","personal.current.transfer.receipts"
"new.row.197","19300",1986,27981
"new.row.198","19300",1987,29710
"new.row.199","19300",1988,33265
"new.row.200","19300",1989,37042
"new.row.201","19300",1990,40859
"new.row.202","19300",1991,45593
"new.row.203","19300",1992,49914
"new.row.204","19300",1993,56169
"new.row.205","19300",1994,64238
"new.row.206","19300",1995,71873
"new.row.207","19300",1996,78279
"new.row.208","19300",1997,84762
"new.row.209","19300",1998,94059
"new.row.210","19300",1999,102639
"new.row.211","19300",2000,109622
"new.row.212","19300",2001,113514
"new.row.213","19300",2002,120584
"new.row.214","19300",2003,128616
"new.row.215","19300",2004,141273
"new.row.216","19300",2005,158542
"new.row.217","19300",2006,178298
"new.row.218","19300",2007,191999
"new.row.219","19300",2008,198594
"new.row.220","19300",2009,193860
"new.row.221","19300",2010,197039
"new.row.222","19300",2011,167896
"new.row.223","19300",2012,173778
"new.row.224","19300",2013,227122
"new.row.225","19460",1969,8256
"new.row.226","19460",1970,9410
"new.row.227","19460",1971,9805
"new.row.228","19460",1972,11207
"new.row.229","19460",1973,14528
"new.row.230","19460",1974,17377
"new.row.231","19460",1975,19373
"new.row.232","19460",1976,21462
"new.row.233","19460",1977,24072
"new.row.234","19460",1978,28350
"new.row.235","19460",1979,33342
"new.row.236","19460",1980,34663
"new.row.237","19460",1981,40727
"new.row.238","19460",1982,42722
"new.row.239","19460",1983,46378
"new.row.240","19460",1984,51577
"new.row.241","19460",1985,57532
"new.row.242","19460",1986,59404
"new.row.243","19460",1987,63421
"new.row.244","19460",1988,70428
"new.row.245","19460",1989,77006
"new.row.246","19460",1990,83670
"new.row.247","19460",1991,90697
"new.row.248","19460",1992,94865
"new.row.249","19460",1993,101075
"new.row.250","19460",1994,106595
"new.row.251","19460",1995,113567
"new.row.252","19460",1996,117902
"new.row.253","19460",1997,124705
"new.row.254","19460",1998,132260
"new.row.255","19460",1999,139382
"new.row.256","19460",2000,140496
"new.row.257","19460",2001,145677
"new.row.258","19460",2002,145847
"new.row.259","19460",2003,148884
"new.row.260","19460",2004,158096
"new.row.261","19460",2005,166040
"new.row.262","19460",2006,176262
"new.row.263","19460",2007,187012
"new.row.264","19460",2008,191946
"new.row.265","19460",2009,183031
"new.row.266","19460",2010,186771
"new.row.267","19460",2011,153419
"new.row.268","19460",2012,158326
"new.row.269","19460",2013,205539
"new.row.270","20020",1969,6270
"new.row.271","20020",1970,6966
"new.row.272","20020",1971,7902
"new.row.273","20020",1972,9543
"new.row.274","20020",1973,13629
"new.row.275","20020",1974,16179
"new.row.276","20020",1975,16534
"new.row.277","20020",1976,20114
"new.row.278","20020",1977,22365
"new.row.279","20020",1978,25497
"new.row.280","20020",1979,28327
"new.row.281","20020",1980,32891
"new.row.282","20020",1981,37834
"new.row.283","20020",1982,39454
"new.row.284","20020",1983,42475
"new.row.285","20020",1984,46430
"new.row.286","20020",1985,51563
"new.row.287","20020",1986,54300
"new.row.288","20020",1987,58654
"new.row.289","20020",1988,66433
"new.row.290","20020",1989,73941
"new.row.291","20020",1990,79252
"new.row.292","20020",1991,83829
"new.row.293","20020",1992,90340
"new.row.294","20020",1993,94360
"new.row.295","20020",1994,99671
"new.row.296","20020",1995,106932
"new.row.297","20020",1996,109392
"new.row.298","20020",1997,114141
"new.row.299","20020",1998,119499
"new.row.300","20020",1999,123958
"new.row.301","20020",2000,126908
"new.row.302","20020",2001,131736
"new.row.303","20020",2002,138175
"new.row.304","20020",2003,143273
"new.row.305","20020",2004,152646
"new.row.306","20020",2005,163547
"new.row.307","20020",2006,178872
"new.row.308","20020",2007,186992
"new.row.309","20020",2008,188935
"new.row.310","20020",2009,187049
"new.row.311","20020",2010,189484
"new.row.312","20020",2011,154256
"new.row.313","20020",2012,156823
"new.row.314","20020",2013,201422
"new.row.315","22520",1969,9397
"new.row.316","22520",1970,9813
"new.row.317","22520",1971,10660
"new.row.318","22520",1972,12701
"new.row.319","22520",1973,16222
"new.row.320","22520",1974,18937
"new.row.321","22520",1975,19767
"new.row.322","22520",1976,23496
"new.row.323","22520",1977,26466
"new.row.324","22520",1978,30612
"new.row.325","22520",1979,34585
"new.row.326","22520",1980,37837
"new.row.327","22520",1981,43789
"new.row.328","22520",1982,45213
"new.row.329","22520",1983,48756
"new.row.330","22520",1984,51841
"new.row.331","22520",1985,56569
"new.row.332","22520",1986,58167
"new.row.333","22520",1987,60647
"new.row.334","22520",1988,68933
"new.row.335","22520",1989,75343
"new.row.336","22520",1990,82652
"new.row.337","22520",1991,87524
"new.row.338","22520",1992,92327
"new.row.339","22520",1993,98103
"new.row.340","22520",1994,105388
"new.row.341","22520",1995,113126
"new.row.342","22520",1996,115889
"new.row.343","22520",1997,119053
"new.row.344","22520",1998,116523
"new.row.345","22520",1999,120806
"new.row.346","22520",2000,122034
"new.row.347","22520",2001,124128
"new.row.348","22520",2002,124796
"new.row.349","22520",2003,129013
"new.row.350","22520",2004,137314
"new.row.351","22520",2005,147327
"new.row.352","22520",2006,160835
"new.row.353","22520",2007,169198
"new.row.354","22520",2008,172969
