"","msa.fips","year","personal.current.transfer.receipts"
"new.row.3385","23540",1979,38629
"new.row.3386","23540",1980,44757
"new.row.3387","23540",1981,54316
"new.row.3388","23540",1982,61198
"new.row.3389","23540",1983,67927
"new.row.3390","23540",1984,77616
"new.row.3391","23540",1985,91101
"new.row.3392","23540",1986,100418
"new.row.3393","23540",1987,106045
"new.row.3394","23540",1988,121941
"new.row.3395","23540",1989,134098
"new.row.3396","23540",1990,142395
"new.row.3397","23540",1991,150510
"new.row.3398","23540",1992,159262
"new.row.3399","23540",1993,168586
"new.row.3400","23540",1994,180035
"new.row.3401","23540",1995,188676
"new.row.3402","23540",1996,196255
"new.row.3403","23540",1997,207696
"new.row.3404","23540",1998,223168
"new.row.3405","23540",1999,234461
"new.row.3406","23540",2000,247137
"new.row.3407","23540",2001,260922
"new.row.3408","23540",2002,274083
"new.row.3409","23540",2003,282941
"new.row.3410","23540",2004,319838
"new.row.3411","23540",2005,344359
"new.row.3412","23540",2006,367262
"new.row.3413","23540",2007,387067
"new.row.3414","23540",2008,395176
"new.row.3415","23540",2009,392036
"new.row.3416","23540",2010,396899
"new.row.3417","23540",2011,312598
"new.row.3418","23540",2012,320535
"new.row.3419","23540",2013,426047
"new.row.3420","26140",1969,1065
"new.row.3421","26140",1970,1322
"new.row.3422","26140",1971,1658
"new.row.3423","26140",1972,2237
"new.row.3424","26140",1973,3559
"new.row.3425","26140",1974,3707
"new.row.3426","26140",1975,3792
"new.row.3427","26140",1976,4239
"new.row.3428","26140",1977,4905
"new.row.3429","26140",1978,5954
"new.row.3430","26140",1979,7527
"new.row.3431","26140",1980,9286
"new.row.3432","26140",1981,12136
"new.row.3433","26140",1982,14614
"new.row.3434","26140",1983,15575
"new.row.3435","26140",1984,18708
"new.row.3436","26140",1985,24423
"new.row.3437","26140",1986,25221
"new.row.3438","26140",1987,29452
"new.row.3439","26140",1988,33480
"new.row.3440","26140",1989,39624
"new.row.3441","26140",1990,39487
"new.row.3442","26140",1991,44594
"new.row.3443","26140",1992,48680
"new.row.3444","26140",1993,52700
"new.row.3445","26140",1994,57848
"new.row.3446","26140",1995,60676
"new.row.3447","26140",1996,61620
"new.row.3448","26140",1997,66315
"new.row.3449","26140",1998,68332
"new.row.3450","26140",1999,73204
"new.row.3451","26140",2000,75691
"new.row.3452","26140",2001,82111
"new.row.3453","26140",2002,85435
"new.row.3454","26140",2003,92129
"new.row.3455","26140",2004,101199
"new.row.3456","26140",2005,116556
"new.row.3457","26140",2006,130058
"new.row.3458","26140",2007,135627
"new.row.3459","26140",2008,137271
"new.row.3460","26140",2009,141034
"new.row.3461","26140",2010,146229
"new.row.3462","26140",2011,125386
"new.row.3463","26140",2012,126408
"new.row.3464","26140",2013,153482
"new.row.3465","27260",1969,58435
"new.row.3466","27260",1970,64279
"new.row.3467","27260",1971,73095
"new.row.3468","27260",1972,85424
"new.row.3469","27260",1973,111340
"new.row.3470","27260",1974,128709
"new.row.3471","27260",1975,134707
"new.row.3472","27260",1976,144189
"new.row.3473","27260",1977,158807
"new.row.3474","27260",1978,182735
"new.row.3475","27260",1979,211995
"new.row.3476","27260",1980,241282
"new.row.3477","27260",1981,294438
"new.row.3478","27260",1982,330301
"new.row.3479","27260",1983,363855
"new.row.3480","27260",1984,417280
"new.row.3481","27260",1985,483058
"new.row.3482","27260",1986,546868
"new.row.3483","27260",1987,590062
"new.row.3484","27260",1988,664050
"new.row.3485","27260",1989,722050
"new.row.3486","27260",1990,773567
"new.row.3487","27260",1991,811003
"new.row.3488","27260",1992,859367
"new.row.3489","27260",1993,908205
"new.row.3490","27260",1994,975658
"new.row.3491","27260",1995,1040043
"new.row.3492","27260",1996,1108056
"new.row.3493","27260",1997,1189411
"new.row.3494","27260",1998,1282089
"new.row.3495","27260",1999,1342250
"new.row.3496","27260",2000,1452223
"new.row.3497","27260",2001,1501963
"new.row.3498","27260",2002,1571039
"new.row.3499","27260",2003,1676853
"new.row.3500","27260",2004,1791105
"new.row.3501","27260",2005,1934699
"new.row.3502","27260",2006,2115543
"new.row.3503","27260",2007,2207275
"new.row.3504","27260",2008,2201212
"new.row.3505","27260",2009,2157111
"new.row.3506","27260",2010,2203545
"new.row.3507","27260",2011,1756686
"new.row.3508","27260",2012,1819585
"new.row.3509","27260",2013,2414035
"new.row.3510","29460",1969,17983
"new.row.3511","29460",1970,20066
"new.row.3512","29460",1971,23102
"new.row.3513","29460",1972,27735
"new.row.3514","29460",1973,37548
"new.row.3515","29460",1974,45984
"new.row.3516","29460",1975,50576
"new.row.3517","29460",1976,53409
"new.row.3518","29460",1977,59913
"new.row.3519","29460",1978,69966
"new.row.3520","29460",1979,84756
"new.row.3521","29460",1980,99916
"new.row.3522","29460",1981,119842
"new.row.3523","29460",1982,125251
"new.row.3524","29460",1983,132062
"new.row.3525","29460",1984,148934
"new.row.3526","29460",1985,168745
"new.row.3527","29460",1986,185089
"new.row.3528","29460",1987,200899
"new.row.3529","29460",1988,228143
"new.row.3530","29460",1989,254509
"new.row.3531","29460",1990,261114
"new.row.3532","29460",1991,270374
"new.row.3533","29460",1992,284687
"new.row.3534","29460",1993,299690
"new.row.3535","29460",1994,328697
"new.row.3536","29460",1995,348564
"new.row.3537","29460",1996,365503
"new.row.3538","29460",1997,375414
"new.row.3539","29460",1998,403266
"new.row.3540","29460",1999,426628
"new.row.3541","29460",2000,430585
"new.row.3542","29460",2001,466882
"new.row.3543","29460",2002,484766
"new.row.3544","29460",2003,512359
"new.row.3545","29460",2004,560677
"new.row.3546","29460",2005,623930
"new.row.3547","29460",2006,679344
"new.row.3548","29460",2007,707682
"new.row.3549","29460",2008,710927
"new.row.3550","29460",2009,699216
"new.row.3551","29460",2010,703038
"new.row.3552","29460",2011,576281
"new.row.3553","29460",2012,581566
"new.row.3554","29460",2013,757059
"new.row.3555","33100",1969,221334
"new.row.3556","33100",1970,253350
"new.row.3557","33100",1971,290323
"new.row.3558","33100",1972,348352
"new.row.3559","33100",1973,472875
"new.row.3560","33100",1974,544105
"new.row.3561","33100",1975,543108
"new.row.3562","33100",1976,584200
"new.row.3563","33100",1977,657648
"new.row.3564","33100",1978,780295
"new.row.3565","33100",1979,947611
"new.row.3566","33100",1980,1118508
"new.row.3567","33100",1981,1365287
"new.row.3568","33100",1982,1488798
"new.row.3569","33100",1983,1619415
"new.row.3570","33100",1984,1807759
"new.row.3571","33100",1985,2065371
"new.row.3572","33100",1986,2302623
"new.row.3573","33100",1987,2525440
"new.row.3574","33100",1988,2865508
"new.row.3575","33100",1989,3097378
"new.row.3576","33100",1990,3226839
"new.row.3577","33100",1991,3397388
"new.row.3578","33100",1992,3619624
"new.row.3579","33100",1993,3897294
"new.row.3580","33100",1994,4155591
"new.row.3581","33100",1995,4420304
"new.row.3582","33100",1996,4641717
"new.row.3583","33100",1997,4872367
"new.row.3584","33100",1998,5236322
"new.row.3585","33100",1999,5571391
"new.row.3586","33100",2000,6026244
"new.row.3587","33100",2001,6504682
"new.row.3588","33100",2002,6791059
"new.row.3589","33100",2003,7030791
"new.row.3590","33100",2004,7524432
"new.row.3591","33100",2005,8232568
"new.row.3592","33100",2006,8908452
"new.row.3593","33100",2007,9269139
"new.row.3594","33100",2008,9335664
"new.row.3595","33100",2009,9016965
"new.row.3596","33100",2010,9145185
"new.row.3597","33100",2011,7490583
"new.row.3598","33100",2012,7734459
"new.row.3599","33100",2013,10186345
"new.row.3600","34940",1969,3482
"new.row.3601","34940",1970,4191
"new.row.3602","34940",1971,4949
"new.row.3603","34940",1972,5937
"new.row.3604","34940",1973,8902
"new.row.3605","34940",1974,10469
"new.row.3606","34940",1975,10107
"new.row.3607","34940",1976,11102
"new.row.3608","34940",1977,13779
"new.row.3609","34940",1978,17554
"new.row.3610","34940",1979,21883
"new.row.3611","34940",1980,26194
"new.row.3612","34940",1981,33239
"new.row.3613","34940",1982,36068
"new.row.3614","34940",1983,39102
"new.row.3615","34940",1984,45425
"new.row.3616","34940",1985,55180
"new.row.3617","34940",1986,64524
"new.row.3618","34940",1987,76479
"new.row.3619","34940",1988,91019
"new.row.3620","34940",1989,107010
"new.row.3621","34940",1990,113949
"new.row.3622","34940",1991,124308
"new.row.3623","34940",1992,135611
"new.row.3624","34940",1993,147420
"new.row.3625","34940",1994,167251
"new.row.3626","34940",1995,181151
"new.row.3627","34940",1996,193668
"new.row.3628","34940",1997,218581
"new.row.3629","34940",1998,234612
"new.row.3630","34940",1999,257248
"new.row.3631","34940",2000,280866
"new.row.3632","34940",2001,316574
"new.row.3633","34940",2002,330678
"new.row.3634","34940",2003,367572
"new.row.3635","34940",2004,405673
"new.row.3636","34940",2005,458811
"new.row.3637","34940",2006,488764
"new.row.3638","34940",2007,500754
"new.row.3639","34940",2008,480062
"new.row.3640","34940",2009,453767
"new.row.3641","34940",2010,469134
"new.row.3642","34940",2011,392491
"new.row.3643","34940",2012,407941
"new.row.3644","34940",2013,543805
"new.row.3645","35840",1969,16162
"new.row.3646","35840",1970,18752
"new.row.3647","35840",1971,22161
"new.row.3648","35840",1972,26977
"new.row.3649","35840",1973,36805
"new.row.3650","35840",1974,43424
"new.row.3651","35840",1975,43976
"new.row.3652","35840",1976,48504
"new.row.3653","35840",1977,56465
"new.row.3654","35840",1978,68767
"new.row.3655","35840",1979,83113
"new.row.3656","35840",1980,96205
"new.row.3657","35840",1981,116938
"new.row.3658","35840",1982,129622
"new.row.3659","35840",1983,144517
"new.row.3660","35840",1984,166599
"new.row.3661","35840",1985,189810
"new.row.3662","35840",1986,212768
"new.row.3663","35840",1987,239206
"new.row.3664","35840",1988,272837
"new.row.3665","35840",1989,311051
"new.row.3666","35840",1990,325851
"new.row.3667","35840",1991,350958
"new.row.3668","35840",1992,380231
"new.row.3669","35840",1993,409768
"new.row.3670","35840",1994,448545
"new.row.3671","35840",1995,500317
"new.row.3672","35840",1996,503110
"new.row.3673","35840",1997,535469
"new.row.3674","35840",1998,566926
"new.row.3675","35840",1999,603127
"new.row.3676","35840",2000,648213
"new.row.3677","35840",2001,674265
"new.row.3678","35840",2002,728050
"new.row.3679","35840",2003,763151
"new.row.3680","35840",2004,842376
"new.row.3681","35840",2005,945473
"new.row.3682","35840",2006,1008587
"new.row.3683","35840",2007,1031074
"new.row.3684","35840",2008,998641
"new.row.3685","35840",2009,966209
"new.row.3686","35840",2010,961665
"new.row.3687","35840",2011,806871
"new.row.3688","35840",2012,827519
"new.row.3689","35840",2013,1075613
"new.row.3690","36100",1969,4446
"new.row.3691","36100",1970,5196
"new.row.3692","36100",1971,6270
"new.row.3693","36100",1972,7757
"new.row.3694","36100",1973,10669
"new.row.3695","36100",1974,12138
"new.row.3696","36100",1975,12471
"new.row.3697","36100",1976,13714
"new.row.3698","36100",1977,15470
"new.row.3699","36100",1978,18357
"new.row.3700","36100",1979,22728
"new.row.3701","36100",1980,26879
"new.row.3702","36100",1981,33257
"new.row.3703","36100",1982,37722
"new.row.3704","36100",1983,42118
"new.row.3705","36100",1984,49096
"new.row.3706","36100",1985,58291
"new.row.3707","36100",1986,67764
"new.row.3708","36100",1987,74583
"new.row.3709","36100",1988,86131
"new.row.3710","36100",1989,98201
"new.row.3711","36100",1990,103037
"new.row.3712","36100",1991,108791
"new.row.3713","36100",1992,116308
"new.row.3714","36100",1993,127106
"new.row.3715","36100",1994,141544
"new.row.3716","36100",1995,152356
"new.row.3717","36100",1996,162247
"new.row.3718","36100",1997,170835
"new.row.3719","36100",1998,181914
"new.row.3720","36100",1999,193649
"new.row.3721","36100",2000,199810
"new.row.3722","36100",2001,211270
"new.row.3723","36100",2002,223637
"new.row.3724","36100",2003,243550
"new.row.3725","36100",2004,270219
"new.row.3726","36100",2005,304171
"new.row.3727","36100",2006,340089
"new.row.3728","36100",2007,354160
"new.row.3729","36100",2008,357160
"new.row.3730","36100",2009,345217
"new.row.3731","36100",2010,349217
"new.row.3732","36100",2011,297227
"new.row.3733","36100",2012,300994
"new.row.3734","36100",2013,378264
"new.row.3735","36740",1969,42249
"new.row.3736","36740",1970,48007
"new.row.3737","36740",1971,58945
"new.row.3738","36740",1972,73510
"new.row.3739","36740",1973,102959
"new.row.3740","36740",1974,116845
"new.row.3741","36740",1975,117470
"new.row.3742","36740",1976,129254
"new.row.3743","36740",1977,144817
"new.row.3744","36740",1978,174132
"new.row.3745","36740",1979,213404
"new.row.3746","36740",1980,252859
"new.row.3747","36740",1981,316732
"new.row.3748","36740",1982,367813
"new.row.3749","36740",1983,418308
"new.row.3750","36740",1984,487332
"new.row.3751","36740",1985,575873
"new.row.3752","36740",1986,667501
"new.row.3753","36740",1987,732485
"new.row.3754","36740",1988,850105
"new.row.3755","36740",1989,953821
"new.row.3756","36740",1990,1032982
"new.row.3757","36740",1991,1083566
"new.row.3758","36740",1992,1157683
"new.row.3759","36740",1993,1235806
"new.row.3760","36740",1994,1333530
"new.row.3761","36740",1995,1429744
"new.row.3762","36740",1996,1527832
"new.row.3763","36740",1997,1661059
"new.row.3764","36740",1998,1818205
"new.row.3765","36740",1999,1979387
"new.row.3766","36740",2000,2123404
"new.row.3767","36740",2001,2282699
"new.row.3768","36740",2002,2386038
"new.row.3769","36740",2003,2524824
"new.row.3770","36740",2004,2772781
"new.row.3771","36740",2005,3082235
"new.row.3772","36740",2006,3309175
"new.row.3773","36740",2007,3463866
"new.row.3774","36740",2008,3503145
"new.row.3775","36740",2009,3336780
"new.row.3776","36740",2010,3379804
"new.row.3777","36740",2011,2710076
"new.row.3778","36740",2012,2818447
"new.row.3779","36740",2013,3784472
"new.row.3780","37340",1969,26669
"new.row.3781","37340",1970,24128
"new.row.3782","37340",1971,24594
"new.row.3783","37340",1972,27793
"new.row.3784","37340",1973,35097
"new.row.3785","37340",1974,37623
"new.row.3786","37340",1975,39603
"new.row.3787","37340",1976,41997
"new.row.3788","37340",1977,47801
"new.row.3789","37340",1978,57518
"new.row.3790","37340",1979,72329
"new.row.3791","37340",1980,86933
"new.row.3792","37340",1981,106908
"new.row.3793","37340",1982,120308
"new.row.3794","37340",1983,136034
"new.row.3795","37340",1984,158345
"new.row.3796","37340",1985,185810
"new.row.3797","37340",1986,202715
"new.row.3798","37340",1987,219177
"new.row.3799","37340",1988,252511
"new.row.3800","37340",1989,283092
"new.row.3801","37340",1990,299766
"new.row.3802","37340",1991,320042
"new.row.3803","37340",1992,340935
"new.row.3804","37340",1993,353173
"new.row.3805","37340",1994,371205
"new.row.3806","37340",1995,381838
"new.row.3807","37340",1996,387683
"new.row.3808","37340",1997,414848
"new.row.3809","37340",1998,435664
"new.row.3810","37340",1999,456265
"new.row.3811","37340",2000,500463
"new.row.3812","37340",2001,537321
"new.row.3813","37340",2002,561495
"new.row.3814","37340",2003,597831
"new.row.3815","37340",2004,659083
"new.row.3816","37340",2005,716970
"new.row.3817","37340",2006,761258
"new.row.3818","37340",2007,780443
"new.row.3819","37340",2008,787592
"new.row.3820","37340",2009,790360
"new.row.3821","37340",2010,793915
"new.row.3822","37340",2011,638199
"new.row.3823","37340",2012,634373
"new.row.3824","37340",2013,813071
"new.row.3825","37460",1969,5922
"new.row.3826","37460",1970,6749
"new.row.3827","37460",1971,7413
"new.row.3828","37460",1972,8555
"new.row.3829","37460",1973,11357
"new.row.3830","37460",1974,13747
"new.row.3831","37460",1975,14638
"new.row.3832","37460",1976,16693
"new.row.3833","37460",1977,18221
"new.row.3834","37460",1978,21251
"new.row.3835","37460",1979,24787
"new.row.3836","37460",1980,27502
"new.row.3837","37460",1981,34028
"new.row.3838","37460",1982,37959
"new.row.3839","37460",1983,42093
"new.row.3840","37460",1984,48652
"new.row.3841","37460",1985,56337
"new.row.3842","37460",1986,63589
"new.row.3843","37460",1987,66284
"new.row.3844","37460",1988,74811
"new.row.3845","37460",1989,80499
"new.row.3846","37460",1990,86706
"new.row.3847","37460",1991,94322
"new.row.3848","37460",1992,99909
"new.row.3849","37460",1993,106821
"new.row.3850","37460",1994,114609
"new.row.3851","37460",1995,121354
"new.row.3852","37460",1996,126927
"new.row.3853","37460",1997,134158
"new.row.3854","37460",1998,139740
"new.row.3855","37460",1999,144535
"new.row.3856","37460",2000,146156
"new.row.3857","37460",2001,161767
"new.row.3858","37460",2002,173004
"new.row.3859","37460",2003,186447
"new.row.3860","37460",2004,203005
"new.row.3861","37460",2005,226491
"new.row.3862","37460",2006,242245
"new.row.3863","37460",2007,248580
"new.row.3864","37460",2008,251887
"new.row.3865","37460",2009,248651
"new.row.3866","37460",2010,254370
"new.row.3867","37460",2011,204125
"new.row.3868","37460",2012,203251
"new.row.3869","37460",2013,264978
"new.row.3870","37860",1969,18808
"new.row.3871","37860",1970,21004
"new.row.3872","37860",1971,24158
"new.row.3873","37860",1972,28257
"new.row.3874","37860",1973,34850
"new.row.3875","37860",1974,40306
"new.row.3876","37860",1975,43085
"new.row.3877","37860",1976,46126
"new.row.3878","37860",1977,51010
"new.row.3879","37860",1978,57892
"new.row.3880","37860",1979,68090
"new.row.3881","37860",1980,75299
"new.row.3882","37860",1981,92736
"new.row.3883","37860",1982,103479
"new.row.3884","37860",1983,114895
"new.row.3885","37860",1984,126921
"new.row.3886","37860",1985,142512
"new.row.3887","37860",1986,158622
"new.row.3888","37860",1987,167541
"new.row.3889","37860",1988,185860
"new.row.3890","37860",1989,201225
"new.row.3891","37860",1990,213556
"new.row.3892","37860",1991,225557
"new.row.3893","37860",1992,241918
"new.row.3894","37860",1993,253084
"new.row.3895","37860",1994,270712
"new.row.3896","37860",1995,282714
"new.row.3897","37860",1996,299904
"new.row.3898","37860",1997,317311
"new.row.3899","37860",1998,334175
"new.row.3900","37860",1999,347092
"new.row.3901","37860",2000,361778
"new.row.3902","37860",2001,386127
"new.row.3903","37860",2002,396240
"new.row.3904","37860",2003,416112
"new.row.3905","37860",2004,458722
"new.row.3906","37860",2005,489950
"new.row.3907","37860",2006,526934
"new.row.3908","37860",2007,545490
"new.row.3909","37860",2008,547275
"new.row.3910","37860",2009,546741
"new.row.3911","37860",2010,552916
"new.row.3912","37860",2011,450994
"new.row.3913","37860",2012,456057
"new.row.3914","37860",2013,591499
"new.row.3915","38940",1969,5591
"new.row.3916","38940",1970,6502
"new.row.3917","38940",1971,7727
"new.row.3918","38940",1972,9868
"new.row.3919","38940",1973,13814
"new.row.3920","38940",1974,16313
"new.row.3921","38940",1975,17138
"new.row.3922","38940",1976,19195
"new.row.3923","38940",1977,21847
"new.row.3924","38940",1978,26318
"new.row.3925","38940",1979,33559
"new.row.3926","38940",1980,42785
"new.row.3927","38940",1981,51573
"new.row.3928","38940",1982,58068
"new.row.3929","38940",1983,62331
"new.row.3930","38940",1984,68479
"new.row.3931","38940",1985,78846
"new.row.3932","38940",1986,91268
"new.row.3933","38940",1987,102834
"new.row.3934","38940",1988,120694
"new.row.3935","38940",1989,138612
"new.row.3936","38940",1990,144112
"new.row.3937","38940",1991,151301
"new.row.3938","38940",1992,163394
"new.row.3939","38940",1993,174414
"new.row.3940","38940",1994,187877
"new.row.3941","38940",1995,198647
"new.row.3942","38940",1996,205974
"new.row.3943","38940",1997,216882
"new.row.3944","38940",1998,227641
"new.row.3945","38940",1999,241349
"new.row.3946","38940",2000,252839
"new.row.3947","38940",2001,278800
"new.row.3948","38940",2002,300557
"new.row.3949","38940",2003,321826
"new.row.3950","38940",2004,366810
"new.row.3951","38940",2005,412274
"new.row.3952","38940",2006,448293
"new.row.3953","38940",2007,476049
"new.row.3954","38940",2008,470557
"new.row.3955","38940",2009,455561
"new.row.3956","38940",2010,463093
"new.row.3957","38940",2011,387440
"new.row.3958","38940",2012,393357
"new.row.3959","38940",2013,500915
"new.row.3960","39460",1969,1624
"new.row.3961","39460",1970,1968
"new.row.3962","39460",1971,2415
"new.row.3963","39460",1972,3269
"new.row.3964","39460",1973,4320
"new.row.3965","39460",1974,5007
"new.row.3966","39460",1975,5052
"new.row.3967","39460",1976,5746
"new.row.3968","39460",1977,6954
"new.row.3969","39460",1978,8659
"new.row.3970","39460",1979,10157
"new.row.3971","39460",1980,12226
"new.row.3972","39460",1981,15354
"new.row.3973","39460",1982,16621
"new.row.3974","39460",1983,18480
"new.row.3975","39460",1984,21079
"new.row.3976","39460",1985,25080
"new.row.3977","39460",1986,29156
"new.row.3978","39460",1987,33411
"new.row.3979","39460",1988,41186
"new.row.3980","39460",1989,49636
"new.row.3981","39460",1990,51930
"new.row.3982","39460",1991,54965
"new.row.3983","39460",1992,59843
"new.row.3984","39460",1993,64144
"new.row.3985","39460",1994,70159
"new.row.3986","39460",1995,74693
"new.row.3987","39460",1996,77374
"new.row.3988","39460",1997,80431
"new.row.3989","39460",1998,85901
"new.row.3990","39460",1999,92816
"new.row.3991","39460",2000,98845
"new.row.3992","39460",2001,108687
"new.row.3993","39460",2002,112556
"new.row.3994","39460",2003,118185
"new.row.3995","39460",2004,137168
"new.row.3996","39460",2005,146672
"new.row.3997","39460",2006,164885
"new.row.3998","39460",2007,167865
"new.row.3999","39460",2008,166076
"new.row.4000","39460",2009,163519
"new.row.4001","39460",2010,167935
"new.row.4002","39460",2011,146550
"new.row.4003","39460",2012,149363
"new.row.4004","39460",2013,189363
"new.row.4005","42680",1969,2702
"new.row.4006","42680",1970,2974
"new.row.4007","42680",1971,3658
"new.row.4008","42680",1972,4652
"new.row.4009","42680",1973,6476
"new.row.4010","42680",1974,7353
"new.row.4011","42680",1975,7553
"new.row.4012","42680",1976,8582
"new.row.4013","42680",1977,9739
"new.row.4014","42680",1978,11845
"new.row.4015","42680",1979,14386
"new.row.4016","42680",1980,16269
"new.row.4017","42680",1981,20890
"new.row.4018","42680",1982,21818
"new.row.4019","42680",1983,23267
"new.row.4020","42680",1984,27119
"new.row.4021","42680",1985,31888
"new.row.4022","42680",1986,37735
"new.row.4023","42680",1987,42066
"new.row.4024","42680",1988,49330
"new.row.4025","42680",1989,59125
"new.row.4026","42680",1990,62083
"new.row.4027","42680",1991,62106
"new.row.4028","42680",1992,66767
"new.row.4029","42680",1993,70805
"new.row.4030","42680",1994,77165
"new.row.4031","42680",1995,82818
"new.row.4032","42680",1996,87400
"new.row.4033","42680",1997,91601
"new.row.4034","42680",1998,96358
"new.row.4035","42680",1999,104824
"new.row.4036","42680",2000,109024
"new.row.4037","42680",2001,112751
"new.row.4038","42680",2002,118362
"new.row.4039","42680",2003,130602
"new.row.4040","42680",2004,146161
"new.row.4041","42680",2005,158569
"new.row.4042","42680",2006,171454
"new.row.4043","42680",2007,182038
"new.row.4044","42680",2008,184756
"new.row.4045","42680",2009,176035
"new.row.4046","42680",2010,174374
"new.row.4047","42680",2011,145808
"new.row.4048","42680",2012,151867
"new.row.4049","42680",2013,192431
"new.row.4050","42700",1969,1684
"new.row.4051","42700",1970,1895
"new.row.4052","42700",1971,2239
"new.row.4053","42700",1972,2586
"new.row.4054","42700",1973,3400
"new.row.4055","42700",1974,4117
"new.row.4056","42700",1975,4364
"new.row.4057","42700",1976,4731
"new.row.4058","42700",1977,5339
"new.row.4059","42700",1978,6388
"new.row.4060","42700",1979,7634
"new.row.4061","42700",1980,8840
"new.row.4062","42700",1981,10643
"new.row.4063","42700",1982,11715
"new.row.4064","42700",1983,13043
"new.row.4065","42700",1984,15138
"new.row.4066","42700",1985,18106
"new.row.4067","42700",1986,20772
"new.row.4068","42700",1987,22645
"new.row.4069","42700",1988,26580
"new.row.4070","42700",1989,31215
"new.row.4071","42700",1990,32294
"new.row.4072","42700",1991,34618
"new.row.4073","42700",1992,37116
"new.row.4074","42700",1993,39953
"new.row.4075","42700",1994,44131
"new.row.4076","42700",1995,46681
"new.row.4077","42700",1996,46752
"new.row.4078","42700",1997,49090
"new.row.4079","42700",1998,49239
"new.row.4080","42700",1999,51155
"new.row.4081","42700",2000,52173
"new.row.4082","42700",2001,57834
"new.row.4083","42700",2002,62669
"new.row.4084","42700",2003,67146
"new.row.4085","42700",2004,73935
"new.row.4086","42700",2005,81431
"new.row.4087","42700",2006,88203
"new.row.4088","42700",2007,92833
"new.row.4089","42700",2008,91817
"new.row.4090","42700",2009,93136
"new.row.4091","42700",2010,94932
"new.row.4092","42700",2011,81303
"new.row.4093","42700",2012,81125
"new.row.4094","42700",2013,99608
"new.row.4095","45220",1969,10380
"new.row.4096","45220",1970,11803
"new.row.4097","45220",1971,14390
"new.row.4098","45220",1972,17867
"new.row.4099","45220",1973,24159
"new.row.4100","45220",1974,28268
"new.row.4101","45220",1975,30448
"new.row.4102","45220",1976,33689
"new.row.4103","45220",1977,37515
"new.row.4104","45220",1978,43828
"new.row.4105","45220",1979,52808
"new.row.4106","45220",1980,60782
"new.row.4107","45220",1981,74046
"new.row.4108","45220",1982,81847
"new.row.4109","45220",1983,89207
"new.row.4110","45220",1984,98146
"new.row.4111","45220",1985,111877
"new.row.4112","45220",1986,129107
"new.row.4113","45220",1987,138862
"new.row.4114","45220",1988,164052
"new.row.4115","45220",1989,181069
"new.row.4116","45220",1990,195264
"new.row.4117","45220",1991,209077
"new.row.4118","45220",1992,222560
"new.row.4119","45220",1993,236108
"new.row.4120","45220",1994,254129
"new.row.4121","45220",1995,272364
"new.row.4122","45220",1996,285010
"new.row.4123","45220",1997,300585
"new.row.4124","45220",1998,323816
"new.row.4125","45220",1999,347551
"new.row.4126","45220",2000,362686
"new.row.4127","45220",2001,397649
"new.row.4128","45220",2002,400718
"new.row.4129","45220",2003,414453
"new.row.4130","45220",2004,437574
"new.row.4131","45220",2005,467618
"new.row.4132","45220",2006,497713
"new.row.4133","45220",2007,529497
"new.row.4134","45220",2008,536902
"new.row.4135","45220",2009,529850
"new.row.4136","45220",2010,532747
"new.row.4137","45220",2011,415096
"new.row.4138","45220",2012,415664
"new.row.4139","45220",2013,541848
"new.row.4140","45300",1969,86846
"new.row.4141","45300",1970,99237
"new.row.4142","45300",1971,116042
"new.row.4143","45300",1972,141860
"new.row.4144","45300",1973,190311
"new.row.4145","45300",1974,221858
"new.row.4146","45300",1975,228112
"new.row.4147","45300",1976,243920
"new.row.4148","45300",1977,277693
"new.row.4149","45300",1978,328418
"new.row.4150","45300",1979,396806
"new.row.4151","45300",1980,461215
"new.row.4152","45300",1981,562972
"new.row.4153","45300",1982,629672
"new.row.4154","45300",1983,705062
"new.row.4155","45300",1984,806345
"new.row.4156","45300",1985,930426
"new.row.4157","45300",1986,1044384
"new.row.4158","45300",1987,1133117
"new.row.4159","45300",1988,1294406
"new.row.4160","45300",1989,1436964
"new.row.4161","45300",1990,1495821
"new.row.4162","45300",1991,1569789
"new.row.4163","45300",1992,1673248
"new.row.4164","45300",1993,1779341
"new.row.4165","45300",1994,1931868
"new.row.4166","45300",1995,2074136
"new.row.4167","45300",1996,2190112
"new.row.4168","45300",1997,2337094
"new.row.4169","45300",1998,2524215
"new.row.4170","45300",1999,2721910
"new.row.4171","45300",2000,2897240
"new.row.4172","45300",2001,3022718
"new.row.4173","45300",2002,3181892
"new.row.4174","45300",2003,3331734
"new.row.4175","45300",2004,3589465
"new.row.4176","45300",2005,3881565
"new.row.4177","45300",2006,4183912
"new.row.4178","45300",2007,4349264
"new.row.4179","45300",2008,4381125
"new.row.4180","45300",2009,4280929
"new.row.4181","45300",2010,4336376
"new.row.4182","45300",2011,3534320
"new.row.4183","45300",2012,3658006
"new.row.4184","45300",2013,4795748
"new.row.4185","45540",1969,904
"new.row.4186","45540",1970,1030
"new.row.4187","45540",1971,1152
"new.row.4188","45540",1972,1320
"new.row.4189","45540",1973,1599
"new.row.4190","45540",1974,1674
"new.row.4191","45540",1975,1797
"new.row.4192","45540",1976,1934
"new.row.4193","45540",1977,2157
"new.row.4194","45540",1978,2588
"new.row.4195","45540",1979,3078
"new.row.4196","45540",1980,3445
"new.row.4197","45540",1981,4129
"new.row.4198","45540",1982,4853
"new.row.4199","45540",1983,5376
