"","msa.fips","year","farm.personal.income"
"new.row","11500",1969,2819
"new.row.1","11500",1970,2060
"new.row.2","11500",1971,2079
"new.row.3","11500",1972,2760
"new.row.4","11500",1973,5653
"new.row.5","11500",1974,2361
"new.row.6","11500",1975,5645
"new.row.7","11500",1976,4717
"new.row.8","11500",1977,4843
"new.row.9","11500",1978,5291
"new.row.10","11500",1979,5018
"new.row.11","11500",1980,4363
"new.row.12","11500",1981,3838
"new.row.13","11500",1982,4565
"new.row.14","11500",1983,2317
"new.row.15","11500",1984,2705
"new.row.16","11500",1985,2923
"new.row.17","11500",1986,3838
"new.row.18","11500",1987,285
"new.row.19","11500",1988,3416
"new.row.20","11500",1989,14481
"new.row.21","11500",1990,17276
"new.row.22","11500",1991,22576
"new.row.23","11500",1992,12059
"new.row.24","11500",1993,15821
"new.row.25","11500",1994,11935
"new.row.26","11500",1995,12439
"new.row.27","11500",1996,15667
"new.row.28","11500",1997,16813
"new.row.29","11500",1998,13876
"new.row.30","11500",1999,7608
"new.row.31","11500",2000,4767
"new.row.32","11500",2001,9961
"new.row.33","11500",2002,5685
"new.row.34","11500",2003,7343
"new.row.35","11500",2004,10565
"new.row.36","11500",2005,16087
"new.row.37","11500",2006,7007
"new.row.38","11500",2007,6673
"new.row.39","11500",2008,9120
"new.row.40","11500",2009,9696
"new.row.41","11500",2010,7030
"new.row.42","11500",2011,2512
"new.row.43","11500",2012,4898
"new.row.44","12220",1969,2208
"new.row.45","12220",1970,2176
"new.row.46","12220",1971,2800
"new.row.47","12220",1972,3275
"new.row.48","12220",1973,4169
"new.row.49","12220",1974,1899
"new.row.50","12220",1975,1573
"new.row.51","12220",1976,3455
"new.row.52","12220",1977,4197
"new.row.53","12220",1978,6576
"new.row.54","12220",1979,7078
"new.row.55","12220",1980,6342
"new.row.56","12220",1981,6336
"new.row.57","12220",1982,6040
"new.row.58","12220",1983,4790
"new.row.59","12220",1984,3540
"new.row.60","12220",1985,4653
"new.row.61","12220",1986,3746
"new.row.62","12220",1987,4825
"new.row.63","12220",1988,5119
"new.row.64","12220",1989,5218
"new.row.65","12220",1990,5951
"new.row.66","12220",1991,9376
"new.row.67","12220",1992,6567
"new.row.68","12220",1993,16964
"new.row.69","12220",1994,8731
"new.row.70","12220",1995,8338
"new.row.71","12220",1996,5467
"new.row.72","12220",1997,5832
"new.row.73","12220",1998,4868
"new.row.74","12220",1999,4008
"new.row.75","12220",2000,3438
"new.row.76","12220",2001,4828
"new.row.77","12220",2002,6808
"new.row.78","12220",2003,6951
"new.row.79","12220",2004,9117
"new.row.80","12220",2005,6243
"new.row.81","12220",2006,7627
"new.row.82","12220",2007,7257
"new.row.83","12220",2008,3798
"new.row.84","12220",2009,5093
"new.row.85","12220",2010,1727
"new.row.86","12220",2011,740
"new.row.87","12220",2012,1772
"new.row.88","13820",1969,26658
"new.row.89","13820",1970,17201
"new.row.90","13820",1971,19208
"new.row.91","13820",1972,25674
"new.row.92","13820",1973,43160
"new.row.93","13820",1974,18485
"new.row.94","13820",1975,35565
"new.row.95","13820",1976,35456
"new.row.96","13820",1977,39618
"new.row.97","13820",1978,34924
"new.row.98","13820",1979,42265
"new.row.99","13820",1980,28206
"new.row.100","13820",1981,28527
"new.row.101","13820",1982,32978
"new.row.102","13820",1983,28167
"new.row.103","13820",1984,35761
"new.row.104","13820",1985,39828
"new.row.105","13820",1986,25422
"new.row.106","13820",1987,37564
"new.row.107","13820",1988,62009
"new.row.108","13820",1989,88408
"new.row.109","13820",1990,85903
"new.row.110","13820",1991,109175
"new.row.111","13820",1992,95901
"new.row.112","13820",1993,110628
"new.row.113","13820",1994,84044
"new.row.114","13820",1995,82855
"new.row.115","13820",1996,76130
"new.row.116","13820",1997,88314
"new.row.117","13820",1998,107341
"new.row.118","13820",1999,93875
"new.row.119","13820",2000,65005
"new.row.120","13820",2001,104208
"new.row.121","13820",2002,73025
"new.row.122","13820",2003,99197
"new.row.123","13820",2004,118282
"new.row.124","13820",2005,98679
"new.row.125","13820",2006,44677
"new.row.126","13820",2007,32364
"new.row.127","13820",2008,34840
"new.row.128","13820",2009,34963
"new.row.129","13820",2010,18027
"new.row.130","13820",2011,-16361
"new.row.131","13820",2012,19418
"new.row.132","17980",1969,4190
"new.row.133","17980",1970,3968
"new.row.134","17980",1971,4095
"new.row.135","17980",1972,4720
"new.row.136","17980",1973,6824
"new.row.137","17980",1974,5740
"new.row.138","17980",1975,4463
"new.row.139","17980",1976,6962
"new.row.140","17980",1977,3857
"new.row.141","17980",1978,6322
"new.row.142","17980",1979,8521
"new.row.143","17980",1980,5713
"new.row.144","17980",1981,11547
"new.row.145","17980",1982,10674
"new.row.146","17980",1983,6816
"new.row.147","17980",1984,8893
"new.row.148","17980",1985,5711
"new.row.149","17980",1986,4401
"new.row.150","17980",1987,6995
"new.row.151","17980",1988,9321
"new.row.152","17980",1989,9575
"new.row.153","17980",1990,7784
"new.row.154","17980",1991,11869
"new.row.155","17980",1992,11442
"new.row.156","17980",1993,12216
"new.row.157","17980",1994,15399
"new.row.158","17980",1995,10027
"new.row.159","17980",1996,14547
"new.row.160","17980",1997,13698
"new.row.161","17980",1998,16400
"new.row.162","17980",1999,22368
"new.row.163","17980",2000,15106
"new.row.164","17980",2001,19769
"new.row.165","17980",2002,15622
"new.row.166","17980",2003,19800
"new.row.167","17980",2004,18829
"new.row.168","17980",2005,18827
"new.row.169","17980",2006,13727
"new.row.170","17980",2007,8382
"new.row.171","17980",2008,16595
"new.row.172","17980",2009,11982
"new.row.173","17980",2010,7512
"new.row.174","17980",2011,5727
"new.row.175","17980",2012,17875
"new.row.176","19300",1969,6504
"new.row.177","19300",1970,5715
"new.row.178","19300",1971,8700
"new.row.179","19300",1972,9508
"new.row.180","19300",1973,20342
"new.row.181","19300",1974,17717
"new.row.182","19300",1975,16004
"new.row.183","19300",1976,27505
"new.row.184","19300",1977,9230
"new.row.185","19300",1978,20530
"new.row.186","19300",1979,3929
"new.row.187","19300",1980,1416
"new.row.188","19300",1981,10183
"new.row.189","19300",1982,266
"new.row.190","19300",1983,6726
"new.row.191","19300",1984,4603
"new.row.192","19300",1985,13770
"new.row.193","19300",1986,8906
"new.row.194","19300",1987,13764
"new.row.195","19300",1988,14306
"new.row.196","19300",1989,17679
"new.row.197","19300",1990,11153
"new.row.198","19300",1991,17195
"new.row.199","19300",1992,20491
"new.row.200","19300",1993,25913
"new.row.201","19300",1994,21303
"new.row.202","19300",1995,22555
"new.row.203","19300",1996,23464
"new.row.204","19300",1997,22960
"new.row.205","19300",1998,4503
"new.row.206","19300",1999,20343
"new.row.207","19300",2000,14781
"new.row.208","19300",2001,9986
"new.row.209","19300",2002,2768
"new.row.210","19300",2003,16202
"new.row.211","19300",2004,18365
"new.row.212","19300",2005,9029
"new.row.213","19300",2006,16430
"new.row.214","19300",2007,14373
"new.row.215","19300",2008,10799
"new.row.216","19300",2009,12098
"new.row.217","19300",2010,6544
"new.row.218","19300",2011,10845
"new.row.219","19300",2012,22731
"new.row.220","19460",1969,15960
"new.row.221","19460",1970,13216
"new.row.222","19460",1971,13531
"new.row.223","19460",1972,15911
"new.row.224","19460",1973,25417
"new.row.225","19460",1974,10372
"new.row.226","19460",1975,21863
"new.row.227","19460",1976,28056
"new.row.228","19460",1977,26915
"new.row.229","19460",1978,20859
"new.row.230","19460",1979,25709
"new.row.231","19460",1980,10060
"new.row.232","19460",1981,19700
"new.row.233","19460",1982,14732
"new.row.234","19460",1983,5216
"new.row.235","19460",1984,26541
"new.row.236","19460",1985,19488
"new.row.237","19460",1986,24985
"new.row.238","19460",1987,27022
"new.row.239","19460",1988,40889
"new.row.240","19460",1989,45168
"new.row.241","19460",1990,33093
"new.row.242","19460",1991,46087
"new.row.243","19460",1992,43437
"new.row.244","19460",1993,36450
"new.row.245","19460",1994,51036
"new.row.246","19460",1995,25018
"new.row.247","19460",1996,40178
"new.row.248","19460",1997,42316
"new.row.249","19460",1998,57666
"new.row.250","19460",1999,61705
"new.row.251","19460",2000,43349
"new.row.252","19460",2001,64156
"new.row.253","19460",2002,33338
"new.row.254","19460",2003,53880
"new.row.255","19460",2004,86859
"new.row.256","19460",2005,71912
"new.row.257","19460",2006,16429
"new.row.258","19460",2007,31582
"new.row.259","19460",2008,67980
"new.row.260","19460",2009,56850
"new.row.261","19460",2010,40141
"new.row.262","19460",2011,21424
"new.row.263","19460",2012,57656
"new.row.264","20020",1969,16526
"new.row.265","20020",1970,18002
"new.row.266","20020",1971,18446
"new.row.267","20020",1972,26087
"new.row.268","20020",1973,42096
"new.row.269","20020",1974,34045
"new.row.270","20020",1975,39999
"new.row.271","20020",1976,37960
"new.row.272","20020",1977,24493
"new.row.273","20020",1978,32828
"new.row.274","20020",1979,30892
"new.row.275","20020",1980,-14655
"new.row.276","20020",1981,44436
"new.row.277","20020",1982,23783
"new.row.278","20020",1983,9191
"new.row.279","20020",1984,55295
"new.row.280","20020",1985,28022
"new.row.281","20020",1986,21821
"new.row.282","20020",1987,34791
"new.row.283","20020",1988,59594
"new.row.284","20020",1989,75024
"new.row.285","20020",1990,53118
"new.row.286","20020",1991,82363
"new.row.287","20020",1992,75910
"new.row.288","20020",1993,61613
"new.row.289","20020",1994,79009
"new.row.290","20020",1995,76113
"new.row.291","20020",1996,62583
"new.row.292","20020",1997,45716
"new.row.293","20020",1998,54844
"new.row.294","20020",1999,78318
"new.row.295","20020",2000,38200
"new.row.296","20020",2001,94062
"new.row.297","20020",2002,93935
"new.row.298","20020",2003,85635
"new.row.299","20020",2004,85066
"new.row.300","20020",2005,89630
"new.row.301","20020",2006,56333
"new.row.302","20020",2007,55128
"new.row.303","20020",2008,81491
"new.row.304","20020",2009,51364
"new.row.305","20020",2010,43919
"new.row.306","20020",2011,42130
"new.row.307","20020",2012,95207
"new.row.308","22520",1969,9632
"new.row.309","22520",1970,11227
"new.row.310","22520",1971,13455
"new.row.311","22520",1972,14549
"new.row.312","22520",1973,19419
"new.row.313","22520",1974,13165
"new.row.314","22520",1975,11642
"new.row.315","22520",1976,23450
"new.row.316","22520",1977,17233
"new.row.317","22520",1978,18203
"new.row.318","22520",1979,28662
"new.row.319","22520",1980,11836
"new.row.320","22520",1981,22049
"new.row.321","22520",1982,22180
"new.row.322","22520",1983,1151
"new.row.323","22520",1984,13032
"new.row.324","22520",1985,12533
"new.row.325","22520",1986,7594
"new.row.326","22520",1987,13620
"new.row.327","22520",1988,18464
"new.row.328","22520",1989,14350
"new.row.329","22520",1990,9774
"new.row.330","22520",1991,19613
"new.row.331","22520",1992,23862
"new.row.332","22520",1993,16468
"new.row.333","22520",1994,31841
"new.row.334","22520",1995,3168
"new.row.335","22520",1996,25745
"new.row.336","22520",1997,15787
"new.row.337","22520",1998,15391
"new.row.338","22520",1999,11264
"new.row.339","22520",2000,18133
"new.row.340","22520",2001,20404
"new.row.341","22520",2002,6484
"new.row.342","22520",2003,32664
"new.row.343","22520",2004,49559
"new.row.344","22520",2005,48697
"new.row.345","22520",2006,38123
"new.row.346","22520",2007,28334
"new.row.347","22520",2008,60288
"new.row.348","22520",2009,59470
"new.row.349","22520",2010,49562
"new.row.350","22520",2011,65278
"new.row.351","22520",2012,98487
"new.row.352","23460",1969,4001
"new.row.353","23460",1970,2215
"new.row.354","23460",1971,2753
"new.row.355","23460",1972,3468
"new.row.356","23460",1973,5467
"new.row.357","23460",1974,2288
"new.row.358","23460",1975,5316
"new.row.359","23460",1976,5006
"new.row.360","23460",1977,4963
"new.row.361","23460",1978,6103
"new.row.362","23460",1979,5402
"new.row.363","23460",1980,-91
"new.row.364","23460",1981,8494
"new.row.365","23460",1982,4749
"new.row.366","23460",1983,5288
"new.row.367","23460",1984,4284
"new.row.368","23460",1985,6003
"new.row.369","23460",1986,8379
"new.row.370","23460",1987,3101
"new.row.371","23460",1988,8873
"new.row.372","23460",1989,13762
"new.row.373","23460",1990,12042
"new.row.374","23460",1991,12616
"new.row.375","23460",1992,13218
"new.row.376","23460",1993,13908
"new.row.377","23460",1994,17604
"new.row.378","23460",1995,9785
"new.row.379","23460",1996,16248
"new.row.380","23460",1997,20637
"new.row.381","23460",1998,19934
"new.row.382","23460",1999,21252
"new.row.383","23460",2000,17813
"new.row.384","23460",2001,23352
"new.row.385","23460",2002,16763
"new.row.386","23460",2003,20206
"new.row.387","23460",2004,30876
"new.row.388","23460",2005,12616
"new.row.389","23460",2006,-4651
"new.row.390","23460",2007,2425
"new.row.391","23460",2008,4014
"new.row.392","23460",2009,3544
"new.row.393","23460",2010,-1576
"new.row.394","23460",2011,-11503
"new.row.395","23460",2012,-2366
"new.row.396","26620",1969,16116
"new.row.397","26620",1970,19501
"new.row.398","26620",1971,26092
"new.row.399","26620",1972,26310
"new.row.400","26620",1973,34943
"new.row.401","26620",1974,28817
"new.row.402","26620",1975,21240
"new.row.403","26620",1976,30654
"new.row.404","26620",1977,18012
"new.row.405","26620",1978,24320
"new.row.406","26620",1979,33399
"new.row.407","26620",1980,6243
"new.row.408","26620",1981,28429
"new.row.409","26620",1982,28590
"new.row.410","26620",1983,-7671
"new.row.411","26620",1984,23545
"new.row.412","26620",1985,18290
"new.row.413","26620",1986,10125
"new.row.414","26620",1987,13458
"new.row.415","26620",1988,28048
"new.row.416","26620",1989,19930
"new.row.417","26620",1990,13647
"new.row.418","26620",1991,30310
"new.row.419","26620",1992,32241
"new.row.420","26620",1993,17958
"new.row.421","26620",1994,42106
"new.row.422","26620",1995,5901
"new.row.423","26620",1996,37019
"new.row.424","26620",1997,7965
"new.row.425","26620",1998,24265
"new.row.426","26620",1999,27269
"new.row.427","26620",2000,31007
"new.row.428","26620",2001,25725
"new.row.429","26620",2002,-5009
"new.row.430","26620",2003,55046
"new.row.431","26620",2004,77559
"new.row.432","26620",2005,61219
"new.row.433","26620",2006,53323
"new.row.434","26620",2007,34652
"new.row.435","26620",2008,93771
"new.row.436","26620",2009,77504
"new.row.437","26620",2010,66533
"new.row.438","26620",2011,92118
"new.row.439","26620",2012,123229
"new.row.440","33660",1969,5881
"new.row.441","33660",1970,6455
"new.row.442","33660",1971,7426
"new.row.443","33660",1972,8224
"new.row.444","33660",1973,11593
"new.row.445","33660",1974,13235
"new.row.446","33660",1975,12191
"new.row.447","33660",1976,12279
"new.row.448","33660",1977,12366
"new.row.449","33660",1978,16735
"new.row.450","33660",1979,9029
"new.row.451","33660",1980,17077
"new.row.452","33660",1981,22114
"new.row.453","33660",1982,28638
"new.row.454","33660",1983,31357
"new.row.455","33660",1984,20065
"new.row.456","33660",1985,23403
"new.row.457","33660",1986,23636
"new.row.458","33660",1987,25409
"new.row.459","33660",1988,33396
"new.row.460","33660",1989,36159
"new.row.461","33660",1990,36076
"new.row.462","33660",1991,42215
"new.row.463","33660",1992,32839
"new.row.464","33660",1993,25449
"new.row.465","33660",1994,17758
"new.row.466","33660",1995,18362
"new.row.467","33660",1996,19013
"new.row.468","33660",1997,24802
"new.row.469","33660",1998,19729
"new.row.470","33660",1999,23654
"new.row.471","33660",2000,23706
"new.row.472","33660",2001,19550
"new.row.473","33660",2002,19052
"new.row.474","33660",2003,27568
"new.row.475","33660",2004,34186
"new.row.476","33660",2005,24363
"new.row.477","33660",2006,37296
"new.row.478","33660",2007,26796
"new.row.479","33660",2008,20998
"new.row.480","33660",2009,18048
"new.row.481","33660",2010,16665
"new.row.482","33660",2011,13849
"new.row.483","33660",2012,15865
"new.row.484","33860",1969,15795
"new.row.485","33860",1970,20223
"new.row.486","33860",1971,22981
"new.row.487","33860",1972,32002
"new.row.488","33860",1973,42708
"new.row.489","33860",1974,25036
"new.row.490","33860",1975,21051
"new.row.491","33860",1976,42030
"new.row.492","33860",1977,18991
"new.row.493","33860",1978,33301
"new.row.494","33860",1979,39735
"new.row.495","33860",1980,17580
"new.row.496","33860",1981,16910
"new.row.497","33860",1982,27083
"new.row.498","33860",1983,19386
"new.row.499","33860",1984,21606
"new.row.500","33860",1985,29294
"new.row.501","33860",1986,23235
"new.row.502","33860",1987,42967
"new.row.503","33860",1988,52771
"new.row.504","33860",1989,49046
"new.row.505","33860",1990,50202
"new.row.506","33860",1991,62995
"new.row.507","33860",1992,42654
"new.row.508","33860",1993,28684
"new.row.509","33860",1994,28709
"new.row.510","33860",1995,12730
"new.row.511","33860",1996,23258
"new.row.512","33860",1997,38411
"new.row.513","33860",1998,34043
"new.row.514","33860",1999,49660
"new.row.515","33860",2000,41996
"new.row.516","33860",2001,52911
"new.row.517","33860",2002,33966
"new.row.518","33860",2003,60969
"new.row.519","33860",2004,102396
"new.row.520","33860",2005,106436
"new.row.521","33860",2006,94863
"new.row.522","33860",2007,55180
"new.row.523","33860",2008,55850
"new.row.524","33860",2009,54702
"new.row.525","33860",2010,50039
"new.row.526","33860",2011,54863
"new.row.527","33860",2012,86779
"new.row.528","46220",1969,6860
"new.row.529","46220",1970,8230
"new.row.530","46220",1971,11174
"new.row.531","46220",1972,12335
"new.row.532","46220",1973,17731
"new.row.533","46220",1974,11253
"new.row.534","46220",1975,12479
"new.row.535","46220",1976,12055
"new.row.536","46220",1977,9404
"new.row.537","46220",1978,15846
"new.row.538","46220",1979,14952
"new.row.539","46220",1980,2107
"new.row.540","46220",1981,7203
"new.row.541","46220",1982,3463
"new.row.542","46220",1983,-1030
"new.row.543","46220",1984,8063
"new.row.544","46220",1985,11095
"new.row.545","46220",1986,14162
"new.row.546","46220",1987,14762
"new.row.547","46220",1988,21649
"new.row.548","46220",1989,22424
"new.row.549","46220",1990,26780
"new.row.550","46220",1991,33183
"new.row.551","46220",1992,36281
"new.row.552","46220",1993,38164
"new.row.553","46220",1994,28637
"new.row.554","46220",1995,21057
"new.row.555","46220",1996,26760
"new.row.556","46220",1997,32022
"new.row.557","46220",1998,45987
"new.row.558","46220",1999,65855
"new.row.559","46220",2000,44750
"new.row.560","46220",2001,53989
"new.row.561","46220",2002,43794
"new.row.562","46220",2003,60371
"new.row.563","46220",2004,74674
"new.row.564","46220",2005,74968
"new.row.565","46220",2006,50160
"new.row.566","46220",2007,46961
"new.row.567","46220",2008,51335
"new.row.568","46220",2009,43960
"new.row.569","46220",2010,33080
"new.row.570","46220",2011,26972
"new.row.571","46220",2012,39027
"new.row.572","11260",1969,997
"new.row.573","11260",1970,1388
"new.row.574","11260",1971,1218
"new.row.575","11260",1972,1424
"new.row.576","11260",1973,1195
"new.row.577","11260",1974,1195
"new.row.578","11260",1975,2380
"new.row.579","11260",1976,2806
"new.row.580","11260",1977,3136
"new.row.581","11260",1978,3127
"new.row.582","11260",1979,3214
"new.row.583","11260",1980,3002
"new.row.584","11260",1981,1424
"new.row.585","11260",1982,2334
"new.row.586","11260",1983,2741
"new.row.587","11260",1984,4035
"new.row.588","11260",1985,5316
"new.row.589","11260",1986,8697
"new.row.590","11260",1987,10789
"new.row.591","11260",1988,11360
"new.row.592","11260",1989,8257
"new.row.593","11260",1990,8637
"new.row.594","11260",1991,8316
"new.row.595","11260",1992,6596
"new.row.596","11260",1993,8632
"new.row.597","11260",1994,10671
"new.row.598","11260",1995,10974
"new.row.599","11260",1996,11592
"new.row.600","11260",1997,13493
"new.row.601","11260",1998,10768
"new.row.602","11260",1999,11566
"new.row.603","11260",2000,11640
"new.row.604","11260",2001,10811
"new.row.605","11260",2002,11397
"new.row.606","11260",2003,8655
"new.row.607","11260",2004,10207
"new.row.608","11260",2005,9700
"new.row.609","11260",2006,7869
"new.row.610","11260",2007,7098
"new.row.611","11260",2008,5189
"new.row.612","11260",2009,5367
"new.row.613","11260",2010,6035
"new.row.614","11260",2011,6443
"new.row.615","11260",2012,5515
"new.row.616","21820",1969,44
"new.row.617","21820",1970,202
"new.row.618","21820",1971,201
"new.row.619","21820",1972,331
"new.row.620","21820",1973,321
"new.row.621","21820",1974,555
"new.row.622","21820",1975,886
"new.row.623","21820",1976,921
"new.row.624","21820",1977,683
"new.row.625","21820",1978,865
"new.row.626","21820",1979,412
"new.row.627","21820",1980,246
"new.row.628","21820",1981,10
"new.row.629","21820",1982,-10
"new.row.630","21820",1983,-250
"new.row.631","21820",1984,-893
"new.row.632","21820",1985,-1915
"new.row.633","21820",1986,-953
"new.row.634","21820",1987,517
"new.row.635","21820",1988,833
"new.row.636","21820",1989,-359
"new.row.637","21820",1990,751
"new.row.638","21820",1991,1526
"new.row.639","21820",1992,2385
"new.row.640","21820",1993,1415
"new.row.641","21820",1994,234
"new.row.642","21820",1995,1139
"new.row.643","21820",1996,31
"new.row.644","21820",1997,191
"new.row.645","21820",1998,575
"new.row.646","21820",1999,489
"new.row.647","21820",2000,359
"new.row.648","21820",2001,1999
"new.row.649","21820",2002,2247
"new.row.650","21820",2003,3931
"new.row.651","21820",2004,3930
"new.row.652","21820",2005,5610
"new.row.653","21820",2006,4700
"new.row.654","21820",2007,5778
"new.row.655","21820",2008,4825
"new.row.656","21820",2009,6049
"new.row.657","21820",2010,7557
"new.row.658","21820",2011,6562
"new.row.659","21820",2012,7201
"new.row.660","22380",1969,2634
"new.row.661","22380",1970,2020
"new.row.662","22380",1971,2205
"new.row.663","22380",1972,2992
"new.row.664","22380",1973,3939
"new.row.665","22380",1974,75
"new.row.666","22380",1975,5802
"new.row.667","22380",1976,1412
"new.row.668","22380",1977,1061
"new.row.669","22380",1978,6431
"new.row.670","22380",1979,610
"new.row.671","22380",1980,2256
"new.row.672","22380",1981,639
"new.row.673","22380",1982,3422
"new.row.674","22380",1983,3406
"new.row.675","22380",1984,5741
"new.row.676","22380",1985,910
"new.row.677","22380",1986,3281
"new.row.678","22380",1987,1509
"new.row.679","22380",1988,646
"new.row.680","22380",1989,-344
"new.row.681","22380",1990,731
"new.row.682","22380",1991,1715
"new.row.683","22380",1992,2132
"new.row.684","22380",1993,65
"new.row.685","22380",1994,-1172
"new.row.686","22380",1995,-1337
"new.row.687","22380",1996,847
"new.row.688","22380",1997,671
"new.row.689","22380",1998,4518
"new.row.690","22380",1999,9457
"new.row.691","22380",2000,4166
"new.row.692","22380",2001,9174
"new.row.693","22380",2002,499
"new.row.694","22380",2003,-204
"new.row.695","22380",2004,1599
"new.row.696","22380",2005,-7
"new.row.697","22380",2006,-147
"new.row.698","22380",2007,1184
"new.row.699","22380",2008,-425
"new.row.700","22380",2009,-1155
"new.row.701","22380",2010,-278
"new.row.702","22380",2011,1420
"new.row.703","22380",2012,15
"new.row.704","29420",1969,1552
"new.row.705","29420",1970,1241
"new.row.706","29420",1971,2000
"new.row.707","29420",1972,3445
"new.row.708","29420",1973,5418
"new.row.709","29420",1974,608
"new.row.710","29420",1975,9313
"new.row.711","29420",1976,-38
"new.row.712","29420",1977,2811
"new.row.713","29420",1978,3773
"new.row.714","29420",1979,1837
"new.row.715","29420",1980,4833
"new.row.716","29420",1981,3477
"new.row.717","29420",1982,4482
"new.row.718","29420",1983,7519
"new.row.719","29420",1984,5780
"new.row.720","29420",1985,2350
"new.row.721","29420",1986,1233
"new.row.722","29420",1987,1404
"new.row.723","29420",1988,3790
"new.row.724","29420",1989,6817
"new.row.725","29420",1990,8020
"new.row.726","29420",1991,7650
"new.row.727","29420",1992,7528
"new.row.728","29420",1993,5995
"new.row.729","29420",1994,5024
"new.row.730","29420",1995,1594
"new.row.731","29420",1996,3231
"new.row.732","29420",1997,2751
"new.row.733","29420",1998,3851
"new.row.734","29420",1999,5942
"new.row.735","29420",2000,7707
"new.row.736","29420",2001,7253
"new.row.737","29420",2002,4938
"new.row.738","29420",2003,8314
"new.row.739","29420",2004,11494
"new.row.740","29420",2005,10871
"new.row.741","29420",2006,8972
"new.row.742","29420",2007,5595
"new.row.743","29420",2008,4919
"new.row.744","29420",2009,330
"new.row.745","29420",2010,6748
"new.row.746","29420",2011,15269
"new.row.747","29420",2012,7258
"new.row.748","38060",1969,115090
"new.row.749","38060",1970,102819
"new.row.750","38060",1971,118297
"new.row.751","38060",1972,95716
"new.row.752","38060",1973,103183
"new.row.753","38060",1974,242876
"new.row.754","38060",1975,91262
"new.row.755","38060",1976,201584
"new.row.756","38060",1977,154539
"new.row.757","38060",1978,157430
"new.row.758","38060",1979,241720
"new.row.759","38060",1980,291349
"new.row.760","38060",1981,250934
"new.row.761","38060",1982,217852
"new.row.762","38060",1983,170198
"new.row.763","38060",1984,314443
"new.row.764","38060",1985,282449
"new.row.765","38060",1986,281022
"new.row.766","38060",1987,350946
"new.row.767","38060",1988,384019
"new.row.768","38060",1989,417538
"new.row.769","38060",1990,376898
"new.row.770","38060",1991,436305
"new.row.771","38060",1992,378660
"new.row.772","38060",1993,414377
"new.row.773","38060",1994,355489
"new.row.774","38060",1995,394069
"new.row.775","38060",1996,431365
"new.row.776","38060",1997,408526
"new.row.777","38060",1998,442921
"new.row.778","38060",1999,426152
"new.row.779","38060",2000,348519
"new.row.780","38060",2001,338416
"new.row.781","38060",2002,320313
"new.row.782","38060",2003,365065
"new.row.783","38060",2004,523312
"new.row.784","38060",2005,460043
"new.row.785","38060",2006,356889
"new.row.786","38060",2007,408802
"new.row.787","38060",2008,342568
"new.row.788","38060",2009,182240
"new.row.789","38060",2010,279861
"new.row.790","38060",2011,525445
"new.row.791","38060",2012,385935
"new.row.792","39140",1969,2994
"new.row.793","39140",1970,2548
"new.row.794","39140",1971,3369
"new.row.795","39140",1972,5828
"new.row.796","39140",1973,7890
"new.row.797","39140",1974,403
"new.row.798","39140",1975,7857
"new.row.799","39140",1976,1966
"new.row.800","39140",1977,4052
"new.row.801","39140",1978,7796
"new.row.802","39140",1979,1858
"new.row.803","39140",1980,5224
"new.row.804","39140",1981,1772
"new.row.805","39140",1982,3784
"new.row.806","39140",1983,4033
"new.row.807","39140",1984,6162
"new.row.808","39140",1985,1542
"new.row.809","39140",1986,3019
"new.row.810","39140",1987,2506
"new.row.811","39140",1988,289
"new.row.812","39140",1989,3188
"new.row.813","39140",1990,5386
"new.row.814","39140",1991,5359
"new.row.815","39140",1992,6545
"new.row.816","39140",1993,2678
"new.row.817","39140",1994,-464
"new.row.818","39140",1995,-949
"new.row.819","39140",1996,4526
"new.row.820","39140",1997,5900
"new.row.821","39140",1998,12362
"new.row.822","39140",1999,23704
"new.row.823","39140",2000,17212
"new.row.824","39140",2001,24437
"new.row.825","39140",2002,10176
"new.row.826","39140",2003,13907
"new.row.827","39140",2004,15519
"new.row.828","39140",2005,16185
"new.row.829","39140",2006,11147
"new.row.830","39140",2007,8270
"new.row.831","39140",2008,7876
"new.row.832","39140",2009,5569
"new.row.833","39140",2010,5010
"new.row.834","39140",2011,7327
"new.row.835","39140",2012,6220
"new.row.836","43420",1969,6991
"new.row.837","43420",1970,6374
"new.row.838","43420",1971,9259
"new.row.839","43420",1972,11036
"new.row.840","43420",1973,14268
"new.row.841","43420",1974,13390
"new.row.842","43420",1975,13220
"new.row.843","43420",1976,20999
"new.row.844","43420",1977,11274
"new.row.845","43420",1978,15993
"new.row.846","43420",1979,10096
"new.row.847","43420",1980,8464
"new.row.848","43420",1981,11183
"new.row.849","43420",1982,13613
"new.row.850","43420",1983,18525
"new.row.851","43420",1984,14458
"new.row.852","43420",1985,10519
"new.row.853","43420",1986,16487
"new.row.854","43420",1987,18741
"new.row.855","43420",1988,30392
"new.row.856","43420",1989,19455
"new.row.857","43420",1990,18577
"new.row.858","43420",1991,19560
"new.row.859","43420",1992,28406
"new.row.860","43420",1993,26414
"new.row.861","43420",1994,8880
"new.row.862","43420",1995,6470
"new.row.863","43420",1996,23356
"new.row.864","43420",1997,29882
"new.row.865","43420",1998,26696
"new.row.866","43420",1999,32956
"new.row.867","43420",2000,37100
"new.row.868","43420",2001,45616
"new.row.869","43420",2002,31811
"new.row.870","43420",2003,33307
"new.row.871","43420",2004,40733
"new.row.872","43420",2005,64995
"new.row.873","43420",2006,32168
"new.row.874","43420",2007,41857
