"","msa.fips","year","real.gdp"
"new.row.2959","47220",2009,5300
"new.row.2960","47220",2010,5240
"new.row.2961","47220",2011,5131
"new.row.2962","47220",2012,5166
"new.row.2963","47220",2013,5136
"new.row.2964","10740",2001,32847
"new.row.2965","10740",2002,32790
"new.row.2966","10740",2003,34956
"new.row.2967","10740",2004,38479
"new.row.2968","10740",2005,38377
"new.row.2969","10740",2006,38684
"new.row.2970","10740",2007,37796
"new.row.2971","10740",2008,37925
"new.row.2972","10740",2009,38110
"new.row.2973","10740",2010,38386
"new.row.2974","10740",2011,39069
"new.row.2975","10740",2012,39669
"new.row.2976","10740",2013,39618
"new.row.2977","22140",2001,5630
"new.row.2978","22140",2002,5569
"new.row.2979","22140",2003,5478
"new.row.2980","22140",2004,5669
"new.row.2981","22140",2005,5643
"new.row.2982","22140",2006,5846
"new.row.2983","22140",2007,5979
"new.row.2984","22140",2008,5875
"new.row.2985","22140",2009,6020
"new.row.2986","22140",2010,5378
"new.row.2987","22140",2011,5629
"new.row.2988","22140",2012,5608
"new.row.2989","22140",2013,5613
"new.row.2990","29740",2001,4130
"new.row.2991","29740",2002,4499
"new.row.2992","29740",2003,4792
"new.row.2993","29740",2004,5106
"new.row.2994","29740",2005,5361
"new.row.2995","29740",2006,5463
"new.row.2996","29740",2007,5592
"new.row.2997","29740",2008,5745
"new.row.2998","29740",2009,5929
"new.row.2999","29740",2010,6043
"new.row.3000","29740",2011,5959
"new.row.3001","29740",2012,5859
"new.row.3002","29740",2013,5908
"new.row.3003","42140",2001,6199
"new.row.3004","42140",2002,7011
"new.row.3005","42140",2003,6587
"new.row.3006","42140",2004,6566
"new.row.3007","42140",2005,6754
"new.row.3008","42140",2006,7060
"new.row.3009","42140",2007,7084
"new.row.3010","42140",2008,7152
"new.row.3011","42140",2009,6593
"new.row.3012","42140",2010,6437
"new.row.3013","42140",2011,6460
"new.row.3014","42140",2012,6415
"new.row.3015","42140",2013,6618
"new.row.3016","10580",2001,38191
"new.row.3017","10580",2002,38577
"new.row.3018","10580",2003,39903
"new.row.3019","10580",2004,41176
"new.row.3020","10580",2005,41390
"new.row.3021","10580",2006,41783
"new.row.3022","10580",2007,41187
"new.row.3023","10580",2008,41478
"new.row.3024","10580",2009,42454
"new.row.3025","10580",2010,42470
"new.row.3026","10580",2011,42469
"new.row.3027","10580",2012,43146
"new.row.3028","10580",2013,43562
"new.row.3029","13780",2001,7358
"new.row.3030","13780",2002,7385
"new.row.3031","13780",2003,7467
"new.row.3032","13780",2004,7606
"new.row.3033","13780",2005,7800
"new.row.3034","13780",2006,7945
"new.row.3035","13780",2007,8343
"new.row.3036","13780",2008,8591
"new.row.3037","13780",2009,8474
"new.row.3038","13780",2010,8536
"new.row.3039","13780",2011,8535
"new.row.3040","13780",2012,8456
"new.row.3041","13780",2013,8486
"new.row.3042","15380",2001,42774
"new.row.3043","15380",2002,44601
"new.row.3044","15380",2003,45243
"new.row.3045","15380",2004,46141
"new.row.3046","15380",2005,46054
"new.row.3047","15380",2006,46568
"new.row.3048","15380",2007,45990
"new.row.3049","15380",2008,46073
"new.row.3050","15380",2009,46539
"new.row.3051","15380",2010,47124
"new.row.3052","15380",2011,47722
"new.row.3053","15380",2012,48076
"new.row.3054","15380",2013,48257
"new.row.3055","21300",2001,2699
"new.row.3056","21300",2002,2675
"new.row.3057","21300",2003,2704
"new.row.3058","21300",2004,2769
"new.row.3059","21300",2005,2895
"new.row.3060","21300",2006,2859
"new.row.3061","21300",2007,2869
"new.row.3062","21300",2008,2982
"new.row.3063","21300",2009,2882
"new.row.3064","21300",2010,3060
"new.row.3065","21300",2011,3117
"new.row.3066","21300",2012,3083
"new.row.3067","21300",2013,2999
"new.row.3068","24020",2001,3488
"new.row.3069","24020",2002,3617
"new.row.3070","24020",2003,3729
"new.row.3071","24020",2004,3927
"new.row.3072","24020",2005,4026
"new.row.3073","24020",2006,4039
"new.row.3074","24020",2007,3973
"new.row.3075","24020",2008,4038
"new.row.3076","24020",2009,4037
"new.row.3077","24020",2010,4129
"new.row.3078","24020",2011,4138
"new.row.3079","24020",2012,4148
"new.row.3080","24020",2013,4018
"new.row.3081","27060",2001,3585
"new.row.3082","27060",2002,3681
"new.row.3083","27060",2003,3884
"new.row.3084","27060",2004,3909
"new.row.3085","27060",2005,3938
"new.row.3086","27060",2006,3937
"new.row.3087","27060",2007,3950
"new.row.3088","27060",2008,4135
"new.row.3089","27060",2009,4163
"new.row.3090","27060",2010,4179
"new.row.3091","27060",2011,4148
"new.row.3092","27060",2012,4208
"new.row.3093","27060",2013,4211
"new.row.3094","28740",2001,4357
"new.row.3095","28740",2002,4470
"new.row.3096","28740",2003,4668
"new.row.3097","28740",2004,4764
"new.row.3098","28740",2005,4853
"new.row.3099","28740",2006,5069
"new.row.3100","28740",2007,5016
"new.row.3101","28740",2008,4970
"new.row.3102","28740",2009,4937
"new.row.3103","28740",2010,5012
"new.row.3104","28740",2011,4884
"new.row.3105","28740",2012,4858
"new.row.3106","28740",2013,4888
"new.row.3107","40380",2001,46098
"new.row.3108","40380",2002,47247
"new.row.3109","40380",2003,48216
"new.row.3110","40380",2004,49323
"new.row.3111","40380",2005,49891
"new.row.3112","40380",2006,50329
"new.row.3113","40380",2007,48738
"new.row.3114","40380",2008,47871
"new.row.3115","40380",2009,47828
"new.row.3116","40380",2010,48407
"new.row.3117","40380",2011,48023
"new.row.3118","40380",2012,48427
"new.row.3119","40380",2013,48966
"new.row.3120","45060",2001,25662
"new.row.3121","45060",2002,26217
"new.row.3122","45060",2003,26516
"new.row.3123","45060",2004,27204
"new.row.3124","45060",2005,27611
"new.row.3125","45060",2006,27798
"new.row.3126","45060",2007,28079
"new.row.3127","45060",2008,27858
"new.row.3128","45060",2009,27644
"new.row.3129","45060",2010,28426
"new.row.3130","45060",2011,28146
"new.row.3131","45060",2012,28505
"new.row.3132","45060",2013,28370
"new.row.3133","46540",2001,8704
"new.row.3134","46540",2002,8841
"new.row.3135","46540",2003,8926
"new.row.3136","46540",2004,9185
"new.row.3137","46540",2005,9322
"new.row.3138","46540",2006,9398
"new.row.3139","46540",2007,9371
"new.row.3140","46540",2008,9306
"new.row.3141","46540",2009,9334
"new.row.3142","46540",2010,9570
"new.row.3143","46540",2011,9504
"new.row.3144","46540",2012,9454
"new.row.3145","46540",2013,9517
"new.row.3146","48060",2001,4523
"new.row.3147","48060",2002,4417
"new.row.3148","48060",2003,4390
"new.row.3149","48060",2004,4584
"new.row.3150","48060",2005,4995
"new.row.3151","48060",2006,5401
"new.row.3152","48060",2007,5424
"new.row.3153","48060",2008,5619
"new.row.3154","48060",2009,5853
"new.row.3155","48060",2010,6172
"new.row.3156","48060",2011,6345
"new.row.3157","48060",2012,6237
"new.row.3158","48060",2013,6076
"new.row.3159","11700",2001,11761
"new.row.3160","11700",2002,12127
"new.row.3161","11700",2003,12437
"new.row.3162","11700",2004,12984
"new.row.3163","11700",2005,13402
"new.row.3164","11700",2006,13986
"new.row.3165","11700",2007,14021
"new.row.3166","11700",2008,14271
"new.row.3167","11700",2009,14334
"new.row.3168","11700",2010,14219
"new.row.3169","11700",2011,14085
"new.row.3170","11700",2012,14353
"new.row.3171","11700",2013,14787
"new.row.3172","15500",2001,4541
"new.row.3173","15500",2002,4672
"new.row.3174","15500",2003,4491
"new.row.3175","15500",2004,4590
"new.row.3176","15500",2005,4652
"new.row.3177","15500",2006,4818
"new.row.3178","15500",2007,4695
"new.row.3179","15500",2008,4598
"new.row.3180","15500",2009,4286
"new.row.3181","15500",2010,4414
"new.row.3182","15500",2011,4476
"new.row.3183","15500",2012,4571
"new.row.3184","15500",2013,4874
"new.row.3185","16740",2001,92934
"new.row.3186","16740",2002,100257
"new.row.3187","16740",2003,102656
"new.row.3188","16740",2004,107213
"new.row.3189","16740",2005,115541
"new.row.3190","16740",2006,120099
"new.row.3191","16740",2007,118940
"new.row.3192","16740",2008,118539
"new.row.3193","16740",2009,112306
"new.row.3194","16740",2010,115229
"new.row.3195","16740",2011,120092
"new.row.3196","16740",2012,125714
"new.row.3197","16740",2013,130318
"new.row.3198","20500",2001,25149
"new.row.3199","20500",2002,26600
"new.row.3200","20500",2003,28038
"new.row.3201","20500",2004,28064
"new.row.3202","20500",2005,29362
"new.row.3203","20500",2006,34551
"new.row.3204","20500",2007,37171
"new.row.3205","20500",2008,37897
"new.row.3206","20500",2009,38700
"new.row.3207","20500",2010,39914
"new.row.3208","20500",2011,38563
"new.row.3209","20500",2012,39395
"new.row.3210","20500",2013,39530
"new.row.3211","22180",2001,12435
"new.row.3212","22180",2002,12708
"new.row.3213","22180",2003,13070
"new.row.3214","22180",2004,13372
"new.row.3215","22180",2005,14175
"new.row.3216","22180",2006,14461
"new.row.3217","22180",2007,14971
"new.row.3218","22180",2008,15643
"new.row.3219","22180",2009,16369
"new.row.3220","22180",2010,16681
"new.row.3221","22180",2011,16619
"new.row.3222","22180",2012,16497
"new.row.3223","22180",2013,16182
"new.row.3224","24140",2001,3717
"new.row.3225","24140",2002,3673
"new.row.3226","24140",2003,3658
"new.row.3227","24140",2004,3830
"new.row.3228","24140",2005,3903
"new.row.3229","24140",2006,4102
"new.row.3230","24140",2007,4076
"new.row.3231","24140",2008,3874
"new.row.3232","24140",2009,3961
"new.row.3233","24140",2010,3957
"new.row.3234","24140",2011,3915
"new.row.3235","24140",2012,3940
"new.row.3236","24140",2013,3930
"new.row.3237","24660",2001,32094
"new.row.3238","24660",2002,32268
"new.row.3239","24660",2003,32610
"new.row.3240","24660",2004,32915
"new.row.3241","24660",2005,33916
"new.row.3242","24660",2006,35072
"new.row.3243","24660",2007,34983
"new.row.3244","24660",2008,34385
"new.row.3245","24660",2009,33116
"new.row.3246","24660",2010,33928
"new.row.3247","24660",2011,34414
"new.row.3248","24660",2012,34984
"new.row.3249","24660",2013,35530
"new.row.3250","24780",2001,5168
"new.row.3251","24780",2002,5276
"new.row.3252","24780",2003,5373
"new.row.3253","24780",2004,5289
"new.row.3254","24780",2005,5493
"new.row.3255","24780",2006,5739
"new.row.3256","24780",2007,6066
"new.row.3257","24780",2008,6057
"new.row.3258","24780",2009,6105
"new.row.3259","24780",2010,6163
"new.row.3260","24780",2011,6294
"new.row.3261","24780",2012,6693
"new.row.3262","24780",2013,6639
"new.row.3263","25860",2001,12538
"new.row.3264","25860",2002,12531
"new.row.3265","25860",2003,12185
"new.row.3266","25860",2004,12603
"new.row.3267","25860",2005,12617
"new.row.3268","25860",2006,13116
"new.row.3269","25860",2007,12342
"new.row.3270","25860",2008,11872
"new.row.3271","25860",2009,11262
"new.row.3272","25860",2010,11555
"new.row.3273","25860",2011,11536
"new.row.3274","25860",2012,11595
"new.row.3275","25860",2013,11689
"new.row.3276","27340",2001,5013
"new.row.3277","27340",2002,4771
"new.row.3278","27340",2003,4947
"new.row.3279","27340",2004,5386
"new.row.3280","27340",2005,5625
"new.row.3281","27340",2006,5716
"new.row.3282","27340",2007,6143
"new.row.3283","27340",2008,6698
"new.row.3284","27340",2009,7374
"new.row.3285","27340",2010,7774
"new.row.3286","27340",2011,7683
"new.row.3287","27340",2012,7668
"new.row.3288","27340",2013,7477
"new.row.3289","34820",2001,11448
"new.row.3290","34820",2002,11785
"new.row.3291","34820",2003,12233
"new.row.3292","34820",2004,12655
"new.row.3293","34820",2005,13338
"new.row.3294","34820",2006,13633
"new.row.3295","34820",2007,14027
"new.row.3296","34820",2008,13863
"new.row.3297","34820",2009,13292
"new.row.3298","34820",2010,13446
"new.row.3299","34820",2011,13842
"new.row.3300","34820",2012,14005
"new.row.3301","34820",2013,14221
"new.row.3302","35100",2001,3946
"new.row.3303","35100",2002,3847
"new.row.3304","35100",2003,3970
"new.row.3305","35100",2004,4149
"new.row.3306","35100",2005,4314
"new.row.3307","35100",2006,4354
"new.row.3308","35100",2007,4428
"new.row.3309","35100",2008,4495
"new.row.3310","35100",2009,4661
"new.row.3311","35100",2010,4589
"new.row.3312","35100",2011,4484
"new.row.3313","35100",2012,4649
"new.row.3314","35100",2013,4639
"new.row.3315","39580",2001,43922
"new.row.3316","39580",2002,44402
"new.row.3317","39580",2003,45228
"new.row.3318","39580",2004,46914
"new.row.3319","39580",2005,50167
"new.row.3320","39580",2006,52898
"new.row.3321","39580",2007,56230
"new.row.3322","39580",2008,56948
"new.row.3323","39580",2009,56230
"new.row.3324","39580",2010,58938
"new.row.3325","39580",2011,59036
"new.row.3326","39580",2012,60260
"new.row.3327","39580",2013,62758
"new.row.3328","40580",2001,5747
"new.row.3329","40580",2002,5921
"new.row.3330","40580",2003,6042
"new.row.3331","40580",2004,6065
"new.row.3332","40580",2005,6148
"new.row.3333","40580",2006,6454
"new.row.3334","40580",2007,6282
"new.row.3335","40580",2008,6301
"new.row.3336","40580",2009,6422
"new.row.3337","40580",2010,6302
"new.row.3338","40580",2011,5936
"new.row.3339","40580",2012,6056
"new.row.3340","40580",2013,6068
"new.row.3341","47260",2001,66789
"new.row.3342","47260",2002,68852
"new.row.3343","47260",2003,71809
"new.row.3344","47260",2004,74460
"new.row.3345","47260",2005,77220
"new.row.3346","47260",2006,79554
"new.row.3347","47260",2007,81332
"new.row.3348","47260",2008,80849
"new.row.3349","47260",2009,80961
"new.row.3350","47260",2010,81322
"new.row.3351","47260",2011,81693
"new.row.3352","47260",2012,83014
"new.row.3353","47260",2013,83162
"new.row.3354","48900",2001,8806
"new.row.3355","48900",2002,8637
"new.row.3356","48900",2003,8770
"new.row.3357","48900",2004,9023
"new.row.3358","48900",2005,9680
"new.row.3359","48900",2006,10006
"new.row.3360","48900",2007,10491
"new.row.3361","48900",2008,10775
"new.row.3362","48900",2009,10763
"new.row.3363","48900",2010,10969
"new.row.3364","48900",2011,11230
"new.row.3365","48900",2012,11178
"new.row.3366","48900",2013,11501
"new.row.3367","49180",2001,25545
"new.row.3368","49180",2002,24575
"new.row.3369","49180",2003,25727
"new.row.3370","49180",2004,26284
"new.row.3371","49180",2005,26746
"new.row.3372","49180",2006,27256
"new.row.3373","49180",2007,26375
"new.row.3374","49180",2008,25629
"new.row.3375","49180",2009,24732
"new.row.3376","49180",2010,25604
"new.row.3377","49180",2011,25260
"new.row.3378","49180",2012,25151
"new.row.3379","49180",2013,25382
"new.row.3380","13900",2001,3969
"new.row.3381","13900",2002,4094
"new.row.3382","13900",2003,4373
"new.row.3383","13900",2004,4508
"new.row.3384","13900",2005,4605
"new.row.3385","13900",2006,4644
"new.row.3386","13900",2007,4631
"new.row.3387","13900",2008,4782
"new.row.3388","13900",2009,4867
"new.row.3389","13900",2010,5067
"new.row.3390","13900",2011,5260
"new.row.3391","13900",2012,5802
"new.row.3392","13900",2013,6205
"new.row.3393","10420",2001,26585
"new.row.3394","10420",2002,27514
"new.row.3395","10420",2003,28257
"new.row.3396","10420",2004,29117
"new.row.3397","10420",2005,29850
"new.row.3398","10420",2006,29777
"new.row.3399","10420",2007,29705
"new.row.3400","10420",2008,29620
"new.row.3401","10420",2009,27761
"new.row.3402","10420",2010,28438
"new.row.3403","10420",2011,28825
"new.row.3404","10420",2012,29709
"new.row.3405","10420",2013,29662
"new.row.3406","15940",2001,13951
"new.row.3407","15940",2002,14051
"new.row.3408","15940",2003,14128
"new.row.3409","15940",2004,14242
"new.row.3410","15940",2005,14457
"new.row.3411","15940",2006,14025
"new.row.3412","15940",2007,13703
"new.row.3413","15940",2008,13651
"new.row.3414","15940",2009,12736
"new.row.3415","15940",2010,13128
"new.row.3416","15940",2011,13637
"new.row.3417","15940",2012,14111
"new.row.3418","15940",2013,14641
"new.row.3419","17460",2001,106082
"new.row.3420","17460",2002,107860
"new.row.3421","17460",2003,110133
"new.row.3422","17460",2004,112652
"new.row.3423","17460",2005,113423
"new.row.3424","17460",2006,112902
"new.row.3425","17460",2007,111871
"new.row.3426","17460",2008,111357
"new.row.3427","17460",2009,105035
"new.row.3428","17460",2010,108304
"new.row.3429","17460",2011,110772
"new.row.3430","17460",2012,113827
"new.row.3431","17460",2013,114448
"new.row.3432","18140",2001,89038
"new.row.3433","18140",2002,91770
"new.row.3434","18140",2003,93109
"new.row.3435","18140",2004,94842
"new.row.3436","18140",2005,96882
"new.row.3437","18140",2006,97457
"new.row.3438","18140",2007,97387
"new.row.3439","18140",2008,96097
"new.row.3440","18140",2009,92924
"new.row.3441","18140",2010,96021
"new.row.3442","18140",2011,98906
"new.row.3443","18140",2012,103742
"new.row.3444","18140",2013,107191
"new.row.3445","19380",2001,35136
"new.row.3446","19380",2002,35770
"new.row.3447","19380",2003,35929
"new.row.3448","19380",2004,36538
"new.row.3449","19380",2005,36910
"new.row.3450","19380",2006,37465
"new.row.3451","19380",2007,36540
"new.row.3452","19380",2008,35643
"new.row.3453","19380",2009,33234
"new.row.3454","19380",2010,33907
"new.row.3455","19380",2011,34852
"new.row.3456","19380",2012,35528
"new.row.3457","19380",2013,35216
"new.row.3458","30620",2001,4546
"new.row.3459","30620",2002,4619
"new.row.3460","30620",2003,4629
"new.row.3461","30620",2004,4753
"new.row.3462","30620",2005,4822
"new.row.3463","30620",2006,4815
"new.row.3464","30620",2007,4700
"new.row.3465","30620",2008,4324
"new.row.3466","30620",2009,4781
"new.row.3467","30620",2010,4769
"new.row.3468","30620",2011,4772
"new.row.3469","30620",2012,4790
"new.row.3470","30620",2013,5166
"new.row.3471","31900",2001,3944
"new.row.3472","31900",2002,4114
"new.row.3473","31900",2003,4210
"new.row.3474","31900",2004,4393
"new.row.3475","31900",2005,4419
"new.row.3476","31900",2006,4437
"new.row.3477","31900",2007,4187
"new.row.3478","31900",2008,4064
"new.row.3479","31900",2009,3488
"new.row.3480","31900",2010,3587
"new.row.3481","31900",2011,3657
"new.row.3482","31900",2012,3686
"new.row.3483","31900",2013,3695
"new.row.3484","44220",2001,4077
"new.row.3485","44220",2002,3962
"new.row.3486","44220",2003,3841
"new.row.3487","44220",2004,3930
"new.row.3488","44220",2005,3932
"new.row.3489","44220",2006,4054
"new.row.3490","44220",2007,3861
"new.row.3491","44220",2008,3771
"new.row.3492","44220",2009,3530
"new.row.3493","44220",2010,3550
"new.row.3494","44220",2011,3679
"new.row.3495","44220",2012,3763
"new.row.3496","44220",2013,3768
"new.row.3497","45780",2001,26024
"new.row.3498","45780",2002,26670
"new.row.3499","45780",2003,27063
"new.row.3500","45780",2004,27360
"new.row.3501","45780",2005,27486
"new.row.3502","45780",2006,27613
"new.row.3503","45780",2007,26998
"new.row.3504","45780",2008,26052
"new.row.3505","45780",2009,25821
"new.row.3506","45780",2010,26094
"new.row.3507","45780",2011,26995
"new.row.3508","45780",2012,27611
"new.row.3509","45780",2013,28252
"new.row.3510","48260",2001,3848
"new.row.3511","48260",2002,4078
"new.row.3512","48260",2003,3928
"new.row.3513","48260",2004,3842
"new.row.3514","48260",2005,3878
"new.row.3515","48260",2006,3541
"new.row.3516","48260",2007,3616
"new.row.3517","48260",2008,3764
"new.row.3518","48260",2009,3487
"new.row.3519","48260",2010,3362
"new.row.3520","48260",2011,3280
"new.row.3521","48260",2012,3470
"new.row.3522","48260",2013,3421
"new.row.3523","48540",2001,4827
"new.row.3524","48540",2002,4934
"new.row.3525","48540",2003,5063
"new.row.3526","48540",2004,5170
"new.row.3527","48540",2005,5259
"new.row.3528","48540",2006,5292
"new.row.3529","48540",2007,5282
"new.row.3530","48540",2008,5480
"new.row.3531","48540",2009,5587
"new.row.3532","48540",2010,5645
"new.row.3533","48540",2011,5634
"new.row.3534","48540",2012,5654
"new.row.3535","48540",2013,6161
"new.row.3536","49660",2001,18266
"new.row.3537","49660",2002,18754
"new.row.3538","49660",2003,18853
"new.row.3539","49660",2004,19113
"new.row.3540","49660",2005,19361
"new.row.3541","49660",2006,19282
"new.row.3542","49660",2007,18702
"new.row.3543","49660",2008,17761
"new.row.3544","49660",2009,16158
"new.row.3545","49660",2010,16804
"new.row.3546","49660",2011,17931
"new.row.3547","49660",2012,18053
"new.row.3548","49660",2013,17590
"new.row.3549","30020",2001,3570
"new.row.3550","30020",2002,3611
"new.row.3551","30020",2003,3798
"new.row.3552","30020",2004,3911
"new.row.3553","30020",2005,3900
"new.row.3554","30020",2006,4128
"new.row.3555","30020",2007,4225
"new.row.3556","30020",2008,4314
"new.row.3557","30020",2009,4482
"new.row.3558","30020",2010,4680
"new.row.3559","30020",2011,4621
"new.row.3560","30020",2012,4458
"new.row.3561","30020",2013,4534
"new.row.3562","36420",2001,46805
"new.row.3563","36420",2002,47544
"new.row.3564","36420",2003,48983
"new.row.3565","36420",2004,50951
"new.row.3566","36420",2005,52081
"new.row.3567","36420",2006,55770
"new.row.3568","36420",2007,56917
"new.row.3569","36420",2008,58108
"new.row.3570","36420",2009,57578
"new.row.3571","36420",2010,57856
"new.row.3572","36420",2011,60281
"new.row.3573","36420",2012,62780
"new.row.3574","36420",2013,65246
"new.row.3575","46140",2001,38662
"new.row.3576","46140",2002,38859
"new.row.3577","46140",2003,38508
"new.row.3578","46140",2004,39676
"new.row.3579","46140",2005,41991
"new.row.3580","46140",2006,44659
"new.row.3581","46140",2007,45597
"new.row.3582","46140",2008,48103
"new.row.3583","46140",2009,46117
"new.row.3584","46140",2010,45404
"new.row.3585","46140",2011,47244
"new.row.3586","46140",2012,47940
"new.row.3587","46140",2013,49616
"new.row.3588","10540",2001,2813
"new.row.3589","10540",2002,2937
"new.row.3590","10540",2003,2884
"new.row.3591","10540",2004,3119
"new.row.3592","10540",2005,3155
"new.row.3593","10540",2006,3305
"new.row.3594","10540",2007,3155
"new.row.3595","10540",2008,3153
"new.row.3596","10540",2009,3064
"new.row.3597","10540",2010,2974
"new.row.3598","10540",2011,3017
"new.row.3599","10540",2012,3114
"new.row.3600","10540",2013,3130
"new.row.3601","13460",2001,4830
"new.row.3602","13460",2002,5237
"new.row.3603","13460",2003,5534
"new.row.3604","13460",2004,5816
"new.row.3605","13460",2005,6198
"new.row.3606","13460",2006,6726
"new.row.3607","13460",2007,6586
"new.row.3608","13460",2008,6494
"new.row.3609","13460",2009,5948
"new.row.3610","13460",2010,5792
"new.row.3611","13460",2011,5640
"new.row.3612","13460",2012,5868
"new.row.3613","13460",2013,6226
"new.row.3614","18700",2001,2372
"new.row.3615","18700",2002,2727
"new.row.3616","18700",2003,3097
"new.row.3617","18700",2004,3690
"new.row.3618","18700",2005,3687
"new.row.3619","18700",2006,4247
"new.row.3620","18700",2007,4469
"new.row.3621","18700",2008,4990
"new.row.3622","18700",2009,5166
"new.row.3623","18700",2010,5381
"new.row.3624","18700",2011,5244
"new.row.3625","18700",2012,5246
"new.row.3626","18700",2013,5231
"new.row.3627","21660",2001,10095
"new.row.3628","21660",2002,10287
"new.row.3629","21660",2003,10609
"new.row.3630","21660",2004,11306
"new.row.3631","21660",2005,11571
"new.row.3632","21660",2006,12053
"new.row.3633","21660",2007,12459
"new.row.3634","21660",2008,12680
"new.row.3635","21660",2009,11452
"new.row.3636","21660",2010,11556
"new.row.3637","21660",2011,11895
"new.row.3638","21660",2012,12106
"new.row.3639","21660",2013,12382
"new.row.3640","24420",2001,1532
"new.row.3641","24420",2002,1598
"new.row.3642","24420",2003,1677
"new.row.3643","24420",2004,1794
"new.row.3644","24420",2005,1845
"new.row.3645","24420",2006,1932
"new.row.3646","24420",2007,1882
"new.row.3647","24420",2008,1843
"new.row.3648","24420",2009,1778
"new.row.3649","24420",2010,1743
"new.row.3650","24420",2011,1750
"new.row.3651","24420",2012,1782
"new.row.3652","24420",2013,1780
"new.row.3653","32780",2001,5907
"new.row.3654","32780",2002,6063
"new.row.3655","32780",2003,6316
"new.row.3656","32780",2004,6611
"new.row.3657","32780",2005,6759
"new.row.3658","32780",2006,6929
"new.row.3659","32780",2007,6815
"new.row.3660","32780",2008,6378
"new.row.3661","32780",2009,6092
"new.row.3662","32780",2010,5972
"new.row.3663","32780",2011,5903
"new.row.3664","32780",2012,6135
"new.row.3665","32780",2013,6368
"new.row.3666","38900",2001,87368
"new.row.3667","38900",2002,88212
"new.row.3668","38900",2003,91530
"new.row.3669","38900",2004,101235
"new.row.3670","38900",2005,103967
"new.row.3671","38900",2006,115179
"new.row.3672","38900",2007,121325
"new.row.3673","38900",2008,129674
"new.row.3674","38900",2009,131066
"new.row.3675","38900",2010,140717
"new.row.3676","38900",2011,148139
"new.row.3677","38900",2012,155059
"new.row.3678","38900",2013,159266
"new.row.3679","41420",2001,10916
"new.row.3680","41420",2002,11415
"new.row.3681","41420",2003,11801
"new.row.3682","41420",2004,12090
"new.row.3683","41420",2005,12238
"new.row.3684","41420",2006,12879
"new.row.3685","41420",2007,12729
"new.row.3686","41420",2008,13066
"new.row.3687","41420",2009,12700
"new.row.3688","41420",2010,12281
"new.row.3689","41420",2011,11939
"new.row.3690","41420",2012,12113
"new.row.3691","41420",2013,12449
"new.row.3692","11020",2001,4066
"new.row.3693","11020",2002,4051
"new.row.3694","11020",2003,4154
"new.row.3695","11020",2004,4218
"new.row.3696","11020",2005,4315
"new.row.3697","11020",2006,4339
"new.row.3698","11020",2007,4419
"new.row.3699","11020",2008,4357
"new.row.3700","11020",2009,4334
"new.row.3701","11020",2010,4353
"new.row.3702","11020",2011,4327
"new.row.3703","11020",2012,4393
"new.row.3704","11020",2013,4449
"new.row.3705","14100",2001,2862
"new.row.3706","14100",2002,3052
"new.row.3707","14100",2003,2973
"new.row.3708","14100",2004,3053
"new.row.3709","14100",2005,3012
"new.row.3710","14100",2006,3106
"new.row.3711","14100",2007,3203
"new.row.3712","14100",2008,3236
"new.row.3713","14100",2009,3196
"new.row.3714","14100",2010,3342
"new.row.3715","14100",2011,3401
"new.row.3716","14100",2012,3462
"new.row.3717","14100",2013,3586
"new.row.3718","16540",2001,3387
"new.row.3719","16540",2002,3425
"new.row.3720","16540",2003,3638
"new.row.3721","16540",2004,3923
"new.row.3722","16540",2005,4147
"new.row.3723","16540",2006,4318
"new.row.3724","16540",2007,4410
"new.row.3725","16540",2008,4387
"new.row.3726","16540",2009,4140
"new.row.3727","16540",2010,4171
"new.row.3728","16540",2011,4175
"new.row.3729","16540",2012,4193
"new.row.3730","16540",2013,4287
"new.row.3731","20700",2001,4513
"new.row.3732","20700",2002,4677
"new.row.3733","20700",2003,4670
"new.row.3734","20700",2004,4954
"new.row.3735","20700",2005,5215
"new.row.3736","20700",2006,5400
"new.row.3737","20700",2007,5642
"new.row.3738","20700",2008,5644
"new.row.3739","20700",2009,5520
"new.row.3740","20700",2010,5509
"new.row.3741","20700",2011,5191
"new.row.3742","20700",2012,5144
"new.row.3743","20700",2013,5035
"new.row.3744","21500",2001,9579
"new.row.3745","21500",2002,9294
"new.row.3746","21500",2003,9329
"new.row.3747","21500",2004,9704
"new.row.3748","21500",2005,9916
"new.row.3749","21500",2006,10013
"new.row.3750","21500",2007,10149
"new.row.3751","21500",2008,10165
"new.row.3752","21500",2009,9515
"new.row.3753","21500",2010,9486
"new.row.3754","21500",2011,9828
"new.row.3755","21500",2012,9807
"new.row.3756","21500",2013,9825
"new.row.3757","23900",2001,2326
"new.row.3758","23900",2002,2384
"new.row.3759","23900",2003,2539
"new.row.3760","23900",2004,2570
"new.row.3761","23900",2005,2697
"new.row.3762","23900",2006,2824
"new.row.3763","23900",2007,2837
"new.row.3764","23900",2008,2738
"new.row.3765","23900",2009,2664
"new.row.3766","23900",2010,2585
"new.row.3767","23900",2011,2520
"new.row.3768","23900",2012,2570
"new.row.3769","23900",2013,2626
"new.row.3770","25420",2001,26993
"new.row.3771","25420",2002,27153
"new.row.3772","25420",2003,27658
"new.row.3773","25420",2004,28413
"new.row.3774","25420",2005,28725
"new.row.3775","25420",2006,29306
"new.row.3776","25420",2007,29653
"new.row.3777","25420",2008,29093
"new.row.3778","25420",2009,28841
"new.row.3779","25420",2010,28955
"new.row.3780","25420",2011,29199
