"","msa.fips","year","wages.and.salaries"
"new.row","11500",1969,222635
"new.row.1","11500",1970,222603
"new.row.2","11500",1971,247542
"new.row.3","11500",1972,275129
"new.row.4","11500",1973,295113
"new.row.5","11500",1974,322671
"new.row.6","11500",1975,352039
"new.row.7","11500",1976,398780
"new.row.8","11500",1977,450281
"new.row.9","11500",1978,490211
"new.row.10","11500",1979,530063
"new.row.11","11500",1980,599829
"new.row.12","11500",1981,651364
"new.row.13","11500",1982,684859
"new.row.14","11500",1983,725345
"new.row.15","11500",1984,799837
"new.row.16","11500",1985,837807
"new.row.17","11500",1986,875363
"new.row.18","11500",1987,919308
"new.row.19","11500",1988,959723
"new.row.20","11500",1989,982770
"new.row.21","11500",1990,1010921
"new.row.22","11500",1991,1056959
"new.row.23","11500",1992,1092503
"new.row.24","11500",1993,1110899
"new.row.25","11500",1994,1137979
"new.row.26","11500",1995,1188408
"new.row.27","11500",1996,1201611
"new.row.28","11500",1997,1258237
"new.row.29","11500",1998,1319824
"new.row.30","11500",1999,1327078
"new.row.31","11500",2000,1289679
"new.row.32","11500",2001,1316905
"new.row.33","11500",2002,1381894
"new.row.34","11500",2003,1459120
"new.row.35","11500",2004,1567614
"new.row.36","11500",2005,1645096
"new.row.37","11500",2006,1737124
"new.row.38","11500",2007,1888414
"new.row.39","11500",2008,1945770
"new.row.40","11500",2009,1865696
"new.row.41","11500",2010,1855676
"new.row.42","11500",2011,1861757
"new.row.43","11500",2012,1816761
"new.row.44","12220",1969,103810
"new.row.45","12220",1970,110593
"new.row.46","12220",1971,119824
"new.row.47","12220",1972,135437
"new.row.48","12220",1973,154674
"new.row.49","12220",1974,170752
"new.row.50","12220",1975,181709
"new.row.51","12220",1976,203332
"new.row.52","12220",1977,238270
"new.row.53","12220",1978,273770
"new.row.54","12220",1979,297174
"new.row.55","12220",1980,332747
"new.row.56","12220",1981,362230
"new.row.57","12220",1982,372436
"new.row.58","12220",1983,418525
"new.row.59","12220",1984,474977
"new.row.60","12220",1985,501558
"new.row.61","12220",1986,523205
"new.row.62","12220",1987,559549
"new.row.63","12220",1988,610806
"new.row.64","12220",1989,676434
"new.row.65","12220",1990,702302
"new.row.66","12220",1991,710823
"new.row.67","12220",1992,761500
"new.row.68","12220",1993,784020
"new.row.69","12220",1994,828225
"new.row.70","12220",1995,875559
"new.row.71","12220",1996,903743
"new.row.72","12220",1997,964548
"new.row.73","12220",1998,995521
"new.row.74","12220",1999,1059781
"new.row.75","12220",2000,1111509
"new.row.76","12220",2001,1130687
"new.row.77","12220",2002,1199284
"new.row.78","12220",2003,1281800
"new.row.79","12220",2004,1415614
"new.row.80","12220",2005,1492102
"new.row.81","12220",2006,1614047
"new.row.82","12220",2007,1697863
"new.row.83","12220",2008,1745727
"new.row.84","12220",2009,1707818
"new.row.85","12220",2010,1699624
"new.row.86","12220",2011,1768714
"new.row.87","12220",2012,1852805
"new.row.88","13820",1969,1836256
"new.row.89","13820",1970,1971658
"new.row.90","13820",1971,2122843
"new.row.91","13820",1972,2361000
"new.row.92","13820",1973,2659512
"new.row.93","13820",1974,3004125
"new.row.94","13820",1975,3237834
"new.row.95","13820",1976,3580492
"new.row.96","13820",1977,3967546
"new.row.97","13820",1978,4482729
"new.row.98","13820",1979,4991538
"new.row.99","13820",1980,5316361
"new.row.100","13820",1981,5651262
"new.row.101","13820",1982,5841232
"new.row.102","13820",1983,6140492
"new.row.103","13820",1984,6718856
"new.row.104","13820",1985,7305629
"new.row.105","13820",1986,7731291
"new.row.106","13820",1987,8252412
"new.row.107","13820",1988,8872194
"new.row.108","13820",1989,9356255
"new.row.109","13820",1990,9998944
"new.row.110","13820",1991,10393023
"new.row.111","13820",1992,11058023
"new.row.112","13820",1993,11535628
"new.row.113","13820",1994,12244717
"new.row.114","13820",1995,13063068
"new.row.115","13820",1996,13806566
"new.row.116","13820",1997,14632885
"new.row.117","13820",1998,15484468
"new.row.118","13820",1999,16435068
"new.row.119","13820",2000,17172873
"new.row.120","13820",2001,17754710
"new.row.121","13820",2002,18304531
"new.row.122","13820",2003,18796846
"new.row.123","13820",2004,19842834
"new.row.124","13820",2005,20904007
"new.row.125","13820",2006,21961610
"new.row.126","13820",2007,23111156
"new.row.127","13820",2008,23459014
"new.row.128","13820",2009,22192729
"new.row.129","13820",2010,22129378
"new.row.130","13820",2011,22793863
"new.row.131","13820",2012,24070030
"new.row.132","17980",1969,635085
"new.row.133","17980",1970,610163
"new.row.134","17980",1971,641154
"new.row.135","17980",1972,664118
"new.row.136","17980",1973,718557
"new.row.137","17980",1974,774627
"new.row.138","17980",1975,808036
"new.row.139","17980",1976,898636
"new.row.140","17980",1977,995424
"new.row.141","17980",1978,1099961
"new.row.142","17980",1979,1164058
"new.row.143","17980",1980,1251298
"new.row.144","17980",1981,1361395
"new.row.145","17980",1982,1466671
"new.row.146","17980",1983,1554987
"new.row.147","17980",1984,1746113
"new.row.148","17980",1985,1880209
"new.row.149","17980",1986,2020748
"new.row.150","17980",1987,2176341
"new.row.151","17980",1988,2265154
"new.row.152","17980",1989,2331800
"new.row.153","17980",1990,2461374
"new.row.154","17980",1991,2538005
"new.row.155","17980",1992,2721214
"new.row.156","17980",1993,2794698
"new.row.157","17980",1994,2916513
"new.row.158","17980",1995,3046270
"new.row.159","17980",1996,3223270
"new.row.160","17980",1997,3500829
"new.row.161","17980",1998,3734851
"new.row.162","17980",1999,3924900
"new.row.163","17980",2000,4107888
"new.row.164","17980",2001,4240398
"new.row.165","17980",2002,4318729
"new.row.166","17980",2003,4436447
"new.row.167","17980",2004,4594757
"new.row.168","17980",2005,4912054
"new.row.169","17980",2006,5178248
"new.row.170","17980",2007,5432846
"new.row.171","17980",2008,5672293
"new.row.172","17980",2009,5661770
"new.row.173","17980",2010,5782957
"new.row.174","17980",2011,6007022
"new.row.175","17980",2012,6255266
"new.row.176","19300",1969,57466
"new.row.177","19300",1970,61271
"new.row.178","19300",1971,67668
"new.row.179","19300",1972,77476
"new.row.180","19300",1973,91157
"new.row.181","19300",1974,103926
"new.row.182","19300",1975,114245
"new.row.183","19300",1976,132897
"new.row.184","19300",1977,149568
"new.row.185","19300",1978,159603
"new.row.186","19300",1979,179182
"new.row.187","19300",1980,190877
"new.row.188","19300",1981,217287
"new.row.189","19300",1982,229341
"new.row.190","19300",1983,254801
"new.row.191","19300",1984,291664
"new.row.192","19300",1985,318383
"new.row.193","19300",1986,340312
"new.row.194","19300",1987,364829
"new.row.195","19300",1988,385032
"new.row.196","19300",1989,415578
"new.row.197","19300",1990,461462
"new.row.198","19300",1991,499923
"new.row.199","19300",1992,542703
"new.row.200","19300",1993,602539
"new.row.201","19300",1994,678492
"new.row.202","19300",1995,753025
"new.row.203","19300",1996,821794
"new.row.204","19300",1997,918903
"new.row.205","19300",1998,1018662
"new.row.206","19300",1999,1124715
"new.row.207","19300",2000,1203776
"new.row.208","19300",2001,1257459
"new.row.209","19300",2002,1326986
"new.row.210","19300",2003,1410106
"new.row.211","19300",2004,1539839
"new.row.212","19300",2005,1709570
"new.row.213","19300",2006,1915306
"new.row.214","19300",2007,2066949
"new.row.215","19300",2008,2113260
"new.row.216","19300",2009,2001773
"new.row.217","19300",2010,2004084
"new.row.218","19300",2011,2066163
"new.row.219","19300",2012,2132319
"new.row.220","19460",1969,177705
"new.row.221","19460",1970,204309
"new.row.222","19460",1971,208228
"new.row.223","19460",1972,225816
"new.row.224","19460",1973,257035
"new.row.225","19460",1974,298592
"new.row.226","19460",1975,332294
"new.row.227","19460",1976,360408
"new.row.228","19460",1977,403874
"new.row.229","19460",1978,474396
"new.row.230","19460",1979,538014
"new.row.231","19460",1980,547312
"new.row.232","19460",1981,592553
"new.row.233","19460",1982,607949
"new.row.234","19460",1983,646024
"new.row.235","19460",1984,715986
"new.row.236","19460",1985,769793
"new.row.237","19460",1986,803120
"new.row.238","19460",1987,860298
"new.row.239","19460",1988,916002
"new.row.240","19460",1989,984128
"new.row.241","19460",1990,1062864
"new.row.242","19460",1991,1136474
"new.row.243","19460",1992,1190481
"new.row.244","19460",1993,1252606
"new.row.245","19460",1994,1297203
"new.row.246","19460",1995,1379615
"new.row.247","19460",1996,1447129
"new.row.248","19460",1997,1535639
"new.row.249","19460",1998,1644437
"new.row.250","19460",1999,1738495
"new.row.251","19460",2000,1781018
"new.row.252","19460",2001,1826265
"new.row.253","19460",2002,1758925
"new.row.254","19460",2003,1791908
"new.row.255","19460",2004,1900852
"new.row.256","19460",2005,1951467
"new.row.257","19460",2006,2034893
"new.row.258","19460",2007,2138769
"new.row.259","19460",2008,2180338
"new.row.260","19460",2009,2046912
"new.row.261","19460",2010,2102105
"new.row.262","19460",2011,2162171
"new.row.263","19460",2012,2219250
"new.row.264","20020",1969,124446
"new.row.265","20020",1970,137816
"new.row.266","20020",1971,158474
"new.row.267","20020",1972,185832
"new.row.268","20020",1973,238876
"new.row.269","20020",1974,275889
"new.row.270","20020",1975,274777
"new.row.271","20020",1976,333414
"new.row.272","20020",1977,369686
"new.row.273","20020",1978,418643
"new.row.274","20020",1979,444754
"new.row.275","20020",1980,512956
"new.row.276","20020",1981,542360
"new.row.277","20020",1982,547847
"new.row.278","20020",1983,576819
"new.row.279","20020",1984,633950
"new.row.280","20020",1985,685062
"new.row.281","20020",1986,738191
"new.row.282","20020",1987,805838
"new.row.283","20020",1988,870852
"new.row.284","20020",1989,946835
"new.row.285","20020",1990,1006095
"new.row.286","20020",1991,1050635
"new.row.287","20020",1992,1134727
"new.row.288","20020",1993,1163140
"new.row.289","20020",1994,1220508
"new.row.290","20020",1995,1303905
"new.row.291","20020",1996,1334820
"new.row.292","20020",1997,1398228
"new.row.293","20020",1998,1473629
"new.row.294","20020",1999,1527684
"new.row.295","20020",2000,1600237
"new.row.296","20020",2001,1626780
"new.row.297","20020",2002,1664697
"new.row.298","20020",2003,1730459
"new.row.299","20020",2004,1849574
"new.row.300","20020",2005,1939686
"new.row.301","20020",2006,2045093
"new.row.302","20020",2007,2118872
"new.row.303","20020",2008,2112151
"new.row.304","20020",2009,2049809
"new.row.305","20020",2010,2068044
"new.row.306","20020",2011,2075371
"new.row.307","20020",2012,2109549
"new.row.308","22520",1969,223672
"new.row.309","22520",1970,232814
"new.row.310","22520",1971,254836
"new.row.311","22520",1972,284744
"new.row.312","22520",1973,315474
"new.row.313","22520",1974,354627
"new.row.314","22520",1975,367440
"new.row.315","22520",1976,432301
"new.row.316","22520",1977,491488
"new.row.317","22520",1978,573111
"new.row.318","22520",1979,618504
"new.row.319","22520",1980,666301
"new.row.320","22520",1981,700829
"new.row.321","22520",1982,704812
"new.row.322","22520",1983,718100
"new.row.323","22520",1984,753141
"new.row.324","22520",1985,778814
"new.row.325","22520",1986,809018
"new.row.326","22520",1987,843499
"new.row.327","22520",1988,911910
"new.row.328","22520",1989,952853
"new.row.329","22520",1990,1034738
"new.row.330","22520",1991,1079243
"new.row.331","22520",1992,1137795
"new.row.332","22520",1993,1188486
"new.row.333","22520",1994,1261570
"new.row.334","22520",1995,1339641
"new.row.335","22520",1996,1376531
"new.row.336","22520",1997,1416517
"new.row.337","22520",1998,1389083
"new.row.338","22520",1999,1432611
"new.row.339","22520",2000,1457728
"new.row.340","22520",2001,1443091
"new.row.341","22520",2002,1428111
"new.row.342","22520",2003,1476339
"new.row.343","22520",2004,1556340
"new.row.344","22520",2005,1631456
"new.row.345","22520",2006,1747610
"new.row.346","22520",2007,1824420
"new.row.347","22520",2008,1851825
"new.row.348","22520",2009,1818768
"new.row.349","22520",2010,1897686
"new.row.350","22520",2011,1923356
"new.row.351","22520",2012,1942879
"new.row.352","23460",1969,190751
"new.row.353","23460",1970,188175
"new.row.354","23460",1971,196905
"new.row.355","23460",1972,221124
"new.row.356","23460",1973,245622
"new.row.357","23460",1974,265044
"new.row.358","23460",1975,273868
"new.row.359","23460",1976,297600
"new.row.360","23460",1977,355020
"new.row.361","23460",1978,411322
"new.row.362","23460",1979,464468
"new.row.363","23460",1980,484677
"new.row.364","23460",1981,525085
"new.row.365","23460",1982,502137
"new.row.366","23460",1983,529978
"new.row.367","23460",1984,582680
"new.row.368","23460",1985,601019
"new.row.369","23460",1986,608190
"new.row.370","23460",1987,667898
"new.row.371","23460",1988,706792
"new.row.372","23460",1989,711092
"new.row.373","23460",1990,714737
"new.row.374","23460",1991,720866
"new.row.375","23460",1992,774817
"new.row.376","23460",1993,812719
"new.row.377","23460",1994,869237
"new.row.378","23460",1995,921104
"new.row.379","23460",1996,920008
"new.row.380","23460",1997,960506
"new.row.381","23460",1998,993516
"new.row.382","23460",1999,989923
"new.row.383","23460",2000,1018248
"new.row.384","23460",2001,1000679
"new.row.385","23460",2002,1033353
"new.row.386","23460",2003,1045062
"new.row.387","23460",2004,1102146
"new.row.388","23460",2005,1138465
"new.row.389","23460",2006,1170059
"new.row.390","23460",2007,1204154
"new.row.391","23460",2008,1232408
"new.row.392","23460",2009,1186358
"new.row.393","23460",2010,1207407
"new.row.394","23460",2011,1230670
"new.row.395","23460",2012,1247865
"new.row.396","26620",1969,675744
"new.row.397","26620",1970,719238
"new.row.398","26620",1971,766910
"new.row.399","26620",1972,820829
"new.row.400","26620",1973,865804
"new.row.401","26620",1974,915500
"new.row.402","26620",1975,945527
"new.row.403","26620",1976,1036578
"new.row.404","26620",1977,1153806
"new.row.405","26620",1978,1296819
"new.row.406","26620",1979,1428242
"new.row.407","26620",1980,1569384
"new.row.408","26620",1981,1750211
"new.row.409","26620",1982,1915361
"new.row.410","26620",1983,2189039
"new.row.411","26620",1984,2522866
"new.row.412","26620",1985,2853099
"new.row.413","26620",1986,3123876
"new.row.414","26620",1987,3439598
"new.row.415","26620",1988,3790313
"new.row.416","26620",1989,4007112
"new.row.417","26620",1990,4322782
"new.row.418","26620",1991,4502219
"new.row.419","26620",1992,4896321
"new.row.420","26620",1993,5002842
"new.row.421","26620",1994,5124632
"new.row.422","26620",1995,5345003
"new.row.423","26620",1996,5440289
"new.row.424","26620",1997,5733501
"new.row.425","26620",1998,6106497
"new.row.426","26620",1999,6299155
"new.row.427","26620",2000,6731071
"new.row.428","26620",2001,6983824
"new.row.429","26620",2002,7269196
"new.row.430","26620",2003,7739677
"new.row.431","26620",2004,8106544
"new.row.432","26620",2005,8631543
"new.row.433","26620",2006,9332962
"new.row.434","26620",2007,9902704
"new.row.435","26620",2008,10461667
"new.row.436","26620",2009,10612536
"new.row.437","26620",2010,10944451
"new.row.438","26620",2011,11174866
"new.row.439","26620",2012,11357648
"new.row.440","33660",1969,608779
"new.row.441","33660",1970,649751
"new.row.442","33660",1971,681375
"new.row.443","33660",1972,744087
"new.row.444","33660",1973,844135
"new.row.445","33660",1974,958843
"new.row.446","33660",1975,1075077
"new.row.447","33660",1976,1225543
"new.row.448","33660",1977,1367638
"new.row.449","33660",1978,1559790
"new.row.450","33660",1979,1699981
"new.row.451","33660",1980,1921169
"new.row.452","33660",1981,2105937
"new.row.453","33660",1982,2121995
"new.row.454","33660",1983,2167298
"new.row.455","33660",1984,2323814
"new.row.456","33660",1985,2519964
"new.row.457","33660",1986,2612251
"new.row.458","33660",1987,2723671
"new.row.459","33660",1988,2877064
"new.row.460","33660",1989,3052460
"new.row.461","33660",1990,3263531
"new.row.462","33660",1991,3536279
"new.row.463","33660",1992,3763444
"new.row.464","33660",1993,3972258
"new.row.465","33660",1994,4160675
"new.row.466","33660",1995,4316380
"new.row.467","33660",1996,4562511
"new.row.468","33660",1997,4836424
"new.row.469","33660",1998,5062283
"new.row.470","33660",1999,5175284
"new.row.471","33660",2000,5310358
"new.row.472","33660",2001,5398759
"new.row.473","33660",2002,5428233
"new.row.474","33660",2003,5484283
"new.row.475","33660",2004,5697460
"new.row.476","33660",2005,6143625
"new.row.477","33660",2006,6766273
"new.row.478","33660",2007,7043736
"new.row.479","33660",2008,7332021
"new.row.480","33660",2009,7180972
"new.row.481","33660",2010,7334241
"new.row.482","33660",2011,7631722
"new.row.483","33660",2012,7636127
"new.row.484","33860",1969,486122
"new.row.485","33860",1970,523391
"new.row.486","33860",1971,585457
"new.row.487","33860",1972,673064
"new.row.488","33860",1973,762427
"new.row.489","33860",1974,849174
"new.row.490","33860",1975,892944
"new.row.491","33860",1976,989104
"new.row.492","33860",1977,1099929
"new.row.493","33860",1978,1252619
"new.row.494","33860",1979,1398662
"new.row.495","33860",1980,1523935
"new.row.496","33860",1981,1616438
"new.row.497","33860",1982,1688964
"new.row.498","33860",1983,1855491
"new.row.499","33860",1984,2039950
"new.row.500","33860",1985,2219620
"new.row.501","33860",1986,2387767
"new.row.502","33860",1987,2551255
"new.row.503","33860",1988,2735743
"new.row.504","33860",1989,2868165
"new.row.505","33860",1990,3018932
"new.row.506","33860",1991,3171804
"new.row.507","33860",1992,3362208
"new.row.508","33860",1993,3526168
"new.row.509","33860",1994,3768298
"new.row.510","33860",1995,3973938
"new.row.511","33860",1996,4161630
"new.row.512","33860",1997,4368753
"new.row.513","33860",1998,4620364
"new.row.514","33860",1999,4906968
"new.row.515","33860",2000,5081433
"new.row.516","33860",2001,5275810
"new.row.517","33860",2002,5518715
"new.row.518","33860",2003,5727161
"new.row.519","33860",2004,5958927
"new.row.520","33860",2005,6237770
"new.row.521","33860",2006,6666824
"new.row.522","33860",2007,6931003
"new.row.523","33860",2008,7143698
"new.row.524","33860",2009,6997312
"new.row.525","33860",2010,7015768
"new.row.526","33860",2011,7119896
"new.row.527","33860",2012,7153729
"new.row.528","46220",1969,234535
"new.row.529","46220",1970,255645
"new.row.530","46220",1971,289456
"new.row.531","46220",1972,323028
"new.row.532","46220",1973,364207
"new.row.533","46220",1974,404890
"new.row.534","46220",1975,435635
"new.row.535","46220",1976,482407
"new.row.536","46220",1977,547269
"new.row.537","46220",1978,596461
"new.row.538","46220",1979,658577
"new.row.539","46220",1980,708726
"new.row.540","46220",1981,772068
"new.row.541","46220",1982,819933
"new.row.542","46220",1983,859227
"new.row.543","46220",1984,955401
"new.row.544","46220",1985,1032635
"new.row.545","46220",1986,1122111
"new.row.546","46220",1987,1197961
"new.row.547","46220",1988,1279428
"new.row.548","46220",1989,1367778
"new.row.549","46220",1990,1512803
"new.row.550","46220",1991,1565930
"new.row.551","46220",1992,1625157
"new.row.552","46220",1993,1716876
"new.row.553","46220",1994,1834587
"new.row.554","46220",1995,1928892
"new.row.555","46220",1996,2021091
"new.row.556","46220",1997,2170317
"new.row.557","46220",1998,2324376
"new.row.558","46220",1999,2471037
"new.row.559","46220",2000,2556001
"new.row.560","46220",2001,2646911
"new.row.561","46220",2002,2739012
"new.row.562","46220",2003,2824901
"new.row.563","46220",2004,2981016
"new.row.564","46220",2005,3260167
"new.row.565","46220",2006,3519427
"new.row.566","46220",2007,3678977
"new.row.567","46220",2008,3788597
"new.row.568","46220",2009,3630486
"new.row.569","46220",2010,3766966
"new.row.570","46220",2011,3906470
"new.row.571","46220",2012,4040294
"new.row.572","11260",1969,545894
"new.row.573","11260",1970,611521
"new.row.574","11260",1971,673050
"new.row.575","11260",1972,742702
"new.row.576","11260",1973,813245
"new.row.577","11260",1974,1034210
"new.row.578","11260",1975,1407856
"new.row.579","11260",1976,1675212
"new.row.580","11260",1977,1866941
"new.row.581","11260",1978,1822420
"new.row.582","11260",1979,1877759
"new.row.583","11260",1980,2090243
"new.row.584","11260",1981,2458021
"new.row.585","11260",1982,2915954
"new.row.586","11260",1983,3240363
"new.row.587","11260",1984,3512988
"new.row.588","11260",1985,3659191
"new.row.589","11260",1986,3587322
"new.row.590","11260",1987,3338799
"new.row.591","11260",1988,3354824
"new.row.592","11260",1989,3639073
"new.row.593","11260",1990,3990653
"new.row.594","11260",1991,4216023
"new.row.595","11260",1992,4423178
"new.row.596","11260",1993,4654422
"new.row.597","11260",1994,4806255
"new.row.598","11260",1995,4779188
"new.row.599","11260",1996,4901082
"new.row.600","11260",1997,5188286
"new.row.601","11260",1998,5463877
"new.row.602","11260",1999,5595178
"new.row.603","11260",2000,5867938
"new.row.604","11260",2001,6293180
"new.row.605","11260",2002,6667099
"new.row.606","11260",2003,6969784
"new.row.607","11260",2004,7393457
"new.row.608","11260",2005,7824171
"new.row.609","11260",2006,8249578
"new.row.610","11260",2007,8784452
"new.row.611","11260",2008,9254789
"new.row.612","11260",2009,9557363
"new.row.613","11260",2010,9774606
"new.row.614","11260",2011,10090405
"new.row.615","11260",2012,10594411
"new.row.616","21820",1969,175577
"new.row.617","21820",1970,198024
"new.row.618","21820",1971,211103
"new.row.619","21820",1972,231787
"new.row.620","21820",1973,245031
"new.row.621","21820",1974,411867
"new.row.622","21820",1975,781470
"new.row.623","21820",1976,781918
"new.row.624","21820",1977,651985
"new.row.625","21820",1978,551060
"new.row.626","21820",1979,563761
"new.row.627","21820",1980,612784
"new.row.628","21820",1981,696310
"new.row.629","21820",1982,833910
"new.row.630","21820",1983,902246
"new.row.631","21820",1984,945336
"new.row.632","21820",1985,987981
"new.row.633","21820",1986,909776
"new.row.634","21820",1987,870768
"new.row.635","21820",1988,873984
"new.row.636","21820",1989,916755
"new.row.637","21820",1990,961632
"new.row.638","21820",1991,1011885
"new.row.639","21820",1992,1084850
"new.row.640","21820",1993,1107502
"new.row.641","21820",1994,1107044
"new.row.642","21820",1995,1145005
"new.row.643","21820",1996,1177274
"new.row.644","21820",1997,1239029
"new.row.645","21820",1998,1286717
"new.row.646","21820",1999,1319348
"new.row.647","21820",2000,1404640
"new.row.648","21820",2001,1479873
"new.row.649","21820",2002,1593809
"new.row.650","21820",2003,1680250
"new.row.651","21820",2004,1783608
"new.row.652","21820",2005,1929380
"new.row.653","21820",2006,2097495
"new.row.654","21820",2007,2171290
"new.row.655","21820",2008,2275443
"new.row.656","21820",2009,2328001
"new.row.657","21820",2010,2367263
"new.row.658","21820",2011,2487797
"new.row.659","21820",2012,2546557
"new.row.660","22380",1969,100175
"new.row.661","22380",1970,104807
"new.row.662","22380",1971,128332
"new.row.663","22380",1972,164347
"new.row.664","22380",1973,198792
"new.row.665","22380",1974,207812
"new.row.666","22380",1975,215685
"new.row.667","22380",1976,224511
"new.row.668","22380",1977,246065
"new.row.669","22380",1978,290154
"new.row.670","22380",1979,320827
"new.row.671","22380",1980,365190
"new.row.672","22380",1981,397027
"new.row.673","22380",1982,410690
"new.row.674","22380",1983,441559
"new.row.675","22380",1984,486607
"new.row.676","22380",1985,531339
"new.row.677","22380",1986,590450
"new.row.678","22380",1987,632297
"new.row.679","22380",1988,685737
"new.row.680","22380",1989,690451
"new.row.681","22380",1990,744630
"new.row.682","22380",1991,789626
"new.row.683","22380",1992,865670
"new.row.684","22380",1993,913224
"new.row.685","22380",1994,977550
"new.row.686","22380",1995,1038781
"new.row.687","22380",1996,1105799
"new.row.688","22380",1997,1153945
"new.row.689","22380",1998,1229460
"new.row.690","22380",1999,1287720
"new.row.691","22380",2000,1381285
"new.row.692","22380",2001,1462760
"new.row.693","22380",2002,1536421
"new.row.694","22380",2003,1628432
"new.row.695","22380",2004,1744881
"new.row.696","22380",2005,1877030
"new.row.697","22380",2006,2035754
"new.row.698","22380",2007,2223521
"new.row.699","22380",2008,2259920
"new.row.700","22380",2009,2195797
"new.row.701","22380",2010,2214984
"new.row.702","22380",2011,2272758
"new.row.703","22380",2012,2339647
"new.row.704","29420",1969,46568
"new.row.705","29420",1970,46767
"new.row.706","29420",1971,52583
"new.row.707","29420",1972,58682
"new.row.708","29420",1973,69191
"new.row.709","29420",1974,83499
"new.row.710","29420",1975,90248
"new.row.711","29420",1976,99295
"new.row.712","29420",1977,112946
"new.row.713","29420",1978,137848
"new.row.714","29420",1979,179709
"new.row.715","29420",1980,195437
"new.row.716","29420",1981,207039
"new.row.717","29420",1982,197230
"new.row.718","29420",1983,206987
"new.row.719","29420",1984,240710
"new.row.720","29420",1985,273444
"new.row.721","29420",1986,301685
"new.row.722","29420",1987,341630
"new.row.723","29420",1988,371380
"new.row.724","29420",1989,409575
"new.row.725","29420",1990,480500
"new.row.726","29420",1991,515200
"new.row.727","29420",1992,549453
"new.row.728","29420",1993,586343
"new.row.729","29420",1994,647131
"new.row.730","29420",1995,685378
"new.row.731","29420",1996,735096
"new.row.732","29420",1997,784979
"new.row.733","29420",1998,852201
"new.row.734","29420",1999,921373
"new.row.735","29420",2000,1014396
"new.row.736","29420",2001,1122573
"new.row.737","29420",2002,1220730
"new.row.738","29420",2003,1319368
"new.row.739","29420",2004,1437189
"new.row.740","29420",2005,1599432
"new.row.741","29420",2006,1759332
"new.row.742","29420",2007,1787611
"new.row.743","29420",2008,1744730
"new.row.744","29420",2009,1582600
"new.row.745","29420",2010,1584327
"new.row.746","29420",2011,1610690
"new.row.747","29420",2012,1642916
"new.row.748","38060",1969,2446430
"new.row.749","38060",1970,2765788
"new.row.750","38060",1971,3118662
"new.row.751","38060",1972,3613145
"new.row.752","38060",1973,4225766
"new.row.753","38060",1974,4620216
"new.row.754","38060",1975,4696912
"new.row.755","38060",1976,5221745
"new.row.756","38060",1977,6039305
"new.row.757","38060",1978,7305488
"new.row.758","38060",1979,8809501
"new.row.759","38060",1980,9990384
"new.row.760","38060",1981,11265927
"new.row.761","38060",1982,11801001
"new.row.762","38060",1983,13007037
"new.row.763","38060",1984,14942673
"new.row.764","38060",1985,16949365
"new.row.765","38060",1986,18703093
"new.row.766","38060",1987,20239177
"new.row.767","38060",1988,21843039
"new.row.768","38060",1989,22949139
"new.row.769","38060",1990,24212490
"new.row.770","38060",1991,24883211
"new.row.771","38060",1992,26389621
"new.row.772","38060",1993,28250844
"new.row.773","38060",1994,31214021
"new.row.774","38060",1995,34739177
"new.row.775","38060",1996,38532734
"new.row.776","38060",1997,42581744
"new.row.777","38060",1998,47598649
"new.row.778","38060",1999,51576205
"new.row.779","38060",2000,57510809
"new.row.780","38060",2001,59312767
"new.row.781","38060",2002,60163538
"new.row.782","38060",2003,62893584
"new.row.783","38060",2004,68366260
"new.row.784","38060",2005,75335620
"new.row.785","38060",2006,83452846
"new.row.786","38060",2007,87577434
"new.row.787","38060",2008,86808208
"new.row.788","38060",2009,80729665
"new.row.789","38060",2010,80363462
"new.row.790","38060",2011,84163409
"new.row.791","38060",2012,88422168
"new.row.792","39140",1969,49554
"new.row.793","39140",1970,56539
"new.row.794","39140",1971,66969
"new.row.795","39140",1972,79765
"new.row.796","39140",1973,92887
"new.row.797","39140",1974,103466
"new.row.798","39140",1975,110097
"new.row.799","39140",1976,125397
"new.row.800","39140",1977,146467
"new.row.801","39140",1978,161095
"new.row.802","39140",1979,187824
"new.row.803","39140",1980,213575
"new.row.804","39140",1981,239464
"new.row.805","39140",1982,243537
"new.row.806","39140",1983,268047
"new.row.807","39140",1984,286019
"new.row.808","39140",1985,321978
"new.row.809","39140",1986,355019
"new.row.810","39140",1987,390624
"new.row.811","39140",1988,425977
"new.row.812","39140",1989,462667
"new.row.813","39140",1990,501880
"new.row.814","39140",1991,542285
"new.row.815","39140",1992,601743
"new.row.816","39140",1993,665044
"new.row.817","39140",1994,763656
"new.row.818","39140",1995,821482
"new.row.819","39140",1996,881115
"new.row.820","39140",1997,966848
"new.row.821","39140",1998,1057969
"new.row.822","39140",1999,1121705
"new.row.823","39140",2000,1229805
"new.row.824","39140",2001,1331706
"new.row.825","39140",2002,1427328
"new.row.826","39140",2003,1522776
"new.row.827","39140",2004,1671200
"new.row.828","39140",2005,1862593
"new.row.829","39140",2006,2092222
"new.row.830","39140",2007,2211349
"new.row.831","39140",2008,2181664
"new.row.832","39140",2009,1991038
"new.row.833","39140",2010,1939146
"new.row.834","39140",2011,1949740
"new.row.835","39140",2012,2036251
"new.row.836","43420",1969,146825
"new.row.837","43420",1970,157523
"new.row.838","43420",1971,185166
"new.row.839","43420",1972,205039
"new.row.840","43420",1973,224469
"new.row.841","43420",1974,240866
