"","msa.fips","year","contributions.for.government.social.insurance"
"new.row","11500",1969,16672
"new.row.1","11500",1970,17108
"new.row.2","11500",1971,19851
"new.row.3","11500",1972,23011
"new.row.4","11500",1973,28220
"new.row.5","11500",1974,32063
"new.row.6","11500",1975,35211
"new.row.7","11500",1976,41974
"new.row.8","11500",1977,46902
"new.row.9","11500",1978,51361
"new.row.10","11500",1979,58250
"new.row.11","11500",1980,64661
"new.row.12","11500",1981,75631
"new.row.13","11500",1982,78852
"new.row.14","11500",1983,89775
"new.row.15","11500",1984,101706
"new.row.16","11500",1985,109242
"new.row.17","11500",1986,114975
"new.row.18","11500",1987,120758
"new.row.19","11500",1988,133514
"new.row.20","11500",1989,139596
"new.row.21","11500",1990,146927
"new.row.22","11500",1991,155902
"new.row.23","11500",1992,163388
"new.row.24","11500",1993,170059
"new.row.25","11500",1994,175668
"new.row.26","11500",1995,183008
"new.row.27","11500",1996,185003
"new.row.28","11500",1997,193510
"new.row.29","11500",1998,201921
"new.row.30","11500",1999,205195
"new.row.31","11500",2000,198748
"new.row.32","11500",2001,205699
"new.row.33","11500",2002,216128
"new.row.34","11500",2003,228809
"new.row.35","11500",2004,244576
"new.row.36","11500",2005,259969
"new.row.37","11500",2006,273804
"new.row.38","11500",2007,296581
"new.row.39","11500",2008,307609
"new.row.40","11500",2009,299301
"new.row.41","11500",2010,304572
"new.row.42","11500",2011,276761
"new.row.43","11500",2012,269565
"new.row.44","11500",2013,290835
"new.row.45","12220",1969,9898
"new.row.46","12220",1970,10502
"new.row.47","12220",1971,11785
"new.row.48","12220",1972,14043
"new.row.49","12220",1973,18356
"new.row.50","12220",1974,20983
"new.row.51","12220",1975,22484
"new.row.52","12220",1976,25925
"new.row.53","12220",1977,30185
"new.row.54","12220",1978,35197
"new.row.55","12220",1979,39515
"new.row.56","12220",1980,44732
"new.row.57","12220",1981,52583
"new.row.58","12220",1982,54923
"new.row.59","12220",1983,61834
"new.row.60","12220",1984,70998
"new.row.61","12220",1985,74576
"new.row.62","12220",1986,77162
"new.row.63","12220",1987,81299
"new.row.64","12220",1988,92555
"new.row.65","12220",1989,101734
"new.row.66","12220",1990,107168
"new.row.67","12220",1991,109328
"new.row.68","12220",1992,117463
"new.row.69","12220",1993,122334
"new.row.70","12220",1994,130330
"new.row.71","12220",1995,137145
"new.row.72","12220",1996,140354
"new.row.73","12220",1997,149463
"new.row.74","12220",1998,154718
"new.row.75","12220",1999,163661
"new.row.76","12220",2000,169732
"new.row.77","12220",2001,175005
"new.row.78","12220",2002,186824
"new.row.79","12220",2003,198807
"new.row.80","12220",2004,218437
"new.row.81","12220",2005,232306
"new.row.82","12220",2006,249739
"new.row.83","12220",2007,263562
"new.row.84","12220",2008,274374
"new.row.85","12220",2009,271445
"new.row.86","12220",2010,277152
"new.row.87","12220",2011,258386
"new.row.88","12220",2012,267184
"new.row.89","12220",2013,313183
"new.row.90","13820",1969,162645
"new.row.91","13820",1970,173738
"new.row.92","13820",1971,192855
"new.row.93","13820",1972,227028
"new.row.94","13820",1973,294270
"new.row.95","13820",1974,342915
"new.row.96","13820",1975,369784
"new.row.97","13820",1976,421303
"new.row.98","13820",1977,470235
"new.row.99","13820",1978,542754
"new.row.100","13820",1979,624297
"new.row.101","13820",1980,664144
"new.row.102","13820",1981,761085
"new.row.103","13820",1982,805117
"new.row.104","13820",1983,862930
"new.row.105","13820",1984,967766
"new.row.106","13820",1985,1061632
"new.row.107","13820",1986,1130344
"new.row.108","13820",1987,1188957
"new.row.109","13820",1988,1327582
"new.row.110","13820",1989,1408124
"new.row.111","13820",1990,1532422
"new.row.112","13820",1991,1617462
"new.row.113","13820",1992,1717648
"new.row.114","13820",1993,1809071
"new.row.115","13820",1994,1947552
"new.row.116","13820",1995,2080193
"new.row.117","13820",1996,2182000
"new.row.118","13820",1997,2287542
"new.row.119","13820",1998,2417057
"new.row.120","13820",1999,2557770
"new.row.121","13820",2000,2685104
"new.row.122","13820",2001,2784934
"new.row.123","13820",2002,2895606
"new.row.124","13820",2003,2979867
"new.row.125","13820",2004,3118017
"new.row.126","13820",2005,3279228
"new.row.127","13820",2006,3444860
"new.row.128","13820",2007,3610118
"new.row.129","13820",2008,3704171
"new.row.130","13820",2009,3557933
"new.row.131","13820",2010,3600684
"new.row.132","13820",2011,3315151
"new.row.133","13820",2012,3461080
"new.row.134","13820",2013,3996849
"new.row.135","17980",1969,48015
"new.row.136","17980",1970,48177
"new.row.137","17980",1971,53641
"new.row.138","17980",1972,57423
"new.row.139","17980",1973,68631
"new.row.140","17980",1974,77488
"new.row.141","17980",1975,82812
"new.row.142","17980",1976,95249
"new.row.143","17980",1977,105422
"new.row.144","17980",1978,117710
"new.row.145","17980",1979,130304
"new.row.146","17980",1980,140753
"new.row.147","17980",1981,161549
"new.row.148","17980",1982,172529
"new.row.149","17980",1983,191025
"new.row.150","17980",1984,220938
"new.row.151","17980",1985,242822
"new.row.152","17980",1986,264403
"new.row.153","17980",1987,283897
"new.row.154","17980",1988,312127
"new.row.155","17980",1989,325526
"new.row.156","17980",1990,345931
"new.row.157","17980",1991,363116
"new.row.158","17980",1992,395433
"new.row.159","17980",1993,409946
"new.row.160","17980",1994,426663
"new.row.161","17980",1995,439992
"new.row.162","17980",1996,458774
"new.row.163","17980",1997,490039
"new.row.164","17980",1998,521682
"new.row.165","17980",1999,549138
"new.row.166","17980",2000,569970
"new.row.167","17980",2001,591539
"new.row.168","17980",2002,605755
"new.row.169","17980",2003,628484
"new.row.170","17980",2004,669831
"new.row.171","17980",2005,708684
"new.row.172","17980",2006,748245
"new.row.173","17980",2007,768970
"new.row.174","17980",2008,824403
"new.row.175","17980",2009,840594
"new.row.176","17980",2010,876009
"new.row.177","17980",2011,823352
"new.row.178","17980",2012,858112
"new.row.179","17980",2013,966122
"new.row.180","19300",1969,5642
"new.row.181","19300",1970,6114
"new.row.182","19300",1971,6919
"new.row.183","19300",1972,8432
"new.row.184","19300",1973,11236
"new.row.185","19300",1974,13293
"new.row.186","19300",1975,14691
"new.row.187","19300",1976,17619
"new.row.188","19300",1977,19938
"new.row.189","19300",1978,21698
"new.row.190","19300",1979,25020
"new.row.191","19300",1980,26899
"new.row.192","19300",1981,32488
"new.row.193","19300",1982,34874
"new.row.194","19300",1983,39552
"new.row.195","19300",1984,45773
"new.row.196","19300",1985,50457
"new.row.197","19300",1986,53058
"new.row.198","19300",1987,56032
"new.row.199","19300",1988,61784
"new.row.200","19300",1989,67238
"new.row.201","19300",1990,74867
"new.row.202","19300",1991,82626
"new.row.203","19300",1992,90355
"new.row.204","19300",1993,101564
"new.row.205","19300",1994,116179
"new.row.206","19300",1995,129353
"new.row.207","19300",1996,140649
"new.row.208","19300",1997,154450
"new.row.209","19300",1998,171534
"new.row.210","19300",1999,187356
"new.row.211","19300",2000,199934
"new.row.212","19300",2001,208657
"new.row.213","19300",2002,221574
"new.row.214","19300",2003,236839
"new.row.215","19300",2004,258335
"new.row.216","19300",2005,288735
"new.row.217","19300",2006,319346
"new.row.218","19300",2007,343575
"new.row.219","19300",2008,353878
"new.row.220","19300",2009,341866
"new.row.221","19300",2010,352483
"new.row.222","19300",2011,330635
"new.row.223","19300",2012,339444
"new.row.224","19300",2013,400247
"new.row.225","19460",1969,16156
"new.row.226","19460",1970,18344
"new.row.227","19460",1971,19308
"new.row.228","19460",1972,22367
"new.row.229","19460",1973,29339
"new.row.230","19460",1974,35236
"new.row.231","19460",1975,39306
"new.row.232","19460",1976,43639
"new.row.233","19460",1977,49012
"new.row.234","19460",1978,58621
"new.row.235","19460",1979,68680
"new.row.236","19460",1980,69876
"new.row.237","19460",1981,81159
"new.row.238","19460",1982,85271
"new.row.239","19460",1983,92425
"new.row.240","19460",1984,104725
"new.row.241","19460",1985,113028
"new.row.242","19460",1986,118461
"new.row.243","19460",1987,125489
"new.row.244","19460",1988,138353
"new.row.245","19460",1989,149201
"new.row.246","19460",1990,163235
"new.row.247","19460",1991,176513
"new.row.248","19460",1992,184644
"new.row.249","19460",1993,197412
"new.row.250","19460",1994,205850
"new.row.251","19460",1995,217009
"new.row.252","19460",1996,224534
"new.row.253","19460",1997,235839
"new.row.254","19460",1998,251513
"new.row.255","19460",1999,265226
"new.row.256","19460",2000,269690
"new.row.257","19460",2001,281352
"new.row.258","19460",2002,276138
"new.row.259","19460",2003,282093
"new.row.260","19460",2004,298061
"new.row.261","19460",2005,311223
"new.row.262","19460",2006,324461
"new.row.263","19460",2007,342415
"new.row.264","19460",2008,349815
"new.row.265","19460",2009,333141
"new.row.266","19460",2010,348052
"new.row.267","19460",2011,322026
"new.row.268","19460",2012,328322
"new.row.269","19460",2013,375637
"new.row.270","20020",1969,12138
"new.row.271","20020",1970,13410
"new.row.272","20020",1971,15620
"new.row.273","20020",1972,19290
"new.row.274","20020",1973,28113
"new.row.275","20020",1974,33309
"new.row.276","20020",1975,33482
"new.row.277","20020",1976,41752
"new.row.278","20020",1977,46462
"new.row.279","20020",1978,53693
"new.row.280","20020",1979,59092
"new.row.281","20020",1980,67832
"new.row.282","20020",1981,76922
"new.row.283","20020",1982,78952
"new.row.284","20020",1983,84530
"new.row.285","20020",1984,94704
"new.row.286","20020",1985,102271
"new.row.287","20020",1986,109452
"new.row.288","20020",1987,117653
"new.row.289","20020",1988,131994
"new.row.290","20020",1989,144222
"new.row.291","20020",1990,155000
"new.row.292","20020",1991,163316
"new.row.293","20020",1992,176485
"new.row.294","20020",1993,184225
"new.row.295","20020",1994,194603
"new.row.296","20020",1995,207126
"new.row.297","20020",1996,211223
"new.row.298","20020",1997,220356
"new.row.299","20020",1998,231909
"new.row.300","20020",1999,239328
"new.row.301","20020",2000,247002
"new.row.302","20020",2001,252430
"new.row.303","20020",2002,262070
"new.row.304","20020",2003,273120
"new.row.305","20020",2004,290049
"new.row.306","20020",2005,307149
"new.row.307","20020",2006,328021
"new.row.308","20020",2007,340247
"new.row.309","20020",2008,342892
"new.row.310","20020",2009,338538
"new.row.311","20020",2010,348742
"new.row.312","20020",2011,315534
"new.row.313","20020",2012,318002
"new.row.314","20020",2013,365239
"new.row.315","22520",1969,18344
"new.row.316","22520",1970,19098
"new.row.317","22520",1971,21253
"new.row.318","22520",1972,25604
"new.row.319","22520",1973,33191
"new.row.320","22520",1974,38994
"new.row.321","22520",1975,40926
"new.row.322","22520",1976,48725
"new.row.323","22520",1977,55100
"new.row.324","22520",1978,64548
"new.row.325","22520",1979,72331
"new.row.326","22520",1980,78019
"new.row.327","22520",1981,89404
"new.row.328","22520",1982,92281
"new.row.329","22520",1983,99153
"new.row.330","22520",1984,107165
"new.row.331","22520",1985,113220
"new.row.332","22520",1986,118286
"new.row.333","22520",1987,122477
"new.row.334","22520",1988,137899
"new.row.335","22520",1989,147400
"new.row.336","22520",1990,161987
"new.row.337","22520",1991,170877
"new.row.338","22520",1992,180401
"new.row.339","22520",1993,192102
"new.row.340","22520",1994,204809
"new.row.341","22520",1995,217006
"new.row.342","22520",1996,221563
"new.row.343","22520",1997,226908
"new.row.344","22520",1998,222547
"new.row.345","22520",1999,229262
"new.row.346","22520",2000,231968
"new.row.347","22520",2001,235630
"new.row.348","22520",2002,233707
"new.row.349","22520",2003,241844
"new.row.350","22520",2004,254981
"new.row.351","22520",2005,273431
"new.row.352","22520",2006,292272
"new.row.353","22520",2007,305020
"new.row.354","22520",2008,312583
"new.row.355","22520",2009,311057
"new.row.356","22520",2010,329756
"new.row.357","22520",2011,303125
"new.row.358","22520",2012,303459
"new.row.359","22520",2013,348526
"new.row.360","23460",1969,16929
"new.row.361","23460",1970,16799
"new.row.362","23460",1971,18185
"new.row.363","23460",1972,21681
"new.row.364","23460",1973,27982
"new.row.365","23460",1974,31337
"new.row.366","23460",1975,32702
"new.row.367","23460",1976,36439
"new.row.368","23460",1977,43343
"new.row.369","23460",1978,51217
"new.row.370","23460",1979,59483
"new.row.371","23460",1980,62277
"new.row.372","23460",1981,72546
"new.row.373","23460",1982,71545
"new.row.374","23460",1983,77458
"new.row.375","23460",1984,87107
"new.row.376","23460",1985,90447
"new.row.377","23460",1986,91110
"new.row.378","23460",1987,98401
"new.row.379","23460",1988,107870
"new.row.380","23460",1989,109713
"new.row.381","23460",1990,111742
"new.row.382","23460",1991,114402
"new.row.383","23460",1992,123013
"new.row.384","23460",1993,131091
"new.row.385","23460",1994,141431
"new.row.386","23460",1995,149036
"new.row.387","23460",1996,147524
"new.row.388","23460",1997,153033
"new.row.389","23460",1998,157480
"new.row.390","23460",1999,157865
"new.row.391","23460",2000,160987
"new.row.392","23460",2001,161589
"new.row.393","23460",2002,168283
"new.row.394","23460",2003,172146
"new.row.395","23460",2004,181401
"new.row.396","23460",2005,190925
"new.row.397","23460",2006,197584
"new.row.398","23460",2007,203498
"new.row.399","23460",2008,210734
"new.row.400","23460",2009,206788
"new.row.401","23460",2010,215283
"new.row.402","23460",2011,197897
"new.row.403","23460",2012,199793
"new.row.404","23460",2013,227241
"new.row.405","26620",1969,40729
"new.row.406","26620",1970,43608
"new.row.407","26620",1971,48042
"new.row.408","26620",1972,55275
"new.row.409","26620",1973,68262
"new.row.410","26620",1974,76269
"new.row.411","26620",1975,81735
"new.row.412","26620",1976,95163
"new.row.413","26620",1977,108945
"new.row.414","26620",1978,125973
"new.row.415","26620",1979,144815
"new.row.416","26620",1980,157311
"new.row.417","26620",1981,190238
"new.row.418","26620",1982,212983
"new.row.419","26620",1983,261989
"new.row.420","26620",1984,310637
"new.row.421","26620",1985,362934
"new.row.422","26620",1986,407722
"new.row.423","26620",1987,445998
"new.row.424","26620",1988,508594
"new.row.425","26620",1989,546314
"new.row.426","26620",1990,604330
"new.row.427","26620",1991,640791
"new.row.428","26620",1992,699801
"new.row.429","26620",1993,726486
"new.row.430","26620",1994,762923
"new.row.431","26620",1995,796018
"new.row.432","26620",1996,811715
"new.row.433","26620",1997,861786
"new.row.434","26620",1998,917195
"new.row.435","26620",1999,952281
"new.row.436","26620",2000,1015400
"new.row.437","26620",2001,1035182
"new.row.438","26620",2002,1081678
"new.row.439","26620",2003,1151650
"new.row.440","26620",2004,1202532
"new.row.441","26620",2005,1289117
"new.row.442","26620",2006,1386638
"new.row.443","26620",2007,1472417
"new.row.444","26620",2008,1558215
"new.row.445","26620",2009,1591658
"new.row.446","26620",2010,1664575
"new.row.447","26620",2011,1520122
"new.row.448","26620",2012,1549655
"new.row.449","26620",2013,1797904
"new.row.450","33660",1969,54583
"new.row.451","33660",1970,58018
"new.row.452","33660",1971,62798
"new.row.453","33660",1972,72892
"new.row.454","33660",1973,94645
"new.row.455","33660",1974,110620
"new.row.456","33660",1975,123488
"new.row.457","33660",1976,145117
"new.row.458","33660",1977,163405
"new.row.459","33660",1978,189710
"new.row.460","33660",1979,214248
"new.row.461","33660",1980,240300
"new.row.462","33660",1981,283050
"new.row.463","33660",1982,292608
"new.row.464","33660",1983,305498
"new.row.465","33660",1984,334641
"new.row.466","33660",1985,365351
"new.row.467","33660",1986,379534
"new.row.468","33660",1987,390640
"new.row.469","33660",1988,429412
"new.row.470","33660",1989,457732
"new.row.471","33660",1990,496100
"new.row.472","33660",1991,543554
"new.row.473","33660",1992,577620
"new.row.474","33660",1993,612971
"new.row.475","33660",1994,652875
"new.row.476","33660",1995,674471
"new.row.477","33660",1996,706197
"new.row.478","33660",1997,745208
"new.row.479","33660",1998,782922
"new.row.480","33660",1999,796357
"new.row.481","33660",2000,810338
"new.row.482","33660",2001,831102
"new.row.483","33660",2002,845698
"new.row.484","33660",2003,855921
"new.row.485","33660",2004,886965
"new.row.486","33660",2005,963178
"new.row.487","33660",2006,1043470
"new.row.488","33660",2007,1097729
"new.row.489","33660",2008,1147466
"new.row.490","33660",2009,1134791
"new.row.491","33660",2010,1176977
"new.row.492","33660",2011,1098512
"new.row.493","33660",2012,1099781
"new.row.494","33660",2013,1257241
"new.row.495","33860",1969,41907
"new.row.496","33860",1970,45296
"new.row.497","33860",1971,52137
"new.row.498","33860",1972,63004
"new.row.499","33860",1973,80874
"new.row.500","33860",1974,93246
"new.row.501","33860",1975,100315
"new.row.502","33860",1976,114952
"new.row.503","33860",1977,128178
"new.row.504","33860",1978,147474
"new.row.505","33860",1979,171143
"new.row.506","33860",1980,187794
"new.row.507","33860",1981,214726
"new.row.508","33860",1982,227135
"new.row.509","33860",1983,255205
"new.row.510","33860",1984,286771
"new.row.511","33860",1985,314478
"new.row.512","33860",1986,339756
"new.row.513","33860",1987,359967
"new.row.514","33860",1988,403539
"new.row.515","33860",1989,426324
"new.row.516","33860",1990,455458
"new.row.517","33860",1991,481979
"new.row.518","33860",1992,513121
"new.row.519","33860",1993,541797
"new.row.520","33860",1994,583258
"new.row.521","33860",1995,609465
"new.row.522","33860",1996,634898
"new.row.523","33860",1997,667339
"new.row.524","33860",1998,703226
"new.row.525","33860",1999,741311
"new.row.526","33860",2000,770616
"new.row.527","33860",2001,814525
"new.row.528","33860",2002,858776
"new.row.529","33860",2003,897978
"new.row.530","33860",2004,935517
"new.row.531","33860",2005,985882
"new.row.532","33860",2006,1048660
"new.row.533","33860",2007,1086497
"new.row.534","33860",2008,1122789
"new.row.535","33860",2009,1111151
"new.row.536","33860",2010,1128709
"new.row.537","33860",2011,1024011
"new.row.538","33860",2012,1023984
"new.row.539","33860",2013,1171831
"new.row.540","46220",1969,22398
"new.row.541","46220",1970,24241
"new.row.542","46220",1971,28071
"new.row.543","46220",1972,33056
"new.row.544","46220",1973,42654
"new.row.545","46220",1974,49216
"new.row.546","46220",1975,53314
"new.row.547","46220",1976,60378
"new.row.548","46220",1977,68854
"new.row.549","46220",1978,76533
"new.row.550","46220",1979,87175
"new.row.551","46220",1980,93719
"new.row.552","46220",1981,110457
"new.row.553","46220",1982,119558
"new.row.554","46220",1983,126420
"new.row.555","46220",1984,142479
"new.row.556","46220",1985,153836
"new.row.557","46220",1986,162051
"new.row.558","46220",1987,173297
"new.row.559","46220",1988,193322
"new.row.560","46220",1989,207101
"new.row.561","46220",1990,230606
"new.row.562","46220",1991,240550
"new.row.563","46220",1992,251662
"new.row.564","46220",1993,271523
"new.row.565","46220",1994,289967
"new.row.566","46220",1995,306908
"new.row.567","46220",1996,316023
"new.row.568","46220",1997,336479
"new.row.569","46220",1998,355764
"new.row.570","46220",1999,377914
"new.row.571","46220",2000,387532
"new.row.572","46220",2001,411041
"new.row.573","46220",2002,423336
"new.row.574","46220",2003,437400
"new.row.575","46220",2004,459987
"new.row.576","46220",2005,503540
"new.row.577","46220",2006,541474
"new.row.578","46220",2007,567503
"new.row.579","46220",2008,591409
"new.row.580","46220",2009,576069
"new.row.581","46220",2010,604109
"new.row.582","46220",2011,557225
"new.row.583","46220",2012,572811
"new.row.584","46220",2013,661185
"new.row.585","11260",1969,44345
"new.row.586","11260",1970,49509
"new.row.587","11260",1971,56711
"new.row.588","11260",1972,65356
"new.row.589","11260",1973,78992
"new.row.590","11260",1974,108558
"new.row.591","11260",1975,156793
"new.row.592","11260",1976,195385
"new.row.593","11260",1977,218903
"new.row.594","11260",1978,213140
"new.row.595","11260",1979,227737
"new.row.596","11260",1980,246262
"new.row.597","11260",1981,312783
"new.row.598","11260",1982,379929
"new.row.599","11260",1983,440008
"new.row.600","11260",1984,509769
"new.row.601","11260",1985,527266
"new.row.602","11260",1986,504834
"new.row.603","11260",1987,465937
"new.row.604","11260",1988,486165
"new.row.605","11260",1989,524288
"new.row.606","11260",1990,605913
"new.row.607","11260",1991,646134
"new.row.608","11260",1992,680604
"new.row.609","11260",1993,728917
"new.row.610","11260",1994,763809
"new.row.611","11260",1995,759816
"new.row.612","11260",1996,763017
"new.row.613","11260",1997,801953
"new.row.614","11260",1998,834766
"new.row.615","11260",1999,855997
"new.row.616","11260",2000,890959
"new.row.617","11260",2001,963725
"new.row.618","11260",2002,1026623
"new.row.619","11260",2003,1069541
"new.row.620","11260",2004,1146002
"new.row.621","11260",2005,1221262
"new.row.622","11260",2006,1326553
"new.row.623","11260",2007,1377902
"new.row.624","11260",2008,1427342
"new.row.625","11260",2009,1455143
"new.row.626","11260",2010,1524853
"new.row.627","11260",2011,1433390
"new.row.628","11260",2012,1519285
"new.row.629","11260",2013,1769465
"new.row.630","21820",1969,14058
"new.row.631","21820",1970,16119
"new.row.632","21820",1971,17603
"new.row.633","21820",1972,19822
"new.row.634","21820",1973,23162
"new.row.635","21820",1974,45534
"new.row.636","21820",1975,92452
"new.row.637","21820",1976,94808
"new.row.638","21820",1977,76786
"new.row.639","21820",1978,62570
"new.row.640","21820",1979,66193
"new.row.641","21820",1980,67982
"new.row.642","21820",1981,82633
"new.row.643","21820",1982,99124
"new.row.644","21820",1983,108734
"new.row.645","21820",1984,122346
"new.row.646","21820",1985,129228
"new.row.647","21820",1986,115737
"new.row.648","21820",1987,109799
"new.row.649","21820",1988,117058
"new.row.650","21820",1989,122990
"new.row.651","21820",1990,134292
"new.row.652","21820",1991,142544
"new.row.653","21820",1992,156634
"new.row.654","21820",1993,161907
"new.row.655","21820",1994,164475
"new.row.656","21820",1995,170524
"new.row.657","21820",1996,173814
"new.row.658","21820",1997,182277
"new.row.659","21820",1998,189319
"new.row.660","21820",1999,191582
"new.row.661","21820",2000,201863
"new.row.662","21820",2001,209584
"new.row.663","21820",2002,226316
"new.row.664","21820",2003,239575
"new.row.665","21820",2004,257643
"new.row.666","21820",2005,280959
"new.row.667","21820",2006,314409
"new.row.668","21820",2007,319540
"new.row.669","21820",2008,330939
"new.row.670","21820",2009,337771
"new.row.671","21820",2010,352495
"new.row.672","21820",2011,341180
"new.row.673","21820",2012,353935
"new.row.674","21820",2013,389573
"new.row.675","22380",1969,7522
"new.row.676","22380",1970,7929
"new.row.677","22380",1971,10419
"new.row.678","22380",1972,14192
"new.row.679","22380",1973,19668
"new.row.680","22380",1974,21044
"new.row.681","22380",1975,21637
"new.row.682","22380",1976,22768
"new.row.683","22380",1977,25138
"new.row.684","22380",1978,30620
"new.row.685","22380",1979,35957
"new.row.686","22380",1980,41461
"new.row.687","22380",1981,48110
"new.row.688","22380",1982,50961
"new.row.689","22380",1983,57080
"new.row.690","22380",1984,64982
"new.row.691","22380",1985,73183
"new.row.692","22380",1986,82627
"new.row.693","22380",1987,88022
"new.row.694","22380",1988,99814
"new.row.695","22380",1989,104392
"new.row.696","22380",1990,116572
"new.row.697","22380",1991,126056
"new.row.698","22380",1992,138435
"new.row.699","22380",1993,147039
"new.row.700","22380",1994,157844
"new.row.701","22380",1995,158661
"new.row.702","22380",1996,174578
"new.row.703","22380",1997,181721
"new.row.704","22380",1998,190724
"new.row.705","22380",1999,200175
"new.row.706","22380",2000,213591
"new.row.707","22380",2001,225488
"new.row.708","22380",2002,239766
"new.row.709","22380",2003,251360
"new.row.710","22380",2004,269905
"new.row.711","22380",2005,292472
"new.row.712","22380",2006,311841
"new.row.713","22380",2007,341407
"new.row.714","22380",2008,349527
"new.row.715","22380",2009,344079
"new.row.716","22380",2010,349368
"new.row.717","22380",2011,316139
"new.row.718","22380",2012,323523
"new.row.719","22380",2013,381820
"new.row.720","29420",1969,4164
"new.row.721","29420",1970,4225
"new.row.722","29420",1971,4937
"new.row.723","29420",1972,5873
"new.row.724","29420",1973,7882
"new.row.725","29420",1974,9800
"new.row.726","29420",1975,10576
"new.row.727","29420",1976,11874
"new.row.728","29420",1977,13812
"new.row.729","29420",1978,17289
"new.row.730","29420",1979,23306
"new.row.731","29420",1980,25668
"new.row.732","29420",1981,29311
"new.row.733","29420",1982,28949
"new.row.734","29420",1983,31045
"new.row.735","29420",1984,37252
"new.row.736","29420",1985,43430
"new.row.737","29420",1986,48416
"new.row.738","29420",1987,54319
"new.row.739","29420",1988,62328
"new.row.740","29420",1989,72844
"new.row.741","29420",1990,86981
"new.row.742","29420",1991,94308
"new.row.743","29420",1992,100658
"new.row.744","29420",1993,109043
"new.row.745","29420",1994,120219
"new.row.746","29420",1995,120797
"new.row.747","29420",1996,131001
"new.row.748","29420",1997,139899
"new.row.749","29420",1998,148963
"new.row.750","29420",1999,160337
"new.row.751","29420",2000,174372
"new.row.752","29420",2001,191125
"new.row.753","29420",2002,209036
"new.row.754","29420",2003,224724
"new.row.755","29420",2004,246491
"new.row.756","29420",2005,279096
"new.row.757","29420",2006,304124
"new.row.758","29420",2007,315664
"new.row.759","29420",2008,315451
"new.row.760","29420",2009,296567
"new.row.761","29420",2010,302876
"new.row.762","29420",2011,279754
"new.row.763","29420",2012,282657
"new.row.764","29420",2013,325248
"new.row.765","38060",1969,205731
"new.row.766","38060",1970,230632
"new.row.767","38060",1971,272161
"new.row.768","38060",1972,335218
"new.row.769","38060",1973,448512
"new.row.770","38060",1974,506663
"new.row.771","38060",1975,515861
"new.row.772","38060",1976,585353
"new.row.773","38060",1977,686978
"new.row.774","38060",1978,851039
"new.row.775","38060",1979,1067111
"new.row.776","38060",1980,1214376
"new.row.777","38060",1981,1466097
"new.row.778","38060",1982,1559860
"new.row.779","38060",1983,1751677
"new.row.780","38060",1984,2069986
"new.row.781","38060",1985,2383883
"new.row.782","38060",1986,2650089
"new.row.783","38060",1987,2847742
"new.row.784","38060",1988,3196897
"new.row.785","38060",1989,3409809
"new.row.786","38060",1990,3695377
"new.row.787","38060",1991,3916468
"new.row.788","38060",1992,4180062
"new.row.789","38060",1993,4508571
"new.row.790","38060",1994,4998511
"new.row.791","38060",1995,5289088
"new.row.792","38060",1996,5996757
"new.row.793","38060",1997,6482787
"new.row.794","38060",1998,7128875
"new.row.795","38060",1999,7661943
"new.row.796","38060",2000,8420368
"new.row.797","38060",2001,8817900
"new.row.798","38060",2002,9051546
"new.row.799","38060",2003,9375050
"new.row.800","38060",2004,10169885
"new.row.801","38060",2005,11188863
"new.row.802","38060",2006,12315456
"new.row.803","38060",2007,12987503
"new.row.804","38060",2008,13046252
"new.row.805","38060",2009,12350653
"new.row.806","38060",2010,12477776
"new.row.807","38060",2011,11627354
"new.row.808","38060",2012,12088659
"new.row.809","38060",2013,14204673
"new.row.810","39140",1969,4495
"new.row.811","39140",1970,5139
"new.row.812","39140",1971,6313
"new.row.813","39140",1972,7929
"new.row.814","39140",1973,10487
"new.row.815","39140",1974,12164
"new.row.816","39140",1975,12876
"new.row.817","39140",1976,14689
"new.row.818","39140",1977,17527
"new.row.819","39140",1978,19845
"new.row.820","39140",1979,24174
"new.row.821","39140",1980,28012
"new.row.822","39140",1981,33682
"new.row.823","39140",1982,35049
"new.row.824","39140",1983,39454
"new.row.825","39140",1984,44122
"new.row.826","39140",1985,51314
"new.row.827","39140",1986,57507
"new.row.828","39140",1987,62972
"new.row.829","39140",1988,72278
"new.row.830","39140",1989,81396
"new.row.831","39140",1990,89819
"new.row.832","39140",1991,98980
"new.row.833","39140",1992,110218
"new.row.834","39140",1993,123138
"new.row.835","39140",1994,141596
"new.row.836","39140",1995,145686
"new.row.837","39140",1996,158302
"new.row.838","39140",1997,171423
"new.row.839","39140",1998,182105
"new.row.840","39140",1999,193375
"new.row.841","39140",2000,206548
"new.row.842","39140",2001,220178
"new.row.843","39140",2002,238393
"new.row.844","39140",2003,253384
"new.row.845","39140",2004,278181
"new.row.846","39140",2005,313847
"new.row.847","39140",2006,352585
"new.row.848","39140",2007,377398
"new.row.849","39140",2008,379339
"new.row.850","39140",2009,358307
"new.row.851","39140",2010,358194
"new.row.852","39140",2011,327478
"new.row.853","39140",2012,337170
"new.row.854","39140",2013,392886
"new.row.855","43420",1969,10252
"new.row.856","43420",1970,11329
"new.row.857","43420",1971,14297
"new.row.858","43420",1972,16344
"new.row.859","43420",1973,19246
"new.row.860","43420",1974,21768
"new.row.861","43420",1975,22551
"new.row.862","43420",1976,24075
"new.row.863","43420",1977,26597
"new.row.864","43420",1978,30254
"new.row.865","43420",1979,33640
