    10000,"Delaware",20100,"Dover, DE (Metropolitan Statistical Area)"
    10000,"Delaware",37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)"
    10000,"Delaware",41540,"Salisbury, MD-DE (Metropolitan Statistical Area)"
    11000,"District of Columbia",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)"
    12000,"Florida",15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)"
    12000,"Florida",18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)"
    12000,"Florida",19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)"
    12000,"Florida",23540,"Gainesville, FL (Metropolitan Statistical Area)"
    12000,"Florida",26140,"Homosassa Springs, FL (Metropolitan Statistical Area)"
    12000,"Florida",27260,"Jacksonville, FL (Metropolitan Statistical Area)"
    12000,"Florida",29460,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)"
    12000,"Florida",33100,"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)"
    12000,"Florida",34940,"Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)"
    12000,"Florida",35840,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)"
    12000,"Florida",36100,"Ocala, FL (Metropolitan Statistical Area)"
    12000,"Florida",36740,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)"
    12000,"Florida",37340,"Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)"
    12000,"Florida",37460,"Panama City, FL (Metropolitan Statistical Area)"
    12000,"Florida",37860,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)"
    12000,"Florida",38940,"Port St. Lucie, FL (Metropolitan Statistical Area)"
    12000,"Florida",39460,"Punta Gorda, FL (Metropolitan Statistical Area)"
    12000,"Florida",42680,"Sebastian-Vero Beach, FL (Metropolitan Statistical Area)"
    12000,"Florida",42700,"Sebring, FL (Metropolitan Statistical Area)"
    12000,"Florida",45220,"Tallahassee, FL (Metropolitan Statistical Area)"
    12000,"Florida",45300,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)"
    12000,"Florida",45540,"The Villages, FL (Metropolitan Statistical Area)"
    13000,"Georgia",10500,"Albany, GA (Metropolitan Statistical Area)"
