"","msa.fips","year","population"
"new.row","11500",1969,102946
"new.row.1","11500",1970,103125
"new.row.2","11500",1971,103622
"new.row.3","11500",1972,103846
"new.row.4","11500",1973,105027
"new.row.5","11500",1974,105917
"new.row.6","11500",1975,107005
"new.row.7","11500",1976,112768
"new.row.8","11500",1977,112801
"new.row.9","11500",1978,116474
"new.row.10","11500",1979,116742
"new.row.11","11500",1980,120016
"new.row.12","11500",1981,120814
"new.row.13","11500",1982,122109
"new.row.14","11500",1983,121249
"new.row.15","11500",1984,121739
"new.row.16","11500",1985,118644
"new.row.17","11500",1986,117700
"new.row.18","11500",1987,118092
"new.row.19","11500",1988,117260
"new.row.20","11500",1989,116381
"new.row.21","11500",1990,116118
"new.row.22","11500",1991,115247
"new.row.23","11500",1992,115804
"new.row.24","11500",1993,116324
"new.row.25","11500",1994,116161
"new.row.26","11500",1995,116790
"new.row.27","11500",1996,116684
"new.row.28","11500",1997,117254
"new.row.29","11500",1998,117179
"new.row.30","11500",1999,114910
"new.row.31","11500",2000,111081
"new.row.32","11500",2001,111266
"new.row.33","11500",2002,111625
"new.row.34","11500",2003,112705
"new.row.35","11500",2004,113462
"new.row.36","11500",2005,114477
"new.row.37","11500",2006,115388
"new.row.38","11500",2007,116211
"new.row.39","11500",2008,117274
"new.row.40","11500",2009,118363
"new.row.41","11500",2010,118423
"new.row.42","11500",2011,117815
"new.row.43","11500",2012,117296
"new.row.44","12220",1969,55869
"new.row.45","12220",1970,61262
"new.row.46","12220",1971,61896
"new.row.47","12220",1972,62158
"new.row.48","12220",1973,64588
"new.row.49","12220",1974,68823
"new.row.50","12220",1975,69373
"new.row.51","12220",1976,69980
"new.row.52","12220",1977,71861
"new.row.53","12220",1978,74069
"new.row.54","12220",1979,75990
"new.row.55","12220",1980,76610
"new.row.56","12220",1981,77777
"new.row.57","12220",1982,79001
"new.row.58","12220",1983,79121
"new.row.59","12220",1984,80289
"new.row.60","12220",1985,81176
"new.row.61","12220",1986,82776
"new.row.62","12220",1987,82681
"new.row.63","12220",1988,84601
"new.row.64","12220",1989,85851
"new.row.65","12220",1990,87735
"new.row.66","12220",1991,89508
"new.row.67","12220",1992,91572
"new.row.68","12220",1993,94295
"new.row.69","12220",1994,96057
"new.row.70","12220",1995,99386
"new.row.71","12220",1996,102185
"new.row.72","12220",1997,106578
"new.row.73","12220",1998,109936
"new.row.74","12220",1999,112898
"new.row.75","12220",2000,115430
"new.row.76","12220",2001,116819
"new.row.77","12220",2002,118392
"new.row.78","12220",2003,120071
"new.row.79","12220",2004,122274
"new.row.80","12220",2005,126133
"new.row.81","12220",2006,129247
"new.row.82","12220",2007,131934
"new.row.83","12220",2008,134524
"new.row.84","12220",2009,138566
"new.row.85","12220",2010,140761
"new.row.86","12220",2011,143580
"new.row.87","12220",2012,147257
"new.row.88","13820",1969,816723
"new.row.89","13820",1970,834280
"new.row.90","13820",1971,845548
"new.row.91","13820",1972,852711
"new.row.92","13820",1973,864085
"new.row.93","13820",1974,870341
"new.row.94","13820",1975,883172
"new.row.95","13820",1976,895598
"new.row.96","13820",1977,908642
"new.row.97","13820",1978,919252
"new.row.98","13820",1979,927712
"new.row.99","13820",1980,930680
"new.row.100","13820",1981,930227
"new.row.101","13820",1982,926197
"new.row.102","13820",1983,927062
"new.row.103","13820",1984,931399
"new.row.104","13820",1985,936926
"new.row.105","13820",1986,941503
"new.row.106","13820",1987,948471
"new.row.107","13820",1988,951042
"new.row.108","13820",1989,954416
"new.row.109","13820",1990,958709
"new.row.110","13820",1991,969491
"new.row.111","13820",1992,980037
"new.row.112","13820",1993,991884
"new.row.113","13820",1994,1003186
"new.row.114","13820",1995,1013634
"new.row.115","13820",1996,1022434
"new.row.116","13820",1997,1030425
"new.row.117","13820",1998,1039523
"new.row.118","13820",1999,1047440
"new.row.119","13820",2000,1053306
"new.row.120","13820",2001,1059082
"new.row.121","13820",2002,1062966
"new.row.122","13820",2003,1070886
"new.row.123","13820",2004,1078204
"new.row.124","13820",2005,1086318
"new.row.125","13820",2006,1098818
"new.row.126","13820",2007,1107256
"new.row.127","13820",2008,1117101
"new.row.128","13820",2009,1125271
"new.row.129","13820",2010,1129038
"new.row.130","13820",2011,1132403
"new.row.131","13820",2012,1136650
"new.row.132","17980",1969,251025
"new.row.133","17980",1970,254664
"new.row.134","17980",1971,253660
"new.row.135","17980",1972,246940
"new.row.136","17980",1973,237599
"new.row.137","17980",1974,244309
"new.row.138","17980",1975,249515
"new.row.139","17980",1976,255031
"new.row.140","17980",1977,253528
"new.row.141","17980",1978,259685
"new.row.142","17980",1979,260109
"new.row.143","17980",1980,259921
"new.row.144","17980",1981,259295
"new.row.145","17980",1982,263318
"new.row.146","17980",1983,261838
"new.row.147","17980",1984,262983
"new.row.148","17980",1985,264556
"new.row.149","17980",1986,266407
"new.row.150","17980",1987,267567
"new.row.151","17980",1988,266586
"new.row.152","17980",1989,265634
"new.row.153","17980",1990,266931
"new.row.154","17980",1991,266314
"new.row.155","17980",1992,275715
"new.row.156","17980",1993,277655
"new.row.157","17980",1994,280889
"new.row.158","17980",1995,279663
"new.row.159","17980",1996,279725
"new.row.160","17980",1997,280896
"new.row.161","17980",1998,280686
"new.row.162","17980",1999,280899
"new.row.163","17980",2000,282431
"new.row.164","17980",2001,283646
"new.row.165","17980",2002,285398
"new.row.166","17980",2003,278969
"new.row.167","17980",2004,284887
"new.row.168","17980",2005,286358
"new.row.169","17980",2006,289129
"new.row.170","17980",2007,286274
"new.row.171","17980",2008,286985
"new.row.172","17980",2009,292968
"new.row.173","17980",2010,295741
"new.row.174","17980",2011,301865
"new.row.175","17980",2012,310531
"new.row.176","19300",1969,56951
"new.row.177","19300",1970,59474
"new.row.178","19300",1971,60142
"new.row.179","19300",1972,62435
"new.row.180","19300",1973,64196
"new.row.181","19300",1974,66072
"new.row.182","19300",1975,67861
"new.row.183","19300",1976,70244
"new.row.184","19300",1977,72399
"new.row.185","19300",1978,74550
"new.row.186","19300",1979,76594
"new.row.187","19300",1980,78931
"new.row.188","19300",1981,80287
"new.row.189","19300",1982,82331
"new.row.190","19300",1983,83978
"new.row.191","19300",1984,86752
"new.row.192","19300",1985,89401
"new.row.193","19300",1986,91311
"new.row.194","19300",1987,93214
"new.row.195","19300",1988,94649
"new.row.196","19300",1989,96198
"new.row.197","19300",1990,98955
"new.row.198","19300",1991,102420
"new.row.199","19300",1992,106595
"new.row.200","19300",1993,111416
"new.row.201","19300",1994,116565
"new.row.202","19300",1995,120896
"new.row.203","19300",1996,125412
"new.row.204","19300",1997,130164
"new.row.205","19300",1998,134444
"new.row.206","19300",1999,137555
"new.row.207","19300",2000,141342
"new.row.208","19300",2001,144875
"new.row.209","19300",2002,147957
"new.row.210","19300",2003,151509
"new.row.211","19300",2004,156266
"new.row.212","19300",2005,162183
"new.row.213","19300",2006,168121
"new.row.214","19300",2007,172404
"new.row.215","19300",2008,175827
"new.row.216","19300",2009,179406
"new.row.217","19300",2010,183275
"new.row.218","19300",2011,186830
"new.row.219","19300",2012,190790
"new.row.220","19460",1969,101470
"new.row.221","19460",1970,105018
"new.row.222","19460",1971,107661
"new.row.223","19460",1972,109678
"new.row.224","19460",1973,110455
"new.row.225","19460",1974,112864
"new.row.226","19460",1975,114103
"new.row.227","19460",1976,115667
"new.row.228","19460",1977,117115
"new.row.229","19460",1978,119287
"new.row.230","19460",1979,120822
"new.row.231","19460",1980,120435
"new.row.232","19460",1981,120351
"new.row.233","19460",1982,121091
"new.row.234","19460",1983,121928
"new.row.235","19460",1984,123522
"new.row.236","19460",1985,125076
"new.row.237","19460",1986,126532
"new.row.238","19460",1987,128146
"new.row.239","19460",1988,129017
"new.row.240","19460",1989,130162
"new.row.241","19460",1990,132118
"new.row.242","19460",1991,134218
"new.row.243","19460",1992,135959
"new.row.244","19460",1993,138014
"new.row.245","19460",1994,138947
"new.row.246","19460",1995,140404
"new.row.247","19460",1996,141587
"new.row.248","19460",1997,142959
"new.row.249","19460",1998,144192
"new.row.250","19460",1999,145207
"new.row.251","19460",2000,146095
"new.row.252","19460",2001,146552
"new.row.253","19460",2002,146464
"new.row.254","19460",2003,147386
"new.row.255","19460",2004,147324
"new.row.256","19460",2005,148399
"new.row.257","19460",2006,149519
"new.row.258","19460",2007,150690
"new.row.259","19460",2008,151890
"new.row.260","19460",2009,153269
"new.row.261","19460",2010,153887
"new.row.262","19460",2011,154115
"new.row.263","19460",2012,154233
"new.row.264","20020",1969,90913
"new.row.265","20020",1970,92122
"new.row.266","20020",1971,94147
"new.row.267","20020",1972,97881
"new.row.268","20020",1973,100409
"new.row.269","20020",1974,105391
"new.row.270","20020",1975,108046
"new.row.271","20020",1976,109777
"new.row.272","20020",1977,110966
"new.row.273","20020",1978,112772
"new.row.274","20020",1979,113631
"new.row.275","20020",1980,114505
"new.row.276","20020",1981,115576
"new.row.277","20020",1982,116060
"new.row.278","20020",1983,115974
"new.row.279","20020",1984,116501
"new.row.280","20020",1985,117318
"new.row.281","20020",1986,117628
"new.row.282","20020",1987,118980
"new.row.283","20020",1988,119302
"new.row.284","20020",1989,119455
"new.row.285","20020",1990,120826
"new.row.286","20020",1991,122507
"new.row.287","20020",1992,123636
"new.row.288","20020",1993,124976
"new.row.289","20020",1994,125036
"new.row.290","20020",1995,125872
"new.row.291","20020",1996,127060
"new.row.292","20020",1997,128062
"new.row.293","20020",1998,128927
"new.row.294","20020",1999,129970
"new.row.295","20020",2000,131024
"new.row.296","20020",2001,131413
"new.row.297","20020",2002,131967
"new.row.298","20020",2003,133586
"new.row.299","20020",2004,135057
"new.row.300","20020",2005,136643
"new.row.301","20020",2006,139070
"new.row.302","20020",2007,141157
"new.row.303","20020",2008,142958
"new.row.304","20020",2009,144396
"new.row.305","20020",2010,145892
"new.row.306","20020",2011,146651
"new.row.307","20020",2012,147620
"new.row.308","22520",1969,118200
"new.row.309","22520",1970,118093
"new.row.310","22520",1971,120545
"new.row.311","22520",1972,121579
"new.row.312","22520",1973,123562
"new.row.313","22520",1974,124134
"new.row.314","22520",1975,126431
"new.row.315","22520",1976,127873
"new.row.316","22520",1977,130206
"new.row.317","22520",1978,131868
"new.row.318","22520",1979,134560
"new.row.319","22520",1980,135322
"new.row.320","22520",1981,136104
"new.row.321","22520",1982,135139
"new.row.322","22520",1983,134050
"new.row.323","22520",1984,133488
"new.row.324","22520",1985,133350
"new.row.325","22520",1986,132653
"new.row.326","22520",1987,131839
"new.row.327","22520",1988,131132
"new.row.328","22520",1989,130762
"new.row.329","22520",1990,131838
"new.row.330","22520",1991,133733
"new.row.331","22520",1992,135174
"new.row.332","22520",1993,136971
"new.row.333","22520",1994,137786
"new.row.334","22520",1995,138962
"new.row.335","22520",1996,140318
"new.row.336","22520",1997,141339
"new.row.337","22520",1998,142041
"new.row.338","22520",1999,142305
"new.row.339","22520",2000,143036
"new.row.340","22520",2001,142584
"new.row.341","22520",2002,142163
"new.row.342","22520",2003,142382
"new.row.343","22520",2004,143112
"new.row.344","22520",2005,143717
"new.row.345","22520",2006,144707
"new.row.346","22520",2007,145593
"new.row.347","22520",2008,146675
"new.row.348","22520",2009,146952
"new.row.349","22520",2010,147198
"new.row.350","22520",2011,147082
"new.row.351","22520",2012,146988
"new.row.352","23460",1969,92041
"new.row.353","23460",1970,94134
"new.row.354","23460",1971,94887
"new.row.355","23460",1972,95758
"new.row.356","23460",1973,96072
"new.row.357","23460",1974,96579
"new.row.358","23460",1975,97936
"new.row.359","23460",1976,98984
"new.row.360","23460",1977,100171
"new.row.361","23460",1978,101731
"new.row.362","23460",1979,102937
"new.row.363","23460",1980,103112
"new.row.364","23460",1981,103143
"new.row.365","23460",1982,102524
"new.row.366","23460",1983,102707
"new.row.367","23460",1984,102307
"new.row.368","23460",1985,102291
"new.row.369","23460",1986,101664
"new.row.370","23460",1987,101314
"new.row.371","23460",1988,100728
"new.row.372","23460",1989,100327
"new.row.373","23460",1990,99809
"new.row.374","23460",1991,100365
"new.row.375","23460",1992,100950
"new.row.376","23460",1993,101310
"new.row.377","23460",1994,102213
"new.row.378","23460",1995,102342
"new.row.379","23460",1996,103063
"new.row.380","23460",1997,104129
"new.row.381","23460",1998,104367
"new.row.382","23460",1999,104002
"new.row.383","23460",2000,103286
"new.row.384","23460",2001,102976
"new.row.385","23460",2002,102988
"new.row.386","23460",2003,103025
"new.row.387","23460",2004,103080
"new.row.388","23460",2005,103174
"new.row.389","23460",2006,103528
"new.row.390","23460",2007,103893
"new.row.391","23460",2008,104206
"new.row.392","23460",2009,104239
"new.row.393","23460",2010,104452
"new.row.394","23460",2011,104298
"new.row.395","23460",2012,104392
"new.row.396","26620",1969,224130
"new.row.397","26620",1970,228314
"new.row.398","26620",1971,230509
"new.row.399","26620",1972,232339
"new.row.400","26620",1973,233247
"new.row.401","26620",1974,231872
"new.row.402","26620",1975,232194
"new.row.403","26620",1976,234646
"new.row.404","26620",1977,236952
"new.row.405","26620",1978,238094
"new.row.406","26620",1979,239958
"new.row.407","26620",1980,243620
"new.row.408","26620",1981,245771
"new.row.409","26620",1982,249166
"new.row.410","26620",1983,253867
"new.row.411","26620",1984,258407
"new.row.412","26620",1985,264588
"new.row.413","26620",1986,270237
"new.row.414","26620",1987,276697
"new.row.415","26620",1988,283769
"new.row.416","26620",1989,289588
"new.row.417","26620",1990,294353
"new.row.418","26620",1991,302052
"new.row.419","26620",1992,311170
"new.row.420","26620",1993,320998
"new.row.421","26620",1994,325620
"new.row.422","26620",1995,325571
"new.row.423","26620",1996,327532
"new.row.424","26620",1997,330281
"new.row.425","26620",1998,336527
"new.row.426","26620",1999,339572
"new.row.427","26620",2000,343972
"new.row.428","26620",2001,348453
"new.row.429","26620",2002,354116
"new.row.430","26620",2003,359920
"new.row.431","26620",2004,365248
"new.row.432","26620",2005,372777
"new.row.433","26620",2006,382821
"new.row.434","26620",2007,391922
"new.row.435","26620",2008,402361
"new.row.436","26620",2009,412182
"new.row.437","26620",2010,419381
"new.row.438","26620",2011,425212
"new.row.439","26620",2012,430734
"new.row.440","33660",1969,317958
"new.row.441","33660",1970,318311
"new.row.442","33660",1971,323278
"new.row.443","33660",1972,324325
"new.row.444","33660",1973,324541
"new.row.445","33660",1974,329414
"new.row.446","33660",1975,335235
"new.row.447","33660",1976,344892
"new.row.448","33660",1977,353134
"new.row.449","33660",1978,360079
"new.row.450","33660",1979,361747
"new.row.451","33660",1980,366205
"new.row.452","33660",1981,370432
"new.row.453","33660",1982,374782
"new.row.454","33660",1983,376842
"new.row.455","33660",1984,376211
"new.row.456","33660",1985,378847
"new.row.457","33660",1986,381729
"new.row.458","33660",1987,383696
"new.row.459","33660",1988,381501
"new.row.460","33660",1989,378869
"new.row.461","33660",1990,379167
"new.row.462","33660",1991,382978
"new.row.463","33660",1992,388097
"new.row.464","33660",1993,393740
"new.row.465","33660",1994,395685
"new.row.466","33660",1995,395664
"new.row.467","33660",1996,396163
"new.row.468","33660",1997,397917
"new.row.469","33660",1998,398479
"new.row.470","33660",1999,399323
"new.row.471","33660",2000,400073
"new.row.472","33660",2001,400129
"new.row.473","33660",2002,398549
"new.row.474","33660",2003,398082
"new.row.475","33660",2004,397959
"new.row.476","33660",2005,398942
"new.row.477","33660",2006,402916
"new.row.478","33660",2007,405715
"new.row.479","33660",2008,409196
"new.row.480","33660",2009,411994
"new.row.481","33660",2010,413216
"new.row.482","33660",2011,413145
"new.row.483","33660",2012,413936
"new.row.484","33860",1969,236782
"new.row.485","33860",1970,239239
"new.row.486","33860",1971,242500
"new.row.487","33860",1972,252309
"new.row.488","33860",1973,258064
"new.row.489","33860",1974,263893
"new.row.490","33860",1975,265984
"new.row.491","33860",1976,270156
"new.row.492","33860",1977,272860
"new.row.493","33860",1978,276789
"new.row.494","33860",1979,281831
"new.row.495","33860",1980,286531
"new.row.496","33860",1981,288378
"new.row.497","33860",1982,289284
"new.row.498","33860",1983,289744
"new.row.499","33860",1984,292394
"new.row.500","33860",1985,294421
"new.row.501","33860",1986,297919
"new.row.502","33860",1987,301371
"new.row.503","33860",1988,302729
"new.row.504","33860",1989,305003
"new.row.505","33860",1990,306042
"new.row.506","33860",1991,311129
"new.row.507","33860",1992,316981
"new.row.508","33860",1993,322707
"new.row.509","33860",1994,327654
"new.row.510","33860",1995,331647
"new.row.511","33860",1996,335014
"new.row.512","33860",1997,338906
"new.row.513","33860",1998,342120
"new.row.514","33860",1999,344540
"new.row.515","33860",2000,347080
"new.row.516","33860",2001,348725
"new.row.517","33860",2002,350984
"new.row.518","33860",2003,352411
"new.row.519","33860",2004,355009
"new.row.520","33860",2005,358659
"new.row.521","33860",2006,365989
"new.row.522","33860",2007,369390
"new.row.523","33860",2008,370249
"new.row.524","33860",2009,371860
"new.row.525","33860",2010,375183
"new.row.526","33860",2011,378562
"new.row.527","33860",2012,377149
"new.row.528","46220",1969,155496
"new.row.529","46220",1970,152542
"new.row.530","46220",1971,155545
"new.row.531","46220",1972,158760
"new.row.532","46220",1973,160974
"new.row.533","46220",1974,163262
"new.row.534","46220",1975,164319
"new.row.535","46220",1976,166525
"new.row.536","46220",1977,168371
"new.row.537","46220",1978,171898
"new.row.538","46220",1979,173338
"new.row.539","46220",1980,174982
"new.row.540","46220",1981,176099
"new.row.541","46220",1982,174646
"new.row.542","46220",1983,175147
"new.row.543","46220",1984,175924
"new.row.544","46220",1985,178012
"new.row.545","46220",1986,180361
"new.row.546","46220",1987,182481
"new.row.547","46220",1988,183746
"new.row.548","46220",1989,185270
"new.row.549","46220",1990,187311
"new.row.550","46220",1991,189990
"new.row.551","46220",1992,190785
"new.row.552","46220",1993,192574
"new.row.553","46220",1994,194272
"new.row.554","46220",1995,197577
"new.row.555","46220",1996,197955
"new.row.556","46220",1997,199727
"new.row.557","46220",1998,201299
"new.row.558","46220",1999,202429
"new.row.559","46220",2000,204489
"new.row.560","46220",2001,205692
"new.row.561","46220",2002,206365
"new.row.562","46220",2003,207368
"new.row.563","46220",2004,209105
"new.row.564","46220",2005,212545
"new.row.565","46220",2006,217938
"new.row.566","46220",2007,220757
"new.row.567","46220",2008,224304
"new.row.568","46220",2009,228631
"new.row.569","46220",2010,230365
"new.row.570","46220",2011,231560
"new.row.571","46220",2012,233389
"new.row.572","11260",1969,129696
"new.row.573","11260",1970,134230
"new.row.574","11260",1971,141875
"new.row.575","11260",1972,151010
"new.row.576","11260",1973,155729
"new.row.577","11260",1974,161355
"new.row.578","11260",1975,175236
"new.row.579","11260",1976,186127
"new.row.580","11260",1977,189680
"new.row.581","11260",1978,194074
"new.row.582","11260",1979,195031
"new.row.583","11260",1980,193839
"new.row.584","11260",1981,199831
"new.row.585","11260",1982,216861
"new.row.586","11260",1983,237309
"new.row.587","11260",1984,252265
"new.row.588","11260",1985,264128
"new.row.589","11260",1986,270074
"new.row.590","11260",1987,265211
"new.row.591","11260",1988,263645
"new.row.592","11260",1989,263958
"new.row.593","11260",1990,267762
"new.row.594","11260",1991,277407
"new.row.595","11260",1992,290307
"new.row.596","11260",1993,296514
"new.row.597","11260",1994,300188
"new.row.598","11260",1995,301878
"new.row.599","11260",1996,302606
"new.row.600","11260",1997,306480
"new.row.601","11260",1998,312895
"new.row.602","11260",1999,317172
"new.row.603","11260",2000,320618
"new.row.604","11260",2001,326081
"new.row.605","11260",2002,332582
"new.row.606","11260",2003,337730
"new.row.607","11260",2004,345245
"new.row.608","11260",2005,350903
"new.row.609","11260",2006,358718
"new.row.610","11260",2007,360194
"new.row.611","11260",2008,365633
"new.row.612","11260",2009,374562
"new.row.613","11260",2010,383177
"new.row.614","11260",2011,388038
"new.row.615","11260",2012,392535
"new.row.616","21820",1969,44738
"new.row.617","21820",1970,45940
"new.row.618","21820",1971,47260
"new.row.619","21820",1972,47690
"new.row.620","21820",1973,47654
"new.row.621","21820",1974,48480
"new.row.622","21820",1975,51765
"new.row.623","21820",1976,55983
"new.row.624","21820",1977,55433
"new.row.625","21820",1978,55325
"new.row.626","21820",1979,54910
"new.row.627","21820",1980,54520
"new.row.628","21820",1981,56576
"new.row.629","21820",1982,59905
"new.row.630","21820",1983,65695
"new.row.631","21820",1984,68300
"new.row.632","21820",1985,71433
"new.row.633","21820",1986,73520
"new.row.634","21820",1987,73528
"new.row.635","21820",1988,75364
"new.row.636","21820",1989,77121
"new.row.637","21820",1990,78067
"new.row.638","21820",1991,80479
"new.row.639","21820",1992,82506
"new.row.640","21820",1993,82979
"new.row.641","21820",1994,83512
"new.row.642","21820",1995,81941
"new.row.643","21820",1996,82880
"new.row.644","21820",1997,82483
"new.row.645","21820",1998,83299
"new.row.646","21820",1999,83390
"new.row.647","21820",2000,83005
"new.row.648","21820",2001,84814
"new.row.649","21820",2002,86095
"new.row.650","21820",2003,86885
"new.row.651","21820",2004,89043
"new.row.652","21820",2005,90431
"new.row.653","21820",2006,90545
"new.row.654","21820",2007,93545
"new.row.655","21820",2008,94552
"new.row.656","21820",2009,95238
"new.row.657","21820",2010,98267
"new.row.658","21820",2011,99286
"new.row.659","21820",2012,100272
"new.row.660","22380",1969,48200
"new.row.661","22380",1970,49180
"new.row.662","22380",1971,53330
"new.row.663","22380",1972,58203
"new.row.664","22380",1973,61654
"new.row.665","22380",1974,64831
"new.row.666","22380",1975,69825
"new.row.667","22380",1976,66403
"new.row.668","22380",1977,68939
"new.row.669","22380",1978,70815
"new.row.670","22380",1979,73357
"new.row.671","22380",1980,75579
"new.row.672","22380",1981,77794
"new.row.673","22380",1982,79156
"new.row.674","22380",1983,81118
"new.row.675","22380",1984,83640
"new.row.676","22380",1985,84431
"new.row.677","22380",1986,87575
"new.row.678","22380",1987,90380
"new.row.679","22380",1988,93355
"new.row.680","22380",1989,95194
"new.row.681","22380",1990,97106
"new.row.682","22380",1991,99647
"new.row.683","22380",1992,102498
"new.row.684","22380",1993,105570
"new.row.685","22380",1994,108680
"new.row.686","22380",1995,110954
"new.row.687","22380",1996,112686
"new.row.688","22380",1997,114444
"new.row.689","22380",1998,114874
"new.row.690","22380",1999,115307
"new.row.691","22380",2000,116773
"new.row.692","22380",2001,118283
"new.row.693","22380",2002,121308
"new.row.694","22380",2003,122882
"new.row.695","22380",2004,125117
"new.row.696","22380",2005,127025
"new.row.697","22380",2006,128695
"new.row.698","22380",2007,130442
"new.row.699","22380",2008,131853
"new.row.700","22380",2009,133477
"new.row.701","22380",2010,134611
"new.row.702","22380",2011,134105
"new.row.703","22380",2012,136011
"new.row.704","29420",1969,24600
"new.row.705","29420",1970,26338
"new.row.706","29420",1971,28736
"new.row.707","29420",1972,31084
"new.row.708","29420",1973,34030
"new.row.709","29420",1974,36572
"new.row.710","29420",1975,39388
"new.row.711","29420",1976,42458
"new.row.712","29420",1977,43312
"new.row.713","29420",1978,46017
"new.row.714","29420",1979,51783
"new.row.715","29420",1980,56423
"new.row.716","29420",1981,58607
"new.row.717","29420",1982,62539
"new.row.718","29420",1983,64005
"new.row.719","29420",1984,67364
"new.row.720","29420",1985,70769
"new.row.721","29420",1986,75366
"new.row.722","29420",1987,77314
"new.row.723","29420",1988,82381
"new.row.724","29420",1989,87040
"new.row.725","29420",1990,95491
"new.row.726","29420",1991,102263
"new.row.727","29420",1992,108644
"new.row.728","29420",1993,115706
"new.row.729","29420",1994,122906
"new.row.730","29420",1995,130274
"new.row.731","29420",1996,136436
"new.row.732","29420",1997,140922
"new.row.733","29420",1998,145155
"new.row.734","29420",1999,150351
"new.row.735","29420",2000,156215
"new.row.736","29420",2001,160312
"new.row.737","29420",2002,166155
"new.row.738","29420",2003,172633
"new.row.739","29420",2004,180521
"new.row.740","29420",2005,188773
"new.row.741","29420",2006,196168
"new.row.742","29420",2007,199760
"new.row.743","29420",2008,200078
"new.row.744","29420",2009,199696
"new.row.745","29420",2010,200380
"new.row.746","29420",2011,202592
"new.row.747","29420",2012,203334
"new.row.748","38060",1969,1013400
"new.row.749","38060",1970,1049680
"new.row.750","38060",1971,1100219
"new.row.751","38060",1972,1163970
"new.row.752","38060",1973,1237668
"new.row.753","38060",1974,1301957
"new.row.754","38060",1975,1337680
"new.row.755","38060",1976,1366423
"new.row.756","38060",1977,1416931
"new.row.757","38060",1978,1476485
"new.row.758","38060",1979,1546348
"new.row.759","38060",1980,1612182
"new.row.760","38060",1981,1658988
"new.row.761","38060",1982,1708649
"new.row.762","38060",1983,1761819
"new.row.763","38060",1984,1837457
"new.row.764","38060",1985,1931978
"new.row.765","38060",1986,2013320
"new.row.766","38060",1987,2102571
"new.row.767","38060",1988,2162647
"new.row.768","38060",1989,2217530
"new.row.769","38060",1990,2249116
"new.row.770","38060",1991,2319206
"new.row.771","38060",1992,2398760
"new.row.772","38060",1993,2491818
"new.row.773","38060",1994,2613502
"new.row.774","38060",1995,2744046
"new.row.775","38060",1996,2855711
"new.row.776","38060",1997,2963714
"new.row.777","38060",1998,3074532
"new.row.778","38060",1999,3178349
"new.row.779","38060",2000,3273477
"new.row.780","38060",2001,3363736
"new.row.781","38060",2002,3452470
"new.row.782","38060",2003,3536388
"new.row.783","38060",2004,3637332
"new.row.784","38060",2005,3774696
"new.row.785","38060",2006,3914212
"new.row.786","38060",2007,4018128
"new.row.787","38060",2008,4106372
"new.row.788","38060",2009,4153609
"new.row.789","38060",2010,4209375
"new.row.790","38060",2011,4252078
"new.row.791","38060",2012,4329534
"new.row.792","39140",1969,35800
"new.row.793","39140",1970,37570
"new.row.794","39140",1971,40403
"new.row.795","39140",1972,44864
"new.row.796","39140",1973,47951
"new.row.797","39140",1974,50233
"new.row.798","39140",1975,50194
"new.row.799","39140",1976,55746
"new.row.800","39140",1977,59742
"new.row.801","39140",1978,62377
"new.row.802","39140",1979,65842
"new.row.803","39140",1980,68705
"new.row.804","39140",1981,70883
"new.row.805","39140",1982,74009
"new.row.806","39140",1983,76769
"new.row.807","39140",1984,79633
"new.row.808","39140",1985,82642
"new.row.809","39140",1986,89025
"new.row.810","39140",1987,93811
"new.row.811","39140",1988,99493
"new.row.812","39140",1989,103651
"new.row.813","39140",1990,108818
"new.row.814","39140",1991,113119
"new.row.815","39140",1992,118427
"new.row.816","39140",1993,125164
"new.row.817","39140",1994,131986
"new.row.818","39140",1995,139901
"new.row.819","39140",1996,146414
"new.row.820","39140",1997,151924
"new.row.821","39140",1998,157686
"new.row.822","39140",1999,162943
"new.row.823","39140",2000,168608
"new.row.824","39140",2001,172636
"new.row.825","39140",2002,177362
"new.row.826","39140",2003,182090
"new.row.827","39140",2004,187822
"new.row.828","39140",2005,195424
"new.row.829","39140",2006,204082
"new.row.830","39140",2007,208773
"new.row.831","39140",2008,211211
"new.row.832","39140",2009,211172
"new.row.833","39140",2010,210249
"new.row.834","39140",2011,211130
"new.row.835","39140",2012,212637
"new.row.836","43420",1969,60500
"new.row.837","43420",1970,62770
"new.row.838","43420",1971,67149
"new.row.839","43420",1972,70938
"new.row.840","43420",1973,74558
"new.row.841","43420",1974,76165
"new.row.842","43420",1975,76922
"new.row.843","43420",1976,78946
"new.row.844","43420",1977,80688
"new.row.845","43420",1978,83160
"new.row.846","43420",1979,86268
"new.row.847","43420",1980,86172
"new.row.848","43420",1981,88036
"new.row.849","43420",1982,88373
"new.row.850","43420",1983,88872
"new.row.851","43420",1984,90937
"new.row.852","43420",1985,91192
"new.row.853","43420",1986,94093
"new.row.854","43420",1987,96690
"new.row.855","43420",1988,96316
"new.row.856","43420",1989,97551
"new.row.857","43420",1990,97918
"new.row.858","43420",1991,99058
"new.row.859","43420",1992,101453
"new.row.860","43420",1993,104403
"new.row.861","43420",1994,109323
"new.row.862","43420",1995,112480
"new.row.863","43420",1996,112880
"new.row.864","43420",1997,114907
"new.row.865","43420",1998,116091
"new.row.866","43420",1999,116530
"new.row.867","43420",2000,118132
"new.row.868","43420",2001,118798
"new.row.869","43420",2002,119847
