"","msa.fips","year","average.compensation.per.job"
"new.row.198","29420",2007,39323
"new.row.199","29420",2008,41118
"new.row.200","29420",2009,40639
"new.row.201","29420",2010,41940
"new.row.202","29420",2011,42833
"new.row.203","29420",2012,44058
"new.row.204","38060",2001,42965
"new.row.205","38060",2002,43819
"new.row.206","38060",2003,44970
"new.row.207","38060",2004,47005
"new.row.208","38060",2005,48797
"new.row.209","38060",2006,51489
"new.row.210","38060",2007,53700
"new.row.211","38060",2008,55215
"new.row.212","38060",2009,55742
"new.row.213","38060",2010,56718
"new.row.214","38060",2011,58297
"new.row.215","38060",2012,59327
"new.row.216","39140",2001,30167
"new.row.217","39140",2002,31313
"new.row.218","39140",2003,32784
"new.row.219","39140",2004,34444
"new.row.220","39140",2005,36071
"new.row.221","39140",2006,37892
"new.row.222","39140",2007,39944
"new.row.223","39140",2008,41632
"new.row.224","39140",2009,41567
"new.row.225","39140",2010,42448
"new.row.226","39140",2011,43217
"new.row.227","39140",2012,44012
"new.row.228","43420",2001,35878
"new.row.229","43420",2002,38501
"new.row.230","43420",2003,40844
"new.row.231","43420",2004,43127
"new.row.232","43420",2005,46227
"new.row.233","43420",2006,47931
"new.row.234","43420",2007,50733
"new.row.235","43420",2008,54007
"new.row.236","43420",2009,56039
"new.row.237","43420",2010,57658
"new.row.238","43420",2011,59649
"new.row.239","43420",2012,59506
"new.row.240","46060",2001,37712
"new.row.241","46060",2002,39098
"new.row.242","46060",2003,40686
"new.row.243","46060",2004,42126
"new.row.244","46060",2005,44141
"new.row.245","46060",2006,46230
"new.row.246","46060",2007,48272
"new.row.247","46060",2008,50470
"new.row.248","46060",2009,50809
"new.row.249","46060",2010,51478
"new.row.250","46060",2011,52668
"new.row.251","46060",2012,53169
"new.row.252","49740",2001,29422
"new.row.253","49740",2002,30728
"new.row.254","49740",2003,32400
"new.row.255","49740",2004,34416
"new.row.256","49740",2005,35909
"new.row.257","49740",2006,37820
"new.row.258","49740",2007,40501
"new.row.259","49740",2008,42670
"new.row.260","49740",2009,44745
"new.row.261","49740",2010,45196
"new.row.262","49740",2011,46268
"new.row.263","49740",2012,46456
"new.row.264","22220",2001,36164
"new.row.265","22220",2002,37747
"new.row.266","22220",2003,39781
"new.row.267","22220",2004,42039
"new.row.268","22220",2005,43249
"new.row.269","22220",2006,44603
"new.row.270","22220",2007,46422
"new.row.271","22220",2008,48244
"new.row.272","22220",2009,49496
"new.row.273","22220",2010,51973
"new.row.274","22220",2011,52785
"new.row.275","22220",2012,54643
"new.row.276","22900",2001,32461
"new.row.277","22900",2002,32961
"new.row.278","22900",2003,34584
"new.row.279","22900",2004,36145
"new.row.280","22900",2005,37935
"new.row.281","22900",2006,39604
"new.row.282","22900",2007,39831
"new.row.283","22900",2008,40620
"new.row.284","22900",2009,40703
"new.row.285","22900",2010,42735
"new.row.286","22900",2011,44089
"new.row.287","22900",2012,45373
"new.row.288","26300",2001,29687
"new.row.289","26300",2002,30662
"new.row.290","26300",2003,31892
"new.row.291","26300",2004,32758
"new.row.292","26300",2005,33918
"new.row.293","26300",2006,34815
"new.row.294","26300",2007,35566
"new.row.295","26300",2008,36306
"new.row.296","26300",2009,36752
"new.row.297","26300",2010,37702
"new.row.298","26300",2011,38802
"new.row.299","26300",2012,40367
"new.row.300","27860",2001,30282
"new.row.301","27860",2002,31505
"new.row.302","27860",2003,32712
"new.row.303","27860",2004,34325
"new.row.304","27860",2005,35806
"new.row.305","27860",2006,36235
"new.row.306","27860",2007,37935
"new.row.307","27860",2008,39257
"new.row.308","27860",2009,39527
"new.row.309","27860",2010,41063
"new.row.310","27860",2011,41925
"new.row.311","27860",2012,43622
"new.row.312","30780",2001,38189
"new.row.313","30780",2002,39367
"new.row.314","30780",2003,41175
"new.row.315","30780",2004,43016
"new.row.316","30780",2005,44417
"new.row.317","30780",2006,45915
"new.row.318","30780",2007,49126
"new.row.319","30780",2008,49062
