"","msa.fips","year","average.compensation.per.job"
"new.row.868","15980",2005,45093
"new.row.869","15980",2006,46278
"new.row.870","15980",2007,47490
"new.row.871","15980",2008,48274
"new.row.872","15980",2009,48164
"new.row.873","15980",2010,48911
"new.row.874","15980",2011,49418
"new.row.875","15980",2012,50124
"new.row.876","18880",2001,36700
"new.row.877","18880",2002,39481
"new.row.878","18880",2003,41807
"new.row.879","18880",2004,42737
"new.row.880","18880",2005,45298
"new.row.881","18880",2006,46605
"new.row.882","18880",2007,48555
"new.row.883","18880",2008,49930
"new.row.884","18880",2009,51422
"new.row.885","18880",2010,53279
"new.row.886","18880",2011,54028
"new.row.887","18880",2012,55976
"new.row.888","19660",2001,32629
"new.row.889","19660",2002,34018
"new.row.890","19660",2003,35577
"new.row.891","19660",2004,37265
"new.row.892","19660",2005,38403
"new.row.893","19660",2006,39513
"new.row.894","19660",2007,40838
"new.row.895","19660",2008,41985
"new.row.896","19660",2009,42129
"new.row.897","19660",2010,43533
"new.row.898","19660",2011,43351
"new.row.899","19660",2012,44565
"new.row.900","23540",2001,34380
"new.row.901","23540",2002,36119
"new.row.902","23540",2003,37168
"new.row.903","23540",2004,40631
"new.row.904","23540",2005,42835
"new.row.905","23540",2006,44494
"new.row.906","23540",2007,46075
"new.row.907","23540",2008,47513
"new.row.908","23540",2009,49231
"new.row.909","23540",2010,50992
"new.row.910","23540",2011,51164
"new.row.911","23540",2012,52123
"new.row.912","26140",2001,33057
"new.row.913","26140",2002,33700
"new.row.914","26140",2003,35584
"new.row.915","26140",2004,36761
"new.row.916","26140",2005,39058
"new.row.917","26140",2006,39761
"new.row.918","26140",2007,40597
"new.row.919","26140",2008,41175
"new.row.920","26140",2009,43461
"new.row.921","26140",2010,45951
"new.row.922","26140",2011,45755
"new.row.923","26140",2012,46217
"new.row.924","27260",2001,41562
"new.row.925","27260",2002,43380
"new.row.926","27260",2003,45511
"new.row.927","27260",2004,47341
"new.row.928","27260",2005,49551
"new.row.929","27260",2006,51428
"new.row.930","27260",2007,53119
"new.row.931","27260",2008,53832
"new.row.932","27260",2009,54274
"new.row.933","27260",2010,56220
"new.row.934","27260",2011,56818
"new.row.935","27260",2012,58406
"new.row.936","29460",2001,36499
"new.row.937","29460",2002,37140
"new.row.938","29460",2003,38654
"new.row.939","29460",2004,39710
"new.row.940","29460",2005,41422
"new.row.941","29460",2006,42566
"new.row.942","29460",2007,43822
"new.row.943","29460",2008,45263
"new.row.944","29460",2009,45727
"new.row.945","29460",2010,46695
"new.row.946","29460",2011,46844
"new.row.947","29460",2012,47777
"new.row.948","33100",2001,42696
"new.row.949","33100",2002,44142
"new.row.950","33100",2003,45622
"new.row.951","33100",2004,47835
"new.row.952","33100",2005,50412
"new.row.953","33100",2006,52292
"new.row.954","33100",2007,53997
"new.row.955","33100",2008,55366
"new.row.956","33100",2009,55714
"new.row.957","33100",2010,57214
"new.row.958","33100",2011,57665
"new.row.959","33100",2012,58731
"new.row.960","34940",2001,38067
"new.row.961","34940",2002,39169
"new.row.962","34940",2003,40853
"new.row.963","34940",2004,43142
"new.row.964","34940",2005,47673
"new.row.965","34940",2006,48420
"new.row.966","34940",2007,51358
"new.row.967","34940",2008,50953
"new.row.968","34940",2009,50291
"new.row.969","34940",2010,51938
"new.row.970","34940",2011,51700
"new.row.971","34940",2012,52661
"new.row.972","35840",2001,35511
"new.row.973","35840",2002,36653
"new.row.974","35840",2003,38360
"new.row.975","35840",2004,40583
"new.row.976","35840",2005,42822
"new.row.977","35840",2006,44400
"new.row.978","35840",2007,45413
"new.row.979","35840",2008,46489
"new.row.980","35840",2009,46647
"new.row.981","35840",2010,48044
"new.row.982","35840",2011,48547
"new.row.983","35840",2012,49152
"new.row.984","36100",2001,32915
"new.row.985","36100",2002,34175
"new.row.986","36100",2003,35622
"new.row.987","36100",2004,37072
"new.row.988","36100",2005,38615
"new.row.989","36100",2006,40087
"new.row.990","36100",2007,40702
"new.row.991","36100",2008,42044
"new.row.992","36100",2009,42359
"new.row.993","36100",2010,43456
"new.row.994","36100",2011,43648
"new.row.995","36100",2012,44258
"new.row.996","36740",2001,39174
"new.row.997","36740",2002,41142
"new.row.998","36740",2003,42427
"new.row.999","36740",2004,44285
"new.row.1000","36740",2005,46397
"new.row.1001","36740",2006,47617
"new.row.1002","36740",2007,48839
"new.row.1003","36740",2008,50061
"new.row.1004","36740",2009,49999
"new.row.1005","36740",2010,51108
"new.row.1006","36740",2011,51504
"new.row.1007","36740",2012,52685
"new.row.1008","37340",2001,40977
"new.row.1009","37340",2002,42849
"new.row.1010","37340",2003,44651
"new.row.1011","37340",2004,46937
"new.row.1012","37340",2005,48945
"new.row.1013","37340",2006,49869
"new.row.1014","37340",2007,51561
"new.row.1015","37340",2008,53548
"new.row.1016","37340",2009,54856
"new.row.1017","37340",2010,56351
"new.row.1018","37340",2011,56575
"new.row.1019","37340",2012,56713
"new.row.1020","37460",2001,34739
"new.row.1021","37460",2002,36823
"new.row.1022","37460",2003,38991
"new.row.1023","37460",2004,40110
"new.row.1024","37460",2005,42449
"new.row.1025","37460",2006,43871
"new.row.1026","37460",2007,44766
"new.row.1027","37460",2008,45764
"new.row.1028","37460",2009,46567
"new.row.1029","37460",2010,48616
"new.row.1030","37460",2011,48465
"new.row.1031","37460",2012,48260
"new.row.1032","37860",2001,36724
"new.row.1033","37860",2002,37668
"new.row.1034","37860",2003,39413
"new.row.1035","37860",2004,40963
"new.row.1036","37860",2005,43133
"new.row.1037","37860",2006,45040
"new.row.1038","37860",2007,46104
"new.row.1039","37860",2008,47679
"new.row.1040","37860",2009,49209
"new.row.1041","37860",2010,50470
"new.row.1042","37860",2011,51351
"new.row.1043","37860",2012,52313
"new.row.1044","38940",2001,34588
"new.row.1045","38940",2002,36621
"new.row.1046","38940",2003,37690
"new.row.1047","38940",2004,39737
"new.row.1048","38940",2005,41910
"new.row.1049","38940",2006,43008
"new.row.1050","38940",2007,45735
"new.row.1051","38940",2008,46152
"new.row.1052","38940",2009,46115
"new.row.1053","38940",2010,46726
"new.row.1054","38940",2011,47199
"new.row.1055","38940",2012,47515
"new.row.1056","39460",2001,31594
"new.row.1057","39460",2002,33904
"new.row.1058","39460",2003,35633
"new.row.1059","39460",2004,37980
"new.row.1060","39460",2005,40421
"new.row.1061","39460",2006,40477
"new.row.1062","39460",2007,41255
"new.row.1063","39460",2008,42068
"new.row.1064","39460",2009,41717
"new.row.1065","39460",2010,42145
"new.row.1066","39460",2011,42267
"new.row.1067","39460",2012,42842
"new.row.1068","42680",2001,34605
"new.row.1069","42680",2002,35514
"new.row.1070","42680",2003,37008
"new.row.1071","42680",2004,39719
"new.row.1072","42680",2005,41026
"new.row.1073","42680",2006,42045
"new.row.1074","42680",2007,44647
"new.row.1075","42680",2008,46259
"new.row.1076","42680",2009,45692
"new.row.1077","42680",2010,45231
"new.row.1078","42680",2011,45068
"new.row.1079","42680",2012,47234
"new.row.1080","42700",2001,28757
"new.row.1081","42700",2002,29707
"new.row.1082","42700",2003,29855
"new.row.1083","42700",2004,32293
"new.row.1084","42700",2005,33970
"new.row.1085","42700",2006,35158
"new.row.1086","42700",2007,35419
"new.row.1087","42700",2008,35859
"new.row.1088","42700",2009,37225
"new.row.1089","42700",2010,37871
"new.row.1090","42700",2011,37769
"new.row.1091","42700",2012,38210
"new.row.1092","45220",2001,38158
"new.row.1093","45220",2002,40058
"new.row.1094","45220",2003,41564
"new.row.1095","45220",2004,43703
"new.row.1096","45220",2005,44842
"new.row.1097","45220",2006,45893
"new.row.1098","45220",2007,47595
"new.row.1099","45220",2008,48975
"new.row.1100","45220",2009,49683
"new.row.1101","45220",2010,51021
"new.row.1102","45220",2011,50881
"new.row.1103","45220",2012,51602
"new.row.1104","45300",2001,39871
"new.row.1105","45300",2002,41076
"new.row.1106","45300",2003,42902
"new.row.1107","45300",2004,44502
"new.row.1108","45300",2005,46415
"new.row.1109","45300",2006,48104
"new.row.1110","45300",2007,49821
"new.row.1111","45300",2008,51863
"new.row.1112","45300",2009,52917
"new.row.1113","45300",2010,54500
"new.row.1114","45300",2011,55427
"new.row.1115","45300",2012,56851
"new.row.1116","45540",2001,35974
"new.row.1117","45540",2002,35449
"new.row.1118","45540",2003,36362
"new.row.1119","45540",2004,36696
"new.row.1120","45540",2005,38753
"new.row.1121","45540",2006,39622
"new.row.1122","45540",2007,42410
"new.row.1123","45540",2008,43070
"new.row.1124","45540",2009,44698
"new.row.1125","45540",2010,45383
"new.row.1126","45540",2011,46550
"new.row.1127","45540",2012,46782
"new.row.1128","10500",2001,34661
"new.row.1129","10500",2002,36082
"new.row.1130","10500",2003,37482
"new.row.1131","10500",2004,39290
"new.row.1132","10500",2005,40319
"new.row.1133","10500",2006,41281
"new.row.1134","10500",2007,42435
"new.row.1135","10500",2008,43606
"new.row.1136","10500",2009,45251
"new.row.1137","10500",2010,46455
"new.row.1138","10500",2011,47315
"new.row.1139","10500",2012,48241
"new.row.1140","12020",2001,35960
"new.row.1141","12020",2002,37377
"new.row.1142","12020",2003,39340
"new.row.1143","12020",2004,40599
"new.row.1144","12020",2005,41472
"new.row.1145","12020",2006,42780
"new.row.1146","12020",2007,43188
"new.row.1147","12020",2008,44761
"new.row.1148","12020",2009,46002
"new.row.1149","12020",2010,47241
"new.row.1150","12020",2011,47968
"new.row.1151","12020",2012,48704
"new.row.1152","12060",2001,48421
"new.row.1153","12060",2002,49461
"new.row.1154","12060",2003,51400
"new.row.1155","12060",2004,53291
"new.row.1156","12060",2005,54932
"new.row.1157","12060",2006,56653
"new.row.1158","12060",2007,58721
"new.row.1159","12060",2008,59304
"new.row.1160","12060",2009,60435
"new.row.1161","12060",2010,61894
"new.row.1162","12060",2011,63756
"new.row.1163","12060",2012,65253
"new.row.1164","12260",2001,37746
"new.row.1165","12260",2002,39515
"new.row.1166","12260",2003,41529
"new.row.1167","12260",2004,43047
"new.row.1168","12260",2005,44638
"new.row.1169","12260",2006,46235
"new.row.1170","12260",2007,47547
"new.row.1171","12260",2008,49405
"new.row.1172","12260",2009,50816
"new.row.1173","12260",2010,52546
"new.row.1174","12260",2011,54279
"new.row.1175","12260",2012,55370
"new.row.1176","15260",2001,32249
"new.row.1177","15260",2002,33982
"new.row.1178","15260",2003,36847
"new.row.1179","15260",2004,38983
"new.row.1180","15260",2005,39617
"new.row.1181","15260",2006,41858
"new.row.1182","15260",2007,42324
"new.row.1183","15260",2008,43918
"new.row.1184","15260",2009,44999
"new.row.1185","15260",2010,46154
"new.row.1186","15260",2011,47435
"new.row.1187","15260",2012,48505
"new.row.1188","16860",2001,36346
"new.row.1189","16860",2002,37358
"new.row.1190","16860",2003,39242
"new.row.1191","16860",2004,40661
"new.row.1192","16860",2005,42030
"new.row.1193","16860",2006,43414
"new.row.1194","16860",2007,44985
"new.row.1195","16860",2008,46096
"new.row.1196","16860",2009,46993
"new.row.1197","16860",2010,49156
"new.row.1198","16860",2011,50137
"new.row.1199","16860",2012,51849
"new.row.1200","19140",2001,35484
"new.row.1201","19140",2002,36254
"new.row.1202","19140",2003,38071
"new.row.1203","19140",2004,39908
"new.row.1204","19140",2005,41037
"new.row.1205","19140",2006,41695
"new.row.1206","19140",2007,43049
"new.row.1207","19140",2008,43363
"new.row.1208","19140",2009,44660
"new.row.1209","19140",2010,45757
"new.row.1210","19140",2011,46321
"new.row.1211","19140",2012,48252
"new.row.1212","23580",2001,36309
"new.row.1213","23580",2002,37849
"new.row.1214","23580",2003,39048
"new.row.1215","23580",2004,40462
"new.row.1216","23580",2005,43989
"new.row.1217","23580",2006,45387
"new.row.1218","23580",2007,45943
"new.row.1219","23580",2008,47215
"new.row.1220","23580",2009,48038
"new.row.1221","23580",2010,48518
"new.row.1222","23580",2011,50445
"new.row.1223","23580",2012,50645
"new.row.1224","25980",2001,37671
"new.row.1225","25980",2002,40358
"new.row.1226","25980",2003,45390
"new.row.1227","25980",2004,46907
"new.row.1228","25980",2005,53395
"new.row.1229","25980",2006,56360
"new.row.1230","25980",2007,58477
"new.row.1231","25980",2008,61561
"new.row.1232","25980",2009,62681
"new.row.1233","25980",2010,65796
"new.row.1234","25980",2011,67315
"new.row.1235","25980",2012,67231
"new.row.1236","31420",2001,36886
"new.row.1237","31420",2002,38226
"new.row.1238","31420",2003,39093
"new.row.1239","31420",2004,40596
"new.row.1240","31420",2005,41757
"new.row.1241","31420",2006,43214
"new.row.1242","31420",2007,43183
"new.row.1243","31420",2008,43988
"new.row.1244","31420",2009,45762
"new.row.1245","31420",2010,46534
"new.row.1246","31420",2011,47461
"new.row.1247","31420",2012,47793
"new.row.1248","40660",2001,36130
"new.row.1249","40660",2002,37813
"new.row.1250","40660",2003,39216
"new.row.1251","40660",2004,41298
"new.row.1252","40660",2005,39988
"new.row.1253","40660",2006,41419
"new.row.1254","40660",2007,42382
"new.row.1255","40660",2008,44361
"new.row.1256","40660",2009,45886
"new.row.1257","40660",2010,47335
"new.row.1258","40660",2011,48669
"new.row.1259","40660",2012,49030
"new.row.1260","42340",2001,37283
"new.row.1261","42340",2002,38337
"new.row.1262","42340",2003,39967
"new.row.1263","42340",2004,41971
"new.row.1264","42340",2005,43552
"new.row.1265","42340",2006,45801
"new.row.1266","42340",2007,46976
"new.row.1267","42340",2008,48749
"new.row.1268","42340",2009,50345
"new.row.1269","42340",2010,51069
"new.row.1270","42340",2011,52209
"new.row.1271","42340",2012,52800
"new.row.1272","46660",2001,31462
"new.row.1273","46660",2002,32933
"new.row.1274","46660",2003,34270
"new.row.1275","46660",2004,35046
"new.row.1276","46660",2005,36318
"new.row.1277","46660",2006,37618
"new.row.1278","46660",2007,38575
"new.row.1279","46660",2008,40445
"new.row.1280","46660",2009,41575
"new.row.1281","46660",2010,42996
"new.row.1282","46660",2011,44634
"new.row.1283","46660",2012,45119
"new.row.1284","47580",2001,39750
"new.row.1285","47580",2002,42348
"new.row.1286","47580",2003,44381
"new.row.1287","47580",2004,45773
"new.row.1288","47580",2005,48158
"new.row.1289","47580",2006,49629
"new.row.1290","47580",2007,50904
"new.row.1291","47580",2008,52495
"new.row.1292","47580",2009,54247
"new.row.1293","47580",2010,55927
"new.row.1294","47580",2011,57170
"new.row.1295","47580",2012,57869
"new.row.1296","27980",2001,35027
"new.row.1297","27980",2002,37073
"new.row.1298","27980",2003,38996
"new.row.1299","27980",2004,40671
"new.row.1300","27980",2005,42387
"new.row.1301","27980",2006,44132
"new.row.1302","27980",2007,46007
"new.row.1303","27980",2008,47144
"new.row.1304","27980",2009,47061
"new.row.1305","27980",2010,47654
"new.row.1306","27980",2011,49081
"new.row.1307","27980",2012,49606
"new.row.1308","46520",2001,40889
"new.row.1309","46520",2002,43197
"new.row.1310","46520",2003,45364
"new.row.1311","46520",2004,47651
"new.row.1312","46520",2005,49667
"new.row.1313","46520",2006,51196
"new.row.1314","46520",2007,53415
"new.row.1315","46520",2008,55449
"new.row.1316","46520",2009,56631
"new.row.1317","46520",2010,58369
"new.row.1318","46520",2011,60571
"new.row.1319","46520",2012,61572
"new.row.1320","14260",2001,38623
"new.row.1321","14260",2002,39432
"new.row.1322","14260",2003,40511
"new.row.1323","14260",2004,42358
"new.row.1324","14260",2005,43894
"new.row.1325","14260",2006,46550
"new.row.1326","14260",2007,47528
"new.row.1327","14260",2008,47386
"new.row.1328","14260",2009,47979
"new.row.1329","14260",2010,49291
"new.row.1330","14260",2011,49736
"new.row.1331","14260",2012,50188
"new.row.1332","17660",2001,31308
"new.row.1333","17660",2002,32064
"new.row.1334","17660",2003,33769
"new.row.1335","17660",2004,35359
"new.row.1336","17660",2005,36444
"new.row.1337","17660",2006,38561
"new.row.1338","17660",2007,39999
"new.row.1339","17660",2008,40643
"new.row.1340","17660",2009,41069
"new.row.1341","17660",2010,42283
"new.row.1342","17660",2011,42898
"new.row.1343","17660",2012,43474
"new.row.1344","26820",2001,36184
"new.row.1345","26820",2002,37443
"new.row.1346","26820",2003,38331
"new.row.1347","26820",2004,39540
"new.row.1348","26820",2005,40993
"new.row.1349","26820",2006,43306
"new.row.1350","26820",2007,44405
"new.row.1351","26820",2008,45391
"new.row.1352","26820",2009,47165
"new.row.1353","26820",2010,48387
"new.row.1354","26820",2011,49033
"new.row.1355","26820",2012,48622
"new.row.1356","30300",2001,34124
"new.row.1357","30300",2002,34843
"new.row.1358","30300",2003,35927
"new.row.1359","30300",2004,37159
"new.row.1360","30300",2005,37896
"new.row.1361","30300",2006,39666
"new.row.1362","30300",2007,41093
"new.row.1363","30300",2008,42194
"new.row.1364","30300",2009,42357
"new.row.1365","30300",2010,43854
"new.row.1366","30300",2011,44222
"new.row.1367","30300",2012,45101
"new.row.1368","30860",2001,29305
"new.row.1369","30860",2002,30607
"new.row.1370","30860",2003,31688
"new.row.1371","30860",2004,33201
"new.row.1372","30860",2005,34291
"new.row.1373","30860",2006,35541
"new.row.1374","30860",2007,36688
"new.row.1375","30860",2008,38742
"new.row.1376","30860",2009,39176
"new.row.1377","30860",2010,40776
"new.row.1378","30860",2011,41511
"new.row.1379","30860",2012,41389
"new.row.1380","38540",2001,31584
"new.row.1381","38540",2002,32575
"new.row.1382","38540",2003,33598
"new.row.1383","38540",2004,35389
"new.row.1384","38540",2005,36753
"new.row.1385","38540",2006,37801
"new.row.1386","38540",2007,39028
"new.row.1387","38540",2008,41009
"new.row.1388","38540",2009,40566
"new.row.1389","38540",2010,42122
"new.row.1390","38540",2011,43100
"new.row.1391","38540",2012,43018
"new.row.1392","14010",2001,43106
"new.row.1393","14010",2002,45010
"new.row.1394","14010",2003,47006
"new.row.1395","14010",2004,48794
"new.row.1396","14010",2005,49647
"new.row.1397","14010",2006,52405
"new.row.1398","14010",2007,53314
"new.row.1399","14010",2008,55696
"new.row.1400","14010",2009,56977
"new.row.1401","14010",2010,58557
"new.row.1402","14010",2011,59908
"new.row.1403","14010",2012,61442
"new.row.1404","16020",2001,32358
"new.row.1405","16020",2002,33860
"new.row.1406","16020",2003,35114
"new.row.1407","16020",2004,36551
"new.row.1408","16020",2005,37541
"new.row.1409","16020",2006,38856
"new.row.1410","16020",2007,40514
"new.row.1411","16020",2008,40933
"new.row.1412","16020",2009,43228
"new.row.1413","16020",2010,44478
"new.row.1414","16020",2011,44914
"new.row.1415","16020",2012,45983
"new.row.1416","16060",2001,32233
"new.row.1417","16060",2002,34173
"new.row.1418","16060",2003,35371
"new.row.1419","16060",2004,36898
"new.row.1420","16060",2005,38431
"new.row.1421","16060",2006,39903
"new.row.1422","16060",2007,41569
"new.row.1423","16060",2008,43337
"new.row.1424","16060",2009,44922
"new.row.1425","16060",2010,46684
"new.row.1426","16060",2011,47120
"new.row.1427","16060",2012,48490
"new.row.1428","16580",2001,36414
"new.row.1429","16580",2002,38868
"new.row.1430","16580",2003,40095
"new.row.1431","16580",2004,41550
"new.row.1432","16580",2005,42887
"new.row.1433","16580",2006,44373
"new.row.1434","16580",2007,46245
"new.row.1435","16580",2008,48154
"new.row.1436","16580",2009,49535
"new.row.1437","16580",2010,51418
"new.row.1438","16580",2011,51880
"new.row.1439","16580",2012,53699
"new.row.1440","16980",2001,51018
"new.row.1441","16980",2002,52367
"new.row.1442","16980",2003,53852
"new.row.1443","16980",2004,56289
"new.row.1444","16980",2005,58398
"new.row.1445","16980",2006,60833
"new.row.1446","16980",2007,63434
"new.row.1447","16980",2008,64684
"new.row.1448","16980",2009,64432
"new.row.1449","16980",2010,66070
"new.row.1450","16980",2011,67896
"new.row.1451","16980",2012,69989
"new.row.1452","19180",2001,35624
"new.row.1453","19180",2002,36609
"new.row.1454","19180",2003,38781
"new.row.1455","19180",2004,40967
"new.row.1456","19180",2005,42099
"new.row.1457","19180",2006,43617
"new.row.1458","19180",2007,44387
"new.row.1459","19180",2008,46251
"new.row.1460","19180",2009,47140
"new.row.1461","19180",2010,48876
"new.row.1462","19180",2011,49679
"new.row.1463","19180",2012,50945
"new.row.1464","19340",2001,38171
"new.row.1465","19340",2002,39622
"new.row.1466","19340",2003,41114
"new.row.1467","19340",2004,43316
"new.row.1468","19340",2005,44652
"new.row.1469","19340",2006,47060
"new.row.1470","19340",2007,49406
"new.row.1471","19340",2008,50825
"new.row.1472","19340",2009,51621
"new.row.1473","19340",2010,53779
"new.row.1474","19340",2011,55103
"new.row.1475","19340",2012,56531
"new.row.1476","19500",2001,41316
"new.row.1477","19500",2002,41965
"new.row.1478","19500",2003,43589
"new.row.1479","19500",2004,46520
"new.row.1480","19500",2005,49047
"new.row.1481","19500",2006,50175
"new.row.1482","19500",2007,52192
"new.row.1483","19500",2008,53463
"new.row.1484","19500",2009,53943
"new.row.1485","19500",2010,54932
"new.row.1486","19500",2011,56681
"new.row.1487","19500",2012,58120
"new.row.1488","28100",2001,35970
"new.row.1489","28100",2002,37822
"new.row.1490","28100",2003,38967
"new.row.1491","28100",2004,40310
"new.row.1492","28100",2005,41084
"new.row.1493","28100",2006,41726
"new.row.1494","28100",2007,43347
"new.row.1495","28100",2008,44885
"new.row.1496","28100",2009,45418
"new.row.1497","28100",2010,45684
"new.row.1498","28100",2011,47423
"new.row.1499","28100",2012,48662
"new.row.1500","37900",2001,40434
"new.row.1501","37900",2002,42227
"new.row.1502","37900",2003,44204
"new.row.1503","37900",2004,46757
"new.row.1504","37900",2005,50199
"new.row.1505","37900",2006,53001
"new.row.1506","37900",2007,54615
"new.row.1507","37900",2008,56015
"new.row.1508","37900",2009,56845
"new.row.1509","37900",2010,56974
"new.row.1510","37900",2011,61814
"new.row.1511","37900",2012,64994
"new.row.1512","40420",2001,39892
"new.row.1513","40420",2002,41396
"new.row.1514","40420",2003,42684
"new.row.1515","40420",2004,43562
"new.row.1516","40420",2005,45738
"new.row.1517","40420",2006,47870
"new.row.1518","40420",2007,49232
"new.row.1519","40420",2008,50423
"new.row.1520","40420",2009,50501
"new.row.1521","40420",2010,51449
"new.row.1522","40420",2011,53281
"new.row.1523","40420",2012,54283
"new.row.1524","41180",2001,43755
"new.row.1525","41180",2002,45348
"new.row.1526","41180",2003,47016
"new.row.1527","41180",2004,48846
"new.row.1528","41180",2005,50634
"new.row.1529","41180",2006,52510
"new.row.1530","41180",2007,54333
"new.row.1531","41180",2008,57234
"new.row.1532","41180",2009,56516
"new.row.1533","41180",2010,57729
"new.row.1534","41180",2011,58575
"new.row.1535","41180",2012,60379
"new.row.1536","44100",2001,41740
"new.row.1537","44100",2002,43621
"new.row.1538","44100",2003,44349
"new.row.1539","44100",2004,45309
"new.row.1540","44100",2005,46553
"new.row.1541","44100",2006,47447
"new.row.1542","44100",2007,49038
"new.row.1543","44100",2008,50693
"new.row.1544","44100",2009,52009
"new.row.1545","44100",2010,53537
"new.row.1546","44100",2011,54418
"new.row.1547","44100",2012,55646
"new.row.1548","14020",2001,33545
"new.row.1549","14020",2002,34670
"new.row.1550","14020",2003,35750
"new.row.1551","14020",2004,36920
"new.row.1552","14020",2005,38210
"new.row.1553","14020",2006,39317
"new.row.1554","14020",2007,40339
"new.row.1555","14020",2008,41885
"new.row.1556","14020",2009,42384
"new.row.1557","14020",2010,43428
"new.row.1558","14020",2011,44544
"new.row.1559","14020",2012,46061
"new.row.1560","17140",2001,43933
"new.row.1561","17140",2002,45373
"new.row.1562","17140",2003,47014
"new.row.1563","17140",2004,49168
"new.row.1564","17140",2005,50695
"new.row.1565","17140",2006,52261
"new.row.1566","17140",2007,53910
"new.row.1567","17140",2008,55229
"new.row.1568","17140",2009,55393
"new.row.1569","17140",2010,57516
"new.row.1570","17140",2011,59034
"new.row.1571","17140",2012,60891
"new.row.1572","18020",2001,41734
"new.row.1573","18020",2002,43165
"new.row.1574","18020",2003,45200
"new.row.1575","18020",2004,46927
"new.row.1576","18020",2005,47872
"new.row.1577","18020",2006,50316
"new.row.1578","18020",2007,51647
"new.row.1579","18020",2008,53568
"new.row.1580","18020",2009,52245
"new.row.1581","18020",2010,54918
"new.row.1582","18020",2011,56945
"new.row.1583","18020",2012,59830
"new.row.1584","21140",2001,38397
"new.row.1585","21140",2002,40656
"new.row.1586","21140",2003,41974
"new.row.1587","21140",2004,43800
"new.row.1588","21140",2005,45380
"new.row.1589","21140",2006,46044
"new.row.1590","21140",2007,47084
"new.row.1591","21140",2008,46784
"new.row.1592","21140",2009,46226
"new.row.1593","21140",2010,48106
"new.row.1594","21140",2011,48335
"new.row.1595","21140",2012,50748
"new.row.1596","21780",2001,38517
"new.row.1597","21780",2002,39826
"new.row.1598","21780",2003,41046
"new.row.1599","21780",2004,42497
"new.row.1600","21780",2005,43896
"new.row.1601","21780",2006,46130
"new.row.1602","21780",2007,46445
"new.row.1603","21780",2008,48124
"new.row.1604","21780",2009,47876
"new.row.1605","21780",2010,49599
"new.row.1606","21780",2011,49835
"new.row.1607","21780",2012,50498
"new.row.1608","23060",2001,39833
"new.row.1609","23060",2002,40722
"new.row.1610","23060",2003,41847
"new.row.1611","23060",2004,42879
"new.row.1612","23060",2005,43943
"new.row.1613","23060",2006,45267
"new.row.1614","23060",2007,46427
"new.row.1615","23060",2008,46930
"new.row.1616","23060",2009,46979
"new.row.1617","23060",2010,48473
"new.row.1618","23060",2011,49633
"new.row.1619","23060",2012,50382
"new.row.1620","26900",2001,44073
"new.row.1621","26900",2002,44947
"new.row.1622","26900",2003,46094
"new.row.1623","26900",2004,48120
"new.row.1624","26900",2005,49473
"new.row.1625","26900",2006,51526
"new.row.1626","26900",2007,52665
"new.row.1627","26900",2008,53818
"new.row.1628","26900",2009,53560
"new.row.1629","26900",2010,55269
"new.row.1630","26900",2011,56492
"new.row.1631","26900",2012,58008
"new.row.1632","29020",2001,49757
"new.row.1633","29020",2002,51532
"new.row.1634","29020",2003,53798
"new.row.1635","29020",2004,56628
"new.row.1636","29020",2005,57297
"new.row.1637","29020",2006,59131
"new.row.1638","29020",2007,61355
"new.row.1639","29020",2008,57380
"new.row.1640","29020",2009,54109
"new.row.1641","29020",2010,52596
"new.row.1642","29020",2011,54697
"new.row.1643","29020",2012,55271
"new.row.1644","29200",2001,37658
"new.row.1645","29200",2002,38210
"new.row.1646","29200",2003,40142
"new.row.1647","29200",2004,42146
"new.row.1648","29200",2005,43939
"new.row.1649","29200",2006,44177
"new.row.1650","29200",2007,45310
"new.row.1651","29200",2008,47034
"new.row.1652","29200",2009,47240
"new.row.1653","29200",2010,48324
"new.row.1654","29200",2011,49477
"new.row.1655","29200",2012,50179
"new.row.1656","31140",2001,40401
"new.row.1657","31140",2002,41669
"new.row.1658","31140",2003,43330
"new.row.1659","31140",2004,45512
"new.row.1660","31140",2005,46647
"new.row.1661","31140",2006,47837
"new.row.1662","31140",2007,49584
"new.row.1663","31140",2008,50343
"new.row.1664","31140",2009,50772
"new.row.1665","31140",2010,52473
"new.row.1666","31140",2011,53725
"new.row.1667","31140",2012,55206
"new.row.1668","33140",2001,34946
"new.row.1669","33140",2002,35686
"new.row.1670","33140",2003,36849
"new.row.1671","33140",2004,38399
"new.row.1672","33140",2005,39551
"new.row.1673","33140",2006,40526
"new.row.1674","33140",2007,42080
"new.row.1675","33140",2008,43444
"new.row.1676","33140",2009,43066
"new.row.1677","33140",2010,44474
"new.row.1678","33140",2011,45669
"new.row.1679","33140",2012,46702
"new.row.1680","34620",2001,34645
"new.row.1681","34620",2002,35822
"new.row.1682","34620",2003,37289
"new.row.1683","34620",2004,38190
"new.row.1684","34620",2005,39321
"new.row.1685","34620",2006,38983
"new.row.1686","34620",2007,39759
"new.row.1687","34620",2008,40783
"new.row.1688","34620",2009,41256
"new.row.1689","34620",2010,41717
"new.row.1690","34620",2011,42198
"new.row.1691","34620",2012,43837
"new.row.1692","43780",2001,37293
"new.row.1693","43780",2002,38606
"new.row.1694","43780",2003,40146
"new.row.1695","43780",2004,41845
"new.row.1696","43780",2005,42741
"new.row.1697","43780",2006,44047
