"","msa.fips","year","proprietors.employment"
"new.row.4340","15260",1997,7385
"new.row.4341","15260",1998,7502
"new.row.4342","15260",1999,7694
"new.row.4343","15260",2000,8203
"new.row.4344","15260",2001,8319
"new.row.4345","15260",2002,8559
"new.row.4346","15260",2003,9343
"new.row.4347","15260",2004,10233
"new.row.4348","15260",2005,10992
"new.row.4349","15260",2006,11532
"new.row.4350","15260",2007,12186
"new.row.4351","15260",2008,11509
"new.row.4352","15260",2009,11364
"new.row.4353","15260",2010,11360
"new.row.4354","15260",2011,11844
"new.row.4355","15260",2012,12166
"new.row.4356","16860",1969,18325
"new.row.4357","16860",1970,18502
"new.row.4358","16860",1971,19298
"new.row.4359","16860",1972,20036
"new.row.4360","16860",1973,21469
"new.row.4361","16860",1974,22180
"new.row.4362","16860",1975,23424
"new.row.4363","16860",1976,23748
"new.row.4364","16860",1977,24468
"new.row.4365","16860",1978,25323
"new.row.4366","16860",1979,25603
"new.row.4367","16860",1980,26021
"new.row.4368","16860",1981,25866
"new.row.4369","16860",1982,26125
"new.row.4370","16860",1983,26473
"new.row.4371","16860",1984,27271
"new.row.4372","16860",1985,28331
"new.row.4373","16860",1986,29256
"new.row.4374","16860",1987,29921
"new.row.4375","16860",1988,31203
"new.row.4376","16860",1989,31294
"new.row.4377","16860",1990,32513
"new.row.4378","16860",1991,33931
"new.row.4379","16860",1992,34106
"new.row.4380","16860",1993,35797
"new.row.4381","16860",1994,37098
"new.row.4382","16860",1995,38095
"new.row.4383","16860",1996,39554
"new.row.4384","16860",1997,41053
"new.row.4385","16860",1998,43056
"new.row.4386","16860",1999,43949
"new.row.4387","16860",2000,45844
"new.row.4388","16860",2001,46486
"new.row.4389","16860",2002,47561
"new.row.4390","16860",2003,49997
"new.row.4391","16860",2004,53656
"new.row.4392","16860",2005,57013
"new.row.4393","16860",2006,58979
"new.row.4394","16860",2007,62169
"new.row.4395","16860",2008,60205
"new.row.4396","16860",2009,60713
"new.row.4397","16860",2010,59353
"new.row.4398","16860",2011,61427
"new.row.4399","16860",2012,62878
"new.row.4400","19140",1969,3744
"new.row.4401","19140",1970,3725
"new.row.4402","19140",1971,4159
"new.row.4403","19140",1972,4375
"new.row.4404","19140",1973,4489
"new.row.4405","19140",1974,4498
"new.row.4406","19140",1975,4608
"new.row.4407","19140",1976,4656
"new.row.4408","19140",1977,4919
"new.row.4409","19140",1978,5179
"new.row.4410","19140",1979,5387
"new.row.4411","19140",1980,5629
"new.row.4412","19140",1981,5389
"new.row.4413","19140",1982,5401
"new.row.4414","19140",1983,5477
"new.row.4415","19140",1984,5517
"new.row.4416","19140",1985,5705
"new.row.4417","19140",1986,5811
"new.row.4418","19140",1987,5575
"new.row.4419","19140",1988,5902
"new.row.4420","19140",1989,5876
"new.row.4421","19140",1990,6298
"new.row.4422","19140",1991,6297
"new.row.4423","19140",1992,6611
"new.row.4424","19140",1993,6930
"new.row.4425","19140",1994,6652
"new.row.4426","19140",1995,7485
"new.row.4427","19140",1996,7663
"new.row.4428","19140",1997,7674
"new.row.4429","19140",1998,7325
"new.row.4430","19140",1999,7601
"new.row.4431","19140",2000,8034
"new.row.4432","19140",2001,8073
"new.row.4433","19140",2002,8482
"new.row.4434","19140",2003,9029
"new.row.4435","19140",2004,9741
"new.row.4436","19140",2005,10196
"new.row.4437","19140",2006,10649
"new.row.4438","19140",2007,11176
"new.row.4439","19140",2008,10162
"new.row.4440","19140",2009,10202
"new.row.4441","19140",2010,10171
"new.row.4442","19140",2011,10461
"new.row.4443","19140",2012,10705
"new.row.4444","23580",1969,4157
"new.row.4445","23580",1970,4236
"new.row.4446","23580",1971,4476
"new.row.4447","23580",1972,4468
"new.row.4448","23580",1973,4724
"new.row.4449","23580",1974,4726
"new.row.4450","23580",1975,4946
"new.row.4451","23580",1976,5170
"new.row.4452","23580",1977,5372
"new.row.4453","23580",1978,5566
"new.row.4454","23580",1979,5661
"new.row.4455","23580",1980,5781
"new.row.4456","23580",1981,6106
"new.row.4457","23580",1982,6347
"new.row.4458","23580",1983,6755
"new.row.4459","23580",1984,7008
"new.row.4460","23580",1985,7498
"new.row.4461","23580",1986,7889
"new.row.4462","23580",1987,7843
"new.row.4463","23580",1988,8026
"new.row.4464","23580",1989,7949
"new.row.4465","23580",1990,8160
"new.row.4466","23580",1991,8185
"new.row.4467","23580",1992,8210
"new.row.4468","23580",1993,8794
"new.row.4469","23580",1994,8955
"new.row.4470","23580",1995,9660
"new.row.4471","23580",1996,10095
"new.row.4472","23580",1997,10890
"new.row.4473","23580",1998,11124
"new.row.4474","23580",1999,11805
"new.row.4475","23580",2000,12579
"new.row.4476","23580",2001,13115
"new.row.4477","23580",2002,13687
"new.row.4478","23580",2003,14697
"new.row.4479","23580",2004,15976
"new.row.4480","23580",2005,17312
"new.row.4481","23580",2006,18431
"new.row.4482","23580",2007,19751
"new.row.4483","23580",2008,20510
"new.row.4484","23580",2009,20593
"new.row.4485","23580",2010,20859
"new.row.4486","23580",2011,22275
"new.row.4487","23580",2012,22855
"new.row.4488","25980",1969,690
"new.row.4489","25980",1970,710
"new.row.4490","25980",1971,775
"new.row.4491","25980",1972,818
"new.row.4492","25980",1973,814
"new.row.4493","25980",1974,876
"new.row.4494","25980",1975,943
"new.row.4495","25980",1976,985
"new.row.4496","25980",1977,1046
"new.row.4497","25980",1978,1089
"new.row.4498","25980",1979,1174
"new.row.4499","25980",1980,1266
"new.row.4500","25980",1981,1359
"new.row.4501","25980",1982,1373
"new.row.4502","25980",1983,1298
"new.row.4503","25980",1984,1407
"new.row.4504","25980",1985,1563
"new.row.4505","25980",1986,1706
"new.row.4506","25980",1987,1768
"new.row.4507","25980",1988,1678
"new.row.4508","25980",1989,1704
"new.row.4509","25980",1990,1676
"new.row.4510","25980",1991,1831
"new.row.4511","25980",1992,2045
"new.row.4512","25980",1993,2178
"new.row.4513","25980",1994,2254
"new.row.4514","25980",1995,2524
"new.row.4515","25980",1996,2997
"new.row.4516","25980",1997,2854
"new.row.4517","25980",1998,2812
"new.row.4518","25980",1999,2968
"new.row.4519","25980",2000,3169
"new.row.4520","25980",2001,3346
"new.row.4521","25980",2002,3411
"new.row.4522","25980",2003,3711
"new.row.4523","25980",2004,3985
"new.row.4524","25980",2005,4282
"new.row.4525","25980",2006,4474
"new.row.4526","25980",2007,4713
"new.row.4527","25980",2008,4545
"new.row.4528","25980",2009,4605
"new.row.4529","25980",2010,4802
"new.row.4530","25980",2011,5363
"new.row.4531","25980",2012,5518
"new.row.4532","31420",1969,8427
"new.row.4533","31420",1970,8862
"new.row.4534","31420",1971,9315
"new.row.4535","31420",1972,9386
"new.row.4536","31420",1973,9658
"new.row.4537","31420",1974,10082
"new.row.4538","31420",1975,10724
"new.row.4539","31420",1976,10580
"new.row.4540","31420",1977,10584
"new.row.4541","31420",1978,10593
"new.row.4542","31420",1979,10732
"new.row.4543","31420",1980,10905
"new.row.4544","31420",1981,10773
"new.row.4545","31420",1982,10713
"new.row.4546","31420",1983,10793
"new.row.4547","31420",1984,10991
"new.row.4548","31420",1985,11504
"new.row.4549","31420",1986,11753
"new.row.4550","31420",1987,11197
"new.row.4551","31420",1988,11566
"new.row.4552","31420",1989,11526
"new.row.4553","31420",1990,12275
"new.row.4554","31420",1991,12532
"new.row.4555","31420",1992,12626
"new.row.4556","31420",1993,13660
"new.row.4557","31420",1994,13690
"new.row.4558","31420",1995,14511
"new.row.4559","31420",1996,15183
"new.row.4560","31420",1997,15075
"new.row.4561","31420",1998,16036
"new.row.4562","31420",1999,16327
"new.row.4563","31420",2000,17454
"new.row.4564","31420",2001,18687
"new.row.4565","31420",2002,19523
"new.row.4566","31420",2003,20845
"new.row.4567","31420",2004,22827
"new.row.4568","31420",2005,24969
"new.row.4569","31420",2006,26371
"new.row.4570","31420",2007,28212
"new.row.4571","31420",2008,28249
"new.row.4572","31420",2009,29104
"new.row.4573","31420",2010,29422
"new.row.4574","31420",2011,31525
"new.row.4575","31420",2012,32436
"new.row.4576","40660",1969,3655
"new.row.4577","40660",1970,3743
"new.row.4578","40660",1971,4135
"new.row.4579","40660",1972,4474
"new.row.4580","40660",1973,4616
"new.row.4581","40660",1974,4478
"new.row.4582","40660",1975,4500
"new.row.4583","40660",1976,4570
"new.row.4584","40660",1977,4751
"new.row.4585","40660",1978,4899
"new.row.4586","40660",1979,4917
"new.row.4587","40660",1980,4938
"new.row.4588","40660",1981,4929
"new.row.4589","40660",1982,4951
"new.row.4590","40660",1983,4916
"new.row.4591","40660",1984,4914
"new.row.4592","40660",1985,5037
"new.row.4593","40660",1986,5031
"new.row.4594","40660",1987,4719
"new.row.4595","40660",1988,5173
"new.row.4596","40660",1989,5028
"new.row.4597","40660",1990,5393
"new.row.4598","40660",1991,5713
"new.row.4599","40660",1992,5691
"new.row.4600","40660",1993,5930
"new.row.4601","40660",1994,6003
"new.row.4602","40660",1995,6319
"new.row.4603","40660",1996,6418
"new.row.4604","40660",1997,6720
"new.row.4605","40660",1998,7019
"new.row.4606","40660",1999,7282
"new.row.4607","40660",2000,7747
"new.row.4608","40660",2001,7834
"new.row.4609","40660",2002,7883
"new.row.4610","40660",2003,8591
"new.row.4611","40660",2004,9160
"new.row.4612","40660",2005,9813
"new.row.4613","40660",2006,10170
"new.row.4614","40660",2007,10609
"new.row.4615","40660",2008,9880
"new.row.4616","40660",2009,10290
"new.row.4617","40660",2010,10466
"new.row.4618","40660",2011,11211
"new.row.4619","40660",2012,11502
"new.row.4620","42340",1969,9138
"new.row.4621","42340",1970,9628
"new.row.4622","42340",1971,10137
"new.row.4623","42340",1972,10183
"new.row.4624","42340",1973,10684
"new.row.4625","42340",1974,10605
"new.row.4626","42340",1975,10711
"new.row.4627","42340",1976,11170
"new.row.4628","42340",1977,11527
"new.row.4629","42340",1978,11843
"new.row.4630","42340",1979,12347
"new.row.4631","42340",1980,12874
"new.row.4632","42340",1981,13322
"new.row.4633","42340",1982,13245
"new.row.4634","42340",1983,13546
"new.row.4635","42340",1984,13529
"new.row.4636","42340",1985,13833
"new.row.4637","42340",1986,13787
"new.row.4638","42340",1987,12631
"new.row.4639","42340",1988,13838
"new.row.4640","42340",1989,13596
"new.row.4641","42340",1990,14144
"new.row.4642","42340",1991,14736
"new.row.4643","42340",1992,14906
"new.row.4644","42340",1993,16164
"new.row.4645","42340",1994,16220
"new.row.4646","42340",1995,17449
"new.row.4647","42340",1996,18465
"new.row.4648","42340",1997,19925
"new.row.4649","42340",1998,20960
"new.row.4650","42340",1999,21679
"new.row.4651","42340",2000,23242
"new.row.4652","42340",2001,24780
"new.row.4653","42340",2002,25732
"new.row.4654","42340",2003,27763
"new.row.4655","42340",2004,31479
"new.row.4656","42340",2005,34539
"new.row.4657","42340",2006,36794
"new.row.4658","42340",2007,39613
"new.row.4659","42340",2008,38722
"new.row.4660","42340",2009,38776
"new.row.4661","42340",2010,38142
"new.row.4662","42340",2011,40101
"new.row.4663","42340",2012,41237
"new.row.4664","46660",1969,5258
"new.row.4665","46660",1970,5309
"new.row.4666","46660",1971,5511
"new.row.4667","46660",1972,5815
"new.row.4668","46660",1973,5787
"new.row.4669","46660",1974,5944
"new.row.4670","46660",1975,5977
"new.row.4671","46660",1976,5796
"new.row.4672","46660",1977,5736
"new.row.4673","46660",1978,5699
"new.row.4674","46660",1979,5857
"new.row.4675","46660",1980,6012
"new.row.4676","46660",1981,6182
"new.row.4677","46660",1982,6271
"new.row.4678","46660",1983,6270
"new.row.4679","46660",1984,6244
"new.row.4680","46660",1985,6428
"new.row.4681","46660",1986,6512
"new.row.4682","46660",1987,6163
"new.row.4683","46660",1988,6396
"new.row.4684","46660",1989,6453
"new.row.4685","46660",1990,6727
"new.row.4686","46660",1991,6905
"new.row.4687","46660",1992,6924
"new.row.4688","46660",1993,7698
"new.row.4689","46660",1994,7065
"new.row.4690","46660",1995,8184
"new.row.4691","46660",1996,8470
"new.row.4692","46660",1997,8345
"new.row.4693","46660",1998,8039
"new.row.4694","46660",1999,8332
"new.row.4695","46660",2000,8822
"new.row.4696","46660",2001,9437
"new.row.4697","46660",2002,9578
"new.row.4698","46660",2003,10267
"new.row.4699","46660",2004,11008
"new.row.4700","46660",2005,11827
"new.row.4701","46660",2006,12412
"new.row.4702","46660",2007,13168
"new.row.4703","46660",2008,12617
"new.row.4704","46660",2009,12910
"new.row.4705","46660",2010,12858
"new.row.4706","46660",2011,13748
"new.row.4707","46660",2012,14103
"new.row.4708","47580",1969,3676
"new.row.4709","47580",1970,3818
"new.row.4710","47580",1971,4169
"new.row.4711","47580",1972,4349
"new.row.4712","47580",1973,4722
"new.row.4713","47580",1974,4903
"new.row.4714","47580",1975,5157
"new.row.4715","47580",1976,5500
"new.row.4716","47580",1977,4627
"new.row.4717","47580",1978,4587
"new.row.4718","47580",1979,4665
"new.row.4719","47580",1980,5532
"new.row.4720","47580",1981,5439
"new.row.4721","47580",1982,5353
"new.row.4722","47580",1983,5647
"new.row.4723","47580",1984,5879
"new.row.4724","47580",1985,6294
"new.row.4725","47580",1986,6572
"new.row.4726","47580",1987,6489
"new.row.4727","47580",1988,6992
"new.row.4728","47580",1989,7087
"new.row.4729","47580",1990,7375
"new.row.4730","47580",1991,7607
"new.row.4731","47580",1992,7974
"new.row.4732","47580",1993,8566
"new.row.4733","47580",1994,8493
"new.row.4734","47580",1995,9114
"new.row.4735","47580",1996,9526
"new.row.4736","47580",1997,10010
"new.row.4737","47580",1998,10430
"new.row.4738","47580",1999,10799
"new.row.4739","47580",2000,11478
"new.row.4740","47580",2001,11222
"new.row.4741","47580",2002,11471
"new.row.4742","47580",2003,12580
"new.row.4743","47580",2004,13533
"new.row.4744","47580",2005,14957
"new.row.4745","47580",2006,15808
"new.row.4746","47580",2007,16821
"new.row.4747","47580",2008,16790
"new.row.4748","47580",2009,17411
"new.row.4749","47580",2010,17219
"new.row.4750","47580",2011,18810
"new.row.4751","47580",2012,19298
"new.row.4752","27980",1969,2936
"new.row.4753","27980",1970,3360
"new.row.4754","27980",1971,3367
"new.row.4755","27980",1972,3681
"new.row.4756","27980",1973,3878
"new.row.4757","27980",1974,4395
"new.row.4758","27980",1975,4965
"new.row.4759","27980",1976,5394
"new.row.4760","27980",1977,5538
"new.row.4761","27980",1978,5786
"new.row.4762","27980",1979,6289
"new.row.4763","27980",1980,6691
"new.row.4764","27980",1981,6436
"new.row.4765","27980",1982,7066
"new.row.4766","27980",1983,7191
"new.row.4767","27980",1984,7263
"new.row.4768","27980",1985,7734
"new.row.4769","27980",1986,8414
"new.row.4770","27980",1987,9417
"new.row.4771","27980",1988,11038
"new.row.4772","27980",1989,11687
"new.row.4773","27980",1990,11935
"new.row.4774","27980",1991,13409
"new.row.4775","27980",1992,12863
"new.row.4776","27980",1993,13704
"new.row.4777","27980",1994,13982
"new.row.4778","27980",1995,15226
"new.row.4779","27980",1996,15889
"new.row.4780","27980",1997,16238
"new.row.4781","27980",1998,17291
"new.row.4782","27980",1999,17452
"new.row.4783","27980",2000,17340
"new.row.4784","27980",2001,18742
"new.row.4785","27980",2002,20123
"new.row.4786","27980",2003,20520
"new.row.4787","27980",2004,21917
"new.row.4788","27980",2005,23182
"new.row.4789","27980",2006,23893
"new.row.4790","27980",2007,25917
"new.row.4791","27980",2008,26064
"new.row.4792","27980",2009,26012
"new.row.4793","27980",2010,26007
"new.row.4794","27980",2011,26033
"new.row.4795","27980",2012,26771
"new.row.4796","46520",1969,35785
"new.row.4797","46520",1970,36868
"new.row.4798","46520",1971,36306
"new.row.4799","46520",1972,39933
"new.row.4800","46520",1973,41381
"new.row.4801","46520",1974,45093
"new.row.4802","46520",1975,49322
"new.row.4803","46520",1976,47850
"new.row.4804","46520",1977,44045
"new.row.4805","46520",1978,41452
"new.row.4806","46520",1979,48745
"new.row.4807","46520",1980,54257
"new.row.4808","46520",1981,50545
"new.row.4809","46520",1982,52795
"new.row.4810","46520",1983,52074
"new.row.4811","46520",1984,51319
"new.row.4812","46520",1985,53514
"new.row.4813","46520",1986,56974
"new.row.4814","46520",1987,62214
"new.row.4815","46520",1988,68695
"new.row.4816","46520",1989,68692
"new.row.4817","46520",1990,72687
"new.row.4818","46520",1991,79376
"new.row.4819","46520",1992,76538
"new.row.4820","46520",1993,78852
"new.row.4821","46520",1994,80049
"new.row.4822","46520",1995,82017
"new.row.4823","46520",1996,83646
"new.row.4824","46520",1997,83973
"new.row.4825","46520",1998,86988
"new.row.4826","46520",1999,83868
"new.row.4827","46520",2000,83413
"new.row.4828","46520",2001,80755
"new.row.4829","46520",2002,81382
"new.row.4830","46520",2003,84645
"new.row.4831","46520",2004,89399
"new.row.4832","46520",2005,93965
"new.row.4833","46520",2006,97642
"new.row.4834","46520",2007,106490
"new.row.4835","46520",2008,106054
"new.row.4836","46520",2009,106759
"new.row.4837","46520",2010,105784
"new.row.4838","46520",2011,108345
"new.row.4839","46520",2012,111567
"new.row.4840","14260",1969,17384
"new.row.4841","14260",1970,18041
"new.row.4842","14260",1971,18792
"new.row.4843","14260",1972,19642
"new.row.4844","14260",1973,20729
"new.row.4845","14260",1974,21310
"new.row.4846","14260",1975,22468
"new.row.4847","14260",1976,24118
"new.row.4848","14260",1977,25523
"new.row.4849","14260",1978,26388
"new.row.4850","14260",1979,27488
"new.row.4851","14260",1980,28997
"new.row.4852","14260",1981,28699
"new.row.4853","14260",1982,30434
"new.row.4854","14260",1983,31185
"new.row.4855","14260",1984,31420
"new.row.4856","14260",1985,32432
"new.row.4857","14260",1986,32804
"new.row.4858","14260",1987,35432
"new.row.4859","14260",1988,37328
"new.row.4860","14260",1989,37221
"new.row.4861","14260",1990,39379
"new.row.4862","14260",1991,41148
"new.row.4863","14260",1992,41611
"new.row.4864","14260",1993,43559
"new.row.4865","14260",1994,47806
"new.row.4866","14260",1995,48666
"new.row.4867","14260",1996,51352
"new.row.4868","14260",1997,54133
"new.row.4869","14260",1998,56813
"new.row.4870","14260",1999,56306
"new.row.4871","14260",2000,58238
"new.row.4872","14260",2001,59971
"new.row.4873","14260",2002,63131
"new.row.4874","14260",2003,65400
"new.row.4875","14260",2004,68712
"new.row.4876","14260",2005,74407
"new.row.4877","14260",2006,80136
"new.row.4878","14260",2007,86054
"new.row.4879","14260",2008,86505
"new.row.4880","14260",2009,86712
"new.row.4881","14260",2010,84020
"new.row.4882","14260",2011,86460
"new.row.4883","14260",2012,88572
"new.row.4884","17660",1969,2763
"new.row.4885","17660",1970,2804
"new.row.4886","17660",1971,3097
"new.row.4887","17660",1972,3431
"new.row.4888","17660",1973,3665
"new.row.4889","17660",1974,3838
"new.row.4890","17660",1975,4157
"new.row.4891","17660",1976,4602
"new.row.4892","17660",1977,4951
"new.row.4893","17660",1978,5223
"new.row.4894","17660",1979,5301
"new.row.4895","17660",1980,5394
"new.row.4896","17660",1981,5363
"new.row.4897","17660",1982,5780
"new.row.4898","17660",1983,5797
"new.row.4899","17660",1984,6089
"new.row.4900","17660",1985,6590
"new.row.4901","17660",1986,7016
"new.row.4902","17660",1987,8021
"new.row.4903","17660",1988,8592
"new.row.4904","17660",1989,8398
"new.row.4905","17660",1990,9078
"new.row.4906","17660",1991,9874
"new.row.4907","17660",1992,10406
"new.row.4908","17660",1993,11100
"new.row.4909","17660",1994,12069
"new.row.4910","17660",1995,12419
"new.row.4911","17660",1996,13186
"new.row.4912","17660",1997,13760
"new.row.4913","17660",1998,13944
"new.row.4914","17660",1999,14333
"new.row.4915","17660",2000,14811
"new.row.4916","17660",2001,13656
"new.row.4917","17660",2002,14250
"new.row.4918","17660",2003,14827
"new.row.4919","17660",2004,15693
"new.row.4920","17660",2005,16755
"new.row.4921","17660",2006,17787
"new.row.4922","17660",2007,18780
"new.row.4923","17660",2008,19626
"new.row.4924","17660",2009,19831
"new.row.4925","17660",2010,19262
"new.row.4926","17660",2011,19683
"new.row.4927","17660",2012,20160
"new.row.4928","26820",1969,5922
"new.row.4929","26820",1970,5897
"new.row.4930","26820",1971,5915
"new.row.4931","26820",1972,6288
"new.row.4932","26820",1973,6402
"new.row.4933","26820",1974,6408
"new.row.4934","26820",1975,6553
"new.row.4935","26820",1976,6986
"new.row.4936","26820",1977,7255
"new.row.4937","26820",1978,7412
"new.row.4938","26820",1979,7426
"new.row.4939","26820",1980,7498
"new.row.4940","26820",1981,7286
"new.row.4941","26820",1982,7547
"new.row.4942","26820",1983,7715
"new.row.4943","26820",1984,7772
"new.row.4944","26820",1985,7988
"new.row.4945","26820",1986,8078
"new.row.4946","26820",1987,8694
"new.row.4947","26820",1988,9379
"new.row.4948","26820",1989,9476
"new.row.4949","26820",1990,10064
"new.row.4950","26820",1991,10356
"new.row.4951","26820",1992,10312
"new.row.4952","26820",1993,10728
"new.row.4953","26820",1994,11716
"new.row.4954","26820",1995,11958
"new.row.4955","26820",1996,12619
"new.row.4956","26820",1997,12708
"new.row.4957","26820",1998,13080
"new.row.4958","26820",1999,12947
"new.row.4959","26820",2000,13298
"new.row.4960","26820",2001,13594
"new.row.4961","26820",2002,14099
"new.row.4962","26820",2003,14542
"new.row.4963","26820",2004,15089
"new.row.4964","26820",2005,16274
"new.row.4965","26820",2006,17369
"new.row.4966","26820",2007,18563
"new.row.4967","26820",2008,19652
"new.row.4968","26820",2009,19663
"new.row.4969","26820",2010,19145
"new.row.4970","26820",2011,19809
"new.row.4971","26820",2012,20269
"new.row.4972","30300",1969,3138
"new.row.4973","30300",1970,3094
"new.row.4974","30300",1971,3310
"new.row.4975","30300",1972,3358
"new.row.4976","30300",1973,3529
"new.row.4977","30300",1974,3627
"new.row.4978","30300",1975,3744
"new.row.4979","30300",1976,3970
"new.row.4980","30300",1977,4113
"new.row.4981","30300",1978,4189
"new.row.4982","30300",1979,4238
"new.row.4983","30300",1980,4349
"new.row.4984","30300",1981,4106
"new.row.4985","30300",1982,4589
"new.row.4986","30300",1983,4689
"new.row.4987","30300",1984,4643
"new.row.4988","30300",1985,4673
"new.row.4989","30300",1986,4650
"new.row.4990","30300",1987,4877
"new.row.4991","30300",1988,5125
"new.row.4992","30300",1989,4962
"new.row.4993","30300",1990,5087
"new.row.4994","30300",1991,5248
"new.row.4995","30300",1992,5230
"new.row.4996","30300",1993,5396
"new.row.4997","30300",1994,5899
"new.row.4998","30300",1995,6103
"new.row.4999","30300",1996,6330
"new.row.5000","30300",1997,6391
"new.row.5001","30300",1998,6154
"new.row.5002","30300",1999,5980
"new.row.5003","30300",2000,6183
"new.row.5004","30300",2001,5901
"new.row.5005","30300",2002,5830
"new.row.5006","30300",2003,5990
"new.row.5007","30300",2004,6239
"new.row.5008","30300",2005,6561
"new.row.5009","30300",2006,6836
"new.row.5010","30300",2007,7236
"new.row.5011","30300",2008,6903
"new.row.5012","30300",2009,6849
"new.row.5013","30300",2010,6795
"new.row.5014","30300",2011,6817
"new.row.5015","30300",2012,6984
"new.row.5016","30860",1969,4848
"new.row.5017","30860",1970,4758
"new.row.5018","30860",1971,4689
"new.row.5019","30860",1972,4708
"new.row.5020","30860",1973,4871
"new.row.5021","30860",1974,5094
"new.row.5022","30860",1975,5191
"new.row.5023","30860",1976,5335
"new.row.5024","30860",1977,5475
"new.row.5025","30860",1978,5558
"new.row.5026","30860",1979,5799
"new.row.5027","30860",1980,6110
"new.row.5028","30860",1981,6212
"new.row.5029","30860",1982,6482
"new.row.5030","30860",1983,6684
"new.row.5031","30860",1984,6891
"new.row.5032","30860",1985,7039
"new.row.5033","30860",1986,7136
"new.row.5034","30860",1987,7935
"new.row.5035","30860",1988,8256
"new.row.5036","30860",1989,8385
"new.row.5037","30860",1990,8731
"new.row.5038","30860",1991,8755
"new.row.5039","30860",1992,8527
"new.row.5040","30860",1993,8802
"new.row.5041","30860",1994,10208
"new.row.5042","30860",1995,10659
"new.row.5043","30860",1996,11573
"new.row.5044","30860",1997,11895
"new.row.5045","30860",1998,12151
"new.row.5046","30860",1999,12181
"new.row.5047","30860",2000,12683
"new.row.5048","30860",2001,12137
"new.row.5049","30860",2002,12506
"new.row.5050","30860",2003,12790
"new.row.5051","30860",2004,13243
"new.row.5052","30860",2005,13909
"new.row.5053","30860",2006,14525
"new.row.5054","30860",2007,15732
"new.row.5055","30860",2008,17642
"new.row.5056","30860",2009,18313
"new.row.5057","30860",2010,19883
"new.row.5058","30860",2011,18386
"new.row.5059","30860",2012,18811
"new.row.5060","38540",1969,2831
"new.row.5061","38540",1970,2917
"new.row.5062","38540",1971,2951
"new.row.5063","38540",1972,3079
"new.row.5064","38540",1973,3359
"new.row.5065","38540",1974,3548
"new.row.5066","38540",1975,3822
"new.row.5067","38540",1976,4078
"new.row.5068","38540",1977,4186
"new.row.5069","38540",1978,4211
"new.row.5070","38540",1979,4386
"new.row.5071","38540",1980,4609
"new.row.5072","38540",1981,4459
"new.row.5073","38540",1982,4587
"new.row.5074","38540",1983,4605
"new.row.5075","38540",1984,4509
"new.row.5076","38540",1985,4524
"new.row.5077","38540",1986,4448
"new.row.5078","38540",1987,4695
"new.row.5079","38540",1988,5497
"new.row.5080","38540",1989,5452
"new.row.5081","38540",1990,5662
"new.row.5082","38540",1991,5895
"new.row.5083","38540",1992,5940
"new.row.5084","38540",1993,6103
"new.row.5085","38540",1994,6944
"new.row.5086","38540",1995,7075
"new.row.5087","38540",1996,7372
"new.row.5088","38540",1997,7395
"new.row.5089","38540",1998,7826
"new.row.5090","38540",1999,7846
"new.row.5091","38540",2000,8140
"new.row.5092","38540",2001,8098
"new.row.5093","38540",2002,8426
"new.row.5094","38540",2003,8729
"new.row.5095","38540",2004,9141
"new.row.5096","38540",2005,9701
"new.row.5097","38540",2006,10261
"new.row.5098","38540",2007,10840
"new.row.5099","38540",2008,10345
"new.row.5100","38540",2009,10031
"new.row.5101","38540",2010,9761
"new.row.5102","38540",2011,9980
"new.row.5103","38540",2012,10216
"new.row.5104","14010",1969,10381
"new.row.5105","14010",1970,10435
"new.row.5106","14010",1971,10762
"new.row.5107","14010",1972,11058
"new.row.5108","14010",1973,10982
"new.row.5109","14010",1974,11269
"new.row.5110","14010",1975,11486
"new.row.5111","14010",1976,12012
"new.row.5112","14010",1977,12120
"new.row.5113","14010",1978,12135
"new.row.5114","14010",1979,12144
"new.row.5115","14010",1980,12267
"new.row.5116","14010",1981,12260
"new.row.5117","14010",1982,12776
"new.row.5118","14010",1983,12978
"new.row.5119","14010",1984,12634
"new.row.5120","14010",1985,12449
"new.row.5121","14010",1986,12400
"new.row.5122","14010",1987,11996
"new.row.5123","14010",1988,12513
"new.row.5124","14010",1989,12533
"new.row.5125","14010",1990,13083
"new.row.5126","14010",1991,13597
"new.row.5127","14010",1992,14274
"new.row.5128","14010",1993,13995
"new.row.5129","14010",1994,14705
"new.row.5130","14010",1995,15379
"new.row.5131","14010",1996,15973
"new.row.5132","14010",1997,16677
"new.row.5133","14010",1998,16975
"new.row.5134","14010",1999,17060
"new.row.5135","14010",2000,17722
"new.row.5136","14010",2001,16681
"new.row.5137","14010",2002,16594
"new.row.5138","14010",2003,17363
"new.row.5139","14010",2004,18020
"new.row.5140","14010",2005,18802
"new.row.5141","14010",2006,19056
"new.row.5142","14010",2007,19935
"new.row.5143","14010",2008,19313
"new.row.5144","14010",2009,19390
"new.row.5145","14010",2010,19046
"new.row.5146","14010",2011,19381
"new.row.5147","14010",2012,19863
"new.row.5148","16020",1969,6931
"new.row.5149","16020",1970,6906
"new.row.5150","16020",1971,6987
"new.row.5151","16020",1972,7359
"new.row.5152","16020",1973,7774
"new.row.5153","16020",1974,7543
"new.row.5154","16020",1975,7442
"new.row.5155","16020",1976,7796
"new.row.5156","16020",1977,7920
"new.row.5157","16020",1978,7951
"new.row.5158","16020",1979,8138
"new.row.5159","16020",1980,8363
"new.row.5160","16020",1981,8571
"new.row.5161","16020",1982,8984
