CBSA Code,Metro Division Code,CSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Metropolitan Division Title,CSA Title,County/County Equivalent,State Name,FIPS State Code,FIPS County Code,Central/Outlying County,Lat,Lng
44180,,520,"Springfield, MO",Metropolitan Statistical Area,,"Springfield-Branson, MO",Christian County,Missouri,29,043,Central,36.997644,-93.1779659
44180,,520,"Springfield, MO",Metropolitan Statistical Area,,"Springfield-Branson, MO",Dallas County,Missouri,29,059,Outlying,37.6853001,-93.0175712
44180,,520,"Springfield, MO",Metropolitan Statistical Area,,"Springfield-Branson, MO",Greene County,Missouri,29,077,Central,37.3311215,-93.5003454
44180,,520,"Springfield, MO",Metropolitan Statistical Area,,"Springfield-Branson, MO",Polk County,Missouri,29,167,Outlying,37.6766686,-93.3388917
44180,,520,"Springfield, MO",Metropolitan Statistical Area,,"Springfield-Branson, MO",Webster County,Missouri,29,225,Outlying,37.3483339,-92.8577105
44220,,212,"Springfield, OH",Metropolitan Statistical Area,,"Dayton-Springfield-Sidney, OH",Clark County,Ohio,39,023,Central,39.8912092,-83.6773928
44260,,,"Starkville, MS",Micropolitan Statistical Area,,,Oktibbeha County,Mississippi,28,105,Central,33.3886689,-88.90306
44300,,524,"State College, PA",Metropolitan Statistical Area,,"State College-DuBois, PA",Centre County,Pennsylvania,42,027,Central,40.8765649,-77.8367282
44340,,496,"Statesboro, GA",Micropolitan Statistical Area,,"Savannah-Hinesville-Statesboro, GA",Bulloch County,Georgia,13,031,Central,32.3595678,-81.7787021
44420,,277,"Staunton-Waynesboro, VA",Metropolitan Statistical Area,,"Harrisonburg-Staunton-Waynesboro, VA",Augusta County,Virginia,51,015,Central,38.2004562,-79.2451149
44420,,277,"Staunton-Waynesboro, VA",Metropolitan Statistical Area,,"Harrisonburg-Staunton-Waynesboro, VA",Staunton city,Virginia,51,790,Central,38.149576,-79.0716958
44420,,277,"Staunton-Waynesboro, VA",Metropolitan Statistical Area,,"Harrisonburg-Staunton-Waynesboro, VA",Waynesboro city,Virginia,51,820,Central,38.0684692,-78.8894682
44460,,525,"Steamboat Springs, CO",Micropolitan Statistical Area,,"Steamboat Springs-Craig, CO",Routt County,Colorado,08,107,Central,40.4771623,-107.1011931
44500,,,"Stephenville, TX",Micropolitan Statistical Area,,,Erath County,Texas,48,143,Central,32.1793404,-98.2212979
44540,,,"Sterling, CO",Micropolitan Statistical Area,,,Logan County,Colorado,08,075,Central,40.7056181,-102.989615
44580,,221,"Sterling, IL",Micropolitan Statistical Area,,"Dixon-Sterling, IL",Whiteside County,Illinois,17,195,Central,41.7605503,-89.8505012
44620,,554,"Stevens Point, WI",Micropolitan Statistical Area,,"Wausau-Stevens Point-Wisconsin Rapids, WI",Portage County,Wisconsin,55,097,Central,44.4735957,-89.4742177
44660,,,"Stillwater, OK",Micropolitan Statistical Area,,,Payne County,Oklahoma,40,119,Central,36.1449988,-97.0068393
44700,,488,"Stockton-Lodi, CA",Metropolitan Statistical Area,,"San Jose-San Francisco-Oakland, CA",San Joaquin County,California,06,077,Central,37.9175935,-121.1710389
44740,,,"Storm Lake, IA",Micropolitan Statistical Area,,,Buena Vista County,Iowa,19,021,Central,42.6705452,-95.1432068
44780,,310,"Sturgis, MI",Micropolitan Statistical Area,,"Kalamazoo-Battle Creek-Portage, MI",St. Joseph County,Michigan,26,149,Central,41.9118044,-85.520024
44860,,206,"Sulphur Springs, TX",Micropolitan Statistical Area,,"Dallas-Fort Worth, TX-OK",Hopkins County,Texas,48,223,Central,33.2282942,-95.4777811
44900,,470,"Summerville, GA",Micropolitan Statistical Area,,"Rome-Summerville, GA",Chattooga County,Georgia,13,055,Central,34.4632661,-85.3136218
44920,,482,"Summit Park, UT",Micropolitan Statistical Area,,"Salt Lake City-Provo-Orem, UT",Summit County,Utah,49,043,Central,40.8297566,-110.9983515
44940,,,"Sumter, SC",Metropolitan Statistical Area,,,Sumter County,South Carolina,45,085,Central,33.9123048,-80.4103957
44980,,146,"Sunbury, PA",Micropolitan Statistical Area,,"Bloomsburg-Berwick-Sunbury, PA",Northumberland County,Pennsylvania,42,097,Central,40.8674339,-76.6874701
45000,,,"Susanville, CA",Micropolitan Statistical Area,,,Lassen County,California,06,035,Central,40.5394389,-120.7120023
45020,,,"Sweetwater, TX",Micropolitan Statistical Area,,,Nolan County,Texas,48,353,Central,32.3818737,-100.3497895
