"","msa.fips","year","total.employment"
"new.row.1921","40140",2000,1359557
"new.row.1922","40140",2001,1407349
"new.row.1923","40140",2002,1461049
"new.row.1924","40140",2003,1511837
"new.row.1925","40140",2004,1598258
"new.row.1926","40140",2005,1682196
"new.row.1927","40140",2006,1743161
"new.row.1928","40140",2007,1772147
"new.row.1929","40140",2008,1747963
"new.row.1930","40140",2009,1668942
"new.row.1931","40140",2010,1641430
"new.row.1932","40140",2011,1690724
"new.row.1933","40140",2012,1717198
"new.row.1934","40140",2013,1795498
"new.row.1935","40900",1969,351796
"new.row.1936","40900",1970,360459
"new.row.1937","40900",1971,368520
"new.row.1938","40900",1972,385583
"new.row.1939","40900",1973,400639
"new.row.1940","40900",1974,417125
"new.row.1941","40900",1975,431998
"new.row.1942","40900",1976,450281
"new.row.1943","40900",1977,471705
"new.row.1944","40900",1978,504114
"new.row.1945","40900",1979,532619
"new.row.1946","40900",1980,544041
"new.row.1947","40900",1981,557728
"new.row.1948","40900",1982,565530
"new.row.1949","40900",1983,586240
"new.row.1950","40900",1984,613520
"new.row.1951","40900",1985,649028
"new.row.1952","40900",1986,678664
"new.row.1953","40900",1987,718562
"new.row.1954","40900",1988,756390
"new.row.1955","40900",1989,791265
"new.row.1956","40900",1990,837598
"new.row.1957","40900",1991,846203
"new.row.1958","40900",1992,838258
"new.row.1959","40900",1993,837172
"new.row.1960","40900",1994,870499
"new.row.1961","40900",1995,886610
"new.row.1962","40900",1996,914825
"new.row.1963","40900",1997,938908
"new.row.1964","40900",1998,974802
"new.row.1965","40900",1999,1019481
"new.row.1966","40900",2000,1044442
"new.row.1967","40900",2001,1086307
"new.row.1968","40900",2002,1104691
"new.row.1969","40900",2003,1123527
"new.row.1970","40900",2004,1158564
"new.row.1971","40900",2005,1192995
"new.row.1972","40900",2006,1216935
"new.row.1973","40900",2007,1235986
"new.row.1974","40900",2008,1216899
"new.row.1975","40900",2009,1172512
"new.row.1976","40900",2010,1146949
"new.row.1977","40900",2011,1153938
"new.row.1978","40900",2012,1175460
"new.row.1979","40900",2013,1223220
"new.row.1980","41500",1969,134645
"new.row.1981","41500",1970,134519
"new.row.1982","41500",1971,140268
"new.row.1983","41500",1972,136674
"new.row.1984","41500",1973,144582
"new.row.1985","41500",1974,147280
"new.row.1986","41500",1975,150780
"new.row.1987","41500",1976,148250
"new.row.1988","41500",1977,154161
"new.row.1989","41500",1978,158622
"new.row.1990","41500",1979,162099
"new.row.1991","41500",1980,160320
"new.row.1992","41500",1981,161159
"new.row.1993","41500",1982,161196
"new.row.1994","41500",1983,164668
"new.row.1995","41500",1984,170038
"new.row.1996","41500",1985,175384
"new.row.1997","41500",1986,176778
"new.row.1998","41500",1987,183254
"new.row.1999","41500",1988,190927
"new.row.2000","41500",1989,194992
"new.row.2001","41500",1990,200058
"new.row.2002","41500",1991,200838
"new.row.2003","41500",1992,195598
"new.row.2004","41500",1993,191239
"new.row.2005","41500",1994,183917
"new.row.2006","41500",1995,187617
"new.row.2007","41500",1996,195179
"new.row.2008","41500",1997,197557
"new.row.2009","41500",1998,208973
"new.row.2010","41500",1999,218615
"new.row.2011","41500",2000,219037
"new.row.2012","41500",2001,217956
"new.row.2013","41500",2002,221446
"new.row.2014","41500",2003,225063
"new.row.2015","41500",2004,224221
"new.row.2016","41500",2005,224270
"new.row.2017","41500",2006,221997
"new.row.2018","41500",2007,226952
"new.row.2019","41500",2008,225786
"new.row.2020","41500",2009,220015
"new.row.2021","41500",2010,222077
"new.row.2022","41500",2011,223049
"new.row.2023","41500",2012,225727
"new.row.2024","41500",2013,233000
"new.row.2025","41740",1969,645515
"new.row.2026","41740",1970,647900
"new.row.2027","41740",1971,649466
"new.row.2028","41740",1972,672285
"new.row.2029","41740",1973,707773
"new.row.2030","41740",1974,738023
"new.row.2031","41740",1975,755698
"new.row.2032","41740",1976,786899
"new.row.2033","41740",1977,837772
"new.row.2034","41740",1978,901275
"new.row.2035","41740",1979,951199
"new.row.2036","41740",1980,988237
"new.row.2037","41740",1981,994581
"new.row.2038","41740",1982,1001945
"new.row.2039","41740",1983,1036404
"new.row.2040","41740",1984,1099543
"new.row.2041","41740",1985,1160801
"new.row.2042","41740",1986,1215030
"new.row.2043","41740",1987,1277030
"new.row.2044","41740",1988,1349526
"new.row.2045","41740",1989,1396314
"new.row.2046","41740",1990,1426402
"new.row.2047","41740",1991,1436665
"new.row.2048","41740",1992,1406200
"new.row.2049","41740",1993,1402948
"new.row.2050","41740",1994,1408463
"new.row.2051","41740",1995,1440496
"new.row.2052","41740",1996,1479423
"new.row.2053","41740",1997,1521768
"new.row.2054","41740",1998,1610198
"new.row.2055","41740",1999,1659154
"new.row.2056","41740",2000,1701171
"new.row.2057","41740",2001,1723786
"new.row.2058","41740",2002,1759032
"new.row.2059","41740",2003,1797021
"new.row.2060","41740",2004,1822367
"new.row.2061","41740",2005,1851248
"new.row.2062","41740",2006,1877852
"new.row.2063","41740",2007,1908482
"new.row.2064","41740",2008,1901603
"new.row.2065","41740",2009,1843954
"new.row.2066","41740",2010,1821410
"new.row.2067","41740",2011,1847505
"new.row.2068","41740",2012,1881563
"new.row.2069","41740",2013,1935464
"new.row.2070","41860",1969,1559446
"new.row.2071","41860",1970,1559634
"new.row.2072","41860",1971,1528383
"new.row.2073","41860",1972,1561571
"new.row.2074","41860",1973,1614085
"new.row.2075","41860",1974,1648391
"new.row.2076","41860",1975,1670337
"new.row.2077","41860",1976,1693226
"new.row.2078","41860",1977,1733826
"new.row.2079","41860",1978,1817444
"new.row.2080","41860",1979,1895178
"new.row.2081","41860",1980,1955758
"new.row.2082","41860",1981,1971802
"new.row.2083","41860",1982,1960504
"new.row.2084","41860",1983,1996122
"new.row.2085","41860",1984,2066961
"new.row.2086","41860",1985,2120828
"new.row.2087","41860",1986,2168002
"new.row.2088","41860",1987,2224223
"new.row.2089","41860",1988,2310192
"new.row.2090","41860",1989,2351774
"new.row.2091","41860",1990,2399266
"new.row.2092","41860",1991,2388786
"new.row.2093","41860",1992,2347136
"new.row.2094","41860",1993,2358677
"new.row.2095","41860",1994,2385264
"new.row.2096","41860",1995,2436826
"new.row.2097","41860",1996,2492590
"new.row.2098","41860",1997,2550128
"new.row.2099","41860",1998,2642295
"new.row.2100","41860",1999,2702952
"new.row.2101","41860",2000,2777696
"new.row.2102","41860",2001,2755341
"new.row.2103","41860",2002,2693404
"new.row.2104","41860",2003,2668106
"new.row.2105","41860",2004,2676462
"new.row.2106","41860",2005,2701161
"new.row.2107","41860",2006,2751899
"new.row.2108","41860",2007,2818301
"new.row.2109","41860",2008,2816532
"new.row.2110","41860",2009,2722572
"new.row.2111","41860",2010,2690630
"new.row.2112","41860",2011,2743719
"new.row.2113","41860",2012,2826927
"new.row.2114","41860",2013,2960945
"new.row.2115","41940",1969,460496
"new.row.2116","41940",1970,465696
"new.row.2117","41940",1971,468263
"new.row.2118","41940",1972,500625
"new.row.2119","41940",1973,544854
"new.row.2120","41940",1974,576125
"new.row.2121","41940",1975,578145
"new.row.2122","41940",1976,616284
"new.row.2123","41940",1977,654919
"new.row.2124","41940",1978,708398
"new.row.2125","41940",1979,770291
"new.row.2126","41940",1980,814696
"new.row.2127","41940",1981,832437
"new.row.2128","41940",1982,848645
"new.row.2129","41940",1983,879267
"new.row.2130","41940",1984,936276
"new.row.2131","41940",1985,949532
"new.row.2132","41940",1986,947268
"new.row.2133","41940",1987,978952
"new.row.2134","41940",1988,1023025
"new.row.2135","41940",1989,1036067
"new.row.2136","41940",1990,1052577
"new.row.2137","41940",1991,1040251
"new.row.2138","41940",1992,1017714
"new.row.2139","41940",1993,1023035
"new.row.2140","41940",1994,1036627
"new.row.2141","41940",1995,1075809
"new.row.2142","41940",1996,1131518
"new.row.2143","41940",1997,1175557
"new.row.2144","41940",1998,1221907
"new.row.2145","41940",1999,1227905
"new.row.2146","41940",2000,1285738
"new.row.2147","41940",2001,1248701
"new.row.2148","41940",2002,1154640
"new.row.2149","41940",2003,1112231
"new.row.2150","41940",2004,1108227
"new.row.2151","41940",2005,1125759
"new.row.2152","41940",2006,1156156
"new.row.2153","41940",2007,1193307
"new.row.2154","41940",2008,1197937
"new.row.2155","41940",2009,1143663
"new.row.2156","41940",2010,1136680
"new.row.2157","41940",2011,1170646
"new.row.2158","41940",2012,1205479
"new.row.2159","41940",2013,1262493
"new.row.2160","42020",1969,36842
"new.row.2161","42020",1970,38922
"new.row.2162","42020",1971,40811
"new.row.2163","42020",1972,43478
"new.row.2164","42020",1973,45667
"new.row.2165","42020",1974,48387
"new.row.2166","42020",1975,50574
"new.row.2167","42020",1976,53644
"new.row.2168","42020",1977,56552
"new.row.2169","42020",1978,60728
"new.row.2170","42020",1979,65290
"new.row.2171","42020",1980,66956
"new.row.2172","42020",1981,68339
"new.row.2173","42020",1982,68574
"new.row.2174","42020",1983,75005
"new.row.2175","42020",1984,79834
"new.row.2176","42020",1985,84089
"new.row.2177","42020",1986,87984
"new.row.2178","42020",1987,92685
"new.row.2179","42020",1988,98930
"new.row.2180","42020",1989,103273
"new.row.2181","42020",1990,106051
"new.row.2182","42020",1991,110470
"new.row.2183","42020",1992,110178
"new.row.2184","42020",1993,109848
"new.row.2185","42020",1994,112959
"new.row.2186","42020",1995,116952
"new.row.2187","42020",1996,120730
"new.row.2188","42020",1997,125634
"new.row.2189","42020",1998,132120
"new.row.2190","42020",1999,138230
"new.row.2191","42020",2000,138984
"new.row.2192","42020",2001,140319
"new.row.2193","42020",2002,143960
"new.row.2194","42020",2003,144948
"new.row.2195","42020",2004,148297
"new.row.2196","42020",2005,151584
"new.row.2197","42020",2006,154129
"new.row.2198","42020",2007,157262
"new.row.2199","42020",2008,155094
"new.row.2200","42020",2009,150027
"new.row.2201","42020",2010,148498
"new.row.2202","42020",2011,151919
"new.row.2203","42020",2012,155612
"new.row.2204","42020",2013,159647
"new.row.2205","42100",1969,48392
"new.row.2206","42100",1970,49358
"new.row.2207","42100",1971,50838
"new.row.2208","42100",1972,55131
"new.row.2209","42100",1973,58086
"new.row.2210","42100",1974,61601
"new.row.2211","42100",1975,64137
"new.row.2212","42100",1976,68940
"new.row.2213","42100",1977,73750
"new.row.2214","42100",1978,77918
"new.row.2215","42100",1979,81923
"new.row.2216","42100",1980,84798
"new.row.2217","42100",1981,87088
"new.row.2218","42100",1982,87797
"new.row.2219","42100",1983,93297
"new.row.2220","42100",1984,97417
"new.row.2221","42100",1985,102627
"new.row.2222","42100",1986,103042
"new.row.2223","42100",1987,108605
"new.row.2224","42100",1988,117109
"new.row.2225","42100",1989,119693
"new.row.2226","42100",1990,125068
"new.row.2227","42100",1991,129334
"new.row.2228","42100",1992,126162
"new.row.2229","42100",1993,128059
"new.row.2230","42100",1994,129313
"new.row.2231","42100",1995,133854
"new.row.2232","42100",1996,136690
"new.row.2233","42100",1997,136897
"new.row.2234","42100",1998,145426
"new.row.2235","42100",1999,146451
"new.row.2236","42100",2000,146510
"new.row.2237","42100",2001,145207
"new.row.2238","42100",2002,142986
"new.row.2239","42100",2003,141999
"new.row.2240","42100",2004,142442
"new.row.2241","42100",2005,142750
"new.row.2242","42100",2006,143513
"new.row.2243","42100",2007,146137
"new.row.2244","42100",2008,143096
"new.row.2245","42100",2009,139745
"new.row.2246","42100",2010,138837
"new.row.2247","42100",2011,138553
"new.row.2248","42100",2012,140055
"new.row.2249","42100",2013,145344
"new.row.2250","42200",1969,116751
"new.row.2251","42200",1970,116626
"new.row.2252","42200",1971,117818
"new.row.2253","42200",1972,121263
"new.row.2254","42200",1973,129723
"new.row.2255","42200",1974,134399
"new.row.2256","42200",1975,138012
"new.row.2257","42200",1976,141699
"new.row.2258","42200",1977,149056
"new.row.2259","42200",1978,160992
"new.row.2260","42200",1979,168561
"new.row.2261","42200",1980,168218
"new.row.2262","42200",1981,171396
"new.row.2263","42200",1982,172644
"new.row.2264","42200",1983,176829
"new.row.2265","42200",1984,185802
"new.row.2266","42200",1985,192555
"new.row.2267","42200",1986,197339
"new.row.2268","42200",1987,200745
"new.row.2269","42200",1988,207750
"new.row.2270","42200",1989,212536
"new.row.2271","42200",1990,214939
"new.row.2272","42200",1991,220855
"new.row.2273","42200",1992,214252
"new.row.2274","42200",1993,215117
"new.row.2275","42200",1994,216284
"new.row.2276","42200",1995,221933
"new.row.2277","42200",1996,225153
"new.row.2278","42200",1997,226970
"new.row.2279","42200",1998,236161
"new.row.2280","42200",1999,240323
"new.row.2281","42200",2000,244899
"new.row.2282","42200",2001,243953
"new.row.2283","42200",2002,245256
"new.row.2284","42200",2003,250558
"new.row.2285","42200",2004,255030
"new.row.2286","42200",2005,258637
"new.row.2287","42200",2006,257931
"new.row.2288","42200",2007,262376
"new.row.2289","42200",2008,260050
"new.row.2290","42200",2009,252330
"new.row.2291","42200",2010,247484
"new.row.2292","42200",2011,252580
"new.row.2293","42200",2012,257025
"new.row.2294","42200",2013,262261
"new.row.2295","42220",1969,71713
"new.row.2296","42220",1970,74003
"new.row.2297","42220",1971,76798
"new.row.2298","42220",1972,82982
"new.row.2299","42220",1973,88869
"new.row.2300","42220",1974,93352
"new.row.2301","42220",1975,96964
"new.row.2302","42220",1976,103354
"new.row.2303","42220",1977,109903
"new.row.2304","42220",1978,118796
"new.row.2305","42220",1979,127676
"new.row.2306","42220",1980,133637
"new.row.2307","42220",1981,137159
"new.row.2308","42220",1982,138573
"new.row.2309","42220",1983,145902
"new.row.2310","42220",1984,155144
"new.row.2311","42220",1985,161324
"new.row.2312","42220",1986,166384
"new.row.2313","42220",1987,174046
"new.row.2314","42220",1988,186395
"new.row.2315","42220",1989,193548
"new.row.2316","42220",1990,204435
"new.row.2317","42220",1991,207198
"new.row.2318","42220",1992,207086
"new.row.2319","42220",1993,210765
"new.row.2320","42220",1994,218474
"new.row.2321","42220",1995,221033
"new.row.2322","42220",1996,232015
"new.row.2323","42220",1997,242030
"new.row.2324","42220",1998,254499
"new.row.2325","42220",1999,263927
"new.row.2326","42220",2000,268621
"new.row.2327","42220",2001,273682
"new.row.2328","42220",2002,273233
"new.row.2329","42220",2003,270576
"new.row.2330","42220",2004,274967
"new.row.2331","42220",2005,276676
"new.row.2332","42220",2006,278545
"new.row.2333","42220",2007,282793
"new.row.2334","42220",2008,278893
"new.row.2335","42220",2009,266088
"new.row.2336","42220",2010,262730
"new.row.2337","42220",2011,266092
"new.row.2338","42220",2012,266125
"new.row.2339","42220",2013,278699
"new.row.2340","44700",1969,125194
"new.row.2341","44700",1970,125639
"new.row.2342","44700",1971,127686
"new.row.2343","44700",1972,132230
"new.row.2344","44700",1973,135549
"new.row.2345","44700",1974,139715
"new.row.2346","44700",1975,141773
"new.row.2347","44700",1976,144612
"new.row.2348","44700",1977,147548
"new.row.2349","44700",1978,153412
"new.row.2350","44700",1979,162770
"new.row.2351","44700",1980,165174
"new.row.2352","44700",1981,167276
"new.row.2353","44700",1982,167744
"new.row.2354","44700",1983,169304
"new.row.2355","44700",1984,176594
"new.row.2356","44700",1985,181855
"new.row.2357","44700",1986,186320
"new.row.2358","44700",1987,195501
"new.row.2359","44700",1988,205322
"new.row.2360","44700",1989,209243
"new.row.2361","44700",1990,214261
"new.row.2362","44700",1991,216618
"new.row.2363","44700",1992,212460
"new.row.2364","44700",1993,214476
"new.row.2365","44700",1994,220269
"new.row.2366","44700",1995,224933
"new.row.2367","44700",1996,228643
"new.row.2368","44700",1997,233118
"new.row.2369","44700",1998,239165
"new.row.2370","44700",1999,249905
"new.row.2371","44700",2000,255096
"new.row.2372","44700",2001,260808
"new.row.2373","44700",2002,267244
"new.row.2374","44700",2003,273510
"new.row.2375","44700",2004,279510
"new.row.2376","44700",2005,282627
"new.row.2377","44700",2006,285696
"new.row.2378","44700",2007,291801
"new.row.2379","44700",2008,286162
"new.row.2380","44700",2009,275547
"new.row.2381","44700",2010,268895
"new.row.2382","44700",2011,271716
"new.row.2383","44700",2012,275159
"new.row.2384","44700",2013,286296
"new.row.2385","46700",1969,79649
"new.row.2386","46700",1970,77595
"new.row.2387","46700",1971,77695
"new.row.2388","46700",1972,76710
"new.row.2389","46700",1973,77022
"new.row.2390","46700",1974,80026
"new.row.2391","46700",1975,83585
"new.row.2392","46700",1976,85184
"new.row.2393","46700",1977,87746
"new.row.2394","46700",1978,91583
"new.row.2395","46700",1979,94584
"new.row.2396","46700",1980,98216
"new.row.2397","46700",1981,100008
"new.row.2398","46700",1982,101168
"new.row.2399","46700",1983,103847
"new.row.2400","46700",1984,107070
"new.row.2401","46700",1985,111397
"new.row.2402","46700",1986,115639
"new.row.2403","46700",1987,119521
"new.row.2404","46700",1988,125976
"new.row.2405","46700",1989,131381
"new.row.2406","46700",1990,136860
"new.row.2407","46700",1991,137031
"new.row.2408","46700",1992,137870
"new.row.2409","46700",1993,139183
"new.row.2410","46700",1994,141061
"new.row.2411","46700",1995,139996
"new.row.2412","46700",1996,141128
"new.row.2413","46700",1997,143144
"new.row.2414","46700",1998,146922
"new.row.2415","46700",1999,153224
"new.row.2416","46700",2000,157999
"new.row.2417","46700",2001,162871
"new.row.2418","46700",2002,166948
"new.row.2419","46700",2003,171013
"new.row.2420","46700",2004,172336
"new.row.2421","46700",2005,174067
"new.row.2422","46700",2006,174430
"new.row.2423","46700",2007,174633
"new.row.2424","46700",2008,174567
"new.row.2425","46700",2009,170083
"new.row.2426","46700",2010,168498
"new.row.2427","46700",2011,166187
"new.row.2428","46700",2012,167686
"new.row.2429","46700",2013,174302
"new.row.2430","47300",1969,78710
"new.row.2431","47300",1970,81225
"new.row.2432","47300",1971,83183
"new.row.2433","47300",1972,89111
"new.row.2434","47300",1973,91598
"new.row.2435","47300",1974,97440
"new.row.2436","47300",1975,99934
"new.row.2437","47300",1976,102675
"new.row.2438","47300",1977,106394
"new.row.2439","47300",1978,109228
"new.row.2440","47300",1979,117964
"new.row.2441","47300",1980,119326
"new.row.2442","47300",1981,119692
"new.row.2443","47300",1982,117129
"new.row.2444","47300",1983,121911
"new.row.2445","47300",1984,120368
"new.row.2446","47300",1985,122160
"new.row.2447","47300",1986,125690
"new.row.2448","47300",1987,128885
"new.row.2449","47300",1988,133959
"new.row.2450","47300",1989,137419
"new.row.2451","47300",1990,140864
"new.row.2452","47300",1991,141436
"new.row.2453","47300",1992,146844
"new.row.2454","47300",1993,150060
"new.row.2455","47300",1994,153457
"new.row.2456","47300",1995,155994
"new.row.2457","47300",1996,158687
"new.row.2458","47300",1997,158454
"new.row.2459","47300",1998,165810
"new.row.2460","47300",1999,169890
"new.row.2461","47300",2000,172516
"new.row.2462","47300",2001,168519
"new.row.2463","47300",2002,175974
"new.row.2464","47300",2003,176153
"new.row.2465","47300",2004,175019
"new.row.2466","47300",2005,179581
"new.row.2467","47300",2006,184223
"new.row.2468","47300",2007,190608
"new.row.2469","47300",2008,191170
"new.row.2470","47300",2009,186516
"new.row.2471","47300",2010,186274
"new.row.2472","47300",2011,188112
"new.row.2473","47300",2012,186038
"new.row.2474","47300",2013,193397
"new.row.2475","49700",1969,38582
"new.row.2476","49700",1970,38704
"new.row.2477","49700",1971,39301
"new.row.2478","49700",1972,39903
"new.row.2479","49700",1973,39333
"new.row.2480","49700",1974,40753
"new.row.2481","49700",1975,42061
"new.row.2482","49700",1976,42261
"new.row.2483","49700",1977,42971
"new.row.2484","49700",1978,44298
"new.row.2485","49700",1979,45882
"new.row.2486","49700",1980,45871
"new.row.2487","49700",1981,45667
"new.row.2488","49700",1982,45349
"new.row.2489","49700",1983,45038
"new.row.2490","49700",1984,45505
"new.row.2491","49700",1985,46019
"new.row.2492","49700",1986,46253
"new.row.2493","49700",1987,48049
"new.row.2494","49700",1988,50737
"new.row.2495","49700",1989,53653
"new.row.2496","49700",1990,54925
"new.row.2497","49700",1991,56571
"new.row.2498","49700",1992,56076
"new.row.2499","49700",1993,56416
"new.row.2500","49700",1994,57920
"new.row.2501","49700",1995,59036
"new.row.2502","49700",1996,60320
"new.row.2503","49700",1997,60517
"new.row.2504","49700",1998,61867
"new.row.2505","49700",1999,63490
"new.row.2506","49700",2000,63507
"new.row.2507","49700",2001,65651
"new.row.2508","49700",2002,66758
"new.row.2509","49700",2003,67160
"new.row.2510","49700",2004,68597
"new.row.2511","49700",2005,68911
"new.row.2512","49700",2006,70229
"new.row.2513","49700",2007,72286
"new.row.2514","49700",2008,70236
"new.row.2515","49700",2009,68265
"new.row.2516","49700",2010,67862
"new.row.2517","49700",2011,68506
"new.row.2518","49700",2012,69466
"new.row.2519","49700",2013,72300
"new.row.2520","14500",1969,52605
"new.row.2521","14500",1970,55395
"new.row.2522","14500",1971,59121
"new.row.2523","14500",1972,64116
"new.row.2524","14500",1973,69942
"new.row.2525","14500",1974,75635
"new.row.2526","14500",1975,78961
"new.row.2527","14500",1976,85236
"new.row.2528","14500",1977,92627
"new.row.2529","14500",1978,102720
"new.row.2530","14500",1979,110002
"new.row.2531","14500",1980,112861
"new.row.2532","14500",1981,117528
"new.row.2533","14500",1982,121300
"new.row.2534","14500",1983,128223
"new.row.2535","14500",1984,141199
"new.row.2536","14500",1985,140650
"new.row.2537","14500",1986,141908
"new.row.2538","14500",1987,143586
"new.row.2539","14500",1988,152086
"new.row.2540","14500",1989,155495
"new.row.2541","14500",1990,160076
"new.row.2542","14500",1991,164862
"new.row.2543","14500",1992,169291
"new.row.2544","14500",1993,178775
"new.row.2545","14500",1994,186270
"new.row.2546","14500",1995,192888
"new.row.2547","14500",1996,198754
"new.row.2548","14500",1997,207295
"new.row.2549","14500",1998,213640
"new.row.2550","14500",1999,221367
"new.row.2551","14500",2000,237793
"new.row.2552","14500",2001,244639
"new.row.2553","14500",2002,213502
"new.row.2554","14500",2003,213165
"new.row.2555","14500",2004,217185
"new.row.2556","14500",2005,221461
"new.row.2557","14500",2006,225621
"new.row.2558","14500",2007,233606
"new.row.2559","14500",2008,238074
"new.row.2560","14500",2009,232369
"new.row.2561","14500",2010,230497
"new.row.2562","14500",2011,237274
"new.row.2563","14500",2012,242696
"new.row.2564","14500",2013,247875
"new.row.2565","17820",1969,112888
"new.row.2566","17820",1970,116502
"new.row.2567","17820",1971,117553
"new.row.2568","17820",1972,128822
"new.row.2569","17820",1973,140951
"new.row.2570","17820",1974,142577
"new.row.2571","17820",1975,139515
"new.row.2572","17820",1976,143093
"new.row.2573","17820",1977,147428
"new.row.2574","17820",1978,154227
"new.row.2575","17820",1979,164283
"new.row.2576","17820",1980,170287
"new.row.2577","17820",1981,178535
"new.row.2578","17820",1982,185178
"new.row.2579","17820",1983,192322
"new.row.2580","17820",1984,209639
"new.row.2581","17820",1985,220895
"new.row.2582","17820",1986,226673
"new.row.2583","17820",1987,229718
"new.row.2584","17820",1988,236180
"new.row.2585","17820",1989,238697
"new.row.2586","17820",1990,235412
"new.row.2587","17820",1991,241791
"new.row.2588","17820",1992,250936
"new.row.2589","17820",1993,262001
"new.row.2590","17820",1994,279017
"new.row.2591","17820",1995,291270
"new.row.2592","17820",1996,303895
"new.row.2593","17820",1997,315465
"new.row.2594","17820",1998,326735
"new.row.2595","17820",1999,334926
"new.row.2596","17820",2000,345904
"new.row.2597","17820",2001,348915
"new.row.2598","17820",2002,346556
"new.row.2599","17820",2003,346368
"new.row.2600","17820",2004,353803
"new.row.2601","17820",2005,364636
"new.row.2602","17820",2006,370461
"new.row.2603","17820",2007,378033
"new.row.2604","17820",2008,377810
"new.row.2605","17820",2009,371480
"new.row.2606","17820",2010,370361
"new.row.2607","17820",2011,376634
"new.row.2608","17820",2012,377922
"new.row.2609","17820",2013,384780
"new.row.2610","19740",1969,551950
"new.row.2611","19740",1970,567136
"new.row.2612","19740",1971,597433
"new.row.2613","19740",1972,638174
"new.row.2614","19740",1973,688969
"new.row.2615","19740",1974,697029
"new.row.2616","19740",1975,696348
"new.row.2617","19740",1976,721876
"new.row.2618","19740",1977,763237
"new.row.2619","19740",1978,821600
"new.row.2620","19740",1979,870090
"new.row.2621","19740",1980,901316
"new.row.2622","19740",1981,939574
"new.row.2623","19740",1982,968403
"new.row.2624","19740",1983,980047
"new.row.2625","19740",1984,1034156
"new.row.2626","19740",1985,1054857
"new.row.2627","19740",1986,1047201
"new.row.2628","19740",1987,1033523
"new.row.2629","19740",1988,1053281
"new.row.2630","19740",1989,1065789
"new.row.2631","19740",1990,1084091
"new.row.2632","19740",1991,1108061
"new.row.2633","19740",1992,1129013
"new.row.2634","19740",1993,1174291
"new.row.2635","19740",1994,1223582
"new.row.2636","19740",1995,1259599
"new.row.2637","19740",1996,1304522
"new.row.2638","19740",1997,1362615
"new.row.2639","19740",1998,1422883
"new.row.2640","19740",1999,1467480
"new.row.2641","19740",2000,1526010
"new.row.2642","19740",2001,1526943
"new.row.2643","19740",2002,1530760
"new.row.2644","19740",2003,1517677
"new.row.2645","19740",2004,1537435
"new.row.2646","19740",2005,1574535
"new.row.2647","19740",2006,1611167
"new.row.2648","19740",2007,1668244
"new.row.2649","19740",2008,1687015
"new.row.2650","19740",2009,1648434
"new.row.2651","19740",2010,1636613
"new.row.2652","19740",2011,1673451
"new.row.2653","19740",2012,1718184
"new.row.2654","19740",2013,1772872
"new.row.2655","22660",1969,34108
"new.row.2656","22660",1970,35982
"new.row.2657","22660",1971,37219
"new.row.2658","22660",1972,41926
"new.row.2659","22660",1973,45809
"new.row.2660","22660",1974,48576
"new.row.2661","22660",1975,51021
"new.row.2662","22660",1976,55630
"new.row.2663","22660",1977,60594
"new.row.2664","22660",1978,66489
"new.row.2665","22660",1979,71512
"new.row.2666","22660",1980,73957
"new.row.2667","22660",1981,74913
"new.row.2668","22660",1982,76547
"new.row.2669","22660",1983,80642
"new.row.2670","22660",1984,86194
"new.row.2671","22660",1985,88750
"new.row.2672","22660",1986,91424
"new.row.2673","22660",1987,92603
"new.row.2674","22660",1988,98006
"new.row.2675","22660",1989,101762
"new.row.2676","22660",1990,105353
"new.row.2677","22660",1991,110094
"new.row.2678","22660",1992,113837
"new.row.2679","22660",1993,121231
"new.row.2680","22660",1994,128209
"new.row.2681","22660",1995,134280
"new.row.2682","22660",1996,143321
"new.row.2683","22660",1997,148781
"new.row.2684","22660",1998,155107
"new.row.2685","22660",1999,159372
"new.row.2686","22660",2000,167271
"new.row.2687","22660",2001,170581
"new.row.2688","22660",2002,171477
"new.row.2689","22660",2003,171809
"new.row.2690","22660",2004,177619
"new.row.2691","22660",2005,182253
"new.row.2692","22660",2006,185701
"new.row.2693","22660",2007,192136
"new.row.2694","22660",2008,192425
"new.row.2695","22660",2009,189006
"new.row.2696","22660",2010,188506
"new.row.2697","22660",2011,192368
"new.row.2698","22660",2012,195967
"new.row.2699","22660",2013,201814
"new.row.2700","24300",1969,22603
"new.row.2701","24300",1970,23121
"new.row.2702","24300",1971,23077
"new.row.2703","24300",1972,24258
"new.row.2704","24300",1973,26242
"new.row.2705","24300",1974,28069
"new.row.2706","24300",1975,30541
"new.row.2707","24300",1976,32111
"new.row.2708","24300",1977,35299
"new.row.2709","24300",1978,37820
"new.row.2710","24300",1979,40671
"new.row.2711","24300",1980,43710
"new.row.2712","24300",1981,48937
"new.row.2713","24300",1982,50531
"new.row.2714","24300",1983,48319
"new.row.2715","24300",1984,46669
"new.row.2716","24300",1985,44600
"new.row.2717","24300",1986,42603
"new.row.2718","24300",1987,42211
"new.row.2719","24300",1988,45112
"new.row.2720","24300",1989,47556
"new.row.2721","24300",1990,49479
"new.row.2722","24300",1991,50610
"new.row.2723","24300",1992,51414
"new.row.2724","24300",1993,53284
"new.row.2725","24300",1994,55648
"new.row.2726","24300",1995,58004
"new.row.2727","24300",1996,61078
"new.row.2728","24300",1997,63850
"new.row.2729","24300",1998,66506
"new.row.2730","24300",1999,68199
"new.row.2731","24300",2000,70062
"new.row.2732","24300",2001,71047
"new.row.2733","24300",2002,72866
