"","msa.fips","year","total.employment"
"new.row.199","19300",1988,37654
"new.row.200","19300",1989,38889
"new.row.201","19300",1990,40545
"new.row.202","19300",1991,42388
"new.row.203","19300",1992,44246
"new.row.204","19300",1993,47280
"new.row.205","19300",1994,50770
"new.row.206","19300",1995,54511
"new.row.207","19300",1996,56932
"new.row.208","19300",1997,60806
"new.row.209","19300",1998,64772
"new.row.210","19300",1999,67537
"new.row.211","19300",2000,69551
"new.row.212","19300",2001,71119
"new.row.213","19300",2002,72063
"new.row.214","19300",2003,74723
"new.row.215","19300",2004,78332
"new.row.216","19300",2005,82656
"new.row.217","19300",2006,87256
"new.row.218","19300",2007,92476
"new.row.219","19300",2008,93673
"new.row.220","19300",2009,90393
"new.row.221","19300",2010,89691
"new.row.222","19300",2011,92352
"new.row.223","19300",2012,93967
"new.row.224","19300",2013,96537
"new.row.225","19460",1969,39717
"new.row.226","19460",1970,41444
"new.row.227","19460",1971,41034
"new.row.228","19460",1972,42354
"new.row.229","19460",1973,44291
"new.row.230","19460",1974,46325
"new.row.231","19460",1975,46956
"new.row.232","19460",1976,47493
"new.row.233","19460",1977,49637
"new.row.234","19460",1978,52721
"new.row.235","19460",1979,53931
"new.row.236","19460",1980,51505
"new.row.237","19460",1981,51147
"new.row.238","19460",1982,49815
"new.row.239","19460",1983,50679
"new.row.240","19460",1984,53337
"new.row.241","19460",1985,54919
"new.row.242","19460",1986,56295
"new.row.243","19460",1987,58491
"new.row.244","19460",1988,60490
"new.row.245","19460",1989,62258
"new.row.246","19460",1990,65211
"new.row.247","19460",1991,65427
"new.row.248","19460",1992,65640
"new.row.249","19460",1993,67205
"new.row.250","19460",1994,67605
"new.row.251","19460",1995,69872
"new.row.252","19460",1996,71005
"new.row.253","19460",1997,72474
"new.row.254","19460",1998,74079
"new.row.255","19460",1999,75092
"new.row.256","19460",2000,75879
"new.row.257","19460",2001,75461
"new.row.258","19460",2002,72965
"new.row.259","19460",2003,72060
"new.row.260","19460",2004,73994
"new.row.261","19460",2005,74755
"new.row.262","19460",2006,75301
"new.row.263","19460",2007,77381
"new.row.264","19460",2008,76344
"new.row.265","19460",2009,72102
"new.row.266","19460",2010,71098
"new.row.267","19460",2011,72541
"new.row.268","19460",2012,72846
"new.row.269","19460",2013,73302
"new.row.270","20020",1969,40835
"new.row.271","20020",1970,41593
"new.row.272","20020",1971,43039
"new.row.273","20020",1972,45497
"new.row.274","20020",1973,49519
"new.row.275","20020",1974,51163
"new.row.276","20020",1975,49593
"new.row.277","20020",1976,51727
"new.row.278","20020",1977,53046
"new.row.279","20020",1978,54447
"new.row.280","20020",1979,54259
"new.row.281","20020",1980,55050
"new.row.282","20020",1981,54328
"new.row.283","20020",1982,52319
"new.row.284","20020",1983,52832
"new.row.285","20020",1984,54538
"new.row.286","20020",1985,55398
"new.row.287","20020",1986,56956
"new.row.288","20020",1987,59215
"new.row.289","20020",1988,61390
"new.row.290","20020",1989,64645
"new.row.291","20020",1990,66534
"new.row.292","20020",1991,67078
"new.row.293","20020",1992,68384
"new.row.294","20020",1993,69447
"new.row.295","20020",1994,69704
"new.row.296","20020",1995,71949
"new.row.297","20020",1996,72959
"new.row.298","20020",1997,74932
"new.row.299","20020",1998,75264
"new.row.300","20020",1999,75404
"new.row.301","20020",2000,75351
"new.row.302","20020",2001,73774
"new.row.303","20020",2002,73557
"new.row.304","20020",2003,74531
"new.row.305","20020",2004,76519
"new.row.306","20020",2005,78240
"new.row.307","20020",2006,79655
"new.row.308","20020",2007,81478
"new.row.309","20020",2008,79898
"new.row.310","20020",2009,76656
"new.row.311","20020",2010,75681
"new.row.312","20020",2011,75835
"new.row.313","20020",2012,75782
"new.row.314","20020",2013,75975
"new.row.315","22520",1969,45864
"new.row.316","22520",1970,45574
"new.row.317","22520",1971,46466
"new.row.318","22520",1972,48921
"new.row.319","22520",1973,50449
"new.row.320","22520",1974,51771
"new.row.321","22520",1975,50742
"new.row.322","22520",1976,53503
"new.row.323","22520",1977,55877
"new.row.324","22520",1978,59286
"new.row.325","22520",1979,59603
"new.row.326","22520",1980,58791
"new.row.327","22520",1981,57118
"new.row.328","22520",1982,55778
"new.row.329","22520",1983,56395
"new.row.330","22520",1984,57561
"new.row.331","22520",1985,57338
"new.row.332","22520",1986,57115
"new.row.333","22520",1987,58321
"new.row.334","22520",1988,60565
"new.row.335","22520",1989,62347
"new.row.336","22520",1990,64761
"new.row.337","22520",1991,66343
"new.row.338","22520",1992,67141
"new.row.339","22520",1993,68977
"new.row.340","22520",1994,69508
"new.row.341","22520",1995,72519
"new.row.342","22520",1996,73172
"new.row.343","22520",1997,73294
"new.row.344","22520",1998,71757
"new.row.345","22520",1999,71540
"new.row.346","22520",2000,72009
"new.row.347","22520",2001,70279
"new.row.348","22520",2002,67716
"new.row.349","22520",2003,67493
"new.row.350","22520",2004,69442
"new.row.351","22520",2005,71736
"new.row.352","22520",2006,74252
"new.row.353","22520",2007,75339
"new.row.354","22520",2008,74077
"new.row.355","22520",2009,72410
"new.row.356","22520",2010,72250
"new.row.357","22520",2011,73324
"new.row.358","22520",2012,73169
"new.row.359","22520",2013,73684
"new.row.360","23460",1969,36375
"new.row.361","23460",1970,35044
"new.row.362","23460",1971,35388
"new.row.363","23460",1972,36119
"new.row.364","23460",1973,37400
"new.row.365","23460",1974,37366
"new.row.366","23460",1975,36837
"new.row.367","23460",1976,36805
"new.row.368","23460",1977,39116
"new.row.369","23460",1978,41070
"new.row.370","23460",1979,42239
"new.row.371","23460",1980,41418
"new.row.372","23460",1981,40735
"new.row.373","23460",1982,38726
"new.row.374","23460",1983,38722
"new.row.375","23460",1984,40376
"new.row.376","23460",1985,40925
"new.row.377","23460",1986,40944
"new.row.378","23460",1987,41863
"new.row.379","23460",1988,42754
"new.row.380","23460",1989,43434
"new.row.381","23460",1990,43565
"new.row.382","23460",1991,43913
"new.row.383","23460",1992,44463
"new.row.384","23460",1993,46081
"new.row.385","23460",1994,46709
"new.row.386","23460",1995,47735
"new.row.387","23460",1996,48513
"new.row.388","23460",1997,49701
"new.row.389","23460",1998,49736
"new.row.390","23460",1999,49055
"new.row.391","23460",2000,49505
"new.row.392","23460",2001,48114
"new.row.393","23460",2002,48655
"new.row.394","23460",2003,47982
"new.row.395","23460",2004,49352
"new.row.396","23460",2005,50149
"new.row.397","23460",2006,49973
"new.row.398","23460",2007,49700
"new.row.399","23460",2008,49431
"new.row.400","23460",2009,46839
"new.row.401","23460",2010,46489
"new.row.402","23460",2011,47890
