area_code,year,high.tech.occupations,total.jobs,rate
28940,2013,6800,323770,0.021002564
29020,2013,1390,40260,0.034525584
29100,2013,600,73490,0.008164376
29140,2013,1080,86960,0.012419503
29180,2013,2530,154340,0.01639238
29340,2013,1210,88440,0.013681592
29404,2013,8090,379540,0.021315276
29420,2013,290,44070,0.00658044
29460,2013,2530,196400,0.012881874
29540,2013,2170,221960,0.009776536
29620,2013,4730,198330,0.02384914
29700,2013,330,92270,0.00357646
29740,2013,1730,68080,0.025411281
29820,2013,10540,839650,0.012552849
29940,2013,650,45310,0.014345619
30020,2013,390,40990,0.009514516
30140,2013,150,50150,0.002991027
30300,2013,100,24050,0.004158004
30460,2013,6090,250070,0.024353181
30620,2013,400,48890,0.008181632
30700,2013,4820,166120,0.02901517
30780,2013,8720,334770,0.026047734
30860,2013,1000,49880,0.020048115
30980,2013,1020,98900,0.010313448
31020,2013,40,33810,0.001183082
31084,2013,112880,3974890,0.02839827
31100,2013,173880,5427320,0.032037912
31140,2013,11640,609210,0.019106712
31180,2013,1560,129310,0.012064032
31340,2013,1180,98060,0.012033449
31420,2013,1470,93970,0.01564329
31540,2013,14300,342930,0.041699472
31740,2013,800,50010,0.015996801
31860,2013,380,48220,0.007880547
31900,2013,220,48890,0.004499898
32420,2013,200,29730,0.006727212
32580,2013,1330,233640,0.005692518
32780,2013,920,76410,0.012040309
32820,2013,11140,590140,0.018876877
32900,2013,250,60970,0.004100377
33100,2013,39140,2280990,0.017159216
33124,2013,14700,1023360,0.014364447
33140,2013,290,40560,0.007149901
33260,2013,3100,82750,0.037462236
33340,2013,22230,814120,0.027305557
33460,2013,60210,1791390,0.033610772
33540,2013,650,55620,0.011686444
33660,2013,3020,167890,0.017987968
33700,2013,1310,157800,0.008301648
33740,2013,560,74190,0.007548187
33780,2013,170,38410,0.004425931
33860,2013,3580,159110,0.022500157
34060,2013,1440,63050,0.022839017
34100,2013,150,43970,0.003411417
34580,2013,270,43140,0.006258693
34620,2013,350,44540,0.007858105
34740,2013,240,57300,0.004188482
34820,2013,900,112720,0.007984386
34900,2013,420,65690,0.006393667
34940,2013,880,118850,0.007404291
34980,2013,18570,791190,0.023470974
35004,2013,26590,1235610,0.021519735
35084,2013,27600,957630,0.028821152
35380,2013,9320,524950,0.017754072
35620,2013,243620,8416800,0.028944492
35644,2013,146840,5242070,0.028011835
35660,2013,420,56890,0.007382668
35840,2013,3550,246570,0.014397534
36084,2013,44790,1003860,0.044617775
36100,2013,700,90860,0.00770416
36140,2013,50,37460,0.001334757
36220,2013,640,70850,0.009033169
36260,2013,4490,202960,0.022122586
36420,2013,17340,597370,0.029027236
36500,2013,2340,95850,0.024413146
36540,2013,15780,457580,0.034485773
