"","msa.fips","year","per.capita.personal.income"
"new.row","11500",1969,2954
"new.row.1","11500",1970,3038
"new.row.2","11500",1971,3405
"new.row.3","11500",1972,3809
"new.row.4","11500",1973,4114
"new.row.5","11500",1974,4567
"new.row.6","11500",1975,5192
"new.row.7","11500",1976,5513
"new.row.8","11500",1977,6197
"new.row.9","11500",1978,6634
"new.row.10","11500",1979,7241
"new.row.11","11500",1980,8064
"new.row.12","11500",1981,8806
"new.row.13","11500",1982,9329
"new.row.14","11500",1983,10010
"new.row.15","11500",1984,10969
"new.row.16","11500",1985,11793
"new.row.17","11500",1986,12456
"new.row.18","11500",1987,12881
"new.row.19","11500",1988,13666
"new.row.20","11500",1989,14613
"new.row.21","11500",1990,15107
"new.row.22","11500",1991,16001
"new.row.23","11500",1992,16822
"new.row.24","11500",1993,17212
"new.row.25","11500",1994,17829
"new.row.26","11500",1995,18688
"new.row.27","11500",1996,19239
"new.row.28","11500",1997,19859
"new.row.29","11500",1998,21131
"new.row.30","11500",1999,21696
"new.row.31","11500",2000,22424
"new.row.32","11500",2001,23432
"new.row.33","11500",2002,24412
"new.row.34","11500",2003,25561
"new.row.35","11500",2004,27118
"new.row.36","11500",2005,28096
"new.row.37","11500",2006,29356
"new.row.38","11500",2007,31095
"new.row.39","11500",2008,31800
"new.row.40","11500",2009,31174
"new.row.41","11500",2010,31768
"new.row.42","11500",2011,32401
"new.row.43","11500",2012,32883
"new.row.44","12220",1969,2737
"new.row.45","12220",1970,2755
"new.row.46","12220",1971,3042
"new.row.47","12220",1972,3424
"new.row.48","12220",1973,3735
"new.row.49","12220",1974,3928
"new.row.50","12220",1975,4337
"new.row.51","12220",1976,4861
"new.row.52","12220",1977,5461
"new.row.53","12220",1978,6100
"new.row.54","12220",1979,6569
"new.row.55","12220",1980,7365
"new.row.56","12220",1981,7958
"new.row.57","12220",1982,8308
"new.row.58","12220",1983,9193
"new.row.59","12220",1984,10064
"new.row.60","12220",1985,10704
"new.row.61","12220",1986,11130
"new.row.62","12220",1987,11877
"new.row.63","12220",1988,12553
"new.row.64","12220",1989,13845
"new.row.65","12220",1990,14249
"new.row.66","12220",1991,14752
"new.row.67","12220",1992,15805
"new.row.68","12220",1993,16317
"new.row.69","12220",1994,17094
"new.row.70","12220",1995,17800
"new.row.71","12220",1996,18140
"new.row.72","12220",1997,18796
"new.row.73","12220",1998,19722
"new.row.74","12220",1999,20436
"new.row.75","12220",2000,21126
"new.row.76","12220",2001,21685
"new.row.77","12220",2002,22461
"new.row.78","12220",2003,23300
"new.row.79","12220",2004,24783
"new.row.80","12220",2005,25478
"new.row.81","12220",2006,26722
"new.row.82","12220",2007,27719
"new.row.83","12220",2008,28871
"new.row.84","12220",2009,28188
"new.row.85","12220",2010,28734
"new.row.86","12220",2011,29653
"new.row.87","12220",2012,30236
"new.row.88","13820",1969,3193
"new.row.89","13820",1970,3411
"new.row.90","13820",1971,3696
"new.row.91","13820",1972,4076
"new.row.92","13820",1973,4523
"new.row.93","13820",1974,5056
"new.row.94","13820",1975,5588
"new.row.95","13820",1976,6117
"new.row.96","13820",1977,6657
"new.row.97","13820",1978,7398
"new.row.98","13820",1979,8197
"new.row.99","13820",1980,8980
"new.row.100","13820",1981,9761
"new.row.101","13820",1982,10374
"new.row.102","13820",1983,11009
"new.row.103","13820",1984,12029
"new.row.104","13820",1985,12930
"new.row.105","13820",1986,13604
"new.row.106","13820",1987,14324
"new.row.107","13820",1988,15493
"new.row.108","13820",1989,16845
"new.row.109","13820",1990,17960
"new.row.110","13820",1991,18646
"new.row.111","13820",1992,19730
"new.row.112","13820",1993,20418
"new.row.113","13820",1994,21542
"new.row.114","13820",1995,22778
"new.row.115","13820",1996,23757
"new.row.116","13820",1997,24850
"new.row.117","13820",1998,26447
"new.row.118","13820",1999,27524
"new.row.119","13820",2000,29455
"new.row.120","13820",2001,30436
"new.row.121","13820",2002,31374
"new.row.122","13820",2003,32268
"new.row.123","13820",2004,34621
"new.row.124","13820",2005,36222
"new.row.125","13820",2006,38037
"new.row.126","13820",2007,39071
"new.row.127","13820",2008,39841
"new.row.128","13820",2009,37773
"new.row.129","13820",2010,38705
"new.row.130","13820",2011,40289
"new.row.131","13820",2012,41850
"new.row.132","17980",1969,3858
"new.row.133","17980",1970,3791
"new.row.134","17980",1971,4019
"new.row.135","17980",1972,4284
"new.row.136","17980",1973,4814
"new.row.137","17980",1974,5133
"new.row.138","17980",1975,5369
"new.row.139","17980",1976,5795
"new.row.140","17980",1977,6379
"new.row.141","17980",1978,6931
"new.row.142","17980",1979,7388
"new.row.143","17980",1980,8105
"new.row.144","17980",1981,9053
"new.row.145","17980",1982,9746
"new.row.146","17980",1983,10390
"new.row.147","17980",1984,11504
"new.row.148","17980",1985,12301
"new.row.149","17980",1986,13062
"new.row.150","17980",1987,13776
"new.row.151","17980",1988,14710
"new.row.152","17980",1989,15279
"new.row.153","17980",1990,16040
"new.row.154","17980",1991,16804
"new.row.155","17980",1992,17677
"new.row.156","17980",1993,18089
"new.row.157","17980",1994,18687
"new.row.158","17980",1995,19536
"new.row.159","17980",1996,20232
"new.row.160","17980",1997,21382
"new.row.161","17980",1998,23074
"new.row.162","17980",1999,23995
"new.row.163","17980",2000,25111
"new.row.164","17980",2001,26286
"new.row.165","17980",2002,27187
"new.row.166","17980",2003,29168
"new.row.167","17980",2004,30072
"new.row.168","17980",2005,32180
"new.row.169","17980",2006,33893
"new.row.170","17980",2007,35526
"new.row.171","17980",2008,36577
"new.row.172","17980",2009,36018
"new.row.173","17980",2010,36780
"new.row.174","17980",2011,38589
"new.row.175","17980",2012,39216
"new.row.176","19300",1969,2758
"new.row.177","19300",1970,2900
"new.row.178","19300",1971,3264
"new.row.179","19300",1972,3577
"new.row.180","19300",1973,4163
"new.row.181","19300",1974,4614
"new.row.182","19300",1975,5077
"new.row.183","19300",1976,5759
"new.row.184","19300",1977,5983
"new.row.185","19300",1978,6626
"new.row.186","19300",1979,7042
"new.row.187","19300",1980,7761
"new.row.188","19300",1981,8895
"new.row.189","19300",1982,9186
"new.row.190","19300",1983,10019
"new.row.191","19300",1984,10803
"new.row.192","19300",1985,11711
"new.row.193","19300",1986,12202
"new.row.194","19300",1987,12670
"new.row.195","19300",1988,13524
"new.row.196","19300",1989,14950
"new.row.197","19300",1990,15825
"new.row.198","19300",1991,16926
"new.row.199","19300",1992,18125
"new.row.200","19300",1993,19131
"new.row.201","19300",1994,20174
"new.row.202","19300",1995,21210
"new.row.203","19300",1996,22362
"new.row.204","19300",1997,23525
"new.row.205","19300",1998,24838
"new.row.206","19300",1999,25705
"new.row.207","19300",2000,27307
"new.row.208","19300",2001,27479
"new.row.209","19300",2002,27758
"new.row.210","19300",2003,28256
"new.row.211","19300",2004,30447
"new.row.212","19300",2005,32000
"new.row.213","19300",2006,34351
"new.row.214","19300",2007,35711
"new.row.215","19300",2008,36054
"new.row.216","19300",2009,34836
"new.row.217","19300",2010,36464
"new.row.218","19300",2011,38115
"new.row.219","19300",2012,38548
"new.row.220","19460",1969,3075
"new.row.221","19460",1970,3335
"new.row.222","19460",1971,3485
"new.row.223","19460",1972,3709
"new.row.224","19460",1973,4094
"new.row.225","19460",1974,4346
"new.row.226","19460",1975,4931
"new.row.227","19460",1976,5366
"new.row.228","19460",1977,5877
"new.row.229","19460",1978,6519
"new.row.230","19460",1979,7352
"new.row.231","19460",1980,7918
"new.row.232","19460",1981,8883
"new.row.233","19460",1982,9306
"new.row.234","19460",1983,9984
"new.row.235","19460",1984,11267
"new.row.236","19460",1985,12194
"new.row.237","19460",1986,12850
"new.row.238","19460",1987,13404
"new.row.239","19460",1988,14509
"new.row.240","19460",1989,15635
"new.row.241","19460",1990,16426
"new.row.242","19460",1991,17120
"new.row.243","19460",1992,18166
"new.row.244","19460",1993,18555
"new.row.245","19460",1994,19622
"new.row.246","19460",1995,20327
"new.row.247","19460",1996,20929
"new.row.248","19460",1997,21632
"new.row.249","19460",1998,23008
"new.row.250","19460",1999,23683
"new.row.251","19460",2000,24266
"new.row.252","19460",2001,24723
"new.row.253","19460",2002,25117
"new.row.254","19460",2003,26101
"new.row.255","19460",2004,27572
"new.row.256","19460",2005,28518
"new.row.257","19460",2006,29756
"new.row.258","19460",2007,30974
"new.row.259","19460",2008,32076
"new.row.260","19460",2009,31051
"new.row.261","19460",2010,31514
"new.row.262","19460",2011,32185
"new.row.263","19460",2012,33127
"new.row.264","20020",1969,2734
"new.row.265","20020",1970,3021
"new.row.266","20020",1971,3281
"new.row.267","20020",1972,3560
"new.row.268","20020",1973,4245
"new.row.269","20020",1974,4513
"new.row.270","20020",1975,4799
"new.row.271","20020",1976,5429
"new.row.272","20020",1977,5769
"new.row.273","20020",1978,6427
"new.row.274","20020",1979,6942
"new.row.275","20020",1980,7561
"new.row.276","20020",1981,8940
"new.row.277","20020",1982,9126
"new.row.278","20020",1983,9622
"new.row.279","20020",1984,10826
"new.row.280","20020",1985,11306
"new.row.281","20020",1986,12010
"new.row.282","20020",1987,12725
"new.row.283","20020",1988,13851
"new.row.284","20020",1989,15388
"new.row.285","20020",1990,15592
"new.row.286","20020",1991,16140
"new.row.287","20020",1992,17411
"new.row.288","20020",1993,17547
"new.row.289","20020",1994,18618
"new.row.290","20020",1995,19687
"new.row.291","20020",1996,20012
"new.row.292","20020",1997,20828
"new.row.293","20020",1998,22221
"new.row.294","20020",1999,23118
"new.row.295","20020",2000,23698
"new.row.296","20020",2001,25362
"new.row.297","20020",2002,26221
"new.row.298","20020",2003,26733
"new.row.299","20020",2004,28435
"new.row.300","20020",2005,29988
"new.row.301","20020",2006,31098
"new.row.302","20020",2007,32535
"new.row.303","20020",2008,32990
"new.row.304","20020",2009,32586
"new.row.305","20020",2010,33951
"new.row.306","20020",2011,34727
"new.row.307","20020",2012,35816
"new.row.308","22520",1969,2813
"new.row.309","22520",1970,3082
"new.row.310","22520",1971,3376
"new.row.311","22520",1972,3655
"new.row.312","22520",1973,3962
"new.row.313","22520",1974,4388
"new.row.314","22520",1975,4727
"new.row.315","22520",1976,5387
"new.row.316","22520",1977,5834
"new.row.317","22520",1978,6606
"new.row.318","22520",1979,7211
"new.row.319","22520",1980,7924
"new.row.320","22520",1981,8729
"new.row.321","22520",1982,9135
"new.row.322","22520",1983,9571
"new.row.323","22520",1984,10397
"new.row.324","22520",1985,11024
"new.row.325","22520",1986,11682
"new.row.326","22520",1987,12367
"new.row.327","22520",1988,13515
"new.row.328","22520",1989,14465
"new.row.329","22520",1990,15738
"new.row.330","22520",1991,16198
"new.row.331","22520",1992,17151
"new.row.332","22520",1993,17600
"new.row.333","22520",1994,18529
"new.row.334","22520",1995,19445
"new.row.335","22520",1996,20053
"new.row.336","22520",1997,20593
"new.row.337","22520",1998,21032
"new.row.338","22520",1999,21557
"new.row.339","22520",2000,22390
"new.row.340","22520",2001,23059
"new.row.341","22520",2002,23192
"new.row.342","22520",2003,24075
"new.row.343","22520",2004,25211
"new.row.344","22520",2005,26466
"new.row.345","22520",2006,27680
"new.row.346","22520",2007,29253
"new.row.347","22520",2008,29878
"new.row.348","22520",2009,29963
"new.row.349","22520",2010,31322
"new.row.350","22520",2011,32233
"new.row.351","22520",2012,33249
"new.row.352","23460",1969,2966
"new.row.353","23460",1970,3005
"new.row.354","23460",1971,3277
"new.row.355","23460",1972,3645
"new.row.356","23460",1973,4023
"new.row.357","23460",1974,4395
"new.row.358","23460",1975,4806
"new.row.359","23460",1976,5182
"new.row.360","23460",1977,5859
"new.row.361","23460",1978,6564
"new.row.362","23460",1979,7277
"new.row.363","23460",1980,7932
"new.row.364","23460",1981,8832
"new.row.365","23460",1982,9013
"new.row.366","23460",1983,9563
"new.row.367","23460",1984,10496
"new.row.368","23460",1985,11030
"new.row.369","23460",1986,11559
"new.row.370","23460",1987,12309
"new.row.371","23460",1988,13174
"new.row.372","23460",1989,14070
"new.row.373","23460",1990,14588
"new.row.374","23460",1991,14906
"new.row.375","23460",1992,15983
"new.row.376","23460",1993,16702
"new.row.377","23460",1994,17552
"new.row.378","23460",1995,18139
"new.row.379","23460",1996,18839
"new.row.380","23460",1997,19628
"new.row.381","23460",1998,20442
"new.row.382","23460",1999,21058
"new.row.383","23460",2000,22114
"new.row.384","23460",2001,22944
"new.row.385","23460",2002,23616
"new.row.386","23460",2003,24546
"new.row.387","23460",2004,25705
"new.row.388","23460",2005,26673
"new.row.389","23460",2006,27635
"new.row.390","23460",2007,29180
"new.row.391","23460",2008,30087
"new.row.392","23460",2009,30152
"new.row.393","23460",2010,31280
"new.row.394","23460",2011,31851
"new.row.395","23460",2012,32717
"new.row.396","26620",1969,3654
"new.row.397","26620",1970,3956
"new.row.398","26620",1971,4326
"new.row.399","26620",1972,4653
"new.row.400","26620",1973,4989
"new.row.401","26620",1974,5406
"new.row.402","26620",1975,5752
"new.row.403","26620",1976,6310
"new.row.404","26620",1977,6834
"new.row.405","26620",1978,7650
"new.row.406","26620",1979,8374
"new.row.407","26620",1980,9114
"new.row.408","26620",1981,10147
"new.row.409","26620",1982,10962
"new.row.410","26620",1983,11869
"new.row.411","26620",1984,13350
"new.row.412","26620",1985,14498
"new.row.413","26620",1986,15401
"new.row.414","26620",1987,16415
"new.row.415","26620",1988,17534
"new.row.416","26620",1989,18675
"new.row.417","26620",1990,19617
"new.row.418","26620",1991,20301
"new.row.419","26620",1992,21477
"new.row.420","26620",1993,21362
"new.row.421","26620",1994,21772
"new.row.422","26620",1995,22822
"new.row.423","26620",1996,23601
"new.row.424","26620",1997,24991
"new.row.425","26620",1998,26352
"new.row.426","26620",1999,26842
"new.row.427","26620",2000,28672
"new.row.428","26620",2001,29001
"new.row.429","26620",2002,29511
"new.row.430","26620",2003,30818
"new.row.431","26620",2004,32451
"new.row.432","26620",2005,34143
"new.row.433","26620",2006,35850
"new.row.434","26620",2007,37411
"new.row.435","26620",2008,38650
"new.row.436","26620",2009,38469
"new.row.437","26620",2010,39593
"new.row.438","26620",2011,40974
"new.row.439","26620",2012,41595
"new.row.440","33660",1969,2728
"new.row.441","33660",1970,2980
"new.row.442","33660",1971,3172
"new.row.443","33660",1972,3496
"new.row.444","33660",1973,3916
"new.row.445","33660",1974,4408
"new.row.446","33660",1975,4961
"new.row.447","33660",1976,5462
"new.row.448","33660",1977,5939
"new.row.449","33660",1978,6567
"new.row.450","33660",1979,7206
"new.row.451","33660",1980,8108
"new.row.452","33660",1981,8882
"new.row.453","33660",1982,9199
"new.row.454","33660",1983,9504
"new.row.455","33660",1984,10230
"new.row.456","33660",1985,10968
"new.row.457","33660",1986,11378
"new.row.458","33660",1987,11746
"new.row.459","33660",1988,12511
"new.row.460","33660",1989,13689
"new.row.461","33660",1990,14535
"new.row.462","33660",1991,15377
"new.row.463","33660",1992,16327
"new.row.464","33660",1993,16807
"new.row.465","33660",1994,17494
"new.row.466","33660",1995,18287
"new.row.467","33660",1996,18987
"new.row.468","33660",1997,19759
"new.row.469","33660",1998,21323
"new.row.470","33660",1999,21497
"new.row.471","33660",2000,22270
"new.row.472","33660",2001,22792
"new.row.473","33660",2002,23123
"new.row.474","33660",2003,23799
"new.row.475","33660",2004,25100
"new.row.476","33660",2005,26700
"new.row.477","33660",2006,28684
"new.row.478","33660",2007,29537
"new.row.479","33660",2008,30829
"new.row.480","33660",2009,30391
"new.row.481","33660",2010,31332
"new.row.482","33660",2011,32580
"new.row.483","33660",2012,32772
"new.row.484","33860",1969,3129
"new.row.485","33860",1970,3425
"new.row.486","33860",1971,3834
"new.row.487","33860",1972,4273
"new.row.488","33860",1973,4720
"new.row.489","33860",1974,5123
"new.row.490","33860",1975,5497
"new.row.491","33860",1976,6052
"new.row.492","33860",1977,6522
"new.row.493","33860",1978,7317
"new.row.494","33860",1979,7995
"new.row.495","33860",1980,8683
"new.row.496","33860",1981,9494
"new.row.497","33860",1982,10100
"new.row.498","33860",1983,11019
"new.row.499","33860",1984,12005
"new.row.500","33860",1985,12902
"new.row.501","33860",1986,13619
"new.row.502","33860",1987,14420
"new.row.503","33860",1988,15442
"new.row.504","33860",1989,16671
"new.row.505","33860",1990,17429
"new.row.506","33860",1991,18030
"new.row.507","33860",1992,19085
"new.row.508","33860",1993,19624
"new.row.509","33860",1994,20609
"new.row.510","33860",1995,21542
"new.row.511","33860",1996,22278
"new.row.512","33860",1997,23274
"new.row.513","33860",1998,24522
"new.row.514","33860",1999,25499
"new.row.515","33860",2000,26785
"new.row.516","33860",2001,27919
"new.row.517","33860",2002,29140
"new.row.518","33860",2003,30542
"new.row.519","33860",2004,32305
"new.row.520","33860",2005,33423
"new.row.521","33860",2006,34821
"new.row.522","33860",2007,35412
"new.row.523","33860",2008,36461
"new.row.524","33860",2009,35770
"new.row.525","33860",2010,36259
"new.row.526","33860",2011,37044
"new.row.527","33860",2012,37905
"new.row.528","46220",1969,2424
"new.row.529","46220",1970,2748
"new.row.530","46220",1971,3057
"new.row.531","46220",1972,3339
"new.row.532","46220",1973,3685
"new.row.533","46220",1974,4077
"new.row.534","46220",1975,4561
"new.row.535","46220",1976,4922
"new.row.536","46220",1977,5541
"new.row.537","46220",1978,6079
"new.row.538","46220",1979,6692
"new.row.539","46220",1980,7084
"new.row.540","46220",1981,7865
"new.row.541","46220",1982,8482
"new.row.542","46220",1983,9085
"new.row.543","46220",1984,10034
"new.row.544","46220",1985,10772
"new.row.545","46220",1986,11150
"new.row.546","46220",1987,11878
"new.row.547","46220",1988,12552
"new.row.548","46220",1989,13830
"new.row.549","46220",1990,14901
"new.row.550","46220",1991,15398
"new.row.551","46220",1992,16564
"new.row.552","46220",1993,17356
"new.row.553","46220",1994,18294
"new.row.554","46220",1995,19046
"new.row.555","46220",1996,19680
"new.row.556","46220",1997,20572
"new.row.557","46220",1998,21875
"new.row.558","46220",1999,23009
"new.row.559","46220",2000,23735
"new.row.560","46220",2001,24865
"new.row.561","46220",2002,25317
"new.row.562","46220",2003,26191
"new.row.563","46220",2004,27469
"new.row.564","46220",2005,29252
"new.row.565","46220",2006,30474
"new.row.566","46220",2007,31886
"new.row.567","46220",2008,32803
"new.row.568","46220",2009,32043
"new.row.569","46220",2010,33218
"new.row.570","46220",2011,34012
"new.row.571","46220",2012,34870
"new.row.572","11260",1969,6152
"new.row.573","11260",1970,6745
"new.row.574","11260",1971,7036
"new.row.575","11260",1972,7300
"new.row.576","11260",1973,7803
"new.row.577","11260",1974,9278
"new.row.578","11260",1975,11410
"new.row.579","11260",1976,12823
"new.row.580","11260",1977,14005
"new.row.581","11260",1978,13926
"new.row.582","11260",1979,14389
"new.row.583","11260",1980,16283
"new.row.584","11260",1981,18452
"new.row.585","11260",1982,21142
"new.row.586","11260",1983,21369
"new.row.587","11260",1984,21883
"new.row.588","11260",1985,22256
"new.row.589","11260",1986,21825
"new.row.590","11260",1987,21043
"new.row.591","11260",1988,21378
"new.row.592","11260",1989,23298
"new.row.593","11260",1990,24811
"new.row.594","11260",1991,25143
"new.row.595","11260",1992,25833
"new.row.596","11260",1993,26781
"new.row.597","11260",1994,27513
"new.row.598","11260",1995,27837
"new.row.599","11260",1996,28633
"new.row.600","11260",1997,30172
"new.row.601","11260",1998,31260
"new.row.602","11260",1999,31933
"new.row.603","11260",2000,33789
"new.row.604","11260",2001,35805
"new.row.605","11260",2002,37082
"new.row.606","11260",2003,38038
"new.row.607","11260",2004,39021
"new.row.608","11260",2005,40600
"new.row.609","11260",2006,42305
"new.row.610","11260",2007,45033
"new.row.611","11260",2008,48562
"new.row.612","11260",2009,47107
"new.row.613","11260",2010,48442
"new.row.614","11260",2011,50796
"new.row.615","11260",2012,52360
"new.row.616","21820",1969,5543
"new.row.617","21820",1970,6012
"new.row.618","21820",1971,6103
"new.row.619","21820",1972,6447
"new.row.620","21820",1973,6805
"new.row.621","21820",1974,9262
"new.row.622","21820",1975,15506
"new.row.623","21820",1976,15109
"new.row.624","21820",1977,13660
"new.row.625","21820",1978,13173
"new.row.626","21820",1979,13568
"new.row.627","21820",1980,14947
"new.row.628","21820",1981,16380
"new.row.629","21820",1982,19605
"new.row.630","21820",1983,19020
"new.row.631","21820",1984,19106
"new.row.632","21820",1985,19570
"new.row.633","21820",1986,18639
"new.row.634","21820",1987,18242
"new.row.635","21820",1988,18306
"new.row.636","21820",1989,19590
"new.row.637","21820",1990,20070
"new.row.638","21820",1991,20288
"new.row.639","21820",1992,21416
"new.row.640","21820",1993,22250
"new.row.641","21820",1994,22283
"new.row.642","21820",1995,23650
"new.row.643","21820",1996,24006
"new.row.644","21820",1997,25258
"new.row.645","21820",1998,26363
"new.row.646","21820",1999,27222
"new.row.647","21820",2000,29416
"new.row.648","21820",2001,29613
"new.row.649","21820",2002,30783
"new.row.650","21820",2003,32000
"new.row.651","21820",2004,32652
"new.row.652","21820",2005,34768
"new.row.653","21820",2006,37344
"new.row.654","21820",2007,38846
"new.row.655","21820",2008,41982
"new.row.656","21820",2009,41705
"new.row.657","21820",2010,41980
"new.row.658","21820",2011,44851
"new.row.659","21820",2012,45432
"new.row.660","22380",1969,3029
"new.row.661","22380",1970,3269
"new.row.662","22380",1971,3568
"new.row.663","22380",1972,3963
"new.row.664","22380",1973,4419
"new.row.665","22380",1974,4535
"new.row.666","22380",1975,4757
"new.row.667","22380",1976,5387
"new.row.668","22380",1977,5705
"new.row.669","22380",1978,6583
"new.row.670","22380",1979,7042
"new.row.671","22380",1980,7875
"new.row.672","22380",1981,8477
"new.row.673","22380",1982,8860
"new.row.674","22380",1983,9475
"new.row.675","22380",1984,10267
"new.row.676","22380",1985,11118
"new.row.677","22380",1986,11838
"new.row.678","22380",1987,12266
"new.row.679","22380",1988,12727
"new.row.680","22380",1989,13291
"new.row.681","22380",1990,14189
"new.row.682","22380",1991,14738
"new.row.683","22380",1992,15716
"new.row.684","22380",1993,16115
"new.row.685","22380",1994,17034
"new.row.686","22380",1995,17800
"new.row.687","22380",1996,18820
"new.row.688","22380",1997,19891
"new.row.689","22380",1998,21384
"new.row.690","22380",1999,22585
"new.row.691","22380",2000,24110
"new.row.692","22380",2001,24861
"new.row.693","22380",2002,25424
"new.row.694","22380",2003,26211
"new.row.695","22380",2004,27792
"new.row.696","22380",2005,29559
"new.row.697","22380",2006,31946
"new.row.698","22380",2007,33340
"new.row.699","22380",2008,34812
"new.row.700","22380",2009,33822
"new.row.701","22380",2010,33607
"new.row.702","22380",2011,34430
"new.row.703","22380",2012,34820
"new.row.704","29420",1969,3734
"new.row.705","29420",1970,3875
"new.row.706","29420",1971,4109
"new.row.707","29420",1972,4350
"new.row.708","29420",1973,4775
"new.row.709","29420",1974,4947
"new.row.710","29420",1975,5312
"new.row.711","29420",1976,5381
"new.row.712","29420",1977,6157
"new.row.713","29420",1978,7109
"new.row.714","29420",1979,7651
"new.row.715","29420",1980,8141
"new.row.716","29420",1981,8767
"new.row.717","29420",1982,8687
"new.row.718","29420",1983,9484
"new.row.719","29420",1984,10541
"new.row.720","29420",1985,11386
"new.row.721","29420",1986,11978
"new.row.722","29420",1987,12905
"new.row.723","29420",1988,13508
"new.row.724","29420",1989,14391
"new.row.725","29420",1990,15072
"new.row.726","29420",1991,15042
"new.row.727","29420",1992,15140
"new.row.728","29420",1993,15503
"new.row.729","29420",1994,16217
"new.row.730","29420",1995,15667
"new.row.731","29420",1996,16114
"new.row.732","29420",1997,16992
"new.row.733","29420",1998,18061
"new.row.734","29420",1999,18732
"new.row.735","29420",2000,19646
"new.row.736","29420",2001,20327
"new.row.737","29420",2002,20696
"new.row.738","29420",2003,21328
"new.row.739","29420",2004,22316
"new.row.740","29420",2005,23755
"new.row.741","29420",2006,24955
"new.row.742","29420",2007,26076
"new.row.743","29420",2008,26480
"new.row.744","29420",2009,25714
"new.row.745","29420",2010,26002
"new.row.746","29420",2011,26524
"new.row.747","29420",2012,27220
"new.row.748","38060",1969,3831
"new.row.749","38060",1970,4204
"new.row.750","38060",1971,4551
"new.row.751","38060",1972,4939
"new.row.752","38060",1973,5383
"new.row.753","38060",1974,5804
"new.row.754","38060",1975,6013
"new.row.755","38060",1976,6610
"new.row.756","38060",1977,7233
"new.row.757","38060",1978,8264
"new.row.758","38060",1979,9402
"new.row.759","38060",1980,10438
"new.row.760","38060",1981,11611
"new.row.761","38060",1982,11977
"new.row.762","38060",1983,12859
"new.row.763","38060",1984,14122
"new.row.764","38060",1985,15068
"new.row.765","38060",1986,15920
"new.row.766","38060",1987,16546
"new.row.767","38060",1988,17354
"new.row.768","38060",1989,18188
"new.row.769","38060",1990,18747
"new.row.770","38060",1991,18974
"new.row.771","38060",1992,19531
"new.row.772","38060",1993,20171
"new.row.773","38060",1994,21247
"new.row.774","38060",1995,22262
"new.row.775","38060",1996,23417
"new.row.776","38060",1997,24724
"new.row.777","38060",1998,26320
"new.row.778","38060",1999,27201
"new.row.779","38060",2000,29081
"new.row.780","38060",2001,29706
"new.row.781","38060",2002,30004
"new.row.782","38060",2003,30804
"new.row.783","38060",2004,32587
"new.row.784","38060",2005,34857
"new.row.785","38060",2006,37519
"new.row.786","38060",2007,38345
"new.row.787","38060",2008,37663
"new.row.788","38060",2009,35456
"new.row.789","38060",2010,35384
"new.row.790","38060",2011,37171
"new.row.791","38060",2012,38006
"new.row.792","39140",1969,3445
"new.row.793","39140",1970,3818
"new.row.794","39140",1971,4208
"new.row.795","39140",1972,4500
"new.row.796","39140",1973,4995
"new.row.797","39140",1974,5201
"new.row.798","39140",1975,5886
"new.row.799","39140",1976,5905
"new.row.800","39140",1977,6370
"new.row.801","39140",1978,7175
"new.row.802","39140",1979,7836
"new.row.803","39140",1980,8971
"new.row.804","39140",1981,10049
"new.row.805","39140",1982,10182
"new.row.806","39140",1983,10815
"new.row.807","39140",1984,11804
"new.row.808","39140",1985,12748
"new.row.809","39140",1986,13218
"new.row.810","39140",1987,13552
"new.row.811","39140",1988,14071
"new.row.812","39140",1989,14838
"new.row.813","39140",1990,15181
"new.row.814","39140",1991,15591
"new.row.815","39140",1992,16109
"new.row.816","39140",1993,16648
"new.row.817","39140",1994,18088
"new.row.818","39140",1995,18159
"new.row.819","39140",1996,18874
"new.row.820","39140",1997,19886
"new.row.821","39140",1998,21109
"new.row.822","39140",1999,21603
"new.row.823","39140",2000,22491
"new.row.824","39140",2001,22562
"new.row.825","39140",2002,22898
"new.row.826","39140",2003,23760
"new.row.827","39140",2004,25692
"new.row.828","39140",2005,27925
"new.row.829","39140",2006,29588
"new.row.830","39140",2007,31519
"new.row.831","39140",2008,31146
"new.row.832","39140",2009,29584
"new.row.833","39140",2010,29602
"new.row.834","39140",2011,30543
"new.row.835","39140",2012,31617
"new.row.836","43420",1969,3881
"new.row.837","43420",1970,4103
"new.row.838","43420",1971,4612
"new.row.839","43420",1972,4929
"new.row.840","43420",1973,5259
"new.row.841","43420",1974,5519
"new.row.842","43420",1975,5739
"new.row.843","43420",1976,6117
"new.row.844","43420",1977,6496
"new.row.845","43420",1978,7166
"new.row.846","43420",1979,7441
"new.row.847","43420",1980,8432
"new.row.848","43420",1981,9174
"new.row.849","43420",1982,9650
"new.row.850","43420",1983,10459
"new.row.851","43420",1984,11285
"new.row.852","43420",1985,11789
"new.row.853","43420",1986,12151
"new.row.854","43420",1987,12625
"new.row.855","43420",1988,13343
"new.row.856","43420",1989,13841
"new.row.857","43420",1990,14612
"new.row.858","43420",1991,15316
"new.row.859","43420",1992,16210
"new.row.860","43420",1993,16401
"new.row.861","43420",1994,16562
"new.row.862","43420",1995,16725
"new.row.863","43420",1996,17565
"new.row.864","43420",1997,18021
"new.row.865","43420",1998,19155
"new.row.866","43420",1999,19890
"new.row.867","43420",2000,21127
"new.row.868","43420",2001,22637
"new.row.869","43420",2002,23570
"new.row.870","43420",2003,25259
"new.row.871","43420",2004,27213
"new.row.872","43420",2005,29274
