"","msa.fips","year","dividends.interest.and.rent"
"new.row.3864","37460",2008,1666353
"new.row.3865","37460",2009,1457212
"new.row.3866","37460",2010,1502315
"new.row.3867","37460",2011,1627940
"new.row.3868","37460",2012,1588622
"new.row.3869","37460",2013,1630029
"new.row.3870","37860",1969,128375
"new.row.3871","37860",1970,162004
"new.row.3872","37860",1971,186418
"new.row.3873","37860",1972,205917
"new.row.3874","37860",1973,222500
"new.row.3875","37860",1974,256282
"new.row.3876","37860",1975,287202
"new.row.3877","37860",1976,299816
"new.row.3878","37860",1977,336454
"new.row.3879","37860",1978,403020
"new.row.3880","37860",1979,455214
"new.row.3881","37860",1980,531125
"new.row.3882","37860",1981,624065
"new.row.3883","37860",1982,694791
"new.row.3884","37860",1983,772678
"new.row.3885","37860",1984,878259
"new.row.3886","37860",1985,967119
"new.row.3887","37860",1986,1046851
"new.row.3888","37860",1987,1102644
"new.row.3889","37860",1988,1179844
"new.row.3890","37860",1989,1348082
"new.row.3891","37860",1990,1436278
"new.row.3892","37860",1991,1460932
"new.row.3893","37860",1992,1486934
"new.row.3894","37860",1993,1556327
"new.row.3895","37860",1994,1637683
"new.row.3896","37860",1995,1782729
"new.row.3897","37860",1996,1947778
"new.row.3898","37860",1997,2102461
"new.row.3899","37860",1998,2286415
"new.row.3900","37860",1999,2319794
"new.row.3901","37860",2000,2476356
"new.row.3902","37860",2001,2653175
"new.row.3903","37860",2002,2659905
"new.row.3904","37860",2003,2658515
"new.row.3905","37860",2004,2786434
"new.row.3906","37860",2005,2989116
"new.row.3907","37860",2006,3347744
"new.row.3908","37860",2007,3630348
"new.row.3909","37860",2008,3708276
"new.row.3910","37860",2009,3347830
"new.row.3911","37860",2010,3392052
"new.row.3912","37860",2011,3732551
"new.row.3913","37860",2012,3937546
"new.row.3914","37860",2013,4061190
"new.row.3915","38940",1969,69185
"new.row.3916","38940",1970,85036
"new.row.3917","38940",1971,99320
"new.row.3918","38940",1972,115893
"new.row.3919","38940",1973,144355
"new.row.3920","38940",1974,175101
"new.row.3921","38940",1975,201030
"new.row.3922","38940",1976,225153
"new.row.3923","38940",1977,263444
"new.row.3924","38940",1978,319774
"new.row.3925","38940",1979,391296
"new.row.3926","38940",1980,518958
"new.row.3927","38940",1981,682759
"new.row.3928","38940",1982,766378
"new.row.3929","38940",1983,853230
"new.row.3930","38940",1984,983860
"new.row.3931","38940",1985,1142554
"new.row.3932","38940",1986,1262466
"new.row.3933","38940",1987,1358319
"new.row.3934","38940",1988,1607773
"new.row.3935","38940",1989,2011500
"new.row.3936","38940",1990,2307417
"new.row.3937","38940",1991,2281294
"new.row.3938","38940",1992,2268361
"new.row.3939","38940",1993,2397477
"new.row.3940","38940",1994,2531611
"new.row.3941","38940",1995,2926808
"new.row.3942","38940",1996,3157986
"new.row.3943","38940",1997,3406341
"new.row.3944","38940",1998,3722457
"new.row.3945","38940",1999,3841802
"new.row.3946","38940",2000,4080438
"new.row.3947","38940",2001,4159395
"new.row.3948","38940",2002,3881932
"new.row.3949","38940",2003,4018426
"new.row.3950","38940",2004,4820702
"new.row.3951","38940",2005,5220543
"new.row.3952","38940",2006,5980438
"new.row.3953","38940",2007,6413509
"new.row.3954","38940",2008,6537229
"new.row.3955","38940",2009,5326487
"new.row.3956","38940",2010,5555648
"new.row.3957","38940",2011,6095167
"new.row.3958","38940",2012,6101944
"new.row.3959","38940",2013,6147942
"new.row.3960","39460",1969,29958
"new.row.3961","39460",1970,38236
"new.row.3962","39460",1971,45893
"new.row.3963","39460",1972,53510
"new.row.3964","39460",1973,66495
"new.row.3965","39460",1974,81797
"new.row.3966","39460",1975,96543
"new.row.3967","39460",1976,108922
"new.row.3968","39460",1977,128904
"new.row.3969","39460",1978,158488
"new.row.3970","39460",1979,190774
"new.row.3971","39460",1980,238691
"new.row.3972","39460",1981,295529
"new.row.3973","39460",1982,318152
"new.row.3974","39460",1983,370221
"new.row.3975","39460",1984,460991
"new.row.3976","39460",1985,540428
"new.row.3977","39460",1986,598496
"new.row.3978","39460",1987,646458
"new.row.3979","39460",1988,726069
"new.row.3980","39460",1989,911292
"new.row.3981","39460",1990,954348
"new.row.3982","39460",1991,931327
"new.row.3983","39460",1992,940693
"new.row.3984","39460",1993,976152
"new.row.3985","39460",1994,1052508
"new.row.3986","39460",1995,1135273
"new.row.3987","39460",1996,1208134
"new.row.3988","39460",1997,1348865
"new.row.3989","39460",1998,1427574
"new.row.3990","39460",1999,1429648
"new.row.3991","39460",2000,1522155
"new.row.3992","39460",2001,1478245
"new.row.3993","39460",2002,1366924
"new.row.3994","39460",2003,1367680
"new.row.3995","39460",2004,1612433
"new.row.3996","39460",2005,1755039
"new.row.3997","39460",2006,1927362
"new.row.3998","39460",2007,2186183
"new.row.3999","39460",2008,2181377
"new.row.4000","39460",2009,1826735
"new.row.4001","39460",2010,1782536
"new.row.4002","39460",2011,2013203
"new.row.4003","39460",2012,2025253
"new.row.4004","39460",2013,2054939
"new.row.4005","42680",1969,37234
"new.row.4006","42680",1970,45283
"new.row.4007","42680",1971,52887
"new.row.4008","42680",1972,61241
"new.row.4009","42680",1973,74483
"new.row.4010","42680",1974,89474
"new.row.4011","42680",1975,99710
"new.row.4012","42680",1976,114979
"new.row.4013","42680",1977,137102
"new.row.4014","42680",1978,171663
"new.row.4015","42680",1979,209832
"new.row.4016","42680",1980,266417
"new.row.4017","42680",1981,357137
"new.row.4018","42680",1982,374052
"new.row.4019","42680",1983,423181
"new.row.4020","42680",1984,509089
"new.row.4021","42680",1985,601530
"new.row.4022","42680",1986,652131
"new.row.4023","42680",1987,727580
"new.row.4024","42680",1988,855052
"new.row.4025","42680",1989,974697
"new.row.4026","42680",1990,1130804
"new.row.4027","42680",1991,1221720
"new.row.4028","42680",1992,1258044
"new.row.4029","42680",1993,1295594
"new.row.4030","42680",1994,1383090
"new.row.4031","42680",1995,1584873
"new.row.4032","42680",1996,1692561
"new.row.4033","42680",1997,1847764
"new.row.4034","42680",1998,1999581
"new.row.4035","42680",1999,2046970
"new.row.4036","42680",2000,2158292
"new.row.4037","42680",2001,2366273
"new.row.4038","42680",2002,2348857
"new.row.4039","42680",2003,2383399
"new.row.4040","42680",2004,3046694
"new.row.4041","42680",2005,3359466
"new.row.4042","42680",2006,4030314
"new.row.4043","42680",2007,4149337
"new.row.4044","42680",2008,4177466
"new.row.4045","42680",2009,3084416
"new.row.4046","42680",2010,3173069
"new.row.4047","42680",2011,3614047
"new.row.4048","42680",2012,3877501
"new.row.4049","42680",2013,3878124
"new.row.4050","42700",1969,22165
"new.row.4051","42700",1970,26040
"new.row.4052","42700",1971,29280
"new.row.4053","42700",1972,32987
"new.row.4054","42700",1973,39779
"new.row.4055","42700",1974,46866
"new.row.4056","42700",1975,54283
"new.row.4057","42700",1976,59135
"new.row.4058","42700",1977,68670
"new.row.4059","42700",1978,83887
"new.row.4060","42700",1979,100753
"new.row.4061","42700",1980,126068
"new.row.4062","42700",1981,153737
"new.row.4063","42700",1982,182543
"new.row.4064","42700",1983,203758
"new.row.4065","42700",1984,241177
"new.row.4066","42700",1985,276899
"new.row.4067","42700",1986,308525
"new.row.4068","42700",1987,320992
"new.row.4069","42700",1988,349031
"new.row.4070","42700",1989,415392
"new.row.4071","42700",1990,426054
"new.row.4072","42700",1991,413310
"new.row.4073","42700",1992,414251
"new.row.4074","42700",1993,427142
"new.row.4075","42700",1994,444148
"new.row.4076","42700",1995,480283
"new.row.4077","42700",1996,516460
"new.row.4078","42700",1997,541572
"new.row.4079","42700",1998,577139
"new.row.4080","42700",1999,564013
"new.row.4081","42700",2000,601111
"new.row.4082","42700",2001,617226
"new.row.4083","42700",2002,610339
"new.row.4084","42700",2003,608390
"new.row.4085","42700",2004,617303
"new.row.4086","42700",2005,657291
"new.row.4087","42700",2006,716800
"new.row.4088","42700",2007,836418
"new.row.4089","42700",2008,865940
"new.row.4090","42700",2009,742836
"new.row.4091","42700",2010,789920
"new.row.4092","42700",2011,837878
"new.row.4093","42700",2012,765836
"new.row.4094","42700",2013,780672
"new.row.4095","45220",1969,59391
"new.row.4096","45220",1970,70612
"new.row.4097","45220",1971,81865
"new.row.4098","45220",1972,95519
"new.row.4099","45220",1973,112868
"new.row.4100","45220",1974,135245
"new.row.4101","45220",1975,150946
"new.row.4102","45220",1976,160357
"new.row.4103","45220",1977,177751
"new.row.4104","45220",1978,206750
"new.row.4105","45220",1979,238070
"new.row.4106","45220",1980,289274
"new.row.4107","45220",1981,354903
"new.row.4108","45220",1982,406796
"new.row.4109","45220",1983,462300
"new.row.4110","45220",1984,513224
"new.row.4111","45220",1985,561145
"new.row.4112","45220",1986,614724
"new.row.4113","45220",1987,650716
"new.row.4114","45220",1988,710083
"new.row.4115","45220",1989,846171
"new.row.4116","45220",1990,894126
"new.row.4117","45220",1991,893192
"new.row.4118","45220",1992,901519
"new.row.4119","45220",1993,962469
"new.row.4120","45220",1994,1035254
"new.row.4121","45220",1995,1184569
"new.row.4122","45220",1996,1243653
"new.row.4123","45220",1997,1304056
"new.row.4124","45220",1998,1414991
"new.row.4125","45220",1999,1436723
"new.row.4126","45220",2000,1509316
"new.row.4127","45220",2001,1571885
"new.row.4128","45220",2002,1534927
"new.row.4129","45220",2003,1657615
"new.row.4130","45220",2004,1929045
"new.row.4131","45220",2005,2190179
"new.row.4132","45220",2006,2419660
"new.row.4133","45220",2007,2569869
"new.row.4134","45220",2008,2551456
"new.row.4135","45220",2009,2341907
"new.row.4136","45220",2010,2704710
"new.row.4137","45220",2011,3413360
"new.row.4138","45220",2012,2786784
"new.row.4139","45220",2013,2825149
"new.row.4140","45300",1969,946449
"new.row.4141","45300",1970,1090730
"new.row.4142","45300",1971,1213088
"new.row.4143","45300",1972,1346637
"new.row.4144","45300",1973,1552596
"new.row.4145","45300",1974,1821800
"new.row.4146","45300",1975,2050055
"new.row.4147","45300",1976,2214715
"new.row.4148","45300",1977,2523952
"new.row.4149","45300",1978,2944456
"new.row.4150","45300",1979,3439374
"new.row.4151","45300",1980,4323344
"new.row.4152","45300",1981,5374768
"new.row.4153","45300",1982,5918425
"new.row.4154","45300",1983,6659934
"new.row.4155","45300",1984,7586623
"new.row.4156","45300",1985,8413372
"new.row.4157","45300",1986,8990288
"new.row.4158","45300",1987,9202548
"new.row.4159","45300",1988,9820502
"new.row.4160","45300",1989,11761908
"new.row.4161","45300",1990,11752144
"new.row.4162","45300",1991,11391850
"new.row.4163","45300",1992,11036097
"new.row.4164","45300",1993,11730101
"new.row.4165","45300",1994,11660091
"new.row.4166","45300",1995,12857557
"new.row.4167","45300",1996,13532674
"new.row.4168","45300",1997,14744564
"new.row.4169","45300",1998,15609364
"new.row.4170","45300",1999,15453535
"new.row.4171","45300",2000,16684099
"new.row.4172","45300",2001,16846619
"new.row.4173","45300",2002,16420072
"new.row.4174","45300",2003,17182914
"new.row.4175","45300",2004,18710074
"new.row.4176","45300",2005,20672935
"new.row.4177","45300",2006,23158997
"new.row.4178","45300",2007,24849421
"new.row.4179","45300",2008,24463057
"new.row.4180","45300",2009,21272246
"new.row.4181","45300",2010,25226017
"new.row.4182","45300",2011,28117154
"new.row.4183","45300",2012,25961636
"new.row.4184","45300",2013,26387788
"new.row.4185","45540",1969,4914
"new.row.4186","45540",1970,6196
"new.row.4187","45540",1971,7136
"new.row.4188","45540",1972,8309
"new.row.4189","45540",1973,10235
"new.row.4190","45540",1974,12067
"new.row.4191","45540",1975,13868
"new.row.4192","45540",1976,14790
"new.row.4193","45540",1977,16723
"new.row.4194","45540",1978,21482
"new.row.4195","45540",1979,26705
"new.row.4196","45540",1980,34781
"new.row.4197","45540",1981,42683
"new.row.4198","45540",1982,47062
"new.row.4199","45540",1983,55849
"new.row.4200","45540",1984,64079
"new.row.4201","45540",1985,71443
"new.row.4202","45540",1986,77949
"new.row.4203","45540",1987,81656
"new.row.4204","45540",1988,84524
"new.row.4205","45540",1989,100675
"new.row.4206","45540",1990,107148
"new.row.4207","45540",1991,111377
"new.row.4208","45540",1992,114177
"new.row.4209","45540",1993,118713
"new.row.4210","45540",1994,129053
"new.row.4211","45540",1995,143913
"new.row.4212","45540",1996,162209
"new.row.4213","45540",1997,181222
"new.row.4214","45540",1998,207128
"new.row.4215","45540",1999,210426
"new.row.4216","45540",2000,223246
"new.row.4217","45540",2001,226463
"new.row.4218","45540",2002,248879
"new.row.4219","45540",2003,277891
"new.row.4220","45540",2004,350284
"new.row.4221","45540",2005,395616
"new.row.4222","45540",2006,487819
"new.row.4223","45540",2007,558524
"new.row.4224","45540",2008,664891
"new.row.4225","45540",2009,618191
"new.row.4226","45540",2010,774895
"new.row.4227","45540",2011,1062732
"new.row.4228","45540",2012,1304416
"new.row.4229","45540",2013,1313499
"new.row.4230","10500",1969,42908
"new.row.4231","10500",1970,53930
"new.row.4232","10500",1971,61291
"new.row.4233","10500",1972,67632
"new.row.4234","10500",1973,77731
"new.row.4235","10500",1974,80436
"new.row.4236","10500",1975,84738
"new.row.4237","10500",1976,91181
"new.row.4238","10500",1977,101955
"new.row.4239","10500",1978,117247
"new.row.4240","10500",1979,130837
"new.row.4241","10500",1980,161621
"new.row.4242","10500",1981,194800
"new.row.4243","10500",1982,222849
"new.row.4244","10500",1983,240927
"new.row.4245","10500",1984,264625
"new.row.4246","10500",1985,281245
"new.row.4247","10500",1986,299474
"new.row.4248","10500",1987,311356
"new.row.4249","10500",1988,328746
"new.row.4250","10500",1989,381819
"new.row.4251","10500",1990,390176
"new.row.4252","10500",1991,403661
"new.row.4253","10500",1992,410538
"new.row.4254","10500",1993,431942
"new.row.4255","10500",1994,463842
"new.row.4256","10500",1995,489164
"new.row.4257","10500",1996,526675
"new.row.4258","10500",1997,556912
"new.row.4259","10500",1998,591227
"new.row.4260","10500",1999,584427
"new.row.4261","10500",2000,603745
"new.row.4262","10500",2001,642270
"new.row.4263","10500",2002,643375
"new.row.4264","10500",2003,687508
"new.row.4265","10500",2004,689495
"new.row.4266","10500",2005,675719
"new.row.4267","10500",2006,695307
"new.row.4268","10500",2007,805569
"new.row.4269","10500",2008,866799
"new.row.4270","10500",2009,785943
"new.row.4271","10500",2010,779351
"new.row.4272","10500",2011,983795
"new.row.4273","10500",2012,931494
"new.row.4274","10500",2013,950486
"new.row.4275","12020",1969,33124
"new.row.4276","12020",1970,39750
"new.row.4277","12020",1971,44171
"new.row.4278","12020",1972,49671
"new.row.4279","12020",1973,57073
"new.row.4280","12020",1974,67192
"new.row.4281","12020",1975,75254
"new.row.4282","12020",1976,81125
"new.row.4283","12020",1977,90782
"new.row.4284","12020",1978,101451
"new.row.4285","12020",1979,112208
"new.row.4286","12020",1980,141642
"new.row.4287","12020",1981,176564
"new.row.4288","12020",1982,206772
"new.row.4289","12020",1983,232160
"new.row.4290","12020",1984,257659
"new.row.4291","12020",1985,282441
"new.row.4292","12020",1986,304974
"new.row.4293","12020",1987,321932
"new.row.4294","12020",1988,348938
"new.row.4295","12020",1989,416370
"new.row.4296","12020",1990,435807
"new.row.4297","12020",1991,446528
"new.row.4298","12020",1992,453762
"new.row.4299","12020",1993,487254
"new.row.4300","12020",1994,526140
"new.row.4301","12020",1995,587248
"new.row.4302","12020",1996,635398
"new.row.4303","12020",1997,692421
"new.row.4304","12020",1998,730110
"new.row.4305","12020",1999,729909
"new.row.4306","12020",2000,788448
"new.row.4307","12020",2001,812461
"new.row.4308","12020",2002,809148
"new.row.4309","12020",2003,884334
"new.row.4310","12020",2004,886479
"new.row.4311","12020",2005,934464
"new.row.4312","12020",2006,1065299
"new.row.4313","12020",2007,1190029
"new.row.4314","12020",2008,1218819
"new.row.4315","12020",2009,1185360
"new.row.4316","12020",2010,1156670
"new.row.4317","12020",2011,1289587
"new.row.4318","12020",2012,1347791
"new.row.4319","12020",2013,1366306
"new.row.4320","12060",1969,827894
"new.row.4321","12060",1970,970863
"new.row.4322","12060",1971,1095597
"new.row.4323","12060",1972,1232046
"new.row.4324","12060",1973,1410702
"new.row.4325","12060",1974,1640234
"new.row.4326","12060",1975,1740731
"new.row.4327","12060",1976,1837304
"new.row.4328","12060",1977,2005015
"new.row.4329","12060",1978,2285664
"new.row.4330","12060",1979,2617006
"new.row.4331","12060",1980,3217195
"new.row.4332","12060",1981,4025165
"new.row.4333","12060",1982,4590002
"new.row.4334","12060",1983,5230267
"new.row.4335","12060",1984,6109288
"new.row.4336","12060",1985,6856348
"new.row.4337","12060",1986,7479036
"new.row.4338","12060",1987,8062102
"new.row.4339","12060",1988,9138222
"new.row.4340","12060",1989,10476484
"new.row.4341","12060",1990,11202587
"new.row.4342","12060",1991,11335999
"new.row.4343","12060",1992,11660247
"new.row.4344","12060",1993,12486028
"new.row.4345","12060",1994,13919697
"new.row.4346","12060",1995,15525406
"new.row.4347","12060",1996,17029535
"new.row.4348","12060",1997,18565469
"new.row.4349","12060",1998,20269541
"new.row.4350","12060",1999,20285323
"new.row.4351","12060",2000,22551426
"new.row.4352","12060",2001,22983712
"new.row.4353","12060",2002,22715738
"new.row.4354","12060",2003,23812162
"new.row.4355","12060",2004,24562635
"new.row.4356","12060",2005,27755601
"new.row.4357","12060",2006,31813574
"new.row.4358","12060",2007,34637347
"new.row.4359","12060",2008,33991028
"new.row.4360","12060",2009,30105695
"new.row.4361","12060",2010,29264685
"new.row.4362","12060",2011,35007940
"new.row.4363","12060",2012,35308201
"new.row.4364","12060",2013,35861259
"new.row.4365","12260",1969,158800
"new.row.4366","12260",1970,172085
"new.row.4367","12260",1971,183440
"new.row.4368","12260",1972,193527
"new.row.4369","12260",1973,215663
"new.row.4370","12260",1974,249912
"new.row.4371","12260",1975,270677
"new.row.4372","12260",1976,299853
"new.row.4373","12260",1977,331519
"new.row.4374","12260",1978,383229
"new.row.4375","12260",1979,439969
"new.row.4376","12260",1980,517617
"new.row.4377","12260",1981,600397
"new.row.4378","12260",1982,686420
"new.row.4379","12260",1983,763741
"new.row.4380","12260",1984,857317
"new.row.4381","12260",1985,935992
"new.row.4382","12260",1986,1025060
"new.row.4383","12260",1987,1050964
"new.row.4384","12260",1988,1135756
"new.row.4385","12260",1989,1291382
"new.row.4386","12260",1990,1369987
"new.row.4387","12260",1991,1402498
"new.row.4388","12260",1992,1479727
"new.row.4389","12260",1993,1520474
"new.row.4390","12260",1994,1677539
"new.row.4391","12260",1995,1783252
"new.row.4392","12260",1996,1959021
"new.row.4393","12260",1997,2069240
"new.row.4394","12260",1998,2240194
"new.row.4395","12260",1999,2219805
"new.row.4396","12260",2000,2410827
"new.row.4397","12260",2001,2519888
"new.row.4398","12260",2002,2539225
"new.row.4399","12260",2003,2547242
"new.row.4400","12260",2004,2591665
"new.row.4401","12260",2005,2710890
"new.row.4402","12260",2006,3032445
"new.row.4403","12260",2007,3382051
"new.row.4404","12260",2008,3250489
"new.row.4405","12260",2009,3149773
"new.row.4406","12260",2010,3137756
"new.row.4407","12260",2011,3621600
"new.row.4408","12260",2012,3518381
"new.row.4409","12260",2013,3610710
"new.row.4410","15260",1969,27456
"new.row.4411","15260",1970,34030
"new.row.4412","15260",1971,38598
"new.row.4413","15260",1972,42484
"new.row.4414","15260",1973,47112
"new.row.4415","15260",1974,50604
"new.row.4416","15260",1975,51022
"new.row.4417","15260",1976,57067
"new.row.4418","15260",1977,65079
"new.row.4419","15260",1978,77737
"new.row.4420","15260",1979,92015
"new.row.4421","15260",1980,108913
"new.row.4422","15260",1981,134240
"new.row.4423","15260",1982,152376
"new.row.4424","15260",1983,166472
"new.row.4425","15260",1984,184628
"new.row.4426","15260",1985,204047
"new.row.4427","15260",1986,221143
"new.row.4428","15260",1987,235641
"new.row.4429","15260",1988,258750
"new.row.4430","15260",1989,317158
"new.row.4431","15260",1990,336794
"new.row.4432","15260",1991,339141
"new.row.4433","15260",1992,361671
"new.row.4434","15260",1993,382770
"new.row.4435","15260",1994,416356
"new.row.4436","15260",1995,456612
"new.row.4437","15260",1996,511660
"new.row.4438","15260",1997,554577
"new.row.4439","15260",1998,582738
"new.row.4440","15260",1999,583608
"new.row.4441","15260",2000,641925
"new.row.4442","15260",2001,667989
"new.row.4443","15260",2002,648800
"new.row.4444","15260",2003,681621
"new.row.4445","15260",2004,765969
"new.row.4446","15260",2005,827786
"new.row.4447","15260",2006,915433
"new.row.4448","15260",2007,979388
"new.row.4449","15260",2008,962788
"new.row.4450","15260",2009,793289
"new.row.4451","15260",2010,780707
"new.row.4452","15260",2011,925909
"new.row.4453","15260",2012,926166
"new.row.4454","15260",2013,938305
"new.row.4455","16860",1969,141549
"new.row.4456","16860",1970,161021
"new.row.4457","16860",1971,182071
"new.row.4458","16860",1972,202275
"new.row.4459","16860",1973,226482
"new.row.4460","16860",1974,263424
"new.row.4461","16860",1975,286169
"new.row.4462","16860",1976,308219
"new.row.4463","16860",1977,345694
"new.row.4464","16860",1978,396198
"new.row.4465","16860",1979,443889
"new.row.4466","16860",1980,523804
"new.row.4467","16860",1981,645605
"new.row.4468","16860",1982,754696
"new.row.4469","16860",1983,800143
"new.row.4470","16860",1984,898437
"new.row.4471","16860",1985,972769
"new.row.4472","16860",1986,1033525
"new.row.4473","16860",1987,1077646
"new.row.4474","16860",1988,1212169
"new.row.4475","16860",1989,1371408
"new.row.4476","16860",1990,1429288
"new.row.4477","16860",1991,1412744
"new.row.4478","16860",1992,1473807
"new.row.4479","16860",1993,1548878
"new.row.4480","16860",1994,1605586
"new.row.4481","16860",1995,1734605
"new.row.4482","16860",1996,1836933
"new.row.4483","16860",1997,1815101
"new.row.4484","16860",1998,1981969
"new.row.4485","16860",1999,2007382
"new.row.4486","16860",2000,2115788
"new.row.4487","16860",2001,2090018
"new.row.4488","16860",2002,2006553
"new.row.4489","16860",2003,2045499
"new.row.4490","16860",2004,2067276
"new.row.4491","16860",2005,2169196
"new.row.4492","16860",2006,2504681
"new.row.4493","16860",2007,2698430
"new.row.4494","16860",2008,2738270
"new.row.4495","16860",2009,2468299
"new.row.4496","16860",2010,2559365
"new.row.4497","16860",2011,2710236
"new.row.4498","16860",2012,3054190
"new.row.4499","16860",2013,3125633
"new.row.4500","19140",1969,18766
"new.row.4501","19140",1970,22790
"new.row.4502","19140",1971,27032
"new.row.4503","19140",1972,31440
"new.row.4504","19140",1973,35120
"new.row.4505","19140",1974,40137
"new.row.4506","19140",1975,43887
"new.row.4507","19140",1976,47336
"new.row.4508","19140",1977,52712
"new.row.4509","19140",1978,60463
"new.row.4510","19140",1979,70093
"new.row.4511","19140",1980,83815
"new.row.4512","19140",1981,103004
"new.row.4513","19140",1982,120894
"new.row.4514","19140",1983,135034
"new.row.4515","19140",1984,148165
"new.row.4516","19140",1985,165443
"new.row.4517","19140",1986,177787
"new.row.4518","19140",1987,193360
"new.row.4519","19140",1988,213298
"new.row.4520","19140",1989,256210
"new.row.4521","19140",1990,262952
"new.row.4522","19140",1991,273559
"new.row.4523","19140",1992,274964
"new.row.4524","19140",1993,284956
"new.row.4525","19140",1994,318283
"new.row.4526","19140",1995,350884
"new.row.4527","19140",1996,388304
"new.row.4528","19140",1997,405343
"new.row.4529","19140",1998,440637
"new.row.4530","19140",1999,424706
"new.row.4531","19140",2000,459697
"new.row.4532","19140",2001,493812
"new.row.4533","19140",2002,493795
"new.row.4534","19140",2003,537163
"new.row.4535","19140",2004,531320
"new.row.4536","19140",2005,504532
"new.row.4537","19140",2006,533987
"new.row.4538","19140",2007,599400
"new.row.4539","19140",2008,633644
"new.row.4540","19140",2009,542754
"new.row.4541","19140",2010,519528
"new.row.4542","19140",2011,590133
"new.row.4543","19140",2012,601619
"new.row.4544","19140",2013,615710
"new.row.4545","23580",1969,18780
"new.row.4546","23580",1970,21819
"new.row.4547","23580",1971,24768
"new.row.4548","23580",1972,27743
"new.row.4549","23580",1973,33177
"new.row.4550","23580",1974,40201
"new.row.4551","23580",1975,45656
"new.row.4552","23580",1976,47841
"new.row.4553","23580",1977,52447
"new.row.4554","23580",1978,60681
"new.row.4555","23580",1979,70462
"new.row.4556","23580",1980,92076
"new.row.4557","23580",1981,117336
"new.row.4558","23580",1982,132201
"new.row.4559","23580",1983,148619
"new.row.4560","23580",1984,175510
"new.row.4561","23580",1985,195533
"new.row.4562","23580",1986,219466
"new.row.4563","23580",1987,225465
"new.row.4564","23580",1988,248861
"new.row.4565","23580",1989,293346
"new.row.4566","23580",1990,311548
"new.row.4567","23580",1991,319007
"new.row.4568","23580",1992,327837
"new.row.4569","23580",1993,348872
"new.row.4570","23580",1994,392690
"new.row.4571","23580",1995,413546
"new.row.4572","23580",1996,463864
"new.row.4573","23580",1997,495565
"new.row.4574","23580",1998,561597
"new.row.4575","23580",1999,585851
"new.row.4576","23580",2000,663222
"new.row.4577","23580",2001,687257
"new.row.4578","23580",2002,706376
"new.row.4579","23580",2003,751413
"new.row.4580","23580",2004,737735
"new.row.4581","23580",2005,898541
"new.row.4582","23580",2006,1008440
"new.row.4583","23580",2007,1066649
"new.row.4584","23580",2008,1121911
"new.row.4585","23580",2009,1019049
"new.row.4586","23580",2010,968074
"new.row.4587","23580",2011,1085550
"new.row.4588","23580",2012,1121857
"new.row.4589","23580",2013,1139107
"new.row.4590","25980",1969,13613
"new.row.4591","25980",1970,18816
"new.row.4592","25980",1971,18558
"new.row.4593","25980",1972,19229
"new.row.4594","25980",1973,21128
"new.row.4595","25980",1974,22761
"new.row.4596","25980",1975,25665
"new.row.4597","25980",1976,47266
"new.row.4598","25980",1977,69583
"new.row.4599","25980",1978,86793
"new.row.4600","25980",1979,100167
"new.row.4601","25980",1980,110826
"new.row.4602","25980",1981,115008
"new.row.4603","25980",1982,124868
"new.row.4604","25980",1983,127476
"new.row.4605","25980",1984,134276
"new.row.4606","25980",1985,144502
"new.row.4607","25980",1986,156675
"new.row.4608","25980",1987,166187
"new.row.4609","25980",1988,171696
"new.row.4610","25980",1989,185074
"new.row.4611","25980",1990,166545
"new.row.4612","25980",1991,188343
"new.row.4613","25980",1992,238636
"new.row.4614","25980",1993,245098
"new.row.4615","25980",1994,260660
"new.row.4616","25980",1995,284069
"new.row.4617","25980",1996,295704
"new.row.4618","25980",1997,282815
"new.row.4619","25980",1998,315483
"new.row.4620","25980",1999,317190
"new.row.4621","25980",2000,329730
"new.row.4622","25980",2001,356572
"new.row.4623","25980",2002,371087
"new.row.4624","25980",2003,409965
"new.row.4625","25980",2004,419835
"new.row.4626","25980",2005,449557
"new.row.4627","25980",2006,444726
"new.row.4628","25980",2007,486327
"new.row.4629","25980",2008,508156
"new.row.4630","25980",2009,524195
"new.row.4631","25980",2010,565086
"new.row.4632","25980",2011,619805
"new.row.4633","25980",2012,619675
"new.row.4634","25980",2013,646768
"new.row.4635","31420",1969,72246
"new.row.4636","31420",1970,82378
"new.row.4637","31420",1971,93575
"new.row.4638","31420",1972,101677
"new.row.4639","31420",1973,111790
"new.row.4640","31420",1974,126913
"new.row.4641","31420",1975,141436
"new.row.4642","31420",1976,150641
"new.row.4643","31420",1977,167550
"new.row.4644","31420",1978,187094
"new.row.4645","31420",1979,208789
"new.row.4646","31420",1980,250195
"new.row.4647","31420",1981,306265
"new.row.4648","31420",1982,348107
"new.row.4649","31420",1983,387014
"new.row.4650","31420",1984,430357
"new.row.4651","31420",1985,455454
"new.row.4652","31420",1986,486345
"new.row.4653","31420",1987,522919
"new.row.4654","31420",1988,571797
"new.row.4655","31420",1989,664137
"new.row.4656","31420",1990,681911
"new.row.4657","31420",1991,700672
"new.row.4658","31420",1992,695701
"new.row.4659","31420",1993,729259
"new.row.4660","31420",1994,782015
"new.row.4661","31420",1995,854688
"new.row.4662","31420",1996,915196
"new.row.4663","31420",1997,946393
"new.row.4664","31420",1998,1026324
"new.row.4665","31420",1999,986174
"new.row.4666","31420",2000,1089858
"new.row.4667","31420",2001,1118122
"new.row.4668","31420",2002,1138971
